d_vendor_name,min_overall_value,n
NISSAN CANADA,105215.92,1
NORTRAX CANADA,27345.49,7
NOVA NETWORKS,12972.40,5
NUA OFFICE,16324.25,8
NUIX NORTH AMERICA,49357.60,4
ONLINE CONSTRUCTORS,13072.50,3
ONX ENTERPRISE SOLUTIONS,19888.00,1
OPENTEXT,10045.43,3
OPTIV CANADA FEDERAL,368945.00,1
ORACLE CANADA,10723.50,13
ORANGUTECH,84750.00,2
OTIS ELEVATOR,19955.80,1
OXFORD ECONOMICS USA,21415.00,8
PALADIN GROUP,10349.70,23
PALFINGER MARINE,290950.00,1
PATLON AIRCRAFT INDUSTRIES,11203.95,5
PATTISON SIGN GROUP,12501.81,3
PEERLESS GARMENTS,17797.50,8
PETERS CONSTRUCTION,102339.30,1
PETRO AIR SERVICES,24719.62,1
PETROVALUE PRODUCTS,10891.26,12
PHASELOCK SYSTEMS INTERNATIONAL,10933.05,17
PITNEY BOWES,10147.41,9
PLEIAD CANADA,11025.00,1
PMG TECHNOLOGIES,13227.87,108
PODOLINSKY EQUIPMENT,18060.00,4
PORTAGE PERSONNEL,462248.70,2
PRA,37290.00,1
PRECISIONIT,55039.02,2
PRICEWATERHOUSE COOPERS,40000.00,4
PRIMEX PROJECT MANAGEMENT,24923.55,1
PRINTERS PLUS,11298.30,4
PROLOGIC SYSTEMS,11298.96,4
PROMAXIS,38094.56,5
PROQUEST,16125.76,4
PROSCI CANADA,18938.80,9
PROTAK CONSULTING GROUP,26622.80,1
PURELOGIC,24295.00,1
PURESPIRIT SOLUTIONS,35894.36,2
QMR,11390.40,17
QUANTUM MANAGEMENT SERVICES,10563.57,7
QUORUM,4608081.78,2
RAMPART INTERNATIONAL,10058.89,13
RANDSTAD,31509.64,2
RAYMOND CHABOT GRANT THORNTON,39790.13,3
RHEA,24973.00,5
RISK SCIENCES INTERNATIONAL,24577.50,4
ROCKWELL COLLINS CANADA,28445.63,8
ROGERS,484483.59,1
ROSBOROUGH BOATS,381052.50,1
ROXBORO EXCAVATION,310625.50,1
SAP,13573.56,6
SAS INSTITUTE,144640.00,2
SERCO,36850.43,2
SHELL CANADA PRODUCTS,33900.00,3
SHI CANADA,18373.73,4
SI SYSTEMS,30764.25,15
SIERRA SYSTEMS GROUP,10062.65,5
SIMEX DEFENCE,10409.81,21
SIMPLEX GRINNELL,84814.41,3
SKILLSOFT CANADA,14424.45,1
SLR CONSULTING CANADA,22600.00,1
SNC LAVALIN,13198.40,13
SOFTCHOICE,11137.28,14
SOLOTECH,14943.12,11
SOUTHWEST RESEARCH INSTITUTE,23233.18,2
SRA STAFFING SOLUTIONS,158652.00,1
ST AIRBORNE SYSTEMS,11707.00,12
STANTEC,12524.92,29
STONEWORKS TECHNOLOGIES,18803.20,3
STRATOS,24961.70,2
SUBARU CANADA,29922.96,2
SUNCOR ENERGY,16800.00,3
SUPREMEX,10475.78,1
SYSTEMATIX SOLUTIONS,104525.00,1
SYSTEMSCOPE,39550.00,4
TANKATEK,10381.87,20
TEKNION,11964.58,22
TEKSYSTEMS CANADA,19277.80,24
TELUS CANADA,10761.89,24
TENAQUIP,13108.00,6
TERAMACH TECHNOLOGIES,83902.50,2
TES CONTRACT SERVICES,2167423.13,1
TESTFORCE SYSTEMS,10696.70,12
TETRA TECH,17640.00,1
THE AIM GROUP,15820.00,3
THE HALIFAX COMPUTER CONSULTING GROUP,39324.00,1
THE MASHA KRUPP TRANSLATION GROUP,16950.00,5
THE RIGHT DOOR CONSULTING,11017.50,7
THERMO FISHER SCIENTIFIC,14213.42,3
THOMSON REUTERS,34740.72,1
THYSSENKRUPP ELEVATOR,48611.43,2
TITAN BOATS,248912.75,1
TOPFLIGHT ELITE TRAINING AND CHARTER SERVICES,16610.00,2
TOROMONT,15750.00,2
TOTEM OFFISOURCE,14222.27,3
TOURE CLEANING SERVICES,89164.97,1
TOYOTA,14563.44,54
TPG TECHNOLOGY CONSULTANTS,93564.00,8
TRANSPOLAR TECHNOLOGY,76206.84,5
TRM TECHNOLOGIES,22882.50,7
TULMAR SAFETY SYSTEMS,10073.18,2
TUNDRA TECHNICAL SOLUTIONS,61057.29,1
TURTLE ISLAND STAFFING,24312.66,5
TYCO INTEGRATED FIRE SECURITY,11822.44,1
UBIQUS CANADA,395500.00,1
UNISOURCE,25252.66,4
UNIVERSITE LAVAL,99184.46,3
UNIVERSITY OF ALBERTA,20000.00,4
UNIVERSITY OF BRITISH COLUMBIA,25000.00,1
UNIVERSITY OF NEW BRUNSWICK,24863.13,9
UNIVERSITY OF OTTAWA,10057.00,7
UNIVERSITY OF TORONTO,22600.00,1
UNIVERSITY OF WATERLOO,24998.99,2
UNIVERSITY OF WESTERN ONTARIO,45214.01,3
VECTOR AEROSPACE,10531.57,40
VERITAAQ TECHNOLOGY HOUSE,39550.00,8
WAJAX,15275.83,2
WARTSILA,16632.09,19
WOLTERS KLUWER,10848.00,7
WORKDYNAMICS TECHNOLOGIES,22350.27,8
WSP,12135.04,17
XEROX,10064.88,58
YAMAHA MOTORS CANADA,18375.00,3
ZUTPHEN CONTRACTOR,282556.52,1
