d_vendor_name,mean_years,n
LRO STAFFING,1.32,1
LUMINA IT,1.06,5
M D CHARLTON,0.55,3
MACDONALD DETTWILER AND ASSOCIATES,0.56,1
MAKWA RESOURCING,1.17,5
MAPLESOFT CONSULTING,2.73,1
MARINE RECYCLING,1.1,4
MAXSYS STAFFING AND CONSULTING,0.58,6
MEDIA Q,1.79,2
MEGALEXIS COMMUNICATIONS,1.53,1
MICHELIN,0.19,3
MICROSOFT CANADA,0.77,46
MID CANADA MOD CENTER,0.04,110
MINDWIRE SYSTEMS,1.43,11
MISHKUMI TECHNOLOGIES,0.18,1
MITSUBISHI MOTOR SALES,0.39,22
MNP,0.58,2
MORPHO CANADA,0.48,3
MUSTANG SURVIVAL,0.65,6
"NATIONS TRANSLATION GROUP",1.08,9
"NATTIQ",0.64,11
"NAUT MAWT TRIBAL COUNCIL",0.59,1
"NAV CANADA",2.25,4
NEWFOUND RECRUITING,0.85,1
NISHA TECHONOLOGIES,0.49,10
NISSAN CANADA,0.33,1
NORTRAX CANADA,0.25,7
NOVA NETWORKS,0.61,5
NUA OFFICE,0.26,8
NUIX NORTH AMERICA,0.87,4
ONLINE CONSTRUCTORS,0.91,3
ONX ENTERPRISE SOLUTIONS,0.05,1
OPENTEXT,1.34,3
OPTIV CANADA FEDERAL,0.95,1
ORACLE CANADA,0.62,13
ORANGUTECH,0.9,2
OTIS ELEVATOR,2.95,1
OXFORD ECONOMICS USA,0.63,8
PALADIN GROUP,0.2,23
PALFINGER MARINE,0.68,1
PATLON AIRCRAFT INDUSTRIES,0.03,5
PATTISON SIGN GROUP,0.08,3
PEERLESS GARMENTS,0.48,8
PETERS CONSTRUCTION,0.11,1
PETRO AIR SERVICES,0.19,1
PETROVALUE PRODUCTS,0.42,12
PHASELOCK SYSTEMS INTERNATIONAL,0.14,17
PITNEY BOWES,1.2,9
PLEIAD CANADA,0.72,1
PMG TECHNOLOGIES,0.66,108
PODOLINSKY EQUIPMENT,0.33,4
PORTAGE PERSONNEL,3.19,2
PRA,0.45,1
PRECISIONIT,0.45,2
PRICEWATERHOUSE COOPERS,1.37,4
PRIMEX PROJECT MANAGEMENT,0.14,1
PRINTERS PLUS,2.62,4
PROLOGIC SYSTEMS,0.37,4
PROMAXIS,1.01,5
PROQUEST,0.56,4
PROSCI CANADA,0.25,9
PROTAK CONSULTING GROUP,0.61,1
PURELOGIC,0.19,1
PURESPIRIT SOLUTIONS,0.31,2
QMR,0.53,17
QUANTUM MANAGEMENT SERVICES,0.31,7
QUORUM,4.63,2
RAMPART INTERNATIONAL,0.47,13
RANDSTAD,1.9,2
RAYMOND CHABOT GRANT THORNTON,0.46,3
RHEA,0.44,5
RISK SCIENCES INTERNATIONAL,1.07,4
ROCKWELL COLLINS CANADA,0.04,8
ROGERS,0.01,1
ROSBOROUGH BOATS,0.34,1
ROXBORO EXCAVATION,4,1
SAP,0.72,6
SAS INSTITUTE,1.01,2
SERCO,0.3,2
SHELL CANADA PRODUCTS,0.97,3
SHI CANADA,0.87,4
SI SYSTEMS,1.52,15
SIERRA SYSTEMS GROUP,0.28,5
SIMEX DEFENCE,0.21,21
SIMPLEX GRINNELL,1.27,3
SKILLSOFT CANADA,0.01,1
SLR CONSULTING CANADA,0.14,1
SNC LAVALIN,0.44,13
SOFTCHOICE,0.51,14
SOLOTECH,0.25,11
SOUTHWEST RESEARCH INSTITUTE,0.19,2
SRA STAFFING SOLUTIONS,0.34,1
ST AIRBORNE SYSTEMS,0.12,12
STANTEC,0.63,29
STONEWORKS TECHNOLOGIES,0.34,3
STRATOS,0.39,2
SUBARU CANADA,0.57,2
SUNCOR ENERGY,0.74,3
SUPREMEX,0.91,1
SYSTEMATIX SOLUTIONS,0.29,1
SYSTEMSCOPE,0.3,4
TANKATEK,0.57,20
TEKNION,0.29,22
TEKSYSTEMS CANADA,1.52,24
TELUS CANADA,0.24,24
TENAQUIP,0.41,6
TERAMACH TECHNOLOGIES,0.29,2
TES CONTRACT SERVICES,3.88,1
TESTFORCE SYSTEMS,0.06,12
TETRA TECH,0.22,1
THE AIM GROUP,0.78,3
THE HALIFAX COMPUTER CONSULTING GROUP,0.17,1
THE MASHA KRUPP TRANSLATION GROUP,1.04,5
THE RIGHT DOOR CONSULTING,0.79,7
THERMO FISHER SCIENTIFIC,0.2,3
THOMSON REUTERS,2,1
THYSSENKRUPP ELEVATOR,1.88,2
TITAN BOATS,1.43,1
TOPFLIGHT ELITE TRAINING AND CHARTER SERVICES,0.23,2
TOROMONT,1.2,2
TOTEM OFFISOURCE,0.13,3
TOURE CLEANING SERVICES,0.45,1
TOYOTA,0.32,54
TPG TECHNOLOGY CONSULTANTS,2.32,8
TRANSPOLAR TECHNOLOGY,0.8,5
TRM TECHNOLOGIES,0.97,7
TULMAR SAFETY SYSTEMS,0.04,2
TUNDRA TECHNICAL SOLUTIONS,0.84,1
TURTLE ISLAND STAFFING,0.61,5
TYCO INTEGRATED FIRE SECURITY,0.1,1
UBIQUS CANADA,1.92,1
UNISOURCE,0.28,4
UNIVERSITE LAVAL,1.41,3
UNIVERSITY OF ALBERTA,0.46,4
UNIVERSITY OF BRITISH COLUMBIA,0.99,1
UNIVERSITY OF NEW BRUNSWICK,0.73,9
UNIVERSITY OF OTTAWA,0.78,7
UNIVERSITY OF TORONTO,1.13,1
UNIVERSITY OF WATERLOO,0.55,2
UNIVERSITY OF WESTERN ONTARIO,1.12,3
VECTOR AEROSPACE,0.04,40
VERITAAQ TECHNOLOGY HOUSE,1.46,8
WAJAX,0.04,2
WARTSILA,0.36,19
WOLTERS KLUWER,0.52,7
WORKDYNAMICS TECHNOLOGIES,0.57,8
WSP,0.89,17
XEROX,4.43,58
YAMAHA MOTORS CANADA,0.23,3
ZUTPHEN CONTRACTOR,0.86,1
