d_vendor_name,max_years,n
ADVANIS JOLICOEUR,6.46,19
AEBI SCHMIDT CANADA,2.73,9
AECOM,19.29,432
AEG FUELS,1.9,2192
AEREX AVIONICS,5.03,26
AERO FEU,3.76,24
AERO SUPPLIES,0.38,457
AEROPORT DE QUEBEC,0.72,5
AEROPORTS DE MONTREAL,0.92,1
AEROPRO,6.63,8
AFC INDUSTRIES,2.76,3
AFN ENGINEERING,10.34,317
AG CREATIONS,1.23,59
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,7,2
AGILEC,3.58,23
AGILENT,6.21,647
AGRITEAM CANADA,6.32,15
AHS COMMUNITY INDUSTRIES,6.17,5
AIM HEALTH GROUP,6.26,12
AIM SUPPLY,1.2,35
AINSWORTH,6,193
AIR BRAVO,0.11,136
AIR CHARTER SERVICE,0.11,3
AIR INDIA,0.08,3
AIR INUIT,5.01,80
AIR LIQUIDE CANADA,8.46,284
AIR NORTH,1.02,77
AIR PRODUCTS CANADA,5.01,71
AIR TINDI,3.1,214
AIRBORNE SYSTEMS,2.9,2
AIRBUS,12.01,169
AIRCRAFT APPLIANCES AND EQUIPMENT,14.99,2
AIRPORT TECHNOLOGIES,2,29
AIRSIDE PROPERTIES,10.35,1
AIWORX,5.01,3
AKM GROUP,1.58,3
ALBERTA MOTOR TRANSPORT ASSOCIATION,2.01,2
ALBERTA SEVENTH STEP SOCIETY,4,3
ALCAIDE WEBSTER ARCHITECTS,3.52,30
ALGONQUIN COLLEGE,5,121
ALIKA INTERNET TECHNOLOGIES,4.63,22
ALINEA INTERNATIONAL,7.59,13
ALIVAKTUK CONSULTING,6.29,7
ALIVAKTUK CONSULTING NAVPOIN,3.07,1
ALLEN HASTINGS,2.61,5
ALLIANCE ENERGY,5.82,24
ALLIANCE ENGINEERING CONSTRUCTION,2.49,9
ALLIANT TECHSYSTEMS OPERATIONS,10.01,8
ALLIED PAVING,1.9,1
ALLIED PROJECTS,2.92,12
ALLIED SHIPBUILDERS,1.67,17
ALLSEATING,2.05,88
ALMIQ CONTRACTING,4.27,1
ALPHA CONSTRUCTION,1.5,8
ALPINE AEROTECH,0.18,146
ALPINE HELICOPTERS,2.05,283
ALS CANADA,5.3,221
ALTIS HUMAN RESOURCES,20.97,1279
ALTIS RECRUITMENT TECHNOLOGY,6.31,27
ALVA CONSTRUCTION,3.28,12
AMAN BUILDERS,3.17,2
AMAZON,20.01,138
AMD MEDICOM,10.27,2
AMDOCS,2,4
AMER SPORTS CANADA,6.03,8
AMERESCO CANADA,18.66,20
AMERICAN BUREAU OF SHIPPING,4.64,91
AMERICAN CHEMICAL SOCIETY,3,38
AMEX BANK OF CANADA,6.96,5
AMRON CONSTRUCTION,2.51,153
AMTECH AERONAUTICAL,6.12,15
AMTEK ENGINEERING,5.53,33
ANALYTICAL GRAPHICS,4.67,44
ANCHOR QEA,3.01,4
ANGUS CONSULTING MANAGEMENT,4,8
ANIXTER,5.65,284
ANSYS CANADA,4.92,125
ANTHONY MACAULEY ASSOCIATES,3,49
ANTONIANI LAW PROFESSIONAL,5,1
AON REED STENHOUSE,7.59,128
APEX STEEL GAS,3.1,86
APICA MEDICAL SERVICES,4,3
APOTEX,3.4,5
APPAREL TRIMMINGS,5.01,58
APPLIED ELECTONICS,5.11,530
APPLIED SYSTEMS ENGINEERING,0.01,1
APPTION,3.85,21
APRON FUEL SERVICES,2,459
APS AVIATION,3.89,8
AQUA GUARD SPILL RESPONSE,1.54,6
AQUA LUNG CANADA,5.07,70
AQUA POWER CLEANERS 1979,3,3
AQUATIC INFORMATICS,5,18
ARA ROBOTIQUE ARA ROBOTIC IN,0.7,4
ARAL CONSTRUCTION 2014,1.54,7
ARCADIS CANADA,5.24,277
ARCHITECTURE 49,9.71,257
ARCHITECTURE EVOQ,18.02,33
ARCTIC CANADA CONSTRUCTION,1.53,5
ARDENT GLOBAL,0.25,2
ARI FINANCIAL SERVICES,5.01,695
ARIS GLOBAL,1,1
ARISGLOBAL,5,4
ARMSERV CONTRACTING,2.95,7
ARNASON INDUSTRIES,2.15,2
ARRM ELECTRIC,1.19,44
ARROW HELICOPTERS,3.01,124
ARTEMP PERSONNEL SERVICES,3.92,228
ARTEX SPORTSWEAR,5.16,27
ARUP CANADA,9.87,2
ASBEX,3.86,93
ASC GERMANY,1.65,11
ASC GERMANY AMOURED SPECIALITY CARS,0.45,1
ASL PAVING,1.22,2
ASML US,0.97,32
ASOKAN BUSINESS INTERIORS,10.01,419
ASPEN PHARMACARE CANADA,1.3,1
ASSOCIATED ENGINEERING,11.44,81
ASSOCIATION CANADIENNE POUR LA SANTE MENTALE SECTION SAGUENAY,8.01,2
ATCHISON DENMAN COURT REPORTING SERVICES,2,4
ATCO,6.3,383
ATIRA WOMENS RESOURCE SOCIETY,4,3
ATKINSON CONSTRUCTION,2.43,2
ATLANTIC BUSINESS INTERIORS,2.11,198
ATLANTIC HUMAN SERVICES,5,2
ATLANTIC ROAD CONSTRUCTION AND PAVING,1.42,5
ATLANTIC TOWING,7.24,13
ATLANTICA MECHANICAL CONTRACTORS,3.01,30
ATS SERVICES,7.09,22
ATS TRAFFIC ALBERTA,2.89,24
ATWILL MORIN,4.34,11
AUSENCO SUSTAINABILITY,3.73,9
AV NUNAVUT FUELS,1,3
AV TECH,6.34,164
AVALON HOLOGRAPHICS,1.13,7
AVENAI,3.25,10
AVI SPL,7.16,966
AVJET HOLDING,1.08,370
AVMAX AVIATION SERVICES,0.59,43
AVONDALE CONSTRUCTION,2.29,32
AXA ASSISTANCE CANADA,7.5,2
AXON,9.23,31
AXT TONGMEI,0.2,67
AXYS TECHNOLOGIES,10,74
AZIMUTH CONSULTING GROUP,4.98,10
B BRAUN OF CANADA,4.32,3
B L ASSOCIATES,3.05,5
B R ENTERPRISES,1.41,15
B T L CONSTRUCTION,2.39,2
BABCOCK INTERNATIONAL GROUP,12.03,27
BABEL STREET,5,17
BAD VENTURES,1.7,1
BAE SYSTEMS,9.1,115
BAJA CONSTRUCTION CANADA,2.48,20
BALODIS,0.92,11
BANCTEC CANADA,5.11,21
BANFIELD SEGUIN,4.65,45
BARDON SUPPLIES,0.98,224
BARGREEN ELLINGSON,1.16,437
BARRIE MACKAY CONTRACTING,4.15,2
BARRON S REFRIGERATION HEATING,1,114
BARRY S BULLDOZING,5.01,46
BARTA MACHINE,9.01,2
BATTLE RIVER ELECTRIC,2,70
BAUER HOCKEY,1,1
BAVARIAN NORDIC,10.01,2
BAXTER,3.15,9
BAY CONSTRUCTION MANAGEMENT,1.83,6
BAYSHORE HEALTHCARE,6.08,168
BC BORSTAL ASSOC,7,1
BDO CANADA,7.99,389
BEAUDOIN CANADA,4.47,2
BEAULIEU PLUMBING MECHANICAL,2.18,1
BEAVER AIR CHARTER CONSULTANTS,0.66,318
BECKMAN COULTER CANADA,5.31,146
BEE CLEAN BUILDING MAINTENANCE,4.75,180
BELAND LAPOINTE,3.15,2
BELL AND HOWELL CANADA,6.28,7
BELL CANADA,17.96,1243
BELL TEXTRON,9.22,371
BERLITZ CANADA,4.5,240
BERVIN CONSTRUCTION,2.62,8
BEST BUY HOUSING,1,1
BEST SERVICE PROS,4.38,124
BEST WESTERN PLUS REGENCY INN,1.18,3
BEVA GLOBAL MANAGEMENT,3.82,61
BGLA,5.44,16
BIARRITZ CONSTRUCTION,1.85,11
BIGHORN CONSTRUCTION,1.61,13
BIGHORN HELICOPTERS,1.15,130
BIO CHAMBERS,2.13,14
BIO NUCLEAR DIAGNOSTICS,5,22
BIO RAD LABORATORIES CANADA,3.11,174
BIOKINETICS AND ASSOCIATES,6,2
BIOMERIEUX CANADA,4,47
BIRD CONSTRUCTION COMPANY,3.42,9
BIRON GROUPE SANTE,0.38,1
BISHOP S UNIVERSITY,1.36,2
BISSON FORTIN ARCHITECTURE,4.5,21
BLACK MCDONALD,10.59,330
BLACKBERRY,8.27,115
BLOOMBERG FINANCE L P,5.72,49
BLUE WATER SYSTEM,2.6,1
BLUEDOT,2,8
BLUEDROP TRAINING SIMULATION,6.13,3
BLUEWAVE ENERGY,2.05,260
BLUMETRIC ENVIRONMENTAL,6.03,212
BLUNDEN CONSTRUCTION 1995,0.82,8
BMC SOFTWARE,10.01,8
BMC SOFTWARE CANADA,6.01,53
BMT FLEET TECHNOLOGY,9.99,36
BOEHM HOTEL,1.5,1
BOLESS,4.34,6
BOLLORE LOGISTICS,2.26,230
BOLLORE LOGISTICS CANADA,0.47,9
BOMBARDIER,10.01,190
BOMIMED,4.4,5
BONDFIELD CONSTRUCTION COMPANY,2.99,1
BOOMCHAIN MINING,5.01,59
BOSTON CONSULTING GROUP,1.1,5
BOUTHILLETTE PARIZEAU,7.01,151
BOYD MOVING STORAGE,3.58,106
BRADLEY AIR SERVICES,0.61,21
BRAGG COMMUNICATIONS,13.71,5
BRANDT TRACTOR,2.01,64
BRAWN CONSTRUCTION,2.42,13
BRECKENHILL,5.18,77
BRENEX BUILDING,2.36,2
BRETON MICHEL MD,4.84,10
BRIDGES OF CANADA,7.17,26
BRILUN CONSTRUCTION,2.87,14
BRIQUETAL,2.95,7
BRITTON ELECTRIQUE,3.13,2
BROADNET TELECOM,1.17,62
BROADWATER INDUSTRIES,0.96,27
BRONSWERK MARINE,10.04,66
BRONTE CONSTRUCTION,1.15,1
BROOK CONSTRUCTION,2.01,7
BROOKFIELD ASSET MANAGEMENT,7.5,16
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,13.41,454
BRS INNOVATIONS,3.37,19
BRUKER,5.2,110
BRYCA SOLUTIONS,1.58,8
BUBBLE TECHNOLOGY INDUSTRIES,5.03,11
BUDGELL S EQUIPMENT RENTALS,2.07,2
BUILDON CONSTRUCTION,2.54,31
BULLDOG CONTRACTING,1.51,10
BUNZL CANADA,1,24
BUREAU NATHALIE,5.01,6
BUREAU VERITAS,6.34,461
BURSEY EXCAVATING DEVELOPMENT,1.03,11
BUTTCON,5.72,6
C CORE,5,49
C D NOVA TECH,3,14
C S BUILDERS,0.63,11
C T M A FERRY,0.84,2
C2D SERVICES,8.71,1
CA,3,24
CACHE COMPUTER CONSULTING,7.54,265
CACTUS SHIP REPAIR,2.01,28
CADEX,5.01,25
CAE,23.9,71
CALIAN,13.01,1136
CALKO GROUP,1.73,2
CALTRIO COMPANY,5.92,20
CALYTERA SOFTWARE,7,40
CAMOSUN COLLEGE,1.89,11
CAMPBELL DRUG STORES,1.01,1
CAMPBELL FORD SALES,2.02,2
CAMPBELL SCIENTIFIC CANADA,8.88,155
CAN AM PLATFORMS CONSTRUCTION,3.73,7
CAN ROSS ENVIRONMENTAL SERVICES,2.52,2
CAN TEC SERVICES,3.55,49
CANADA,1,29
CANADA COACH LINES GROUP,2.01,1
CANADA POST,9.06,303
CANADA WEST AVIONICS,0.58,95
CANADENSYS AEROSPACE,2.23,11
CANADIAN AIRMOTIVE,6.01,14
CANADIAN BANK NOTE COMPANY,11.77,21
CANADIAN BASE OPERATORS,3.47,161
CANADIAN BORDER OPERATIONS,10.01,1
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,6.95,11
CANADIAN COMMERCIAL,0.53,2
CANADIAN CORPS OF COMMISSIONAIRES,8.01,6212
CANADIAN DEVELOPMENT CONSULTANTS,4.28,44
CANADIAN EMERGENCY VENTILATORS,0.98,1
CANADIAN FISHING COMPANY,6.59,6
CANADIAN HEALTH CARE AGENCY,1.18,17
CANADIAN HELICOPTERS,4.27,323
CANADIAN LEASEBACK,4.57,219
CANADIAN MARITIME ENGINEERING,5.06,169
CANADIAN MENTAL HEALTH ASSOCIATION NORTH BAY AND DISTRICT,5.84,2
CANADIAN NATIONAL RAIL,0.28,1
CANADIAN NORTH,0.63,31
CANADIAN NUCLEAR LABORATORIES,2.75,4
CANADIAN PAEDIATRIC SOCIETY,11.26,5
CANADIAN RED CROSS,4,19
CANADIAN SPACE SERVICES,4.27,14
CANADIAN STANDARDS ASSOCIATION,5.27,59
CANADIAN VETERANS VR SERVICE,4.01,1
CANADYNE TECHNOLOGIES,3.02,22
CANAM PONTS CANADA,2.28,6
CANEVAS CONSTRUCTION,0.97,4
CANMEC,2.37,1
CANON,9.01,841
CANSEL SURVEY EQUIPMENT,5.03,157
CANTEC SYSTEMS,5.28,31
CANTEX OKANAGAN CONSTRUCTION,1.64,3
CAPELLO AUDIO ELECTRONICS,6.67,17
CAPELLO SYSTEMS,1.04,9
CARAHSOFT TECHNOLOGY,5.04,345
CARDINAL HEALTH CANADA,2,87
CARL ZEISS CANADA,5.24,69
CARLETON ELECTRIC,2.92,35
CARLETON LIFE SUPPORT SYSTEMS,2.79,10
CARLETON UNIVERSITY,5.91,217
CARMACKS ENTERPRISES,0.69,1
CARMICHAEL ENGINEERING,7,83
CARO ANALYTICAL SERVICES,3,48
CARON PROFESSIONAL LINGUISTIC,8.99,179
CARRIERE QUEBEC,0.08,1
CARSWELL,4.25,26
CARTEL COMMUNICATION SYSTEMS,4.27,12
CARVERY S CONSTRUCTION,3.02,160
CAS ELL STRUCTURES,1.55,152
CASCADE AEROSPACE,19.45,5
CASEWARE INTERNATIONAL,4,8
CASP AEROSPACE,11.05,11
CATHOLIC SOCIAL SERVICES,8.01,5
CBC,5,4
CBCI TELECOM,4.49,742
CBCL,5.69,320
CBI MILLWRIGHT SERVICES,4.58,14
CBRE,1.13,33
CCM CONSTRUCTION,1.68,3
CCR CONSTRUCTION,4.04,4
CDCI RESEARCH,2.98,74
CDW CANADA,7.82,1258
CE HARRISON HOME HARDWARE,1,82
CEGERCO,3.32,2
CELEB CONSTRUCTION,7.69,5
CENTURY GROUP,1.08,5
CEPHEID,3.96,9
CERIDIAN,11.01,6
CGI,10.01,284
CH2M HILL CANADA,3.84,7
CHANDOS CONSTRUCTION,3.72,6
CHANNEL MANAGEMENT INTERNATIONAL,2.96,24
CHANTIER DAVIE CANADA,5.01,8
CHANTIER NAVAL FORILLON,2.43,6
CHARTER TELECOM,5,5
CHEAM TIMBRO GROUP PARTNERSHIP,0.68,1
CHEF BRANDZ,0.12,127
CHEMICAL ABSTRACTS SERVICE,3,14
CHEMPROTECT,2.81,3
CHEROKEE CONTRACTING,2.3,5
CHEVRON,3,59
CHIMO CONSTRUCTION,3.48,2
CHRISTIAN LAROCQUE SERVICES,1.63,37
CHRONO AVIATION,1.08,127
CHU SAINTE JUSTINE,6.71,12
CHUBB EDWARDS,6.3,148
CIMA,6.67,164
CIMA S E N C,5.03,23
CIRCLE OF EAGLES LODGE SOCIETY,3,3
CISION CANADA,5.75,361
CISTEL TECHNOLOGY,6.05,287
CITRIX,3,28
CITY WYEED ELECTRIC,1.57,1
CIVIL UNDERGROUND EXCAVATION,1.1,1
CIVIX,8.7,2
CLARIANT CANADA,1,147
CLEAN WORKS,1.83,2
CLEANMATTERS JANITORIAL SERVICES,8.51,16
CLEARWATER STRUCTURES,2.35,2
CLERMARK,4.5,21
CLICK NETWORKS,5.11,264
CLOSEREACH,7.19,129
CLOUD SYNAPPS,5,15
CLOUTHIER VENTURES,0.65,2
CO VEN,3.34,3
COADY CONSTRUCTION EXCAVATING,3.04,18
COASTAL RESTORATION MASONRY,6.88,128
COBALT CONSTRUCTION,1.02,3
COBHAM MISSION SYSTEMS DAVENPORT,0.81,1
COCO PAVING,0.67,6
COENTREPRISE CITE CARON,2.07,142
COFELY SERVICES,3.28,1
COFOMO,10.51,473
COLLIERS PROJECT LEADERS,8.94,177
COLOGIX,4.56,1
COLT CANADA,9.93,240
COLUMBIA FUELS,2,314
COMBAT NETWORKS,7.46,258
COMERCIAL BUILDING CLEANERS,3,2
COMMANDER PACIFIC FLEET,5.3,1
COMMERCIAL BUILDING CLEANERS,3.01,5
COMMERCIAL BUILDING CLEANING,3,4
COMMPOWER,5.37,2
COMMUNITECH,5,6
COMMVAULT SYSTEMS,3.25,24
COMNET NETWORKS AND SECURITY,4,15
COMPAGNIE AMPLEXOR CANADA,5.12,57
COMPASS GROUP CANADA,0.83,22
COMPOSITION STE FOY,3.71,23
COMPUCOM CANADA,10.01,345
COMPUGEN,10.05,568
COMPUMSTR,2,13
COMPUSULT,6.21,7
COMPUTER ASSOCIATES CANADA,3.01,5
COMPUTERSHARE INVESTOR SERVICES,25.03,8
CON PRO INDUSTRIES CANADA,4.49,19
CONCEPT CONTROLS,5.41,105
CONCIERGERIE SPEICO,6.89,7
CONEXSYS,5.01,97
CONFECTION AVENTURE,1.73,1
CONFERENCE BOARD OF CANADA,5,202
CONFLUENCE CONSULTING,4.53,13
CONNECTIVE SUPPORT SOCIETY,3,9
CONNECTIVE SUPPORT SOCIETY KAMLOOPS,2,1
CONNEX TELECOMMUNICATIONS,3.24,26
CONOSCENTI TECHNOLOGIES,4.91,23
CONSTRUCTION BUGERE,3,10
CONSTRUCTION COTE FILS,1.62,4
CONSTRUCTION COUTURE TANGUAY,1.47,5
CONSTRUCTION CPB,2,13
CONSTRUCTION CYBCO,7.12,7
CONSTRUCTION DEMATHIEU BARD,3.78,6
CONSTRUCTION DERIC,3.15,13
CONSTRUCTION IRENEE PAQUET FILS I,2,3
CONSTRUCTION J R SAVARD,2.86,2
CONSTRUCTION LFG,4.75,14
CONSTRUCTION SIMDEV,2.82,2
CONSTRUCTION SOCAM,5.83,5
CONSTRUCTIONS BSL,2.49,7
CONSTRUCTIONS RENAUD VIGNEAU,1.18,28
CONTRACT COMMUNITY,6.36,134
CONTRO VALVE,1.81,38
CONTROLLED ENVIRONMENTS,2.11,38
CONTROLS EQUIPMENT,4.5,65
CONVERGINT TECHNOLOGIES,6.16,216
COPCAN CIVIL,2.66,14
CORADIX TECHNOLOGY CONSULTING,6.38,500
CORBEL MANAGEMENT,10.01,6
CORCAN,9.58,39
COREBUILD CONSTRUCTION,2.76,1
CORETRACKS CLARITY CA,3.55,4
CORNERSTONE COMM ASSOC DURHAM,5,2
CORPORATION DU FORT ST JEAN,16.66,6
CORPORATION PROFESSIONNELLE DR SERGE LANDRY PROFESSIONAL,5,2
CORRECTIONAL SERVICES OF CANADA,1.25,28
COSSETTE COMMUNICATIONS,6.01,650
COTE GENEVIEVE S,3.01,3
COUGAR ENGINEERING CONSTRUCTION,1.66,3
COUPLAND KRAEMER ARCHITECTURE,8.2,27
COVERTITE EASTERN,2.68,9
COWATERSOGEMA,10.7,14
COWI NORTH AMERICA,2.34,90
COX AND PALMER,5.1,2
CP ENERGY MARKETING,23.11,4
CP ENERGYH MARKETING,0.25,1
CPCS TRANSCOM,3.37,63
CPKN NETWORK,5.46,13
CRAIG DESHARNAIS RESEARCH,2.5,29
CRANDALL ENGINEERING,4.52,32
CRC CURE LABELLE,5.25,2
CRC D ATNQ,6,6
CRE TRANSPORT,0.2,29
CRUICKSHANK CONSTRUCTION,2.61,4
CRYPTOMILL TECHNOLOGIES,0.7,2
CSDC SYSTEMS,7.58,103
CSI CONSULTING,3,22
CSI LEASING CANADA,4.71,15
CTOMS,5.01,120
CUBE CONSTRUCTION,2.33,11
CUBIC DEFENSE APPLICATIONS,15.01,6
CULLEN DIESEL POWER,5,61
CUMMINS CANADA,5.92,132
CUSTOM HELICOPTERS,3.16,83
CWP CONSTRUCTORS,2.67,11
CYMI CANADA,2.09,1
CYTELLIGENCE,2,4
D DOYLE INSTALLATIONS,2.97,223
D F S,11.4,49
D H PARTNERSHIP,10.01,2
D MARK BIOSCIENCES,3,41
D2L,5.13,8
D4IS SOLUTIONS,5.02,19
DADS,1,203
DAIMLER,1.13,70
DALCON CONSTRUCTORS,1.39,6
DALHOUSIE UNIVERSITY,4.81,125
DALIAN ENTERPRISES,5.01,172
DANA HOSPITALITY PARTNERSHIP,2,1
DANIEL CREPEAU,3.01,17
DARE HUMAN RESOURCES,5.67,103
DARREN ANGER LAW PROFESSIONAL,5,1
DASCO EQUIPMENT,4.04,267
DASCO STORAGE SOLUTIONS,5.78,186
DASSAULT SYSTEMES CANADA,4.74,76
DATA CENTRE INTELLIGENCE,5.01,42
DATA COMMUNICATIONS MANAGEMENT,6.06,130
DATIFEX,1.02,6
DATUM MARINE SERVICES,5.5,3
DAVE MCDONALD ELECTRIC,1,4
DAVID S LAFLAMME CONSTRUCTION,2.82,3
DAVTAIR INDUSTRIES,1.91,17
DAWSON CONSTRUCTION,1.58,6
DBC MARINE SAFETY SYSTEMS,2.31,24
DCC REGIONAL OFFICE HQ DIVISION WESTERN REGION,1,1
DCL CONSTRUCTION SERVICES,3.66,11
DE ANGELIS CONSTRUCTION,3,1
DEAN CONSTRUCTION COMPANY,1.68,4
DECAREL,2.35,1
DECISIVE GROUP,5.44,553
DEFENCE CONSTRUCTION CANADA,2.77,39
DEFENSE INFORMATION SYSTEMS AGENCY,7.77,2
DEFRAN,2.13,22
DELCO AUTOMATION,7.18,157
DELCO SECURITY,1.02,49
DELL COMPUTER,13.09,714
DELOITTE,11.94,932
DELTA PHOTONICS,1.16,50
DETON CHO LOGISTICS,0.04,71
DEV HOTEL CONFERENCE CENTRE,0.47,2
DEW ENGINEERING,10.01,80
DEXTER CONSTRUCTION,4.12,139
DEXTERRA,11.02,189
DF BARNES SERVICES,0.91,25
DHL EXPRESS CANADA,1.21,68
DIAMOND AND SCHMITT ARCHITECTS,11.21,14
DILIGENS,4.2,37
DILLON CONSULTING,5.63,600
DIRECT ENERGY BUSINESS,10.01,75
DISMAS SOCIETY,5,2
DLS TECHNOLOGY,5.17,99
DMTI SPATIAL,4.17,44
DNR CONSULTING GROUP,5.01,75
DO ALL CONSTRUCTION,2.21,23
DOCUMENS TRADUCTION,3.01,80
DOLOMITE NETWORKS,4,18
DOME PRODUCTIONS PARTNERSHIP,0.28,1
DOMUS BUILDING CLEANING,10.02,30
DON SAYWELL DEVELOPMENTS,3.05,195
DONALD J FRASER,5,1
DONALD SERVANT ELECTRIC,4.52,12
DONNA CONA,5.79,565
DONNA CONA AND IBM CANADA IN JV,1.91,5
DONNA CONA IBM CANADA IN JV,1.66,12
DR FERNANDO VILLASENOR,4.42,5
DR KEITH DAWSON,4.42,5
DR MANDEEP SAINI,6.01,2
DR NADER SHARIFI,3.01,4
DR ROBERT LABINE,4.04,7
DRAEGER,10.19,24
DRAGAGE IM,5.29,12
DRAGAGE OCEAN DSM,8.76,15
DRAPEAUX ET BANNIERES L ETENDARD,5.08,11
DRASTIC FISHERIES,0.88,3
DSS MARINE,2.78,31
DST CONSULTING ENGINEERS,5.3,227
DUVALTEX CANADA,4,35
DWP SOLUTIONS,5.5,11
DXB PROJECT MANAGEMENT,8.53,1
DYMECH ENGINEERING,4.68,22
DYNABOOK CANADA,3.01,188
DYNACARE,5.5,144
DYNAMIC ASPHALT SERVICES,0.2,4
DYNAMIC CONSTRUCTION,1.08,10
DYNAMIC FACILITY SERVICES,3.91,11
DYNAMIC PERSONNEL CONSULTANTS,4.75,203
DYNAMITE CONSTRUCTION,0.86,4
E CONSTRUCTION,1.46,44
E D BRUNET ET ASSOCIES CANADA,5.16,1
E STAR INTERNATIONAL,0.91,2
EAGLE BEACH CONTRACTORS,1.56,5
EAGLE PROFESSIONAL RESOURCES,5.23,37
EASTPOINT ENGINEERING,9.79,178
EASTWAY CONTRACTING,3.13,33
EBC,3.92,5
EBERHARD VON HUENE ASSOCIATES,1.71,57
EBSCO CANADA,6.01,335
ECLIPSYS SOLUTIONS,6.01,379
ECO TECHNOLOGIES,2.16,70
ECOLE DE LANGUES ABCE,4.5,569
ECOLE DE LANGUES EAGLE,4.03,221
ECOLE DE LANGUES LA CITE,4.91,384
ECONOMIST INTELLIGENCE UNIT,3,7
ECOPIA TECH,1.67,6
EDMONDS LANDSCAPE AND CONSTRUCTION,3.43,26
EDWARD COLLINS CONTRACTING,1.83,16
EFCO ENTERPRISES,3,80
EFFIGIS GEO SOLUTIONS,5.01,32
EIFFAGE INNOVATIVE CANADA,3.05,8
EILEEN ROOFING,1.1,5
EKOS RESEARCH ASSOCIATES,1.86,108
EL DORADO ENGINEERING,7.73,2
ELBIT SYSTEMS,7.2,17
ELEMENTAL DATA COLLECTION,3.67,10
ELITE ENVIRONMENTAL GROUP,2,127
ELIZABETH FRY SOCIETY,8.01,29
ELLICE RECYCLE,4.12,2
ELLISDON,9.83,28
ELSEVIER,4.75,137
