d_vendor_name,total_amendment_increase_value,n
AKM GROUP,339000.00,1
ALBERTA SEVENTH STEP SOCIETY,6737981.14,2
ALCAIDE WEBSTER ARCHITECTS,969673.77,11
ALDRICH PEARS ASSOCIATES,379408.05,2
ALGONQUIN COLLEGE,3202595.96,10
ALIKA INTERNET TECHNOLOGIES,1117457.02,3
ALINEA INTERNATIONAL,-18672.12,1
ALIVAKTUK CONSULTING,4882503.15,4
ALLEN HASTINGS,201997.89,4
ALLIANCE ENERGY,2803744.41,3
ALLIANCE ENGINEERING CONSTRUCTION,458354.43,2
ALLIED CONTAINER SYSTEMS,-4449128.51,1
ALLIED PAVING,-988469.37,1
ALLIED SHIPBUILDERS,9477241.55,12
ALLSEATING,3757.26,3
ALPINE AEROTECH,0.00,4
ALPINE HELICOPTERS,167619.16,11
ALS CANADA,4566968.08,25
ALTERNATIVE CONCRETE TECHNOLOGIES,247463.37,1
ALTIS HUMAN RESOURCES,45887410.03,354
ALTO CONSTRUCTION,60551.51,1
ALVA CONSTRUCTION,1299234.56,6
AMAZON,32068462.44,26
AMD MEDICOM,41124.52,2
AMDOCS,1490000.00,1
AMEC CONSTRUCTION,594656.82,2
AMERESCO CANADA,220989609.64,10
AMERICAN BUREAU OF SHIPPING,-258631.73,11
AMERICAN CHEMICAL SOCIETY,-245356.38,7
AMEX BANK OF CANADA,56500.00,2
AMRON CONSTRUCTION,-490163.97,7
AMS IMAGING,198955.08,8
AMTECH AERONAUTICAL,-47250.00,1
AMTEK ENGINEERING,4603892.26,22
ANALYTICAL GRAPHICS,1165395.21,10
ANCHOR QEA,3666666.67,1
ANIXTER,60722.51,10
ANSYS CANADA,317068.89,8
ANTHONY MACAULEY ASSOCIATES,321704.45,1
ANTONIANI LAW PROFESSIONAL,4507425.25,1
AON REED STENHOUSE,9055539.72,26
APEX STEEL GAS,24300.00,2
APICA MEDICAL SERVICES,2182339.11,2
APOTEX,-317227.82,1
APPAREL TRIMMINGS,8789444.82,17
APPLIED ELECTONICS,17260999.99,25
APPTION,7708470.71,7
APRON FUEL SERVICES,-4860454.29,8
APS AVIATION,5046188.57,2
AQUA GUARD SPILL RESPONSE,2430746.58,2
AQUA LUNG CANADA,-83009.68,9
AQUATIC INFORMATICS,3360946.37,7
ARCADIS CANADA,7682981.25,87
ARCHITECTURE 49,23406123.45,79
ARCHITECTURE EVOQ,95825382.30,22
ARCTIC CANADA CONSTRUCTION,1539078.35,4
ARI FINANCIAL SERVICES,1389895.12,94
ARISGLOBAL,3054540.02,3
ARMSERV CONTRACTING,208822.78,2
ARRM ELECTRIC,593742.98,3
ARTEMP PERSONNEL SERVICES,4819246.85,69
ARTEX SPORTSWEAR,3534613.53,7
ASBEX,2632861.67,20
ASC GERMANY,31451.39,2
ASML US,87487.60,1
ASOKAN BUSINESS INTERIORS,1234212.22,13
ASPEN PHARMACARE CANADA,-1723664.24,1
ASSOCIATED ENGINEERING,8056577.53,37
ASSOCIATION CANADIENNE POUR LA SANTE MENTALE SECTION SAGUENAY,3702917.34,2
ATCO,-59338123.52,90
ATIRA WOMENS RESOURCE SOCIETY,2498728.50,2
ATKINSON CONSTRUCTION,-4404.28,1
ATLANTIC BUSINESS INTERIORS,941466.72,8
ATLANTIC HUMAN SERVICES,5049081.79,2
ATLANTIC ROAD CONSTRUCTION AND PAVING,1397216.05,3
ATLANTIC ROOFERS,30103.55,5
ATLANTIC TOWING,19759300.00,1
ATLANTICA MECHANICAL CONTRACTORS,542277.64,8
ATS SERVICES,1275886.57,12
ATS TRAFFIC ALBERTA,1611451.74,2
ATWILL MORIN,3917493.07,7
AV TECH,574305.33,17
AVALERION,0.00,3
AVENAI,1174498.26,4
AVI SPL,335037.45,40
AVJET HOLDING,102328.82,9
AVMAX AVIATION SERVICES,21239.60,4
AVONDALE CONSTRUCTION,3273991.92,11
AXYS TECHNOLOGIES,2466827.71,10
AZIMUTH CONSULTING GROUP,1021347.26,3
B BRAUN OF CANADA,607940.00,1
B L ASSOCIATES,1445848.27,1
B R ENTERPRISES,763193.55,9
B T L CONSTRUCTION,31557981.16,1
BABCOCK INTERNATIONAL GROUP,535473051.95,3
BABEL STREET,2592073.22,1
BAE SYSTEMS,300001.87,3
BAHLER BIOGAZ,95097.53,1
BAJA CONSTRUCTION CANADA,145502.74,7
BALODIS,-123812.51,2
BANCTEC CANADA,15836695.53,3
BANFIELD SEGUIN,10826655.18,9
BARDON SUPPLIES,37046.02,5
BARGREEN ELLINGSON,2732385.40,16
BARR ENGINEERING AND ENVIRONMENTAL,746290.94,7
BARRIE MACKAY CONTRACTING,2117254.95,2
BARRON S REFRIGERATION HEATING,106348.47,6
BARRY S BULLDOZING,240796.75,4
BARTA MACHINE,4450890.00,1
BAVARIAN NORDIC,-1817103.00,1
BAXTER,580255.00,1
BAY CONSTRUCTION MANAGEMENT,829510.03,6
BAYSHORE HEALTHCARE,8641117.01,37
BC BORSTAL ASSOC,4141722.49,1
BC HYDRO,25638.19,13
BDO CANADA,22894826.01,100
BEAUDOIN CANADA,2945943.44,2
BEAVER AIR CHARTER CONSULTANTS,40478.13,16
BECKMAN COULTER CANADA,223655.91,7
BEE CLEAN BUILDING MAINTENANCE,508503.94,20
BELL AND HOWELL CANADA,4124732.79,7
BELL CANADA,2240543327.82,283
BELL TEXTRON,8700772.48,20
BENNETT S CONSTRUCTION SUPPLIES,-111707.77,6
BERGEVIN ELECTRICAL CONTRACTING,698242.06,1
BERLITZ CANADA,449681.63,47
BERVIN CONSTRUCTION,1808084.25,5
BEST SERVICE PROS,-31858.98,7
BEVA GLOBAL MANAGEMENT,555213.47,12
BGLA,4465415.33,9
BIGHORN CONSTRUCTION,1145906.01,8
BIGHORN HELICOPTERS,953646.05,12
BIO NUCLEAR DIAGNOSTICS,-3692990.57,2
BIO RAD LABORATORIES CANADA,20116.88,6
BIOMERIEUX CANADA,7180840.11,11
BIRD CONSTRUCTION COMPANY,3096760.32,4
BIRTZ BASTIEN ARCHITECTES,2728032.25,4
BISSON FORTIN ARCHITECTURE,2542130.78,12
BLACK DIAMOND PARTNERSHIP,1931742.31,6
BLACK MCDONALD,19207777.60,76
BLACKBERRY,1531245.45,8
BLOOMBERG FINANCE L P,1257042.49,13
BLUEDOT,1377032.50,3
BLUEDROP TRAINING SIMULATION,23466.98,1
BLUEWAVE ENERGY,-302951.73,36
BLUMETRIC ENVIRONMENTAL,16169172.36,36
BMC SOFTWARE,3543213.87,4
BMC SOFTWARE CANADA,61629495.74,15
BMT FLEET TECHNOLOGY,774996.49,7
BOEHM HOTEL,-17151.24,1
BOLESS,11134261.53,4
BOLLORE LOGISTICS,10128.18,5
BOMBARDIER,17264341.71,8
BOMIMED,322766.99,1
BOUTHILLETTE PARIZEAU,2141191.22,26
BOYD MOVING STORAGE,79219.90,6
BRAGG COMMUNICATIONS,24411924.68,2
BRANDT TRACTOR,3499.25,1
BRAWN CONSTRUCTION,1970684.20,6
BRECKENHILL,556077.38,12
BREMNER ENGINEERING AND CONSTRUCTION,100235.51,2
BRETON MICHEL MD,12716721.03,9
BRIAN G INNES SCHOUTEN EXCAVATING,209551.72,1
BRIDGES OF CANADA,2458436.44,6
BRILUN CONSTRUCTION,2573410.75,8
BRIQUETAL,4893143.47,4
BRITTON ELECTRIQUE,477302.40,1
BROADNET TELECOM,1824270.24,7
BROADWATER INDUSTRIES,976149.30,3
BRONSWERK MARINE,-5400806.92,7
BRONTE CONSTRUCTION,23572553.39,1
BROOK CONSTRUCTION,496988.72,4
BROOKFIELD ASSET MANAGEMENT,15759.70,2
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2717040882.26,21
BROOKS CORNING COMPANY,111619.23,3
BRS INNOVATIONS,4704600.90,5
BRUKER,541242.11,8
BUDGELL S EQUIPMENT RENTALS,15107.00,2
BUILDON CONSTRUCTION,210430.61,4
BULLDOG CONTRACTING,1513647.00,3
BUREAU NATHALIE,3243277.00,3
BUREAU VERITAS,11151842.01,76
BURSEY EXCAVATING DEVELOPMENT,748336.51,7
BUTTCON,14341974.09,4
C CORE,424299.13,8
C D NOVA TECH,975330.12,1
C2D SERVICES,2540955.15,1
CA,1641701.28,2
CACHE COMPUTER CONSULTING,60843339.79,117
CADEX,-1808000.00,1
CAE,403587541.03,14
CAHILL,-14117.20,2
CALIAN,413237252.92,468
CALKO GROUP,4815062.52,2
CALTRIO COMPANY,6281120.06,9
CALYTERA SOFTWARE,968483.76,2
CAMPBELL DRUG STORES,0.00,1
CAMPBELL SCIENTIFIC CANADA,3012887.53,13
CAN AM PLATFORMS CONSTRUCTION,5253539.57,4
CAN TEC SERVICES,211211.70,6
CANADA COACH LINES GROUP,3146827.85,1
CANADA FBM 2020,801414.97,1
CANADA FRANCE HAWAII TELESCOPE,410911.85,4
CANADA POST,13619865.98,40
CANADENSYS AEROSPACE,223304.47,3
CANADIAN BANK NOTE COMPANY,270576145.22,10
CANADIAN BASE OPERATORS,197853.77,46
CANADIAN BORDER OPERATIONS,68660259.41,1
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,8857895.00,1
CANADIAN CORPS OF COMMISSIONAIRES,71871783.32,1369
CANADIAN DEVELOPMENT CONSULTANTS,1492418.18,15
CANADIAN FISHING COMPANY,1214382.96,1
CANADIAN HEALTH CARE AGENCY,0.00,2
CANADIAN HELICOPTERS,9865086.42,27
CANADIAN LEASEBACK,4085719.55,23
CANADIAN MARITIME ENGINEERING,7215075.73,51
CANADIAN NORTH,350427.53,4
CANADIAN NUCLEAR LABORATORIES,29380.00,2
CANADIAN PAEDIATRIC SOCIETY,14093836.36,3
CANADIAN RED CROSS,75309827.81,7
CANADIAN STANDARDS ASSOCIATION,-134869.44,13
CANADYNE TECHNOLOGIES,5762195.35,3
CANDESTO ENTERPRISES,1228501.23,1
CANMEC,-36566.15,1
CANON,1761911.68,138
CANSEL SURVEY EQUIPMENT,14811.37,2
CANTEC SYSTEMS,-9896.96,3
CANTEX OKANAGAN CONSTRUCTION,323137.50,2
CARAHSOFT TECHNOLOGY,5134369.91,28
CARDINAL HEALTH CANADA,68794.84,3
CARLETON ELECTRIC,840794.53,5
CARLETON LIFE SUPPORT SYSTEMS,-12.60,2
CARLETON UNIVERSITY,2521859.31,16
CARMACKS ENTERPRISES,1306714.50,1
CARMICHAEL ENGINEERING,3345181.44,14
CARO ANALYTICAL SERVICES,-81861.39,6
CARON PROFESSIONAL LINGUISTIC,231801.30,30
CARSWELL,201655.28,2
CAS ELL STRUCTURES,2797.49,17
CASCADE AEROSPACE,625829963.80,4
CASP AEROSPACE,12418286.10,2
CASSELMAN WOODCRAFT,2600.00,45
CATHOLIC SOCIAL SERVICES,13246080.55,5
CBC,344373.15,2
CBCI TELECOM,776148.78,39
CBCL,5551619.94,44
CCM CONSTRUCTION,683236.14,2
CCR CONSTRUCTION,8372157.87,3
CDCI RESEARCH,2055572.33,19
CDW CANADA,61167126.01,127
CEGERCO,299365.42,1
CELEB CONSTRUCTION,14733617.54,5
CELLEBRITE,3221379.58,3
CENTRE RESIDENTIEL COMMUNAUTAIRE JOLIETTE LANAUDIERE,4478190.46,2
CENTURY GROUP,186196.47,3
CEPHEID,2625.00,1
CERIDIAN,23447204.27,3
CGI,129666536.63,131
CH2M HILL CANADA,1543175.16,3
CHANDOS CONSTRUCTION,-7558777.47,6
CHANNEL MANAGEMENT INTERNATIONAL,5958240.49,6
CHANTIER DAVIE CANADA,363760391.00,6
CHANTIER NAVAL FORILLON,27140885.40,2
CHARRON HUMAN RESOURCES,2577134.81,17
CHARTER TELECOM,17092222.54,2
CHEMICAL ABSTRACTS SERVICE,2543700.48,2
CHEVRON,-54578.58,1
CHIMO CONSTRUCTION,253515.32,1
CHRISTIAN LAROCQUE SERVICES,621525.77,5
CHRONO AVIATION,15337.72,3
CHU SAINTE JUSTINE,7492100.83,7
CHUBB EDWARDS,2675835.36,28
CIMA,8156485.14,55
CIRCLE OF EAGLES LODGE SOCIETY,7069763.11,2
CISION CANADA,3502113.24,41
CISTEL TECHNOLOGY,74544524.14,95
CITRIX,9448079.19,6
CIVIL UNDERGROUND EXCAVATION,262619.12,1
CLARIANT CANADA,4486.90,8
CLEAN WORKS,1128602.21,2
CLEANMATTERS JANITORIAL SERVICES,8113438.75,6
CLEARWATER STRUCTURES,1190376.77,2
CLERMARK,2734646.65,3
CLICK NETWORKS,21912021.37,18
CLOSEREACH,12080914.96,37
CO VEN,3636905.00,1
COADY CONSTRUCTION EXCAVATING,2025374.30,7
COASTAL RESTORATION MASONRY,4048764.87,9
COCO PAVING,80332.39,3
COFOMO,109376287.02,253
COLLIERS PROJECT LEADERS,132890646.08,78
COLOGIX,4992018.80,1
COLT CANADA,147575.40,9
COLUMBIA FUELS,17381.84,3
COMBAT NETWORKS,35426712.85,69
COMMPOWER,1845110.40,2
COMMUNICATIONS POWER,1751419.71,2
COMMUNITECH,2190392.05,1
COMMVAULT SYSTEMS,16084695.55,5
COMNET NETWORKS AND SECURITY,25816.21,1
COMPAGNIE AMPLEXOR CANADA,930900.16,12
COMPOSITION STE FOY,1320255.74,7
COMPUCOM CANADA,1913181.21,34
COMPUGEN,5890766.33,44
COMPUTER ASSOCIATES CANADA,38165121.09,3
COMPUTERSHARE INVESTOR SERVICES,-51220334.72,2
CON PRO INDUSTRIES CANADA,4274498.52,11
CONCEPT CONTROLS,839875.67,4
CONEXSYS,943732.24,11
CONFECTION AVENTURE,394720.00,1
CONFERENCE BOARD OF CANADA,561075.05,13
CONNECTIVE SUPPORT SOCIETY,44341.50,1
CONNEX TELECOMMUNICATIONS,1167936.55,4
CONOSCENTI TECHNOLOGIES,4088723.45,8
CONSORTIUM OF CARE CANADA,455569.69,1
CONSTRUCTION BLANCHARD ET,471546.86,1
CONSTRUCTION BUGERE,1740554.38,8
CONSTRUCTION COTE FILS,130485.78,1
CONSTRUCTION CYBCO,12385652.93,5
CONSTRUCTION DEMATHIEU BARD,29065779.20,6
CONSTRUCTION DERIC,6420454.59,11
CONSTRUCTION IRENEE PAQUET FILS I,887660.42,3
CONSTRUCTION J R SAVARD,2696965.03,2
CONSTRUCTION JESSIKO,793761.36,4
CONSTRUCTION LFG,9085772.12,12
CONSTRUCTION RIC,1001307.03,1
CONSTRUCTION SIMDEV,1240569.63,2
CONSTRUCTION SOCAM,1188353.28,1
CONSTRUCTIONS BSL,1400465.77,6
CONSTRUCTIONS RENAUD VIGNEAU,117190.54,5
CONTRACT COMMUNITY,2884443.15,31
CONTROLLED ENVIRONMENTS,-10500.00,1
CONTROLS EQUIPMENT,822503.25,13
CONVERGINT TECHNOLOGIES,-1126323.98,18
CONVERSART CONSULTING,88940.22,12
COPCAN CIVIL,1479209.29,6
COPCAN CONTRACTING,-110671.00,4
CORADIX TECHNOLOGY CONSULTING,80657970.90,248
CORBEL MANAGEMENT,7795687.61,3
CORCAN,-12647.55,3
CORNERSTONE COMM ASSOC DURHAM,4984332.70,2
CORPORATION DU FORT ST JEAN,334959804.64,1
CORPORATION PROFESSIONNELLE DR SERGE LANDRY PROFESSIONAL,3587951.22,1
CORRECTIONAL SERVICES OF CANADA,-19850.24,1
COSSETTE COMMUNICATIONS,170868479.38,118
COTTON CANDY MISSISSAUGA,34065.34,4
COUGAR ENGINEERING CONSTRUCTION,797894.07,2
COUPLAND KRAEMER ARCHITECTURE,1194664.60,15
COUVERTURE MONTREAL NORD,324476.07,3
COVERTITE EASTERN,297952.02,3
COWATERSOGEMA,-10922924.01,3
COWI NORTH AMERICA,315218.40,3
CPCS TRANSCOM,655083.67,5
CRANDALL ENGINEERING,8376485.57,17
CRC CURE LABELLE,5900764.13,2
CRC D ATNQ,4886575.59,4
CRESTLINE COACH,781695.90,1
CRUICKSHANK CONSTRUCTION,3276406.89,4
CSDC SYSTEMS,1531422.22,17
CSI CONSULTING,982516.78,8
CSI LEASING CANADA,330290.03,10
CTOMS,0.00,1
CUBE CONSTRUCTION,358688.57,3
CUBIC DEFENSE APPLICATIONS,32203689.11,1
CULLEN DIESEL POWER,10203.99,5
CUMMINS CANADA,1369945.36,19
CUSTOM HELICOPTERS,45773.16,7
CWP CONSTRUCTORS,1128351.98,7
CYMI CANADA,3335828.22,1
CYTELLIGENCE,0.00,1
D BREAU ET FILS,387897.19,1
D DOYLE INSTALLATIONS,948982.34,16
D F BARNES,1061581.63,2
D F S,15404730.34,27
D H PARTNERSHIP,681369396.35,2
D MARK BIOSCIENCES,137860.00,1
D2L,10144219.61,2
D4IS SOLUTIONS,4070435.29,11
DADS,161775.62,22
DAIMLER,0.00,1
DALCON CONSTRUCTORS,-1117345.14,5
DALHOUSIE UNIVERSITY,-395710.48,10
DALIAN ENTERPRISES,22842016.33,75
DANIEL CREPEAU,1716919.25,9
DARE HUMAN RESOURCES,-208021.04,34
DASCO EQUIPMENT,202281.64,14
DASCO STORAGE SOLUTIONS,1401.49,4
DATA CENTRE INTELLIGENCE,1901426.39,2
DATA COMMUNICATIONS MANAGEMENT,813954.13,9
DATA REPRO COM,1127383.63,3
DATIFEX,100062.01,1
DATUM MARINE SERVICES,3479629.38,2
DAVID S LAFLAMME CONSTRUCTION,1065134.59,2
DAVTAIR INDUSTRIES,498852.50,1
DAWSON CONSTRUCTION,3635613.82,6
DBC MARINE SAFETY SYSTEMS,196380.44,2
DCL CONSTRUCTION SERVICES,581913.23,6
DE ANGELIS CONSTRUCTION,8660748.97,1
DEAN CONSTRUCTION COMPANY,159901.17,1
DECISIVE GROUP,9708660.11,40
DEFENCE CONSTRUCTION CANADA,376512.49,2
DEFENSE INFORMATION SYSTEMS AGENCY,196559.00,1
DEFRAN,1271921.52,10
DELCO AUTOMATION,1209616.18,13
DELL COMPUTER,15328791.10,71
DELOITTE,294229058.03,224
DELTA PHOTONICS,379646.96,2
DEVLIN CONSTRUCTION,1466933.05,1
DEW ENGINEERING,-48272962.36,15
DEXTER CONSTRUCTION,5753165.26,32
DEXTERRA,9297683.26,13
DF BARNES SERVICES,2592791.34,9
DHL EXPRESS CANADA,1261501.16,9
DIAMOND AND SCHMITT ARCHITECTS,35047994.42,5
DILIGENS,2424857.67,2
DILLON CONSULTING,7800669.31,125
DIRECT ENERGY BUSINESS,2057797.70,17
DISMAS SOCIETY,5554213.60,2
DLS TECHNOLOGY,775353.11,10
DMTI SPATIAL,648868.86,3
DNR CONSULTING GROUP,0.00,3
DO ALL CONSTRUCTION,404335.21,3
DOLOMITE NETWORKS,3507216.61,8
DOLYN CONSTRUCTION,107620.58,1
DOMINION CONSTRUCTION,-130169.08,1
DOMUS BUILDING CLEANING,15343937.24,3
DON SAYWELL DEVELOPMENTS,0.00,1
DONALD J FRASER,4002647.35,1
DONALD SERVANT ELECTRIC,645796.01,4
DONNA CONA,84254835.17,138
DR DAVID LESAGE,2161258.20,4
DR FERNANDO VILLASENOR,2204229.60,3
DR MANDEEP SAINI,2500000.00,1
DR NADER SHARIFI,2114244.60,3
DR S ISKANDER,3500000.00,2
DRAEGER,39084.55,2
DRAGAGE IM,-6987207.34,6
DRAGAGE OCEAN DSM,3474084.17,10
DRAPEAUX ET BANNIERES L ETENDARD,2887743.25,1
DRASTIC FISHERIES,414000.00,1
DREAM OFFICE,1481093.67,6
DSS MARINE,5364751.24,5
DST CONSULTING ENGINEERS,1921922.09,33
DSV,-6182.99,12
DUFFERIN CONSTRUCTION COMPANY,413663.96,2
DWP SOLUTIONS,17818481.06,8
DXB PROJECT MANAGEMENT,5710404.60,1
DYMECH ENGINEERING,66863.80,2
DYNABOOK CANADA,11561167.14,19
DYNACARE,91101452.95,30
DYNAMIC CONSTRUCTION,-254742.28,3
DYNAMIC FACILITY SERVICES,840379.49,5
DYNAMIC PERSONNEL CONSULTANTS,2836889.45,84
DYNAMITE CONSTRUCTION,539113.58,2
E CONSTRUCTION,382463.44,3
E D BRUNET ET ASSOCIES CANADA,10068104.90,1
EAGLE PROFESSIONAL RESOURCES,17726001.53,21
EAST ELGIN CONCRETE FORMING,523933.53,5
EASTPOINT ENGINEERING,2091356.01,56
EASTWAY CONTRACTING,-41643.87,4
EBC,2386066.44,2
EBERHARD VON HUENE ASSOCIATES,74682.13,3
EBSCO CANADA,14360605.27,32
ECLIPSYS SOLUTIONS,28315534.42,56
ECO TECHNOLOGIES,-402421.92,8
ECOLE DE LANGUES ABCE,716859.41,75
ECOLE DE LANGUES EAGLE,223024.28,30
ECOLE DE LANGUES LA CITE,4369555.71,63
EDWARD COLLINS CONTRACTING,848733.59,3
EFFIGIS GEO SOLUTIONS,-16082.70,1
EIFFAGE INNOVATIVE CANADA,3359131.08,5
EKOS RESEARCH ASSOCIATES,92464.73,9
ELBIT SYSTEMS,8697888.40,1
ELEMENTAL DATA COLLECTION,1033231.67,2
ELITE ENVIRONMENTAL GROUP,125003.28,5
ELIZABETH FRY SOCIETY,32835750.60,15
ELLICE RECYCLE,1614205.28,2
ELLISDON,548172444.04,18
ELSEVIER,8296138.48,28
EMCEE CONSTRUCTION AND MANAGEMENT,1279659.18,2
EMCON SERVICES,5059886.87,28
EMERGENCY MEDICAL TECHNOLOGY,3163097.92,1
EMERGENT BIOSOLUTIONS,23484365.69,4
EMIL ANDERSON CONSTRUCTION,1981649.72,4
EMMANUEL CONSTRUCTION SERVICES,1972881.48,5
EMMONS MITCHELL CONSTRUCTION,3382936.63,10
EMPOWERED NETWORKS,10747974.63,12
EMS TECHNOLOGIES,131495543.61,3
EMTEC,3342984.20,12
ENERGERE CONSULTANTS,11333357.83,3
ENGLOBE,16219821.80,121
ENMAX,5103991.85,12
ENTREPRISE CLAVEAU,713558.14,1
ENTREPRISE DE CONSTRUCTION T E Q,4181094.63,1
ENTRUST,832379.27,9
ENVELOPPE CONCEPT,651962.32,5
ENVIRONICS RESEARCH GROUP,-59916.22,10
ENVIROSAFE JANITORIAL,348663.97,7
ENVIROSERVICES,540025.81,15
EPERFORMANCE,2298619.84,8
EPIK TAAHHUT SANAYI IC VE DIS,114045.08,1
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,2994863.20,2
ERNST YOUNG,27623334.15,120
ESBE SCIENTIFIC INDUSTRIES,876076.94,6
ESRI,4113007.17,25
ETHIOPIAN AIRLINES GROUP,0.00,1
EUROVIA QUEBEC CONSTRUCTION,3214549.17,2
EVALUATION PERSONNEL,505907.23,5
EVALUATION PERSONNEL SELECTION,1818456.86,24
EVEREST CONSTRUCTION MANAGEMENT,1177379.00,3
EVOLUTION ROOFING,609646.22,1
EVOLVECOMP CONSTRUCTION,1177239.59,1
EVRIPOS JANITORIAL SERVICES,4294013.31,7
EXACT LEGAL TRANSLATIONS,777756.62,6
EXCAVATION LOISELLE,1010840.14,2
EXCAVATION RENE ST PIERRE ENG,1173827.38,1
EXCAVATIONS DARCHE,300378.64,3
EXCEL 7,0.00,1
EXCEL HUMAN RESOURCES,110836637.08,689
EXIT CERTIFIED,11306.92,5
EXP ARCHITECTS,1137570.63,10
EXP SERVICES,1598900.15,35
EXTRON ELECTRONICS RGB SYSTEMS,-90797.76,2
EXXONMOBIL,10213.72,3
F M INSTALLATIONS,361282.36,2
FACCA,1857703.28,2
FACTIVA,3749017.13,8
FAIRBANKS MORSE ENGINE,1725248.60,40
FARMER CONSTRUCTION,249227.48,17
FAST FORWARD FRENCH,619429.94,89
FAST TRACK STAFFING,298386.23,22
FASTENAL,17197.45,4
FCA CANADA,1852032.42,50
FDF GROUP,-18103.05,3
FEAST INTERACTIVE,4123719.77,5
FEDERAL EXPRESS CANADA,294716.37,12
FEDERAL FLEET SERVICES,258250690.31,1
FELIX TECHNOLOGY,2581796.27,28
FERENCE COMPANY CONSULTING,248113.93,9
FFG,62281144.31,12
FIA GROUP,2442692.12,5
FIDELITY ENGINEERING CONSTRUCTION,655842.31,2
FIELD AVIATION COMPANY,12337.50,3
FINNING INTERNATIONAL,-872548.91,9
FIRST AIR,2804559.78,3
FIRST PEOPLES INFRA,275754.18,2
FIRSTCHOICE GROUP CANADA,-25301.60,1
FISH FOOD AND ALLIED WORKERS,111446.41,5
FISHER PAYKEL HEALTHCARE,2626625.11,2
