d_vendor_name,mean_amendment_increase_percentage,n
ABB,0.7779,23
ABBOTT,1.1286,4
ABCO MAINTENANCE SYSTEMS,0.006,5
ACADIAN CONSTRUCTION 1991,0.0319,2
ACADIAN DREDGING,-0.1373,12
ACADIAN MARINE DIVING,0.401,2
ACART COMMUNICATIONS,22.6115,6
ACCENTURE,5.0967,41
ACCESS 2 NETWORKS,1.1419,11
ACKLANDS GRAINGER,0.1714,16
ACME FUTURE SECURITY CONTROLS,0.6973,19
ACOSYS CONSULTING SERVICES,1.4209,31
ACOSYS CONSULTING SERVICES PRICEWATERHOUSE COOPERS,4.2585,11
ACRES ENTERPRISES,0.0536,3
ACT,0.3882,22
ACTION EXPRESS,0.5731,1
ACTION PERSONNEL OF OTTAWA HULL,1.4847,24
ADGA GROUP,1.9122,80
ADOBE,3.5325,9
ADOR TECH,0.5051,3
ADPEARL,2.9402,4
ADRM TECHNOLOGY AND RANDSTAD IN JV,1.6265,5
ADRM TECHNOLOGY CONSULTING,1.0847,170
ADSS,0.2864,5
ADSS 6175015 CANADA,0.1008,2
ADVANCED BUSINESS INTERIORS,0.2431,56
ADVANCED CHIPPEWA TECHNOLOGIES,0.7181,86
ADVANCED ENERGY MANAGEMENT,0.5328,9
ADVANCED PARAMEDIC,2.6404,3
ADVANIS JOLICOEUR,2.2737,1
AECOM,2.1686,164
AEG FUELS,-0.0951,11
AEREX AVIONICS,0.0852,3
AERO FEU,-0.072,5
AERO SUPPLIES,0.0397,22
AEROPORT DE QUEBEC,4.2612,1
AEROPORTS DE MONTREAL,2.7182,1
AEROPRO,2.3409,5
AFC INDUSTRIES,0.5177,2
AFN ENGINEERING,0.5047,54
AG CREATIONS,0.0974,4
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,7.572,1
AGILEC,2.2063,4
AGILENT,0.8729,59
AHS COMMUNITY INDUSTRIES,4.6046,4
AIM HEALTH GROUP,1.4166,10
AIM SUPPLY,0.68,4
AINSWORTH,0.5826,26
AIR BRAVO,0.1973,2
AIR INDIA,0.0845,1
AIR INUIT,1.0037,3
AIR LIQUIDE CANADA,0.4353,57
AIR PRODUCTS CANADA,0.5471,31
AIR TINDI,0.7251,10
AIRBORNE SYSTEMS,0.5114,1
AIRBUS,0.6188,29
AIRCRAFT APPLIANCES AND EQUIPMENT,3.5526,1
AIRPORT TECHNOLOGIES,0.2097,4
AIRSIDE PROPERTIES,37.6568,1
AKM GROUP,0.1022,2
ALBERTA SEVENTH STEP SOCIETY,3.1052,2
ALCAIDE WEBSTER ARCHITECTS,0.385,12
ALGONQUIN COLLEGE,0.6804,13
ALIKA INTERNET TECHNOLOGIES,2.0563,4
ALINEA INTERNATIONAL,-0.1281,3
ALIVAKTUK CONSULTING,1.2087,4
ALLEN HASTINGS,0.0216,4
ALLIANCE ENERGY,0.139,3
ALLIANCE ENGINEERING CONSTRUCTION,0.3242,4
ALLIED PAVING,-0.0654,1
ALLIED PROJECTS,-0.2484,2
ALLIED SHIPBUILDERS,0.3797,12
ALLSEATING,1.0774,4
ALPHA CONSTRUCTION,0.1554,3
ALPINE AEROTECH,0,4
ALPINE HELICOPTERS,1.5202,13
ALS CANADA,0.3662,30
ALTIS HUMAN RESOURCES,1.2644,388
ALVA CONSTRUCTION,0.0634,6
AMAZON,7.1008,36
AMD MEDICOM,0.001,2
AMDOCS,1.4994,2
AMERESCO CANADA,58.4807,10
AMERICAN BUREAU OF SHIPPING,-0.0121,11
AMERICAN CHEMICAL SOCIETY,1.3834,7
AMEX BANK OF CANADA,0.2825,2
AMRON CONSTRUCTION,-0.1975,9
AMTECH AERONAUTICAL,0.1604,3
AMTEK ENGINEERING,1.0628,22
ANALYTICAL GRAPHICS,1.6075,11
ANCHOR QEA,0.3946,2
ANGUS CONSULTING MANAGEMENT,0.5913,1
ANIXTER,0.0969,11
ANSYS CANADA,1.211,10
ANTHONY MACAULEY ASSOCIATES,1,1
ANTONIANI LAW PROFESSIONAL,12.3659,1
AON REED STENHOUSE,3.8466,27
APEX STEEL GAS,0.6234,2
APICA MEDICAL SERVICES,1.0074,3
APOTEX,-0.9414,1
APPAREL TRIMMINGS,1.1215,17
APPLIED ELECTONICS,1.4792,32
APPTION,2.2365,8
APRON FUEL SERVICES,0.0191,8
APS AVIATION,2.2276,2
AQUA GUARD SPILL RESPONSE,0.8241,2
AQUA LUNG CANADA,-0.0533,10
AQUA POWER CLEANERS 1979,2.0995,1
AQUATIC INFORMATICS,9.894,7
ARA ROBOTIQUE ARA ROBOTIC IN,0.031,1
ARAL CONSTRUCTION 2014,0.1739,5
ARCADIS CANADA,1.8267,107
ARCHITECTURE 49,1.1204,83
ARCHITECTURE EVOQ,0.8656,24
ARCTIC CANADA CONSTRUCTION,0.2944,4
ARI FINANCIAL SERVICES,1.5285,114
ARISGLOBAL,2.775,3
ARMSERV CONTRACTING,0.0447,2
ARNASON INDUSTRIES,0.1797,1
ARRM ELECTRIC,0.274,3
ARROW HELICOPTERS,2.2084,18
ARTEMP PERSONNEL SERVICES,1.1774,75
ARTEX SPORTSWEAR,1.1007,9
ARUP CANADA,0.1623,1
ASBEX,0.5455,22
ASC GERMANY,0.077,3
ASL PAVING,0.06,1
ASML US,1.7738,1
ASOKAN BUSINESS INTERIORS,0.1201,16
ASPEN PHARMACARE CANADA,-0.3498,1
ASSOCIATED ENGINEERING,1.0796,42
ASSOCIATION CANADIENNE POUR LA SANTE MENTALE SECTION SAGUENAY,6.4073,2
ATCO,0.4086,115
ATIRA WOMENS RESOURCE SOCIETY,2.1348,3
ATKINSON CONSTRUCTION,0.0128,2
ATLANTIC BUSINESS INTERIORS,0.2522,8
ATLANTIC HUMAN SERVICES,3.4276,2
ATLANTIC ROAD CONSTRUCTION AND PAVING,0.1308,3
ATLANTIC TOWING,0.033,2
ATLANTICA MECHANICAL CONTRACTORS,0.1893,9
ATS SERVICES,0.4724,13
ATS TRAFFIC ALBERTA,1.1834,2
ATWILL MORIN,0.2385,8
AV TECH,1.5327,20
AVALON HOLOGRAPHICS,0,1
AVENAI,0.2899,4
AVI SPL,0.132,49
AVJET HOLDING,0.0904,13
AVMAX AVIATION SERVICES,1.0532,5
AVONDALE CONSTRUCTION,0.2054,12
AXA ASSISTANCE CANADA,1.25,1
AXON,0,2
AXT TONGMEI,0.5556,1
AXYS TECHNOLOGIES,3.1118,10
AZIMUTH CONSULTING GROUP,2.345,3
B BRAUN OF CANADA,3.9719,1
B L ASSOCIATES,0.9974,2
B R ENTERPRISES,0.0688,9
B T L CONSTRUCTION,4.0761,1
BABCOCK INTERNATIONAL GROUP,3.5472,3
BABEL STREET,0.6811,2
BAD VENTURES,0.1657,1
BAE SYSTEMS,0.1934,4
BAJA CONSTRUCTION CANADA,0.0319,10
BALODIS,-0.3329,2
BANCTEC CANADA,1.4026,3
BANFIELD SEGUIN,12.9793,9
BARDON SUPPLIES,0.2005,5
BARGREEN ELLINGSON,0.0769,16
BARRIE MACKAY CONTRACTING,0.1136,2
BARRON S REFRIGERATION HEATING,0.5703,7
BARRY S BULLDOZING,0.2735,6
BARTA MACHINE,25.4774,1
BATTLE RIVER ELECTRIC,-0.1266,11
BAVARIAN NORDIC,-0.9864,1
BAXTER,2.6745,1
BAY CONSTRUCTION MANAGEMENT,0.0702,6
BAYSHORE HEALTHCARE,0.8794,50
BC BORSTAL ASSOC,6.7018,1
BDO CANADA,1.7263,119
BEAUDOIN CANADA,0.384,2
BEAULIEU PLUMBING MECHANICAL,0.3645,1
BEAVER AIR CHARTER CONSULTANTS,0.0665,16
BECKMAN COULTER CANADA,0.8312,9
BEE CLEAN BUILDING MAINTENANCE,0.5051,24
BELL AND HOWELL CANADA,0.6993,7
BELL CANADA,3.6719,345
BELL TEXTRON,0.0281,23
BERLITZ CANADA,0.666,52
BERVIN CONSTRUCTION,0.1142,5
BEST SERVICE PROS,2.0059,8
BEST WESTERN PLUS REGENCY INN,0.991,3
BEVA GLOBAL MANAGEMENT,0.5338,13
BGLA,6.1245,11
BIARRITZ CONSTRUCTION,0.1945,2
BIGHORN CONSTRUCTION,0.1019,8
BIGHORN HELICOPTERS,0.7496,19
BIO NUCLEAR DIAGNOSTICS,-0.0869,2
BIO RAD LABORATORIES CANADA,-0.017,8
BIOMERIEUX CANADA,4.1899,12
BIRD CONSTRUCTION COMPANY,0.1386,4
BISSON FORTIN ARCHITECTURE,1.1077,14
BLACK MCDONALD,1.0674,87
BLACKBERRY,1.1566,10
BLOOMBERG FINANCE L P,2.1404,17
BLUEDOT,0.6741,3
BLUEDROP TRAINING SIMULATION,0.1139,1
BLUEWAVE ENERGY,0.4272,41
BLUMETRIC ENVIRONMENTAL,1.3422,43
BMC SOFTWARE,0.8254,4
BMC SOFTWARE CANADA,1.0228,15
BMT FLEET TECHNOLOGY,0.6728,8
BOEHM HOTEL,-0.0026,1
BOLESS,0.1674,4
BOLLORE LOGISTICS,0.254,5
BOLLORE LOGISTICS CANADA,0.0064,1
BOMBARDIER,1.0986,8
BOMIMED,0.3908,2
BOOMCHAIN MINING,0.3863,2
BOUTHILLETTE PARIZEAU,0.55,33
BOYD MOVING STORAGE,1.1055,7
BRADLEY AIR SERVICES,1.4399,1
BRAGG COMMUNICATIONS,1.9608,2
BRANDT TRACTOR,0.1651,3
BRAWN CONSTRUCTION,0.4017,6
BRECKENHILL,0.3105,12
BRENEX BUILDING,0.2458,2
BRETON MICHEL MD,3.218,9
BRIDGES OF CANADA,1.5475,10
BRILUN CONSTRUCTION,0.483,9
BRIQUETAL,0.5975,4
BRITTON ELECTRIQUE,0.0817,1
BROADNET TELECOM,-0.1711,8
BROADWATER INDUSTRIES,0.1383,4
BRONSWERK MARINE,0.3408,7
BRONTE CONSTRUCTION,4.1721,1
BROOK CONSTRUCTION,0.0475,4
BROOKFIELD ASSET MANAGEMENT,0.5083,3
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,0.4111,23
BRS INNOVATIONS,1.9676,6
BRUKER,0.7489,11
BRYCA SOLUTIONS,1.6319,3
BUBBLE TECHNOLOGY INDUSTRIES,0.0867,1
BUDGELL S EQUIPMENT RENTALS,-0.0038,2
BUILDON CONSTRUCTION,0.3559,4
BULLDOG CONTRACTING,1.5654,3
BUREAU NATHALIE,1.6744,4
BUREAU VERITAS,0.5913,89
BURSEY EXCAVATING DEVELOPMENT,0.3174,7
BUTTCON,0.7147,4
C CORE,0.5926,9
C D NOVA TECH,1.179,1
C T M A FERRY,0.6153,1
C2D SERVICES,0.2967,1
CA,0.9281,4
CACHE COMPUTER CONSULTING,2.0064,144
CACTUS SHIP REPAIR,0.4193,2
CADEX,0.7545,4
CAE,0.6499,16
CALIAN,1.3909,532
CALKO GROUP,0.2801,2
CALTRIO COMPANY,3.9935,9
CALYTERA SOFTWARE,1.5811,2
CAMOSUN COLLEGE,0,1
CAMPBELL DRUG STORES,0,1
CAMPBELL FORD SALES,0.7673,1
CAMPBELL SCIENTIFIC CANADA,2.6126,13
CAN AM PLATFORMS CONSTRUCTION,0.5992,4
CAN ROSS ENVIRONMENTAL SERVICES,0.9707,1
CAN TEC SERVICES,0.3197,6
CANADA COACH LINES GROUP,1,1
CANADA POST,1.4188,42
CANADA WEST AVIONICS,-0.1293,4
CANADENSYS AEROSPACE,0.1073,3
CANADIAN BANK NOTE COMPANY,1.4547,12
CANADIAN BASE OPERATORS,0.0554,64
CANADIAN BORDER OPERATIONS,0.4371,1
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,0.4225,2
CANADIAN CORPS OF COMMISSIONAIRES,0.904,1714
CANADIAN DEVELOPMENT CONSULTANTS,1.7359,15
CANADIAN FISHING COMPANY,0.3304,1
CANADIAN HEALTH CARE AGENCY,0,2
CANADIAN HELICOPTERS,0.7672,28
CANADIAN LEASEBACK,0.5015,23
CANADIAN MARITIME ENGINEERING,0.5185,52
CANADIAN NORTH,0.092,4
CANADIAN NUCLEAR LABORATORIES,0.52,2
CANADIAN PAEDIATRIC SOCIETY,0.6949,3
CANADIAN RED CROSS,4.4711,9
CANADIAN SPACE SERVICES,0.104,3
CANADIAN STANDARDS ASSOCIATION,-0.1048,13
CANADYNE TECHNOLOGIES,2.9183,3
CANEVAS CONSTRUCTION,0.1317,1
CANMEC,0.0141,1
CANON,0.4204,149
CANSEL SURVEY EQUIPMENT,0.5353,3
CANTEC SYSTEMS,0.269,3
CANTEX OKANAGAN CONSTRUCTION,0.0281,2
CAPELLO AUDIO ELECTRONICS,0.5842,1
CARAHSOFT TECHNOLOGY,1.2046,37
CARDINAL HEALTH CANADA,0.1852,3
CARL ZEISS CANADA,1.684,3
CARLETON ELECTRIC,0.1007,5
CARLETON LIFE SUPPORT SYSTEMS,-6e-4,2
CARLETON UNIVERSITY,0.8512,18
CARMACKS ENTERPRISES,0.1596,1
CARMICHAEL ENGINEERING,1.3706,17
CARO ANALYTICAL SERVICES,-0.0796,8
CARON PROFESSIONAL LINGUISTIC,0.3499,36
CARSWELL,0.51,2
CARTEL COMMUNICATION SYSTEMS,1.8411,2
CARVERY S CONSTRUCTION,0.5269,13
CAS ELL STRUCTURES,0.0252,24
CASCADE AEROSPACE,0.5246,4
CASP AEROSPACE,1.2695,2
CATHOLIC SOCIAL SERVICES,8.1605,5
CBC,0.1112,2
CBCI TELECOM,0.6888,39
CBCL,0.866,65
CBI MILLWRIGHT SERVICES,0.8458,6
CCM CONSTRUCTION,0.1447,2
CCR CONSTRUCTION,0.5501,4
CDCI RESEARCH,1.2272,25
CDW CANADA,3.436,140
CE HARRISON HOME HARDWARE,0.5127,1
CEGERCO,0.0545,1
CELEB CONSTRUCTION,1.3131,5
CENTURY GROUP,0.1788,3
CEPHEID,0.3059,1
CERIDIAN,4.7642,3
CGI,1.5045,138
CH2M HILL CANADA,0.9653,3
CHANDOS CONSTRUCTION,0.0176,6
CHANNEL MANAGEMENT INTERNATIONAL,2.5135,6
CHANTIER DAVIE CANADA,2.33,6
CHANTIER NAVAL FORILLON,0.5945,2
CHARTER TELECOM,1.1778,2
CHEAM TIMBRO GROUP PARTNERSHIP,0.1176,1
CHEMICAL ABSTRACTS SERVICE,2.3936,2
CHEROKEE CONTRACTING,14.747,4
CHEVRON,-0.4725,1
CHIMO CONSTRUCTION,0.0664,1
CHRISTIAN LAROCQUE SERVICES,0.0056,6
CHRONO AVIATION,0.0679,4
CHU SAINTE JUSTINE,2.1033,7
CHUBB EDWARDS,0.7705,29
CIMA,1.3482,65
CIMA S E N C,1.7627,5
CIRCLE OF EAGLES LODGE SOCIETY,1.8938,3
CISION CANADA,1.2932,48
CISTEL TECHNOLOGY,1.8497,106
CITRIX,0.7511,6
CIVIL UNDERGROUND EXCAVATION,0.0922,1
CLARIANT CANADA,0.0112,8
CLEAN WORKS,1.0434,2
CLEANMATTERS JANITORIAL SERVICES,2.8087,6
CLEARWATER STRUCTURES,0.1178,2
CLERMARK,3.8908,3
CLICK NETWORKS,1.0607,22
CLOSEREACH,6.1058,44
CLOUD SYNAPPS,0.2434,4
CLOUTHIER VENTURES,0.0544,2
CO VEN,0.3366,1
COADY CONSTRUCTION EXCAVATING,0.0824,7
COASTAL RESTORATION MASONRY,0.1971,9
COCO PAVING,0.2096,3
COENTREPRISE CITE CARON,0.5919,27
COFOMO,2.6497,286
COLLIERS PROJECT LEADERS,1.5595,92
COLOGIX,36.6658,1
COLT CANADA,0.0771,10
COLUMBIA FUELS,2.3363,9
COMBAT NETWORKS,2.5454,69
COMMANDER PACIFIC FLEET,2.8398,1
COMMERCIAL BUILDING CLEANERS,0,2
COMMPOWER,1.9778,2
COMMUNITECH,1.423,2
COMMVAULT SYSTEMS,1.4868,5
COMNET NETWORKS AND SECURITY,1.7287,4
COMPAGNIE AMPLEXOR CANADA,0.8119,13
COMPOSITION STE FOY,0.9087,7
COMPUCOM CANADA,0.1231,34
COMPUGEN,0.2601,47
COMPUMSTR,1.8449,1
COMPUSULT,6.726,3
COMPUTER ASSOCIATES CANADA,0.2199,3
COMPUTERSHARE INVESTOR SERVICES,0.02,2
CON PRO INDUSTRIES CANADA,0.2191,13
CONCEPT CONTROLS,0.022,7
CONCIERGERIE SPEICO,2.3226,3
CONEXSYS,0.5721,11
CONFECTION AVENTURE,0.0269,1
CONFERENCE BOARD OF CANADA,0.7032,14
CONFLUENCE CONSULTING,1.5546,6
CONNECTIVE SUPPORT SOCIETY,2.8091,5
CONNECTIVE SUPPORT SOCIETY KAMLOOPS,1.1745,1
CONNEX TELECOMMUNICATIONS,0.5112,4
CONOSCENTI TECHNOLOGIES,1.8874,8
CONSTRUCTION BUGERE,0.1049,8
CONSTRUCTION COTE FILS,0.1722,1
CONSTRUCTION CPB,0.2524,2
CONSTRUCTION CYBCO,0.248,6
CONSTRUCTION DEMATHIEU BARD,0.469,6
CONSTRUCTION DERIC,7.2508,11
CONSTRUCTION IRENEE PAQUET FILS I,0.1764,3
CONSTRUCTION J R SAVARD,0.1225,2
CONSTRUCTION LFG,0.2734,12
CONSTRUCTION SIMDEV,0.1267,2
CONSTRUCTION SOCAM,0.1999,1
CONSTRUCTIONS BSL,0.2095,6
CONSTRUCTIONS RENAUD VIGNEAU,0.1504,6
CONTRACT COMMUNITY,1.043,37
CONTRO VALVE,0,2
CONTROLLED ENVIRONMENTS,0.5165,2
CONTROLS EQUIPMENT,1.2666,17
CONVERGINT TECHNOLOGIES,0.1946,22
COPCAN CIVIL,0.5121,7
CORADIX TECHNOLOGY CONSULTING,1.6827,286
CORBEL MANAGEMENT,1.9316,3
CORCAN,-0.1836,3
CORETRACKS CLARITY CA,1.6957,4
CORNERSTONE COMM ASSOC DURHAM,3.5695,2
CORPORATION DU FORT ST JEAN,3.1393,1
CORPORATION PROFESSIONNELLE DR SERGE LANDRY PROFESSIONAL,5.2242,1
CORRECTIONAL SERVICES OF CANADA,-0.0847,2
COSSETTE COMMUNICATIONS,8.7077,139
COTE GENEVIEVE S,0.0826,1
COUGAR ENGINEERING CONSTRUCTION,0.0728,2
COUPLAND KRAEMER ARCHITECTURE,0.3807,15
COVERTITE EASTERN,0.0533,3
COWATERSOGEMA,-0.2209,3
COWI NORTH AMERICA,1.2185,5
COX AND PALMER,6.4262,1
CP ENERGY MARKETING,0.8507,1
CPCS TRANSCOM,0.2044,6
CPKN NETWORK,1.4186,4
CRAIG DESHARNAIS RESEARCH,1.1515,7
CRANDALL ENGINEERING,2.4809,17
CRC CURE LABELLE,5.4275,2
CRC D ATNQ,3.1039,5
CRE TRANSPORT,0,1
CRUICKSHANK CONSTRUCTION,0.2247,4
CSDC SYSTEMS,1.6825,17
CSI CONSULTING,1.2103,9
CSI LEASING CANADA,0.0893,10
CTOMS,0,1
CUBE CONSTRUCTION,-0.0826,4
CUBIC DEFENSE APPLICATIONS,1.0839,2
CULLEN DIESEL POWER,0.37,5
CUMMINS CANADA,0.7372,21
CUSTOM HELICOPTERS,0.3079,9
CWP CONSTRUCTORS,0.1193,7
CYMI CANADA,0.1695,1
CYTELLIGENCE,0,1
D DOYLE INSTALLATIONS,1.1158,19
D F S,0.9856,27
D H PARTNERSHIP,23.0305,2
D MARK BIOSCIENCES,1.3801,1
D2L,114.3578,5
D4IS SOLUTIONS,1.5036,11
DADS,0.0606,22
DAIMLER,0,1
DALCON CONSTRUCTORS,-0.0979,5
DALHOUSIE UNIVERSITY,0.5478,11
DALIAN ENTERPRISES,9.3065,80
DANIEL CREPEAU,0.9395,9
DARE HUMAN RESOURCES,0.4431,41
DARREN ANGER LAW PROFESSIONAL,6.6645,1
DASCO EQUIPMENT,0.2652,18
DASCO STORAGE SOLUTIONS,0.0315,4
DASSAULT SYSTEMES CANADA,1.2102,5
DATA CENTRE INTELLIGENCE,0.9086,4
DATA COMMUNICATIONS MANAGEMENT,1.0588,10
DATIFEX,0.1016,1
DATUM MARINE SERVICES,1.56,2
DAVE MCDONALD ELECTRIC,0.0658,3
DAVID S LAFLAMME CONSTRUCTION,0.0698,2
DAVTAIR INDUSTRIES,0.1307,1
DAWSON CONSTRUCTION,0.0969,6
DBC MARINE SAFETY SYSTEMS,2.0054,2
DCC REGIONAL OFFICE HQ DIVISION WESTERN REGION,-0.016,1
DCL CONSTRUCTION SERVICES,0.1558,8
DE ANGELIS CONSTRUCTION,1.0308,1
DEAN CONSTRUCTION COMPANY,0.0652,1
DECISIVE GROUP,0.2043,46
DEFENCE CONSTRUCTION CANADA,0.4345,2
DEFENSE INFORMATION SYSTEMS AGENCY,0.4274,1
DEFRAN,0.3291,12
DELCO AUTOMATION,0.2967,13
DELCO SECURITY,-0.0123,4
DELL COMPUTER,0.1739,76
DELOITTE,1.6798,251
DELTA PHOTONICS,0.6566,2
DEV HOTEL CONFERENCE CENTRE,1.2124,1
DEW ENGINEERING,0.2047,16
DEXTER CONSTRUCTION,0.0904,37
DEXTERRA,0.1206,49
DF BARNES SERVICES,0.6171,9
DHL EXPRESS CANADA,2.6025,9
DIAMOND AND SCHMITT ARCHITECTS,1.9246,5
DILIGENS,2.2384,3
DILLON CONSULTING,0.8889,153
DIRECT ENERGY BUSINESS,5.2068,20
DISMAS SOCIETY,4.2745,2
DLS TECHNOLOGY,0.7785,12
DMTI SPATIAL,1.75,4
DNR CONSULTING GROUP,0,3
DO ALL CONSTRUCTION,0.1894,3
DOCUMENS TRADUCTION,0.6314,22
DOLOMITE NETWORKS,2.5412,8
DOMUS BUILDING CLEANING,3.5069,3
DON SAYWELL DEVELOPMENTS,0.0822,7
DONALD J FRASER,9.5798,1
DONALD SERVANT ELECTRIC,0.872,4
DONNA CONA,2.5391,159
DONNA CONA IBM CANADA IN JV,0,1
DR FERNANDO VILLASENOR,1.4993,3
DR KEITH DAWSON,0.6986,3
DR MANDEEP SAINI,1.6667,1
DR NADER SHARIFI,1.2852,3
DR ROBERT LABINE,2.2774,7
DRAEGER,1,3
DRAGAGE IM,0.7221,7
DRAGAGE OCEAN DSM,0.0624,10
DRAPEAUX ET BANNIERES L ETENDARD,2.557,2
DRASTIC FISHERIES,1,1
DSS MARINE,0.5366,5
DST CONSULTING ENGINEERS,1.0302,33
DUVALTEX CANADA,1.7777,2
DWP SOLUTIONS,1.7758,8
DXB PROJECT MANAGEMENT,1.5908,1
DYMECH ENGINEERING,0.5235,2
DYNABOOK CANADA,0.5383,27
DYNACARE,3.2532,31
DYNAMIC ASPHALT SERVICES,0.1438,2
DYNAMIC CONSTRUCTION,-0.0136,3
DYNAMIC FACILITY SERVICES,1.5812,5
DYNAMIC PERSONNEL CONSULTANTS,0.9223,89
DYNAMITE CONSTRUCTION,0.3166,2
E CONSTRUCTION,0.0271,3
E D BRUNET ET ASSOCIES CANADA,0.8897,1
E STAR INTERNATIONAL,5.0129,1
EAGLE BEACH CONTRACTORS,0.0475,1
EAGLE PROFESSIONAL RESOURCES,1.1675,22
EASTPOINT ENGINEERING,0.9491,70
EASTWAY CONTRACTING,-0.0043,4
EBC,0.0942,2
EBERHARD VON HUENE ASSOCIATES,0.1677,3
EBSCO CANADA,1.4016,37
ECLIPSYS SOLUTIONS,2.7965,65
ECO TECHNOLOGIES,-0.0663,8
ECOLE DE LANGUES ABCE,0.7616,83
ECOLE DE LANGUES EAGLE,0.9244,38
ECOLE DE LANGUES LA CITE,1.3503,73
ECONOMIST INTELLIGENCE UNIT,1.8309,4
EDMONDS LANDSCAPE AND CONSTRUCTION,0.8288,7
EDWARD COLLINS CONTRACTING,0.1611,3
EFCO ENTERPRISES,0.0676,5
EFFIGIS GEO SOLUTIONS,-0.1904,1
EIFFAGE INNOVATIVE CANADA,0.1123,5
EILEEN ROOFING,0.0283,2
EKOS RESEARCH ASSOCIATES,0.0593,11
EL DORADO ENGINEERING,0.2686,2
ELBIT SYSTEMS,0.3068,1
ELEMENTAL DATA COLLECTION,0.1321,2
ELITE ENVIRONMENTAL GROUP,5.1144,9
ELIZABETH FRY SOCIETY,4.28,18
ELLICE RECYCLE,0.2851,2
ELLISDON,66.2012,18
ELSEVIER,1.3139,31
EMCEE CONSTRUCTION AND MANAGEMENT,0.6033,2
EMCON SERVICES,0.3457,29
EMERGENCY MEDICAL TECHNOLOGY,0.6849,1
EMERGENT BIOSOLUTIONS,14.9357,5
EMERION COFOMO FMC,0.6849,11
EMIL ANDERSON CONSTRUCTION,0.0814,4
EMMANUEL CONSTRUCTION SERVICES,0.1722,5
EMMONS MITCHELL CONSTRUCTION,0.6369,11
EMPOWERED NETWORKS,1.3985,12
EMS TECHNOLOGIES,1.6968,3
EMTEC,1.9866,13
ENERGERE CONSULTANTS,1.2664,3
ENET4S SOFTWARE SOLUTIONS,1.3127,4
ENGLOBE,0.7189,153
ENMAX,0.0997,14
ENSEIGNES PATTISON SIGN GROUP,0.6455,6
ENTREPRISE CLAVEAU,0.101,1
ENTREPRISE DE CONSTRUCTION T E Q,0.1893,1
ENTRUST,0.8758,13
ENVELOPPE CONCEPT,2.7994,7
ENVIRONICS RESEARCH GROUP,-0.0037,12
ENVIROSAFE JANITORIAL,1.2152,7
ENVIROSERVICES,1.2689,16
EPERFORMANCE,0.8727,8
EPIK TAAHHUT SANAYI IC VE DIS,0.0475,1
EPPENDORF CANADA,0.8941,5
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,1.8468,2
EQUINIX OTTAWA GOVERNMENT,0.1841,1
EQUIPOS INDUSTRIALES DE MANUTENCION,0.1999,1
ERNST YOUNG,1.2616,134
ESBE SCIENTIFIC INDUSTRIES,0.189,6
ESRI,0.8845,29
ET FUSION,0,1
ETHIOPIAN AIRLINES GROUP,0,1
ETICO,1.0638,5
EUROVIA QUEBEC CONSTRUCTION,0.2639,2
EVALUATION PERSONNEL SELECTION,0.8481,32
EVEREST CONSTRUCTION MANAGEMENT,0.1355,4
