d_vendor_name,mean_original_value,mean_overall_value,n
AVENAI,257661.57,375111.40,10
AVI SPL,54779.86,55536.37,747
AVJET HOLDING,35072.32,35448.70,325
AVMAX AVIATION SERVICES,210362.02,212158.77,38
AVONDALE CONSTRUCTION,1641783.44,1750328.62,32
AXYS TECHNOLOGIES,62524.92,101077.31,64
AZIMUTH CONSULTING GROUP,859813.57,868434.36,9
B BRAUN OF CANADA,1734865.72,1937512.38,3
B L ASSOCIATES,1482419.47,1771589.13,5
B R ENTERPRISES,1246508.77,1299688.34,15
B T L CONSTRUCTION,13397738.97,44955720.13,1
BABCOCK INTERNATIONAL GROUP,27388680.97,47983798.36,26
BABEL STREET,270018.25,521288.97,11
BAE SYSTEMS,287053.59,290350.32,91
BAHLER BIOGAZ,1156191.42,1203740.19,2
BAJA CONSTRUCTION CANADA,499450.22,513101.01,13
BALODIS,624926.15,612274.11,10
BANCTEC CANADA,1237874.24,1658708.93,18
BANFIELD SEGUIN,109508.97,407954.08,36
BARDON SUPPLIES,26746.46,27091.34,173
BARGREEN ELLINGSON,115472.56,122071.41,419
BARR ENGINEERING AND ENVIRONMENTAL,356517.74,413924.74,13
BARRIE MACKAY CONTRACTING,9172533.11,10231160.59,2
BARRON S REFRIGERATION HEATING,67621.99,68741.45,95
BARRY S BULLDOZING,115552.95,122432.86,36
BARTA MACHINE,375000.00,4825890.00,2
BAUER HOCKEY,7345000.00,7345000.00,1
BAVARIAN NORDIC,2159944.22,10174914.95,2
BAXTER,1772669.55,1837142.33,9
BAY CONSTRUCTION MANAGEMENT,1780898.39,1908696.65,6
BAYSHORE HEALTHCARE,307740.15,379123.21,123
BC BORSTAL ASSOC,618000.00,4759722.49,1
BC HYDRO,172839.71,173723.78,29
BDO CANADA,190789.22,269937.19,341
BEAUDOIN CANADA,3557700.00,5030671.72,2
BEAVER AIR CHARTER CONSULTANTS,49172.49,49293.79,285
BECKMAN COULTER CANADA,48326.39,49928.45,121
BEE CLEAN BUILDING MAINTENANCE,48449.73,52238.71,175
BELAND LAPOINTE,39177126.00,39177126.00,1
BELL AND HOWELL CANADA,1543406.67,2132654.21,7
BELL CANADA,1106072.94,3183411.99,1067
BELL DISTRIBUTION,401521.13,401521.13,9
BELL TEXTRON,5688129.75,5718888.60,283
BEN WIEBE CONSTRUCTION,168257.91,168257.91,13
BENNETT S CONSTRUCTION SUPPLIES,244694.06,235385.08,12
BERGEVIN ELECTRICAL CONTRACTING,2528374.28,2877495.30,2
BERLITZ CANADA,17305.76,19859.54,203
BERVIN CONSTRUCTION,2081014.69,2307025.22,8
BEST BUY HOUSING,2114330.57,2114330.57,1
BEST FACILITIES SERVICES,13712295.00,13712295.00,1
BEST SERVICE PROS,125847.26,126030.79,113
BEVA GLOBAL MANAGEMENT,44554.15,55335.82,51
BGLA,160443.13,454375.27,15
BIGHORN CONSTRUCTION,704316.13,792462.75,13
BIGHORN HELICOPTERS,56902.00,61275.95,96
BIO CHAMBERS,218560.53,218560.53,12
BIO NUCLEAR DIAGNOSTICS,4030603.29,3825437.15,19
BIO RAD LABORATORIES CANADA,33029.14,34540.77,145
BIOKINETICS AND ASSOCIATES,2165713.95,2165713.95,2
BIOMERIEUX CANADA,1208709.09,1414139.34,36
BIRD CONSTRUCTION COMPANY,7802177.64,8189272.68,8
BIRON GROUPE SANTE,68310503.10,68310503.10,1
BIRTZ BASTIEN ARCHITECTES,358625.87,676928.38,9
BISSON FORTIN ARCHITECTURE,217064.84,376542.63,18
BLACK DIAMOND PARTNERSHIP,271791.16,463125.19,8
BLACK MCDONALD,385376.46,455604.72,279
BLACKBERRY,394394.87,409451.97,102
BLOOMBERG FINANCE L P,77637.45,110877.23,43
BLUE COLLAR SILVICULTURE,1763589.45,1758195.44,2
BLUE WATER SYSTEM,14876382.00,14876382.00,1
BLUEDOT,558503.56,730632.63,8
BLUEDROP TRAINING SIMULATION,2347728.69,2355551.01,3
BLUEWAVE ENERGY,46633.20,45814.56,230
BLUMETRIC ENVIRONMENTAL,174362.10,269858.65,167
BLUNDEN CONSTRUCTION 1995,464839.44,464968.81,8
BMC SOFTWARE,1841785.47,2361809.71,8
BMC SOFTWARE CANADA,2035987.48,2995064.56,45
BMT FLEET TECHNOLOGY,2830877.24,2853040.99,35
BOEHM HOTEL,6517665.00,6500513.76,1
BOLESS,10930916.71,12602286.44,6
BOLLORE LOGISTICS,37041.74,37706.25,178
BOMBARDIER,702781.59,795169.63,188
BOMIMED,4152949.01,4252703.34,3
BONDFIELD CONSTRUCTION COMPANY,30636000.00,30636000.00,1
BOUTHILLETTE PARIZEAU,67322.32,84679.29,129
BOYD MOVING STORAGE,106316.31,107194.31,93
BRAGG COMMUNICATIONS,3122865.57,15328827.90,2
BRANDT TRACTOR,174624.76,174584.32,48
BRAWN CONSTRUCTION,334106.74,485795.52,13
BRECKENHILL,79604.07,88994.39,67
BREMNER ENGINEERING AND CONSTRUCTION,728191.89,744897.81,6
BRETON MICHEL MD,489958.52,1889590.84,10
BRIAN G INNES SCHOUTEN EXCAVATING,884893.33,954743.91,3
BRIDGES OF CANADA,3274566.05,3450168.65,14
BRILUN CONSTRUCTION,377709.27,611662.75,11
BRIQUETAL,2698896.49,3397916.99,7
BRITTON ELECTRIQUE,2924102.84,3164301.03,2
BROADNET TELECOM,303642.57,344181.91,45
BROADWATER INDUSTRIES,491521.68,535892.10,22
BRONSWERK MARINE,1159587.01,1063238.00,57
BRONTE CONSTRUCTION,5650000.00,29222553.39,1
BROOK CONSTRUCTION,1549494.52,1632325.97,6
BROOKFIELD ASSET MANAGEMENT,6389479.20,6390464.18,16
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,27164479.41,42896688.32,377
BROOKS CORNING COMPANY,26527.64,28041.21,129
BRS INNOVATIONS,136683.03,413424.26,17
BRUKER,89218.84,92847.85,93
BUBBLE TECHNOLOGY INDUSTRIES,420540.64,438854.29,11
BUDGELL S EQUIPMENT RENTALS,3761928.88,3769482.38,2
BUILDON CONSTRUCTION,338143.30,339860.12,27
BULLDOG CONTRACTING,605244.96,773427.96,9
BUNZL CANADA,171622.69,190735.55,21
BUREAU NATHALIE,664193.83,1183840.00,6
BUREAU VERITAS,190507.22,222394.36,373
BURSEY EXCAVATING DEVELOPMENT,887297.58,1014548.07,10
BUTTCON,4147072.69,6537401.71,6
C CORE,375804.52,385906.88,42
C D NOVA TECH,135882.40,224548.77,11
C2D SERVICES,8565321.90,11106277.05,1
CA,5849614.18,5946184.84,17
CACHE COMPUTER CONSULTING,419895.58,691445.76,227
CACTUS SHIP REPAIR,235607.38,266726.16,18
CADEX,574228.61,488133.37,21
CAE,16034230.64,21865788.55,65
CAHILL,348088.01,346071.27,8
CALIAN,1108761.60,1501753.35,989
CALKO GROUP,8133062.00,10540593.26,2
CALTRIO COMPANY,153307.74,544526.82,16
CALYTERA SOFTWARE,74734.24,102007.70,39
CAMPBELL DRUG STORES,165206000.00,165206000.00,1
CAMPBELL SCIENTIFIC CANADA,38867.73,59295.57,138
CAN AM PLATFORMS CONSTRUCTION,2676997.58,3427503.23,7
CAN TEC SERVICES,64140.90,71638.87,40
CANADA,83513.15,83513.15,29
CANADA FBM 2020,1621385.57,2422800.54,1
CANADA FRANCE HAWAII TELESCOPE,610167.87,692350.24,5
CANADA POST,45563.97,96668.43,271
CANADENSYS AEROSPACE,548430.51,568730.91,11
CANADIAN AIRMOTIVE,643583.34,643583.34,14
CANADIAN BANK NOTE COMPANY,38720421.69,52967317.54,19
CANADIAN BASE OPERATORS,189377.33,191063.34,117
CANADIAN BORDER OPERATIONS,157070000.00,225730259.41,1
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,7862230.82,9127644.39,7
CANADIAN COMMERCIAL,2303244.00,2303244.00,2
CANADIAN CORPS OF COMMISSIONAIRES,277780.59,290284.43,5446
CANADIAN DEVELOPMENT CONSULTANTS,187688.43,224660.06,44
CANADIAN EMERGENCY VENTILATORS,169500000.00,169500000.00,1
CANADIAN FISHING COMPANY,1767784.38,2172578.70,3
CANADIAN HEALTH CARE AGENCY,385647.27,385647.27,11
CANADIAN HELICOPTERS,54423.33,94175.51,250
CANADIAN LEASEBACK,156645.49,180398.88,174
CANADIAN MARITIME ENGINEERING,305454.06,355762.34,145
CANADIAN NORTH,174443.70,186124.62,30
CANADIAN NUCLEAR LABORATORIES,2172058.71,2179403.71,4
CANADIAN PAEDIATRIC SOCIETY,3411560.87,6237771.09,4
CANADIAN RED CROSS,3774325.12,7914995.01,15
CANADIAN STANDARDS ASSOCIATION,151307.72,148330.87,54
CANADIAN VETERANS VR SERVICE,36033141.71,36033141.71,1
CANADYNE TECHNOLOGIES,157633.45,445743.22,20
CANAM PONTS CANADA,4667875.71,4667875.71,3
CANDESTO ENTERPRISES,967815.98,2196317.21,1
CANMEC,8470908.27,8434342.12,1
CANON,36151.63,38870.47,815
CANSEL SURVEY EQUIPMENT,49229.70,49526.15,134
CANTEC SYSTEMS,269055.68,267784.20,28
CANTEX OKANAGAN CONSTRUCTION,2751635.94,2859348.44,3
CARAHSOFT TECHNOLOGY,194477.77,211744.52,281
CARDINAL HEALTH CANADA,50648.80,57562.41,77
CAREWORX,178038.87,178038.87,27
CARLETON ELECTRIC,400509.43,433659.99,26
CARLETON LIFE SUPPORT SYSTEMS,750933.14,750931.88,10
CARLETON UNIVERSITY,121383.66,135680.25,179
CARMACKS ENTERPRISES,8186853.96,9493568.46,1
CARMICHAEL ENGINEERING,56064.90,106538.61,68
CARO ANALYTICAL SERVICES,269134.30,267000.26,39
CARON PROFESSIONAL LINGUISTIC,21318.47,23071.10,153
CARRIERE QUEBEC,3322825.00,3322825.00,1
CARSWELL,430064.80,710354.81,26
CARTEL COMMUNICATION SYSTEMS,815199.23,791445.24,7
CAS ELL STRUCTURES,39949.74,40011.00,130
CASCADE AEROSPACE,186977328.41,312143321.17,5
CASCADE COLLEGE,2971000.00,2971000.00,1
CASP AEROSPACE,1493918.42,2874649.35,9
CASSELMAN WOODCRAFT,26518.28,26653.57,173
CATHOLIC SOCIAL SERVICES,379182.38,2995381.09,5
CBC,966919.80,1053013.09,4
CBCI TELECOM,63146.96,67907.83,726
CBCL,80270.87,104744.07,246
CBRE,216146.24,246466.03,24
CCM CONSTRUCTION,2364237.87,2436361.70,3
CCR CONSTRUCTION,5503629.34,7596668.80,4
CDCI RESEARCH,64831.66,95328.61,67
CDW CANADA,139207.89,196859.47,1078
CEGERCO,26185811.60,26335494.31,2
CELEB CONSTRUCTION,1344494.66,4288521.91,5
CELLEBRITE,461021.45,997918.04,6
CENTRE RESIDENTIEL COMMUNAUTAIRE JOLIETTE LANAUDIERE,357496.88,2596592.11,2
CENTURY GROUP,642095.84,674802.21,5
CEPHEID,66902551.12,66903863.62,2
CERIDIAN,4682371.56,10544172.62,4
CGI,774315.01,1295291.52,259
CH2M HILL CANADA,1225042.17,1674067.20,7
CHANDOS CONSTRUCTION,4647017.80,3387221.56,6
CHANNEL MANAGEMENT INTERNATIONAL,364555.11,552224.13,21
CHANTIER DAVIE CANADA,160379136.98,183974185.85,8
CHANTIER NAVAL FORILLON,10071812.87,16857034.22,4
CHARRON HUMAN RESOURCES,26572.75,49198.03,114
CHARTER TELECOM,2108504.76,5520986.70,5
CHEF BRANDZ,28554.97,28569.13,127
CHEMICAL ABSTRACTS SERVICE,317271.22,616718.56,13
CHEVRON,108961.27,108036.21,59
CHIMO CONSTRUCTION,1959945.93,2086703.59,2
CHRISTIAN LAROCQUE SERVICES,131310.68,154925.67,29
CHRONO AVIATION,31856.94,32420.95,98
CHU SAINTE JUSTINE,708370.22,1389470.29,11
CHUBB EDWARDS,108106.91,129130.02,135
CIMA,248407.73,315299.46,136
CIRCLE OF EAGLES LODGE SOCIETY,1624666.67,3981254.37,3
CISION CANADA,62724.57,82186.19,307
CISTEL TECHNOLOGY,398906.52,717883.59,243
CITRIX,799314.77,1177237.94,25
CITY OF MOOSE JAW,5075763.00,5075763.00,1
CITY WYEED ELECTRIC,3093634.60,3093634.60,1
CIVIL UNDERGROUND EXCAVATION,2847406.77,3110025.89,1
CIVIX,4331562.50,4331562.50,2
CLARIANT CANADA,45040.87,45076.48,126
CLEAN WORKS,530022.54,1088209.21,2
CLEANMATTERS JANITORIAL SERVICES,259144.40,722724.69,16
CLEARWATER STRUCTURES,4318745.30,4913933.69,2
CLERMARK,376207.59,528132.41,18
CLICK NETWORKS,539556.56,636085.29,227
CLOSEREACH,163232.39,271680.79,109
CO VEN,7217095.00,9271367.50,2
COADY CONSTRUCTION EXCAVATING,1396316.81,1547628.74,15
COASTAL RESTORATION MASONRY,111170.90,154242.87,94
COBHAM MISSION SYSTEMS DAVENPORT,2265462.23,2265462.23,1
COCO PAVING,1360832.17,1374220.91,6
COFELY SERVICES,13395495.00,13395495.00,1
COFOMO,444513.57,728763.86,406
COLLIERS PROJECT LEADERS,1252264.37,2348311.77,144
COLOGIX,139051.49,5131070.29,1
COLT CANADA,1107545.14,1108327.71,202
COLUMBIA FUELS,78881.33,78974.78,186
COMBAT NETWORKS,107111.92,245412.27,258
COMMERCIAL BUILDING CLEANERS,2522867.12,2522867.12,3
COMMERCIAL BUILDING CLEANING,3250868.68,3250868.68,4
COMMPOWER,2729769.17,3652324.38,2
COMMUNICATIONS POWER,3540912.05,4416621.91,2
COMMUNITECH,360430.36,725495.70,6
COMMVAULT SYSTEMS,1306846.21,2033025.68,22
COMNET NETWORKS AND SECURITY,236314.76,282936.81,13
COMPAGNIE AMPLEXOR CANADA,175531.47,199345.59,57
COMPOSITION STE FOY,118390.28,180081.27,20
COMPUCOM CANADA,739662.85,746005.52,275
COMPUGEN,406424.46,420179.60,476
COMPUTER ASSOCIATES CANADA,25452074.42,33085098.64,5
COMPUTERSHARE INVESTOR SERVICES,65192198.55,65358657.20,8
CON PRO INDUSTRIES CANADA,2366504.59,2652403.11,15
CONCEPT CONTROLS,74068.50,84642.92,87
CONEXSYS,199152.16,213754.85,97
CONFECTION AVENTURE,14690000.00,15084720.00,1
CONFERENCE BOARD OF CANADA,34026.92,38723.59,181
CONNECTIVE SUPPORT SOCIETY,718498.06,1522668.69,7
CONNEX TELECOMMUNICATIONS,195616.07,241511.13,25
CONOSCENTI TECHNOLOGIES,189748.09,420745.90,21
CONSORTIUM OF CARE CANADA,5649002.21,6104571.90,1
CONSTRUCTION BENOIT MOREAU,3173884.88,3173884.88,1
CONSTRUCTION BLANCHARD ET,2684497.32,2943250.39,2
CONSTRUCTION BUGERE,1222950.73,1397006.16,10
CONSTRUCTION COTE FILS,3160889.31,3193510.76,4
CONSTRUCTION COUTURE TANGUAY,1339103.90,1339103.90,5
CONSTRUCTION CYBCO,9240881.64,11969534.35,6
CONSTRUCTION DEMATHIEU BARD,14340765.33,16033779.25,6
CONSTRUCTION DERIC,1183955.52,1685646.58,13
CONSTRUCTION IRENEE PAQUET FILS I,1478930.96,1774817.77,3
CONSTRUCTION J R SAVARD,4865346.73,6213829.24,2
CONSTRUCTION JESSIKO,377286.32,433983.56,14
CONSTRUCTION LFG,3460878.05,4115053.40,14
CONSTRUCTION RIC,6276869.27,7278176.30,1
CONSTRUCTION ROCK DUFOUR,3658343.75,3658343.75,1
CONSTRUCTION SIMDEV,3767466.24,4387751.06,2
CONSTRUCTION SOCAM,2836438.42,3516192.21,5
CONSTRUCTIONS BSL,1200487.32,1424909.30,6
CONSTRUCTIONS RENAUD VIGNEAU,100249.01,106588.55,20
CONTRACT COMMUNITY,167177.27,206424.11,122
CONTROLLED ENVIRONMENTS,141972.32,141696.17,35
CONTROLS EQUIPMENT,68931.60,82245.30,60
CONVERGINT TECHNOLOGIES,78916.69,72857.24,121
CONVERSART CONSULTING,27524.58,28480.75,116
COPCAN CIVIL,584833.52,732281.45,10
COPCAN CONTRACTING,593244.04,574798.88,6
CORADIX TECHNOLOGY CONSULTING,371032.57,567818.14,440
CORBEL MANAGEMENT,24370187.22,28093529.34,5
CORCAN,64523.67,63972.94,31
COREBUILD CONSTRUCTION,52549536.00,52549536.00,1
CORNERSTONE COMM ASSOC DURHAM,902574.50,3394740.85,2
CORPORATION DU FORT ST JEAN,35605545.21,147258813.43,3
CORPORATION PROFESSIONNELLE DR SERGE LANDRY PROFESSIONAL,686787.92,4274739.14,1
CORRECTIONAL SERVICES OF CANADA,141222.17,140463.13,20
COSSETTE COMMUNICATIONS,529768.59,853959.07,572
COTTON CANDY MISSISSAUGA,30543.10,30875.49,131
COUGAR ENGINEERING CONSTRUCTION,3831416.67,4042172.82,3
COUPLAND KRAEMER ARCHITECTURE,152797.00,204546.11,27
COUVERTURE MONTREAL NORD,232816.97,250084.56,17
COVERTITE EASTERN,598488.72,628534.84,8
COWATERSOGEMA,11880915.94,11335583.32,13
COWI NORTH AMERICA,296667.26,300651.63,82
CPCS TRANSCOM,132547.69,145350.10,51
CRANDALL ENGINEERING,271329.72,599465.42,32
CRC CURE LABELLE,707957.64,3658339.70,2
CRC D ATNQ,307028.31,1121457.58,6
CRESTLINE COACH,2183962.02,2574809.98,2
CRUICKSHANK CONSTRUCTION,3277182.65,4096284.37,4
CRYE PRECISION,4110790.55,4110790.55,1
CRYPTOMILL TECHNOLOGIES,2791940.92,2791940.92,2
CSDC SYSTEMS,52448.10,68856.73,103
