,Unnamed: 0,economic_object_code,description_en,category_x,category_y
111,111,1350,Industrial buildings,1_facilities_and_construction,1_facilities_and_construction
112,112,495,Services related to the assessment of potentially contaminated sites,1_facilities_and_construction,2_professional_services
113,113,607,"Highways, roads and streets",1_facilities_and_construction,1_facilities_and_construction
114,114,1141,Wood and articles of wood,6_industrial_products_and_services,6_industrial_products_and_services
115,115,1179,Miscellaneous manufactured articles,6_industrial_products_and_services,6_industrial_products_and_services
116,116,1174,Horticultural products,6_industrial_products_and_services,6_industrial_products_and_services
117,117,619,Electric power installations,1_facilities_and_construction,1_facilities_and_construction
118,118,1115,"Miscellaneous food, food materials and food preparations",10_office_management,10_office_management
119,119,1241,"Plumbing equipment and fittings, including parts",1_facilities_and_construction,1_facilities_and_construction
120,120,6086,Payments made in accordance with authorities,,9_human_capital
121,121,522,"Rental of image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)",3_information_technology,3_information_technology
122,122,1130,"Inorganic and organic chemicals, including plastics, rubber and products, and excluding tires and tubes",6_industrial_products_and_services,6_industrial_products_and_services
123,123,1128,"Other mineral fuels, oils and products",6_industrial_products_and_services,6_industrial_products_and_services
124,124,423,Engineering consultants-Other,1_facilities_and_construction,1_facilities_and_construction
125,125,321,Printing services,10_office_management,10_office_management
126,126,682,Road motor vehicles - Non-military,5_transportation_and_logistics,5_transportation_and_logistics
127,127,352,Advertising services,2_professional_services,2_professional_services
128,128,635,Industrial buildings,1_facilities_and_construction,1_facilities_and_construction
129,129,540,Rental of motor and other vehicles,5_transportation_and_logistics,5_transportation_and_logistics
130,130,1171,"Medical supplies, instruments, and apparatus",4_medical,4_medical
131,131,1343,Commercial buildings,1_facilities_and_construction,1_facilities_and_construction
132,132,1143,"Printed matter, including books, newspapers, pictures, manuscripts and forms",10_office_management,10_office_management
133,133,705,Waste disposal,1_facilities_and_construction,1_facilities_and_construction
134,134,1172,Office and stationers supplies,10_office_management,10_office_management
135,135,1212,Tools and implements,6_industrial_products_and_services,6_industrial_products_and_services
136,136,497,Services related to the care and maintenance of contaminated sites,1_facilities_and_construction,1_facilities_and_construction
137,137,1211,Special industry machinery,6_industrial_products_and_services,6_industrial_products_and_services
138,138,3422,Suspense account (debit)-Other government departments,,
139,139,1164,Miscellaneous metal products,6_industrial_products_and_services,6_industrial_products_and_services
140,140,570,Rental-Other,1_facilities_and_construction,1_facilities_and_construction
141,141,1239,Other office equipment and Parts,10_office_management,10_office_management
142,142,1152,Other clothing,6_industrial_products_and_services,6_industrial_products_and_services
143,143,1267,"Miscellaneous vehicles Parts, Including Tires and Tubes",5_transportation_and_logistics,5_transportation_and_logistics
144,144,1159,"Miscellaneous textiles, headgear, umbrellas, etc.",6_industrial_products_and_services,6_industrial_products_and_services
145,145,492,Research contracts,2_professional_services,2_professional_services
146,146,646,Residential buildings,1_facilities_and_construction,1_facilities_and_construction
147,147,1316,"Roads, highways and airport runways",1_facilities_and_construction,1_facilities_and_construction
148,148,673,Computer equipment related to Distributed Computing Environment (DCE)-Desktop/personal/portable (includes all related parts and peripherals),3_information_technology,3_information_technology
149,149,1142,Paper and paperboard,6_industrial_products_and_services,6_industrial_products_and_services
150,150,514,Rental of other buildings,1_facilities_and_construction,1_facilities_and_construction
151,151,1134,Photographic or cinematography goods,10_office_management,10_office_management
152,152,0341,Communications Research Services,2_professional_services,
153,153,0822,Hospitality,10_office_management,
154,154,0321,Printing Services,10_office_management,
155,155,0362,Data and Database Access Services,9_human_capital,
156,156,0213,Courier Services,5_transportation_and_logistics,
157,157,0301,Advertising Services,2_professional_services,
158,158,0821,Membership Fees,9_human_capital,
159,159,0630,Office Buildings,1_facilities_and_construction,
160,160,362,Data and Database Access Services,9_human_capital,9_human_capital
161,161,812,Computer Services (includes IT solutions / deliverables as well as IT Managed Services),3_information_technology,3_information_technology
162,162,3259,Miscellaneous Expenditures not Elsewhere Classified,,
163,163,1173,"House Furnishing, excluding Furniture",1_facilities_and_construction,10_office_management
164,164,1273,Ammunition,9_human_capital,8_security_and_protection
165,165,3425,Reallocation of Expenditures/Costs Within a Department,,
166,166,1151,Uniforms,6_industrial_products_and_services,6_industrial_products_and_services
167,167,231,Data Communications Services,3_information_technology,3_information_technology
168,168,1256,Ships and Boats,5_transportation_and_logistics,5_transportation_and_logistics
169,169,230,Voice Communications Services,2_professional_services,3_information_technology
170,170,1271,Weapons (Including Parts),11_defence,3_information_technology
171,171,510,Rental of Residential Buildings,1_facilities_and_construction,1_facilities_and_construction
172,172,"""NA""",,,
173,173,452,Welfare Services,4_medical,4_medical
174,174,634,Commercial Buildings,1_facilities_and_construction,1_facilities_and_construction
175,175,4531,Rental of non-residential buildings,1_facilities_and_construction,1_facilities_and_construction
176,176,823,Conference fees,9_human_capital,9_human_capital
177,177,639,Institutional buildings,1_facilities_and_construction,1_facilities_and_construction
178,178,265,Non-public servant travel - Other travel,7_travel,7_travel
179,179,675,Ships and boats,5_transportation_and_logistics,5_transportation_and_logistics
180,180,1153,Footwear,6_industrial_products_and_services,6_industrial_products_and_services
181,181,512,Rental of Industrial and Commercial Buildings,1_facilities_and_construction,1_facilities_and_construction
182,182,1356,Schools and Other Educational Buildings,1_facilities_and_construction,1_facilities_and_construction
183,183,0811,Contracted Building Cleaning,1_facilities_and_construction,
184,184,261,Non-Public Servant Travel-Support core mandate activities,7_travel,7_travel
185,185,0673,Computer Equipment related to Distributed Computing Environment (DCE)-Desktop/Personal/Portable (Includes all related parts and peripherals),3_information_technology,
186,186,0570,Rental-Other,1_facilities_and_construction,
187,187,0812,Computer Services (includes IT solutions / deliverables as well as IT Managed Services),3_information_technology,
188,188,1246,Other Furniture and Fixtures Including Parts,10_office_management,10_office_management
189,189,671,Other Office Equipment,10_office_management,10_office_management
190,190,0230,Cleaning and Maintenance,2_professional_services,
191,191,852,Real Estate Services,2_professional_services,2_professional_services
192,192,701,Electricity,1_facilities_and_construction,1_facilities_and_construction
193,193,450,Hospital Services,4_medical,4_medical
194,194,251,Public Servant Travel-Support core mandate activities,7_travel,7_travel
195,195,709,Other Utility Services,1_facilities_and_construction,1_facilities_and_construction
196,196,891,Personal Services,2_professional_services,2_professional_services
197,197,0660,"Measuring, Controlling, Laboratory, Medical and Optical Instruments, Apparatus and Accessories",1_facilities_and_construction,
198,198,0671,Other Office Equipment,10_office_management,
199,199,0431,Scientific Consultants,2_professional_services,
200,200,0251,Public Servant Travel-Support core mandate activities,7_travel,
201,201,0451,Other Health Services not Elsewhere Specified,4_medical,
202,202,0512,Rental of Industrial and Commercial Buildings,1_facilities_and_construction,
203,203,,Laboratory Equipment,6_industrial_products_and_services,
204,204,0682,Motor Vehicle Repairs and Maintenance,5_transportation_and_logistics,
205,205,0352,Public Relations Services,2_professional_services,
206,206,0524,Rental computer software,3_information_technology,
207,207,0472,Information tech consultants,3_information_technology,
208,208,0561,Rental of aircraft,5_transportation_and_logistics,
209,209,1226,Comp eqpt-Network/servers,3_information_technology,3_information_technology
210,210,1229,Computer equipment parts,3_information_technology,3_information_technology
211,211,1227,Comp eqpt-Desk/pers/port,3_information_technology,3_information_technology
212,212,0669,Telecommunication equipment,3_information_technology,
213,213,1228,Computer software,3_information_technology,3_information_technology
214,214,0525,Rental of computer equipment,3_information_technology,
215,215,1221,Voice comm equipment,3_information_technology,3_information_technology
216,216,0220,Telephone & other voice svcs,3_information_technology,
217,217,0201,Travel-PS,7_travel,
218,218,1216,Computer equipment,3_information_technology,3_information_technology
219,219,0223,Digital channel comm svcs,3_information_technology,
220,220,0232,Video Communications Services,3_information_technology,
221,221,0331,Exposition services,2_professional_services,
222,222,0878,Warranty Extension,1_facilities_and_construction,
223,223,1222,Data comm equipment,3_information_technology,3_information_technology
224,224,1225,Telecomm eqpt parts,3_information_technology,3_information_technology
225,225,0445,Tuition Fees for Courses Where Employees Take Training on Their Own Time,9_human_capital,
226,226,0420,Engineering and architectural services (including research),1_facilities_and_construction,
227,227,0353,Other communications professional services,2_professional_services,
228,228,0226,Data communication svcs,3_information_technology,
229,229,0423,Engineering consultants-Other,1_facilities_and_construction,
230,230,0474,Information Management services,3_information_technology,
231,231,475,Information Technology services,3_information_technology,3_information_technology
232,232,0404,Communications services,2_professional_services,
233,233,4623,Information Technology services,3_information_technology,3_information_technology
234,234,0475,Information Technology services,3_information_technology,
235,235,640,"Buildings and/or installations for telecommunications, computers and/or electronic/automated office systems-Repairs and Maintenance",1_facilities_and_construction,1_facilities_and_construction
236,236,590,License/Maintenance fees for image/video communications software (includes telepresence/video conferencing software),3_information_technology,3_information_technology
237,237,0231,Data communications services,3_information_technology,
238,238,0495,Services related to the assessment of potentially contaminated sites,1_facilities_and_construction,
239,239,0640,"Buildings and/or installations for telecommunications, computers and/or electronic/automated office systems-Repairs and Maintenance",1_facilities_and_construction,
240,240,0587,"Rental of computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",3_information_technology,
241,241,0402,Human resources management services,2_professional_services,
242,242,0522,"Rental of image/video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)",3_information_technology,
243,243,474,Information Management services,3_information_technology,3_information_technology
244,244,4620,Human resources management services,2_professional_services,2_professional_services
245,245,404,Communications services,2_professional_services,2_professional_services
246,246,498,Services related to the monitoring of previously contaminated sites,1_facilities_and_construction,1_facilities_and_construction
247,247,5130,Maintenance of value adjustments,,
248,248,402,Human resources management services,2_professional_services,9_human_capital
249,249,4565,Other health services,4_medical,4_medical
250,250,587,"Rental of computer equipment related to production and operations (P&O) environment-All servers, storage, printers, etc. (includes all related parts and peripherals)",3_information_technology,3_information_technology
251,251,4510,Licence fees,3_information_technology,
252,252,407,Acquisition services,2_professional_services,2_professional_services
253,253,4529,Rental of parking space,1_facilities_and_construction,1_facilities_and_construction
254,254,0514,Rental of other buildings,1_facilities_and_construction,
255,255,4593,Miscellaneous,,2_professional_services
256,256,0405,Real property services,1_facilities_and_construction,
257,257,4621,Financial management services,2_professional_services,2_professional_services
258,258,2412,Assistance to encourage employment,4_medical,
259,259,2411,2411 Payments to universities in aid of research,2_professional_services,
260,260,0881,0881 Construction services,1_facilities_and_construction,
261,261,4624,Communications services,2_professional_services,2_professional_services
262,262,4559,Supplementary Inspection services,2_professional_services,1_facilities_and_construction
263,263,4546,Sales of information products,2_professional_services,
264,264,0670,Computer equipment - hardware and software,3_information_technology,
265,265,0852,Real Estate services,2_professional_services,
266,266,0221,Basic data communications services (excluding enhanced telecommunications services),3_information_technology,
267,267,0823,Conference fees,9_human_capital,
268,268,822,Hospitality,10_office_management,10_office_management
269,269,0709,Other public utility services,1_facilities_and_construction,
270,270,0212,Postage and parcel post,10_office_management,
271,271,0421,Architectural services,1_facilities_and_construction,
272,272,0444,Teachers and instructors on contract,9_human_capital,
273,273,0540,Rental of motor and other vehicles,5_transportation_and_logistics,
274,274,0476,Information technology consultants,3_information_technology,
275,275,1232,"Office furniture and furnishings, including parts",10_office_management,10_office_management
276,276,1370,Residential buildings,1_facilities_and_construction,1_facilities_and_construction
277,277,0658,"Electric lighting, distribution and control equipment",1_facilities_and_construction,
278,278,0851,Banking services,2_professional_services,
279,279,0815,Collection agency fees and charges,2_professional_services,
280,280,0000,"Rental of machinery, office furniture & fixtures",10_office_management,
281,281,0520,Rental of voice communications equipment,3_information_technology,
282,282,0860,Other business services - outside government,2_professional_services,
283,283,0854,Motor Vehicle Licences,5_transportation_and_logistics,
284,284,0202,Travel - non-public servants,7_travel,
285,285,0471,Telecommunications Consultants,3_information_technology,
286,286,031,Publishing services,2_professional_services,
287,287,046,Protection services,8_security_and_protection,
288,288,1220,Voice communications equipment,3_information_technology,3_information_technology
289,289,041,Legal services,2_professional_services,
290,290,1233,"Office furniture and furnishings, including parts",10_office_management,10_office_management
291,291,1234,"Office furniture and furnishings, including parts",10_office_management,10_office_management
292,292,1235,"Office furniture and furnishings, including parts",10_office_management,10_office_management
293,293,1236,"Office furniture and furnishings, including parts",10_office_management,10_office_management
294,294,1224,"Digital communications equipment for integrated voice, data (message/text, and computer) or image/video communications",3_information_technology,3_information_technology
295,295,1230,"Office furniture and furnishings, incl. parts",10_office_management,10_office_management
296,296,0253,Public Servant Travel - Support internal governanc,7_travel,
297,297,Offi,"furniture and furnishings, including parts",1_facilities_and_construction,
298,298,670,Computer equipment - hardware and software,3_information_technology,3_information_technology
299,299,472,Information technology consultants ,3_information_technology,3_information_technology
300,300,220,Telephone and other voice services (excluding enhanced telecommunications services) ,3_information_technology,3_information_technology
301,301,854,Motor vehicle licences,5_transportation_and_logistics,5_transportation_and_logistics
302,302,232,Image/Video communications services (includes telepresence/video conferencing services),3_information_technology,3_information_technology
303,303,511,Rental of office buildings,1_facilities_and_construction,1_facilities_and_construction
304,304,0511,Rental of office buildings,1_facilities_and_construction,
305,305,2049,Other non-recoverable payments to persons,5_transportation_and_logistics,
306,306,445,Tuition fees for courses where employees take training on their own time,9_human_capital,9_human_capital
307,307,207,Employee Relocation in Canada,7_travel,7_travel
308,308,403,Financial management services,2_professional_services,2_professional_services
309,309,1113,Dairy Products and Other Animal Products,10_office_management,10_office_management
310,310,664,"Communications/ Networking Equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",3_information_technology,3_information_technology
311,311,892,Recreational Services,2_professional_services,2_professional_services
312,312,815,Collection Agency Fees and Charges,2_professional_services,2_professional_services
313,313,1161,Non-ferrous Metals,6_industrial_products_and_services,6_industrial_products_and_services
314,314,589,Rental - Communications Networking Equipment,3_information_technology,3_information_technology
315,315,221,Basic Data Communications Services (Excluding Enhanced Telecommunications Services),3_information_technology,3_information_technology
316,316,669,Telecommunications Equipment,3_information_technology,3_information_technology
317,317,227,Other Communications Services,2_professional_services,3_information_technology
318,318,3718,Suspense Account (credit balance) - Other Government Departments,,
319,319,201,Travel - Public Servants,7_travel,7_travel
320,320,702,tural Gas,1_facilities_and_construction,1_facilities_and_construction
321,321,202,Travel - Non-public Servants,7_travel,7_travel
322,322,471,Telecommunications Consultants,3_information_technology,3_information_technology
323,323,1132,Pharmaceutical and Other Medicinal Products,4_medical,4_medical
324,324,520,Rental of Voice Communications Equipment,3_information_technology,3_information_technology
325,325,440,"Education - Elementary, Secondary, College, University and Special Education",9_human_capital,9_human_capital
326,326,226,Data Communications Services (Including All Non-voice Telecommunications Services),3_information_technology,3_information_technology
327,327,561,Rental of Aircraft,5_transportation_and_logistics,5_transportation_and_logistics
328,328,580,Rental of Analog Communications / Networking Equipment,3_information_technology,3_information_technology
329,329,586,License/Maintenance fees for IT Security Software,3_information_technology,3_information_technology
330,330,1133,"Explosives, Pyrotechnic Products, etc.",6_industrial_products_and_services,8_security_and_protection
331,331,683,Miscellaneous Vehicles,5_transportation_and_logistics,5_transportation_and_logistics
332,332,0588,0588 Rental of Computers -Client Computing Domain - Desktop/Personal/Portable,3_information_technology,
333,333,1295,1295 - Communications/Networking Equipment >$5K,3_information_technology,3_information_technology
334,334,0261,0261 - NonPublic Servant-Operational,7_travel,
335,335,0481,0481 - Storage/Warehousing,3_information_technology,
336,336,0440,0446 - Training Consultants & Instructors,9_human_capital,
337,337,0322,0322 - Copier Fleet,10_office_management,
338,338,0496,0496 - Service Contracts,1_facilities_and_construction,
339,339,0263,0263 - Hotel Services,7_travel,
340,340,0579,0579 - Cloud Services,3_information_technology,
341,341,0443,0443 - Staff Development Training,9_human_capital,
342,342,263,0263 -Hotel Services,7_travel,7_travel
343,343,025,Air Charter Services,5_transportation_and_logistics,
344,344,122,Purchase of 16 laptops,3_information_technology,3_information_technology
345,345,0466,Microsoft Office Training Sessions,2_professional_services,
346,346,0252,Charter Flights from Iqaluit to Cambridge Bay,7_travel,
347,347,044,Project Management Training,9_human_capital,
348,348,089,Display setup and Teardown,2_professional_services,
349,349,0430,Scientific services,2_professional_services,
350,350,0453,Physicians and surgeons,4_medical,
351,351,0422,Engineering consultants-Construction,1_facilities_and_construction,
352,352,0264,Non-public servant travel-Support employee training,7_travel,
353,353,6299,Net increase or decrease in other liability,,
354,354,0207,Employee relocation in Canada,7_travel,
355,355,0655,Processing Machinery,6_industrial_products_and_services,
356,356,1253,Satellite and spacecraft acquisition and parts,3_information_technology,2_professional_services
357,357,0656,"Heating, air-conditioning and refrigeration equipment",1_facilities_and_construction,
358,358,0611,Waterworks and sewage systems,1_facilities_and_construction,
359,359,0607,"Highways, roads, and streets",1_facilities_and_construction,
360,360,0645,Other buildings,1_facilities_and_construction,
361,361,0199,Others,,
362,362,0683,Miscellaneous vehicles,5_transportation_and_logistics,
363,363,199,Other (specify),2_professional_services,
364,364,453,Physicians and surgeons,4_medical,4_medical
365,365,6099,Net Increases or Decreases in Other Specified Purpose Accounts,,
366,366,0743,Information technology and telecommunications consultants,3_information_technology,
367,367,3452,Usage of Inventory,5_transportation_and_logistics,6_industrial_products_and_services
368,368,1358,Other Institution Buildings,1_facilities_and_construction,1_facilities_and_construction
369,369,1125,Light Fuel Oil,5_transportation_and_logistics,5_transportation_and_logistics
370,370,455,Dental Services,4_medical,4_medical
371,371,0455,Dental Services,4_medical,
372,372,444,Teachers and Instructors on Contract,9_human_capital,9_human_capital
373,373,0452,Welfare Services,4_medical,
374,374,1369,Other Non-residential Buildings,1_facilities_and_construction,1_facilities_and_construction
375,375,0639,Institutional Buildings,1_facilities_and_construction,
376,376,254,Public Servant Travel - Employee Training,7_travel,7_travel
377,377,0705,Waste Disposal,1_facilities_and_construction,
378,378,0628,Other Engineering Installations,1_facilities_and_construction,
379,379,0262,Non-Public Servant Travel - Stakeholder Engagement,7_travel,
380,380,0702,tural Gas,1_facilities_and_construction,
381,381,0265,Non-Public Servant Travel - Other Reasons,7_travel,
382,382,1148,"ted Matter, Including Books, Newspapers, Pictures, Manuscripts and Forms",10_office_management,10_office_management
383,383,0891,Personal Services,2_professional_services,
384,384,0450,Hospital Services,4_medical,
385,385,0586,License/Maintenance fees for IT Security Software,3_information_technology,
386,386,0703,Sewer and Water,1_facilities_and_construction,
387,387,0255,Public Servant Travel - Other Reasons,7_travel,
388,388,454,Paramedical Personnel,4_medical,4_medical
389,389,264,Non-Public Servant Travel - Training,7_travel,7_travel
390,390,501,Rental of Land,1_facilities_and_construction,1_facilities_and_construction
391,391,1116,Beverages and Tobacco,10_office_management,10_office_management
392,392,262,Non-Public Servant Travel - Stakeholder Engagement,7_travel,7_travel
393,393,1176,Glass or Glass Products,6_industrial_products_and_services,2_professional_services
394,394,851,Banking Services,2_professional_services,2_professional_services
395,395,0315,On line publishing services,2_professional_services,
396,396,0589,"Rental of communications/networking equipment (includes analog, digital and combined analog/digital equipment, cabling, parts and peripherals)",3_information_technology,
397,397,4562,File Folders,10_office_management,10_office_management
398,398,0119,Transportation Mail Services,5_transportation_and_logistics,
399,399,4619,"Replacement, and install to fit, eight (8) CR Laurence manufactured speak-thru communicators",3_information_technology,2_professional_services
400,400,0899,Court Reporting - Saskatchewan,2_professional_services,
401,401,3250,Court Usher - Montreal,2_professional_services,2_professional_services
402,402,2302,Occupational Health and Safety Training Services,2_professional_services,2_professional_services
403,403,0454,Medical Services,4_medical,
404,404,223,Cabling services - NCR,3_information_technology,3_information_technology
405,405,322,Imaging services,10_office_management,10_office_management
406,406,255,Public Servant Travel—Other reasons,7_travel,7_travel
407,407,0,,,
408,408,855,Acquisition and contract charges,2_professional_services,2_professional_services
