d_vendor_name,contracts,contracts_with_amendments,has_amendments_percentage
BIGHORN CONSTRUCTION,6,1,0.1667
BIRD CONSTRUCTION COMPANY,3,0,0
BLACK MCDONALD,135,28,0.2074
BLACKBERRY,7,1,0.1429
BLUE WATER SYSTEM,1,0,0
BLUEDOT,1,0,0
BLUEDROP TRAINING SIMULATION,1,0,0
BLUEWAVE ENERGY,166,29,0.1747
BLUMETRIC ENVIRONMENTAL,25,3,0.12
BMC SOFTWARE CANADA,5,0,0
BMT FLEET TECHNOLOGY,8,3,0.375
BOMBARDIER,7,0,0
BOMIMED,1,0,0
BOUTHILLETTE PARIZEAU,16,1,0.0625
BRANDT TRACTOR,16,0,0
BRONSWERK MARINE,40,1,0.025
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,4,2,0.5
BRS INNOVATIONS,6,0,0
BRUKER,6,0,0
BUREAU VERITAS CANADA,10,2,0.2
C CORE,21,2,0.0952
CACHE COMPUTER CONSULTING,11,3,0.2727
CADEX,17,0,0
CAE,18,4,0.2222
CALIAN,352,197,0.5597
CAMPBELL SCIENTIFIC CANADA,4,0,0
CAN AM PLATFORMS CONSTRUCTION,1,0,0
CANADA POST,6,0,0
CANADENSYS AEROSPACE,3,0,0
CANADIAN BASE OPERATORS,115,44,0.3826
CANADIAN BORDER OPERATIONS,1,1,1
CANADIAN CORPS OF COMMISSIONAIRES,884,151,0.1708
CANADIAN DEVELOPMENT CONSULTANTS,1,1,1
CANADIAN HELICOPTERS,6,0,0
CANADIAN MARITIME ENGINEERING,21,3,0.1429
CANADIAN NORTH,4,1,0.25
CANADIAN NUCLEAR LABORATORIES,2,1,0.5
CANADIAN STANDARDS ASSOCIATION,4,0,0
CANADYNE TECHNOLOGIES,15,0,0
CANON,98,6,0.0612
CANSEL SURVEY EQUIPMENT,17,1,0.0588
CANTEC SYSTEMS,27,2,0.0741
CARAHSOFT TECHNOLOGY,8,2,0.25
CARLETON LIFE SUPPORT SYSTEMS,9,1,0.1111
CARLETON UNIVERSITY,18,1,0.0556
CARMICHAEL ENGINEERING,13,9,0.6923
CARO ANALYTICAL SERVICES,1,0,0
CASP AEROSPACE,6,1,0.1667
CBCI TELECOM,37,2,0.0541
CBCL,18,1,0.0556
CDW CANADA,154,9,0.0584
CEDROM SNI,1,0,0
CGI,3,1,0.3333
CH2M HILL CANADA,1,0,0
CHANNEL MANAGEMENT INTERNATIONAL,8,2,0.25
CHANTIER DAVIE CANADA,1,0,0
CHARRON HUMAN RESOURCES,16,3,0.1875
CHEF BRANDZ,115,0,0
CHEVRON,18,0,0
CHUBB EDWARDS,6,0,0
CIMA,1,0,0
CISTEL TECHNOLOGY,1,0,0
CITRIX,3,0,0
CLARIANT CANADA,101,5,0.0495
CLERMARK,16,2,0.125
CLICK NETWORKS,11,1,0.0909
CLOSEREACH,15,4,0.2667
CO VEN,1,1,1
COASTAL RESTORATION MASONRY,58,5,0.0862
COCO PAVING,5,3,0.6
COFOMO,3,0,0
COLLIERS PROJECT LEADERS,12,4,0.3333
COLT CANADA,104,3,0.0288
COLUMBIA FUELS,16,0,0
COMBAT NETWORKS,12,1,0.0833
COMMERCIAL BUILDING CLEANING,4,0,0
COMMVAULT SYSTEMS,1,0,0
COMPUCOM CANADA,42,1,0.0238
CON PRO INDUSTRIES CANADA,2,1,0.5
CONCEPT CONTROLS,35,3,0.0857
CONEXSYS,3,0,0
CONNEX TELECOMMUNICATIONS,2,1,0.5
CONOSCENTI TECHNOLOGIES,2,2,1
CONSTRUCTION COTE FILS,3,0,0
CONSTRUCTION COUTURE TANGUAY,2,0,0
CONSTRUCTION JESSIKO,5,1,0.2
CONTRACT COMMUNITY,23,11,0.4783
CONVERGINT TECHNOLOGIES,9,3,0.3333
COPCAN CIVIL,3,3,1
CORADIX TECHNOLOGY CONSULTING,15,6,0.4
COREBUILD CONSTRUCTION,1,0,0
COSSETTE COMMUNICATIONS,16,0,0
CRYPTOMILL TECHNOLOGIES,1,0,0
CSDC SYSTEMS,2,0,0
CTOMS,4,1,0.25
CUBIC DEFENSE APPLICATIONS,1,0,0
CULLEN DIESEL POWER,4,0,0
CUMMINS CANADA,25,3,0.12
D DOYLE INSTALLATIONS,4,0,0
DADS,203,22,0.1084
DAIMLER,52,0,0
DALHOUSIE UNIVERSITY,11,1,0.0909
DALIAN ENTERPRISES,6,2,0.3333
DASCO EQUIPMENT,6,0,0
DATA COMMUNICATIONS MANAGEMENT,2,0,0
DAVTAIR INDUSTRIES,12,0,0
DBC MARINE SAFETY SYSTEMS,5,0,0
DECAREL,1,0,0
DECISIVE GROUP,23,0,0
DECISIVE TECHNOLOGIES,154,4,0.026
DEFENCE CONSTRUCTION CANADA,29,2,0.069
DELCO AUTOMATION,8,3,0.375
DELL COMPUTER,94,2,0.0213
DELOITTE AND TOUCHE,30,6,0.2
DEW ENGINEERING,54,6,0.1111
DEXTER CONSTRUCTION,60,4,0.0667
DEXTERRA,130,11,0.0846
DILIGENS,2,0,0
DILLON CONSULTING,41,7,0.1707
DIRECT ENERGY BUSINESS,40,8,0.2
DLS TECHNOLOGY,3,0,0
DNR CONSULTING GROUP,10,0,0
DON SAYWELL DEVELOPMENTS,127,1,0.0079
DONNA CONA,32,3,0.0938
DRAEGER,9,1,0.1111
DRS SUSTAINMENT SYSTEMS DRS SSI,1,0,0
DRS TECHNOLOGIES CANADA,4,0,0
DSS MARINE,10,0,0
DST CONSULTING ENGINEERS,24,5,0.2083
DYMECH ENGINEERING,1,0,0
DYNABOOK CANADA,15,1,0.0667
DYNACARE,1,0,0
DYNAMIC FACILITY SERVICES,4,0,0
DYNAMIC PERSONNEL CONSULTANTS,45,23,0.5111
E CONSTRUCTION,29,0,0
EAGLE PROFESSIONAL RESOURCES,1,1,1
EASTPOINT ENGINEERING,100,43,0.43
EASTWAY CONTRACTING,31,4,0.129
EBC,1,0,0
EBSCO CANADA,63,2,0.0317
ECLIPSYS SOLUTIONS,66,4,0.0606
ECOLE DE LANGUES ABCE,9,3,0.3333
ECOLE DE LANGUES LA CITE,114,23,0.2018
ECOPIA TECH,2,0,0
ELBIT SYSTEMS,6,0,0
ELLISDON,5,3,0.6
ELSEVIER,4,0,0
EMCON SERVICES,30,17,0.5667
EMERGENT BIOSOLUTIONS,5,2,0.4
EMMANUEL CONSTRUCTION SERVICES,1,0,0
EMMONS MITCHELL CONSTRUCTION,13,9,0.6923
EMPOWERED NETWORKS,15,1,0.0667
ENGLOBE,104,25,0.2404
ENMAX,63,12,0.1905
ENTRUST,4,1,0.25
ENVIRONICS RESEARCH GROUP,1,0,0
ENVIROSAFE JANITORIAL,59,5,0.0847
ERNST YOUNG,37,14,0.3784
ESRI,140,1,0.0071
EUROVIA QUEBEC CONSTRUCTION,1,0,0
EVALUATION PERSONNEL SELECTION,1,0,0
EVOLVECOMP CONSTRUCTION,8,1,0.125
EXCEL 7,2,1,0.5
EXCEL HUMAN RESOURCES,139,52,0.3741
EXP SERVICES,16,3,0.1875
EXXONMOBIL,1024,2,0.002
F M INSTALLATIONS,1,1,1
FACTIVA,3,0,0
FARMER CONSTRUCTION,188,15,0.0798
FAST FORWARD FRENCH,29,8,0.2759
FAST TRACK STAFFING,1,0,0
FCA CANADA,178,14,0.0787
FEDERAL FLEET SERVICES,1,1,1
FELIX TECHNOLOGY,125,11,0.088
FFG,17,6,0.3529
FIDELITY ENGINEERING CONSTRUCTION,5,0,0
FINNING INTERNATIONAL,2,0,0
FLEETWAY,4,3,0.75
FLIGHT FUELS,57,0,0
FLIGHTSAFETY CANADA,2,1,0.5
FLYNN CANADA,5,0,0
FMC PROFESSIONALS,9,4,0.4444
FN HERSTAL,16,2,0.125
FORD MOTOR COMPANY,510,30,0.0588
FORRESTER RESEARCH,2,0,0
FORT GARRY FIRE TRUCK,9,2,0.2222
FRANCIS CANADA TRUCK CENTRE,5,1,0.2
FRECON CONSTRUCTION,15,6,0.4
FREQUENTIS CANADA,4,1,0.25
FRESENIUS KABI CANADA,1,0,0
FSC,1,0,0
GAB INDUSPAC,235,3,0.0128
GAMBLE TECHNOLOGIES,11,1,0.0909
GAP WIRELESS,68,0,0
GARTNER,114,9,0.0789
GATEWAY MECHANICAL SERVICES,25,3,0.12
GC STRATEGIES,3,2,0.6667
GDI SERVICES,51,5,0.098
GEMTEC,25,4,0.16
GEN MEC ACL,1,1,1
GENERAL ELECTRIC CANADA,20,2,0.1
GENERAL MOTORS,291,10,0.0344
GENESIS INTEGRATION,71,6,0.0845
GENTEX INTERNATIONAL,14,0,0
GEORGE COUREY,8,0,0
GEOSPECTRUM TECHNOLOGIES,10,1,0.1
GETINGE CANADA,2,1,0.5
GFL ENVIRONMENTAL,57,4,0.0702
GHD,3,0,0
GILMORE REPRODUCTIONS,4,2,0.5
GLOBAL KNOWLEDGE,104,2,0.0192
GLOBAL TOTAL OFFICE,9,0,0
GLOBAL UPHOLSTERY,199,2,0.0101
GOLDER ASSOCIATES,55,18,0.3273
GORDON BARR,8,6,0.75
GOSS GILROY,2,0,0
GRAND TOY,176,3,0.017
GRAYBRIDGE INTERNATIONAL CONSULTING,47,16,0.3404
GREAT SLAVE HELICOPTERS,1,0,0
GREENDALE RESOURCES,2,0,0
GRIFFIN ENGINEERED SYSTEMS,4,0,0
GROUPE ENERGIE BDL,12,3,0.25
GROUPE GEYSER,2,0,0
GROUPE ROBERT,1,0,0
GUNTER LANGKOPF MASCHINENBAU,47,15,0.3191
H H CONSTRUCTION,52,8,0.1538
HARNOIS ENERGIES,517,5,0.0097
HARRIS TRANSPORT,133,19,0.1429
HATCH,2,0,0
HAWBOLDT INDUSTRIES,2,1,0.5
HAWORTH,16,0,0
HEMMERA ENVIROCHEM,6,3,0.5
HENSOLTD SENSORS,2,0,0
HERCULES SLR,14,1,0.0714
HERITAGE RESTORATION,1,1,1
HEWLETT PACKARD,14,3,0.2143
HFI PYROTECHNICS,14,0,0
HIGHLANDS FUEL DELIVERY,114,9,0.0789
HITACHI DATA SYSTEMS,4,1,0.25
HITRAC,16,1,0.0625
HOLLAND COLLEGE,2,0,0
HONEYWELL,5,0,0
HORIZANT,1,0,0
HOSKIN SCIENTIFIC,33,1,0.0303
HOULE ELECTRIC,30,6,0.2
HUBSPOKE,10,7,0.7
HUMAN LOGISTICS,6,2,0.3333
HUMANSYSTEMS,6,0,0
HYPERTEC,182,6,0.033
I4C INFORMATION TECHNOLOGY,2,0,0
IBISKA TELECOM,51,19,0.3725
IBM CANADA,43,2,0.0465
ICEBERG NETWORKS,1,0,0
IDS SYSTEMS CONSULTANTS,2,1,0.5
IFATHOM,2,0,0
IHS GLOBAL,5,0,0
IIC TECHNOLOGIES,1,0,0
ILLUMINA CANADA,4,0,0
IMP GROUP,4,0,0
IMPERIAL CLEANERS,61,10,0.1639
IMPERIAL OIL,870,2,0.0023
INDAL TECHNOLOGIES,30,2,0.0667
INDUSTRA CONSTRUCTION,12,6,0.5
INDUSTRIES OCEAN,1,1,1
INFO TECH RESEARCH GROUP,5,0,0
INSA,10,1,0.1
INSTITUT NATIONAL D OPTIQUE,9,1,0.1111
INSTRUX MEDIA,1,0,0
INTEGRA NETWORKS,39,5,0.1282
INTEGRATED DISTRIBUTION SYSTEMS,4,1,0.25
INTER MEDICO,2,2,1
INTER OUTAOUAIS,12,0,0
INTERACTIVE AUDIO VISUAL,34,1,0.0294
INTERCON MARINE,2,1,0.5
INTERGRAPH CANADA,25,0,0
INTERNATIONAL CUSTOM PRODUCTS ICP,1,0,0
INTERNATIONAL REPORTING,5,0,0
INTERNATIONAL SAFETY RESEARCH,6,2,0.3333
IPSS,40,3,0.075
IRON MOUNTAIN,7,0,0
IRONCLAD EARTHWORKS,4,0,0
IRVING OIL,865,29,0.0335
IRVING SHIPBUILDING,2,0,0
ISLAND CATERING,5,1,0.2
IT NET CONSULTANTS,5,1,0.2
ITEX,304,11,0.0362
J J TRAILERS MANUFACTURERS AND SALES,7,1,0.1429
J L RICHARDS ASSOCIATES,12,11,0.9167
JANKEL TACTICAL SYSTEMS,3,1,0.3333
JASCO APPLIED SCIENCES CANADA,2,0,0
JASTRAM ENGINEERING,1,0,0
JHT DEFENSE,337,16,0.0475
JIM PATTISON INDUSTRIES,1,0,0
JOHN WILEY SONS,7,2,0.2857
JOHNSON CONTROLS CANADA,14,2,0.1429
JONELJIM CONCRETE CONSTRUCTION,6,0,0
JOSEPH ELIE,2,0,0
JOWA FAHRZEUGTEILE VERTRIEBS,12,3,0.25
JP2G CONSULTANTS,62,21,0.3387
K RITE CONSTRUCTION,3,0,0
KAYCOM,47,2,0.0426
KENN BOREK AIR,5,0,0
KEYSIGHT TECHNOLOGIES CANADA,36,2,0.0556
KEYSTONE SUPPLIES INTERNATIONAL,2,0,0
KF AEROSPACE,1,1,1
KIA CANADA,28,7,0.25
KINETIC CONSTRUCTION,13,5,0.3846
KMS INDUSTRIES,3,0,0
KNAPPETT INDUSTRIES,9,3,0.3333
KONE,9,2,0.2222
KONGSBERG,2,0,0
KONICA MINOLTA BUSINESS SOLUTIONS,89,12,0.1348
KPMG,9,2,0.2222
KRAUSS MAFFEI WEGMANN,23,8,0.3478
KUBOTA CANADA,11,0,0
KUDLIK CONSTRUCTION,1,0,0
L P ROYER,1,0,0
L3HARRIS,161,16,0.0994
LANNICK CONTRACT SOLUTIONS,3,1,0.3333
LANSDOWNE TECHNOLOGIES,14,6,0.4286
LARRY PENNER ENTERPRISES,108,0,0
LAURENTIAN TECHNOLOGIES,27,3,0.1111
LAVAL FORTIN,2,0,0
LAZY H TRAIL COMPANY,2,1,0.5
LEEWAY YACHTS,2,0,0
LEO PISCES SERVICES GROUP,6,1,0.1667
LEONARDO,5,0,0
LES HUILES DESROCHES,208,9,0.0433
LEVITT SAFETY,57,0,0
LEXISNEXIS CANADA,4,0,0
LIEBHERR CANADA,4,0,0
LIFE TECHNOLOGIES,29,3,0.1034
LIFTKING MANUFACTURING,18,2,0.1111
LLOYD S REGISTER CANADA,1,0,0
LOCATION DE MOTONEIGES HAUTE MATAWINIE,6,0,0
LOCKHEED MARTIN,16,3,0.1875
LOGISTIK UNICORP,167,9,0.053900000000000003
LOWE MARTIN COMPANY,8,1,0.125
LRO STAFFING,8,4,0.5
LUMINA IT,5,2,0.4
LUXTON CONSTRUCTION,4,2,0.5
LYNLEY CONTRACTING SERVICES,45,5,0.1111
M D CHARLTON,37,0,0
M SULLIVAN SON,2,0,0
MACDONALD DETTWILER AND ASSOCIATES,376,16,0.0426
MACEWEN PETROLEUM,216,3,0.0139
MACK TRUCKS,3,0,0
MACKINNON AND OLDING,283,12,0.0424
MAGELLAN AEROSPACE,7,1,0.1429
MAKWA RESOURCING,7,2,0.2857
MAN ENERGY SOLUTIONS CANADA,2,0,0
MANITEX LIFTKING,1,0,0
MANITOBA HYDRO,44,0,0
MANPOWER SERVICES CANADA,8,2,0.25
MAPLESOFT CONSULTING,4,3,0.75
MARINE RECYCLING,3,0,0
MARITIME FENCE,20,1,0.05
MARITIME FUELS,226,7,0.031
MARKLAND PAVING,1,0,0
MARTEC,18,2,0.1111
MAVERIN,3,1,0.3333
MAXIM 2000,1,0,0
MAXSYS STAFFING AND CONSULTING,35,16,0.4571
MAXXAM ANALYTICS,8,2,0.25
MCCOLMAN SONS DEMOLITION,5,2,0.4
MCELHANNEY ASSOCIATES,1,0,0
MCKESSON CANADA,176,4,0.0227
MCKINSEY AND COMPANY,6,1,0.1667
MCW CUSTOM ENERGY SOLUTIONS,5,3,0.6
MDOS CONSULTING,2,0,0
MEAL KIT SUPPLY CANADA,5,0,0
MED ENG HOLDINGS,10,1,0.1
MEDAVIE,2,1,0.5
MEDIA Q,1,0,0
MEGA TECH,7,0,0
MEGALEXIS COMMUNICATIONS,1,0,0
MEGGITT,4,0,0
MERCEDES BENZ CANADA,100,0,0
MERCURY MARINE,7,0,0
MERIDIAN MEDICAL TECHNOLOGIES,3,2,0.6667
MESSA COMPUTING,7,3,0.4286
METOCEAN TELEMATICS,1,0,0
MGIS,7,3,0.4286
MICHAEL WAGER CONSULTING,22,12,0.5455
MICHELIN,35,2,0.0571
MICRONOSTYX,1,1,1
MICROSOFT CANADA,49,3,0.0612
MID VALLEY CONSTRUCTION,36,0,0
MILLBROOK TACTICAL,52,2,0.0385
MILLER PAVING,5,1,0.2
MINDWIRE SYSTEMS,6,2,0.3333
MISHKUMI TECHNOLOGIES,64,5,0.0781
MITSUBISHI MOTOR SALES,12,1,0.0833
MLS OVERSEAS,459,153,0.3333
MNP,2,0,0
MOBILE RESOURCE GROUP,11,1,0.0909
MOBILE VALVE,50,0,0
MOBILITY LAB,33,1,0.0303
MODIS CANADA,37,21,0.5676
MOMENTUM SOLUTIONS,39,6,0.1538
MORPHO CANADA,1,0,0
MORRISON HERSHFIELD,1,1,1
MOTOR COACH INDUSTRIES,2,0,0
MOTOROLA SOLUTIONS CANADA,209,18,0.0861
MTS ALLSTREAM,2,1,0.5
MULTINATIONAL LOGISTIC SERVICES,75,11,0.1467
MUSTANG SURVIVAL,30,0,0
MWCO,1,0,0
N P A,4,0,0
"NANOMETRICS",1,0,0
"NASITTUQ",1,0,0
"NATCO PHARMA CANADA",2,0,0
"NATIONAL ARTS CENTRE",1,0,0
"NATIONAL TEST PILOT SCHOOL",3,1,0.3333
"NATTIQ",7,0,0
"NAV CANADA",13,3,0.2308
"NAVAMAR",1,1,1
"NAVPOINT CONSULTING GROUP",3,2,0.6667
NELSON ENVIRONMENTAL REMEDIATION,2,2,1
NEPTEC DESIGN GROUP,1,0,0
NEPTUNE SECURITY SERVICES,9,4,0.4444
NEWFOUND RECRUITING,11,2,0.1818
NEXTER SYSTEMS,1,1,1
NISHA TECHONOLOGIES,450,25,0.0556
NISSAN CANADA,29,1,0.0345
NITAM SOLUTIONS,5,0,0
NOKIA CANADA,14,1,0.0714
NOLINOR AVIATION,4,0,0
NORR,2,2,1
NORTH ATLANTIC PETROLEUM,19,0,0
NORTH BAY HYDRO,31,1,0.0323
NORTH CARIBOO AIR,1,0,0
NORTHROP GRUMMAN,6,3,0.5
NORTRAX CANADA,17,0,0
NOTRA,20,3,0.15
NOVA NETWORKS,51,3,0.0588
NOVA SCOTIA POWER,16,5,0.3125
NU VIEW HOMES,2,1,0.5
NUA OFFICE,5,0,0
NUMBER TEN ARCHITECTURAL GROUP,4,3,0.75
NUNA EAST,1,0,0
OGILVY MONTREAL,1,0,0
OMNITECH ELECTRONICS,15,0,0
ONIX NETWORKING CANADA,2,0,0
ONX ENTERPRISE SOLUTIONS,21,3,0.1429
OPENFRAME TECHNOLOGIES,14,6,0.4286
OPENTEXT,13,2,0.1538
OPROMA,3,0,0
OPSIS,13,2,0.1538
OPTIMUM SOLUTIONS,141,0,0
OPTIV CANADA FEDERAL,4,0,0
ORACLE CANADA,20,0,0
ORANGUTECH,12,1,0.0833
OTIS ELEVATOR,2,0,0
PACIFIC INDUSTRIAL MARINE,2,1,0.5
PACIFIC SAFETY PRODUCTS,6,0,0
PAL AEROSPACE,34,1,0.0294
PALADIN GROUP,27,3,0.1111
PALFINGER MARINE,2,0,0
PANASONIC,6,0,0
PARKER JOHNSTON INDUSTRIES,2,0,0
PARKLAND REFINING,41,2,0.0488
PARSONS CANADA,1,0,0
PATLON AIRCRAFT INDUSTRIES,60,5,0.0833
PATTISON SIGN GROUP,5,1,0.2
PCL CONSTRUCTORS,5,1,0.2
PEERLESS GARMENTS,10,2,0.2
PENNANT CANADA,2,1,0.5
PENNECON,2,0,0
PEPCO,143,5,0.035
PERSISTENT SYSTEMS,18,1,0.0556
PETRO AIR SERVICES,35,1,0.0286
PETROVALUE PRODUCTS,105,0,0
PHASELOCK SYSTEMS INTERNATIONAL,18,0,0
PIONEER CONSTRUCTION,1,0,0
PITNEY BOWES,7,0,0
PLEIAD CANADA,6,3,0.5
PODOLINSKY EQUIPMENT,11,1,0.0909
POLARIS INDUSTRIES,18,0,0
POMERLEAU,8,0,0
PRA,1,0,0
PRECISIONIT,5,3,0.6
PRICEWATERHOUSE COOPERS,8,3,0.375
PRIMEX PROJECT MANAGEMENT,26,2,0.0769
PRINTERS PLUS,68,3,0.0441
PROCOM CONSULTANTS,14,7,0.5
PROLOGIC SYSTEMS,6,1,0.1667
PROMAXIS,96,42,0.4375
PROQUEST,49,4,0.0816
PROSCI CANADA,8,0,0
PROTAK CONSULTING GROUP,17,9,0.5294
PURELOGIC,182,4,0.022
PURESPIRIT SOLUTIONS,85,3,0.0353
PYLON ELECTRONICS,1,0,0
QIAGEN,2,0,0
QINETIQ,25,4,0.16
QM ENVIRONMENTAL,8,1,0.125
QMR,45,11,0.2444
QUAD PRO CONSTRUCTION,1,1,1
QUANTUM MANAGEMENT SERVICES,25,6,0.24
QUEEN S UNIVERSITY,32,1,0.0312
QUINAN CONSTRUCTION,3,1,0.3333
QUINTET CONSULTING,15,5,0.3333
R R INTERNATIONAL TRANSLATION,7,0,0
RACEROCKS 3D,3,1,0.3333
RADIATION SOLUTIONS,2,1,0.5
RAMPART INTERNATIONAL,52,1,0.0192
RANDSTAD,22,11,0.5
RAYMOND CHABOT GRANT THORNTON,6,0,0
RAYTHEON,11,3,0.2727
RENK AKTIENGECELLSCHAFT,2,0,0
REPUBLIC ARCHITECTURE,87,25,0.2874
REVISION MILITARY,6,1,0.1667
RGT CLOUTHIER CONSTRUCTION,19,9,0.4737
RHEA,4,0,0
RHEINMETALL,63,14,0.2222
RIGHTWAY SANITATION SERVICES,164,2,0.0122
RIKJAK CONSTRUCTION,13,0,0
RISK SCIENCES INTERNATIONAL,1,0,0
ROBERTSON MARTIN ARCHITECTS,5,2,0.4
ROCHE DIAGNOSTICS,6,0,0
ROCKWELL COLLINS CANADA,5,1,0.2
ROGERS,4,0,0
ROHDE SCHWARZ CANADA,13,1,0.0769
ROLLING TIDES CONSTRUCTION,10,2,0.2
ROOF TILE MANAGEMENT,1,1,1
ROSBOROUGH BOATS,4,1,0.25
ROSCOE CONSTRUCTION,19,0,0
RUSH TRUCK CENTRES OF CANADA,7,0,0
RUSSEL METALS,85,2,0.0235
SAAB,27,1,0.037
SABA SOFTWARE,2,1,0.5
SANEXEN SERVICES ENVIRONMENTAUX,4,3,0.75
SAP,16,1,0.0625
SAPPER LABS CYBER SOLUTIONS,1,1,1
SAS INSTITUTE,4,1,0.25
SCA SHIPPING CONSULTANTS ASSOCIATED,373,66,0.1769
SCALAR DECISIONS,8,1,0.125
SDL INTERNATIONAL CANADA,1,0,0
SEASPAN VICTORIA SHIPYARDS,6,0,0
SED SYSTEMS,1,0,0
SELECT GLOBAL INTERNATIONAL,4,0,0
SERCO,3,1,0.3333
SERVICE STAR BUILDING CLEANING,10,8,0.8
SETANTA CONTRACTING,128,20,0.1562
SGS AXYS ANALYTICAL SERVICES,6,0,0
SHARP ELECTRONICS,5,0,0
SHELL CANADA PRODUCTS,1805,39,0.0216
SHI CANADA,16,0,0
SI SYSTEMS,31,14,0.4516
SIEMENS,28,3,0.1071
SIERRA SYSTEMS GROUP,5,1,0.2
SIMEX DEFENCE,785,26,0.0331
SIMO MANAGEMENT,41,4,0.0976
SIMPLEX GRINNELL,6,0,0
SLR CONSULTING CANADA,17,6,0.3529
SMITHS DETECTION,2,1,0.5
SNC LAVALIN,118,39,0.3305
SOFTCHOICE,79,3,0.038
SOFTSIM TECHNOLOGIES,25,15,0.6
SOLOTECH,67,0,0
SOMOS,30,13,0.4333
SOUCY INTERNATIONAL,7,0,0
SOUTHWEST RESEARCH INSTITUTE,3,0,0
ST JOHN AMBULANCE,4,0,0
ST JOSEPH PRINT GROUP,9,3,0.3333
STANLEY CONSTRUCTION,6,4,0.6667
STANTEC,204,60,0.2941
STERIS CANADA,3,0,0
STERLING FUELS,58,2,0.0345
STIFF SENTENCES,2,1,0.5
STONEWORKS TECHNOLOGIES,127,4,0.0315
STOPS TACTICAL TRAINING,1,0,0
STRONG BROS GENERAL CONTRACTING,24,9,0.375
STRYKER CANADA,4,0,0
SUBARU CANADA,27,4,0.1481
SUMMIT CANADA DISTRIBUTORS,5,0,0
SUN LIFE ASSURANCE COMPANY,5,2,0.4
