d_vendor_name,max_years,n
AIRBUS,12.01,21
AIRCRAFT APPLIANCES AND EQUIPMENT,14.99,2
AIRPORT TECHNOLOGIES,2,22
AIWORX,5.01,3
AKM GROUP,1.58,3
ALGONQUIN COLLEGE,5,27
ALIKA INTERNET TECHNOLOGIES,0.57,2
ALLEN HASTINGS,0.48,1
ALLIANCE ENERGY,0.56,8
ALLIANT TECHSYSTEMS OPERATIONS,10.01,8
ALLIED PROJECTS,2.92,9
ALLSEATING,1.28,8
ALMIQ CONTRACTING,4.27,1
ALPINE HELICOPTERS,2.05,1
ALS CANADA,3.86,82
ALTIS HUMAN RESOURCES,6.3,179
AMAN BUILDERS,3.17,2
AMAZON,2.67,23
AMER SPORTS CANADA,6.03,7
AMERESCO CANADA,15.01,2
AMERICAN BUREAU OF SHIPPING,0.46,2
AMERICAN CHEMICAL SOCIETY,1,5
AMRON CONSTRUCTION,2.51,153
AMTECH AERONAUTICAL,6.12,15
AMTEK ENGINEERING,5.53,30
ANALYTICAL GRAPHICS,4.26,23
ANIXTER,5.65,173
ANSYS CANADA,4.92,9
AON REED STENHOUSE,3,9
APEX STEEL GAS,3.1,86
APOTEX,3.4,2
APPAREL TRIMMINGS,5,38
APPLIED ELECTONICS,3.03,96
APPLIED SYSTEMS ENGINEERING,0.01,1
APRON FUEL SERVICES,2,384
AQUA LUNG CANADA,5.07,62
AQUA POWER CLEANERS 1979,3,1
AQUATIC INFORMATICS,1,1
ARAL CONSTRUCTION 2014,1.54,2
ARCADIS CANADA,4.91,30
ARCHITECTURE 49,4.97,145
ARI FINANCIAL SERVICES,5,23
ARRM ELECTRIC,1.19,38
ARTEMP PERSONNEL SERVICES,1.96,6
ARTEX SPORTSWEAR,5.16,12
ASBEX,0.88,1
ASC GERMANY,1.65,5
ASC GERMANY AMOURED SPECIALITY CARS,0.45,1
ASOKAN BUSINESS INTERIORS,0.83,8
ATCO,6.3,51
ATLANTIC BUSINESS INTERIORS,0.84,20
ATLANTIC TOWING,1,2
ATLANTICA MECHANICAL CONTRACTORS,3.01,10
AUSENCO SUSTAINABILITY,0.07,1
AV TECH,2.99,9
AVALON HOLOGRAPHICS,1.13,5
AVI SPL,3.04,114
AVJET HOLDING,1.07,323
AVONDALE CONSTRUCTION,0.76,14
AXYS TECHNOLOGIES,0.58,4
B BRAUN OF CANADA,4.32,2
BABCOCK INTERNATIONAL GROUP,12.03,27
BABEL STREET,1,2
BAE SYSTEMS,9.1,113
BAJA CONSTRUCTION CANADA,1.81,7
BARDON SUPPLIES,0.98,177
BARGREEN ELLINGSON,1.16,236
BARRON S REFRIGERATION HEATING,1,114
BARTA MACHINE,9.01,2
BATTLE RIVER ELECTRIC,2,70
BAVARIAN NORDIC,10.01,1
BDO CANADA,1.06,8
BECKMAN COULTER CANADA,4.27,2
BEE CLEAN BUILDING MAINTENANCE,4.11,146
BELAND LAPOINTE,3.15,2
BELL CANADA,10.33,82
BELL TEXTRON,9.22,7
BERLITZ CANADA,1.57,18
BEST SERVICE PROS,4.38,122
BGLA,2,1
BIGHORN CONSTRUCTION,1,6
BIO RAD LABORATORIES CANADA,0.16,2
BIOKINETICS AND ASSOCIATES,6,1
BIOMERIEUX CANADA,0.05,2
BIRD CONSTRUCTION COMPANY,1.63,4
BLACK MCDONALD,4,163
BLACKBERRY,1,9
BLUE WATER SYSTEM,2.6,1
BLUEDOT,1,1
BLUEDROP TRAINING SIMULATION,6.13,3
BLUEWAVE ENERGY,1.8,161
BLUMETRIC ENVIRONMENTAL,6.03,35
BLUNDEN CONSTRUCTION 1995,0.82,6
BMC SOFTWARE CANADA,1,6
BMT FLEET TECHNOLOGY,9.99,11
BOLLORE LOGISTICS,0.22,1
BOLLORE LOGISTICS CANADA,0.47,9
BOMBARDIER,10.01,11
BOMIMED,4.4,2
BONDFIELD CONSTRUCTION COMPANY,2.99,1
BOUTHILLETTE PARIZEAU,3,19
BRADLEY AIR SERVICES,0.01,1
BRANDT TRACTOR,2.01,22
BRECKENHILL,1.1,1
BRIQUETAL,1.21,2
BRONSWERK MARINE,10.04,50
BROOK CONSTRUCTION,0.32,1
BROOKFIELD ASSET MANAGEMENT,7.27,1
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,1.18,5
BRS INNOVATIONS,2.01,6
BRUKER,3.08,9
BUBBLE TECHNOLOGY INDUSTRIES,5.03,7
BUNZL CANADA,0.82,6
BUREAU VERITAS,5.19,27
C CORE,5,30
C S BUILDERS,0.63,11
CACHE COMPUTER CONSULTING,2.06,15
CADEX,5.01,23
CAE,23.9,38
CALIAN,13.01,438
CALYTERA SOFTWARE,1,3
CAMOSUN COLLEGE,1.89,10
CAMPBELL SCIENTIFIC CANADA,5.34,5
CAN AM PLATFORMS CONSTRUCTION,1.61,1
CANADA,1,29
CANADA POST,1,7
CANADA WEST AVIONICS,0.58,6
CANADENSYS AEROSPACE,1.09,3
CANADIAN AIRMOTIVE,6.01,14
CANADIAN BANK NOTE COMPANY,5.13,2
CANADIAN BASE OPERATORS,3.47,161
CANADIAN BORDER OPERATIONS,10.01,1
CANADIAN CORPS OF COMMISSIONAIRES,4.34,1083
CANADIAN DEVELOPMENT CONSULTANTS,1.5,1
CANADIAN HELICOPTERS,3.01,8
CANADIAN MARITIME ENGINEERING,5.06,28
CANADIAN NATIONAL RAIL,0.28,1
CANADIAN NORTH,0.06,5
CANADIAN NUCLEAR LABORATORIES,2.75,3
CANADIAN RED CROSS,4,3
CANADIAN SPACE SERVICES,4.06,7
CANADIAN STANDARDS ASSOCIATION,1.01,4
CANADYNE TECHNOLOGIES,3.02,16
CANEVAS CONSTRUCTION,0.97,4
CANON,5.73,138
CANSEL SURVEY EQUIPMENT,3,25
CANTEC SYSTEMS,5.28,31
CAPELLO SYSTEMS,0.03,1
CARAHSOFT TECHNOLOGY,1,15
CARDINAL HEALTH CANADA,2,5
CARL ZEISS CANADA,0.04,1
CARLETON LIFE SUPPORT SYSTEMS,2.79,10
CARLETON UNIVERSITY,4.17,24
CARMICHAEL ENGINEERING,3.5,17
CARO ANALYTICAL SERVICES,2.99,4
CARON PROFESSIONAL LINGUISTIC,1.48,1
CARRIERE QUEBEC,0.08,1
CARVERY S CONSTRUCTION,3.02,74
CAS ELL STRUCTURES,1.55,152
CASCADE AEROSPACE,19.45,4
CASP AEROSPACE,11.05,7
CBCI TELECOM,4.49,40
CBCL,2,26
CDW CANADA,4.09,223
CEGERCO,3.32,1
CENTURY GROUP,1.02,2
CGI,5.01,3
CH2M HILL CANADA,0.01,1
CHANNEL MANAGEMENT INTERNATIONAL,2.5,13
CHANTIER DAVIE CANADA,5.01,1
CHEAM TIMBRO GROUP PARTNERSHIP,0.68,1
CHEF BRANDZ,0,115
CHEMICAL ABSTRACTS SERVICE,1.15,1
CHEMPROTECT,2.81,3
CHEROKEE CONTRACTING,2.3,5
CHEVRON,3,20
CHRONO AVIATION,0.18,4
CHUBB EDWARDS,1.05,9
CIMA,2.56,2
CISION CANADA,3,5
CISTEL TECHNOLOGY,0.92,1
CITRIX,0.64,3
CITY WYEED ELECTRIC,1.57,1
CIVIL UNDERGROUND EXCAVATION,1.1,1
CLARIANT CANADA,0.56,115
CLERMARK,4.5,18
CLICK NETWORKS,3,13
CLOSEREACH,2.97,20
CLOUTHIER VENTURES,0.65,2
CO VEN,3.34,2
COASTAL RESTORATION MASONRY,2,86
COBHAM MISSION SYSTEMS DAVENPORT,0.81,1
COCO PAVING,0.67,5
COENTREPRISE CITE CARON,0.35,3
COFELY SERVICES,3.28,1
COFOMO,3.01,5
COLLIERS PROJECT LEADERS,3.55,15
COLT CANADA,9.93,133
COLUMBIA FUELS,2,17
COMBAT NETWORKS,4.06,13
COMERCIAL BUILDING CLEANERS,3,2
COMMANDER PACIFIC FLEET,5.3,1
COMMERCIAL BUILDING CLEANERS,3.01,5
COMMERCIAL BUILDING CLEANING,3,4
COMMUNITECH,5,2
COMMVAULT SYSTEMS,3.25,3
COMPASS GROUP CANADA,0.83,21
COMPUCOM CANADA,3.99,53
COMPUGEN,4,41
COMPUMSTR,1,1
CON PRO INDUSTRIES CANADA,1.93,4
CONCEPT CONTROLS,5.41,43
CONEXSYS,1,3
CONFERENCE BOARD OF CANADA,3,5
CONNEX TELECOMMUNICATIONS,0.24,2
CONOSCENTI TECHNOLOGIES,3.96,4
CONSTRUCTION COTE FILS,1.62,3
CONSTRUCTION COUTURE TANGUAY,1.47,4
CONSTRUCTION CPB,2,1
CONTRACT COMMUNITY,5.48,32
CONTRO VALVE,1.81,25
CONTROLS EQUIPMENT,4,20
CONVERGINT TECHNOLOGIES,1.45,11
COPCAN CIVIL,2.66,7
CORADIX TECHNOLOGY CONSULTING,6.09,22
CORCAN,9.58,33
COREBUILD CONSTRUCTION,2.76,1
CORPORATION DU FORT ST JEAN,16.66,6
CORRECTIONAL SERVICES OF CANADA,1.25,11
COSSETTE COMMUNICATIONS,1.4,17
CP ENERGY MARKETING,1.04,3
CP ENERGYH MARKETING,0.25,1
CRANDALL ENGINEERING,1.18,1
CRE TRANSPORT,0.2,29
CRYPTOMILL TECHNOLOGIES,0.7,1
CSDC SYSTEMS,1,2
CSI CONSULTING,2,6
CTOMS,5.01,6
CUBE CONSTRUCTION,2.33,5
CUBIC DEFENSE APPLICATIONS,15.01,4
CULLEN DIESEL POWER,1.11,7
CUMMINS CANADA,1.81,33
CUSTOM HELICOPTERS,0.02,5
D DOYLE INSTALLATIONS,0.07,4
DADS,1,203
DAIMLER,1.13,69
DALCON CONSTRUCTORS,0.96,2
DALHOUSIE UNIVERSITY,3,18
DALIAN ENTERPRISES,4,10
DARE HUMAN RESOURCES,5.67,5
DASCO EQUIPMENT,0.33,7
DASCO STORAGE SOLUTIONS,5.78,95
DASSAULT SYSTEMES CANADA,1.72,5
DATA CENTRE INTELLIGENCE,1,7
DATA COMMUNICATIONS MANAGEMENT,0.09,2
DATIFEX,1.02,4
DAVE MCDONALD ELECTRIC,1,4
DAVTAIR INDUSTRIES,1.91,14
DBC MARINE SAFETY SYSTEMS,2.31,7
DCC REGIONAL OFFICE HQ DIVISION WESTERN REGION,1,1
DECAREL,2.35,1
DECISIVE GROUP,5.44,212
DEFENCE CONSTRUCTION CANADA,2.77,39
DEFENSE INFORMATION SYSTEMS AGENCY,7.77,2
DELCO AUTOMATION,0.65,10
DELCO SECURITY,0.47,4
DELL COMPUTER,13.09,118
DELOITTE,3.7,44
DELTA PHOTONICS,1.16,24
DETON CHO LOGISTICS,0.04,71
DEW ENGINEERING,10.01,71
DEXTER CONSTRUCTION,2.63,90
DEXTERRA,11.02,177
DILIGENS,4,7
DILLON CONSULTING,2.36,51
DIRECT ENERGY BUSINESS,10.01,72
DLS TECHNOLOGY,3.78,5
DNR CONSULTING GROUP,1.01,10
DO ALL CONSTRUCTION,2.21,23
DON SAYWELL DEVELOPMENTS,3.05,195
DONNA CONA,2.67,39
DRAEGER,10.19,10
DRAPEAUX ET BANNIERES L ETENDARD,2.01,4
DSS MARINE,2.78,10
DST CONSULTING ENGINEERS,3.1,25
DUVALTEX CANADA,4,2
DWP SOLUTIONS,5.5,2
DYMECH ENGINEERING,4.68,4
DYNABOOK CANADA,0.52,18
DYNACARE,5.17,2
DYNAMIC FACILITY SERVICES,3,4
DYNAMIC PERSONNEL CONSULTANTS,3,54
E CONSTRUCTION,0.95,38
EAGLE PROFESSIONAL RESOURCES,1.38,1
EASTPOINT ENGINEERING,3.91,138
EASTWAY CONTRACTING,3.13,33
EBC,3.92,1
EBSCO CANADA,6.01,93
ECLIPSYS SOLUTIONS,5.04,88
ECOLE DE LANGUES ABCE,1.66,13
ECOLE DE LANGUES EAGLE,2.16,18
ECOLE DE LANGUES LA CITE,1.81,144
ECOPIA TECH,0.72,2
EDMONDS LANDSCAPE AND CONSTRUCTION,0.59,3
EFCO ENTERPRISES,1.09,14
EFFIGIS GEO SOLUTIONS,0.17,3
EILEEN ROOFING,1.1,4
EL DORADO ENGINEERING,7.73,2
ELBIT SYSTEMS,7.2,16
ELITE ENVIRONMENTAL GROUP,2,16
ELLICE RECYCLE,4.12,2
ELLISDON,2.6,7
ELSEVIER,3,7
EMCEE CONSTRUCTION AND MANAGEMENT,2.19,6
EMCON SERVICES,2.31,36
EMERGENCY MEDICAL TECHNOLOGY,5,1
EMERGENT BIOSOLUTIONS,9.72,8
EMMANUEL CONSTRUCTION SERVICES,0.41,2
EMMONS MITCHELL CONSTRUCTION,2.43,14
EMPOWERED NETWORKS,3.89,17
EMS TECHNOLOGIES,5.03,2
EMTEC,1,2
ENERGERE CONSULTANTS,17.8,2
ENGLOBE,5.32,153
ENMAX,1.25,67
ENSEIGNES PATTISON SIGN GROUP,2,34
ENTREPRISE DE CONSTRUCTION T E Q,2,1
ENTRUST,3.31,5
ENVELOPPE CONCEPT,0.09,1
ENVIRONICS RESEARCH GROUP,1.13,2
ENVIROSAFE JANITORIAL,3,61
ENVIROSERVICES,0.99,1
EPPENDORF CANADA,0.08,1
EQUIPOS INDUSTRIALES DE MANUTENCION,4.31,2
ERNST YOUNG,3.73,59
ESRI,3.72,185
ESSEX INDUSTRIES,5.38,2
EUROVIA QUEBEC CONSTRUCTION,0.35,1
EVALUATION PERSONNEL SELECTION,0.34,1
EVOLUTION ROOFING,0.32,1
EVOLVECOMP CONSTRUCTION,1.06,11
EVRIPOS JANITORIAL SERVICES,5.57,1
EXCALIBUR ENVIRONMENTAL SERVICES,0.95,8
EXCAVATION RENE ST PIERRE ENG,0.58,1
EXCEL 7,1,2
EXCEL HUMAN RESOURCES,4.43,174
EXP SERVICES,2.9,20
EXPERIS,2.98,2
EXXONMOBIL,4.02,1159
F M INSTALLATIONS,2.59,2
FACTIVA,1.06,5
FALCON ENVIRONMENTAL,0.65,53
FARMER CONSTRUCTION,1.21,238
FAST FORWARD FRENCH,3.38,48
FAST TRACK STAFFING,0.88,2
FASTENAL,2.93,327
FCA CANADA,1.45,268
FEDERAL FLEET SERVICES,7.22,1
FELIX TECHNOLOGY,6.99,158
FERENCE COMPANY CONSULTING,1.49,1
FFG,7.05,27
FIDELITY ENGINEERING CONSTRUCTION,1.27,6
FINNING INTERNATIONAL,0.55,2
FIRSTCHOICE GROUP CANADA,1.21,8
FLEETWAY,13.03,11
FLIGHT FUELS,0.48,104
FLIGHTSAFETY CANADA,5.3,4
FLYNN CANADA,1.22,7
FMC PROFESSIONALS,1.37,9
FN HERSTAL,1.84,21
FORD MOTOR COMPANY,5.52,542
FORRESTER RESEARCH,1,3
FORT GARRY FIRE TRUCK,4.9,13
FOX TRANSLATIONS,0.05,1
FRANCIS CANADA TRUCK CENTRE,1.2,6
FRECON CONSTRUCTION,1.19,16
FRED TROTTIER CONSTRUCTION,1.79,1
FREQUENTIS CANADA,5.37,6
FRESENIUS KABI CANADA,3.99,2
FRESIA S P A,3.1,1
FSC,0.07,1
G N JOHNSTON EQUIPMENT COMPANY,2,1
G PLUS INDUSTRIES,0.32,1
GAB INDUSPAC,1.13,284
GALAXY BROADBAND COMMUNICATIONS,0.18,2
GALVION,0.83,2
GAMBLE TECHNOLOGIES,3.19,17
GAP WIRELESS,1.24,74
GARTNER,1.92,150
GARY PARKER EXCAVATING,3.01,34
GATEWAY MECHANICAL SERVICES,1.18,47
GC STRATEGIES,1.67,5
GDI,1,15
GDI SERVICES,5.1,56
GEMTEC,3,28
GEN MEC ACL,1.54,1
GENERAL DYNAMICS,12.21,344
GENERAL ELECTRIC CANADA,10.41,26
GENERAL MOTORS,3.02,336
GENESIS INTEGRATION,4.89,73
GEORGE COUREY,0.51,11
GEORGIAN PAVING A DIVISION OF MILLER PAVING,1.16,2
GEOSPECTRUM TECHNOLOGIES,4.71,14
GETINGE CANADA,1.82,2
GFL ENVIRONMENTAL,5,80
GFL ENVIRONMENTAL SERVICES,0.42,7
GHD,0.74,5
GILMORE REPRODUCTIONS,0.62,5
GLAMOX CANADA,3.01,1
GLOBAL KNOWLEDGE,4.06,122
GLOBAL TOTAL OFFICE,1,11
GLOBAL UPHOLSTERY,7.01,251
GOLDER ASSOCIATES,4.49,62
GOOGLE CANADA,2.61,7
GORDON BARR,2,8
GORDON FOOD SERVICE,3.04,490
GOSS GILROY,0.29,2
GOVERNMENT OF ALBERTA,1,3
GOVERNMENT OF NUNAVUT,0.08,4
GOVERNMENT OF SASKATCHEWAN,1,4
GRAND TOY,1.28,229
GRANICUS CANADA HOLDINGS,1,3
GRAYBAR CANADA,4,60
GRAYBRIDGE INTERNATIONAL CONSULTING,1.99,69
GREAT SLAVE HELICOPTERS,0.04,2
GREATER TORONTO AIRPORT AUTHORITY,0.74,2
GREENDALE RESOURCES,1.1,5
GREGORY KERR,0.83,25
GREYTOP COMMERCIAL CONSTRUCTION,0.74,4
GRIFFIN ENGINEERED SYSTEMS,0.89,4
GROUPE ENERGIE BDL,0,12
GROUPE GEYSER,3.33,3
GROUPE ROBERT,1,2
GUILLEVIN INTERNATIONAL,0.98,107
GUNTER LANGKOPF MASCHINENBAU,5.01,61
H E ARMSTRONG MECHANICAL,1.02,142
H H CONSTRUCTION,2.92,64
HACKETT CONSULTING,1.35,3
HALPENNY INSURANCE BROKERS,1.01,4
HARLED,3,6
HARNOIS ENERGIES,2.61,661
HARRIS TRANSPORT,0.54,133
HASTINGS PAINTING,0.71,4
HATCH,1.2,3
HAWBOLDT INDUSTRIES,6,4
HAWORTH,0.31,16
HCL CANADA,0,1
HDP GROUP,3.46,7
HEMMERA ENVIROCHEM,3.6,6
HENSOLTD SENSORS,5.02,3
HEPBURN ENGINEERING,11.01,2
HEROLD ENGINEERING,1.09,3
HEWLETT PACKARD,4.01,22
HEXAGON,3,30
HEYL,3.16,2
HFI PYRO,1.4,1
HFI PYROTECHNICS,4.84,17
HFI PYROTONICS,1.06,2
HIGHER STANDARD SALES HSS,0.5,1
HIGHLANDS FUEL DELIVERY,1.24,17
HITACHI DATA SYSTEMS,4.01,6
HITRAC,1.01,16
HOLLAND COLLEGE,0.01,2
HOME COMPLETIONS,0.96,5
HONEYWELL,10,17
HORIZANT,1,1
HOSKIN SCIENTIFIC,1.42,37
HOULE ELECTRIC,1.76,34
HOWARD E LITTLE EXCAVATING,1.33,34
HUBSPOKE,4.96,16
HUMAN LOGISTICS,0.24,7
HUMANSCALE CANADA,0.36,16
HUMANSYSTEMS,5.01,8
HYPERACTIVE PRODUCTIONS,0.79,4
HYPERION CONSULTING,4,22
HYPERTEC,4.78,261
I M P GROUP,24.02,2
I4C INFORMATION TECHNOLOGY,0.9,2
IBISKA TELECOM,6,75
IBM CANADA,9.01,62
ICEBERG NETWORKS,1,1
IDP GROUP,1.09,1
IDS SYSTEMS CONSULTANTS,4,2
IFATHOM,1.55,7
IIC TECHNOLOGIES,2.3,1
ILLUMINA CANADA,0.46,4
IMAGO MACHINE VISION,10.04,9
IMP GROUP,11.01,10
IMPERIAL CLEANERS,4.87,69
IMPERIAL OIL,2.02,988
IMPERIAL OIL AVIATION FUEL,0,2
INDAL TECHNOLOGIES,9.45,44
INDUSTRA CONSTRUCTION,1.82,14
INDUSTRIES OCEAN,6.19,1
INFO TECH RESEARCH GROUP,1,7
INLAND AUDIO VISUAL,0.53,65
INNOCAR,2.01,2
INSA,1.59,16
INSIGHT SOFTWARE CANADA,4.01,25
INSTITUT NATIONAL D OPTIQUE,5,10
INSTITUTE ON GOVERNANCE,0.71,6
INSTRUX MEDIA,0.73,1
INTEGRA NETWORKS,5.09,52
INTEGRATED DISTRIBUTION SYSTEMS,2,4
INTER MEDICO,5,2
INTER OUTAOUAIS,2.36,14
INTERACTIVE AUDIO VISUAL,1,57
INTERCON MARINE,3.05,4
INTERFAX SYSTEMS,1.99,22
INTERNATIONAL CUSTOM PRODUCTS ICP,1.02,1
INTERNATIONAL REPORTING,4.08,6
INTERNATIONAL SAFETY RESEARCH,5.54,14
INVERIS TRAINING SOLUTIONS,7.01,14
IPSOS,0.53,1
IPSS,5.02,53
IRON MOUNTAIN,4.88,10
IRONCLAD EARTHWORKS,0.72,5
IRVING OIL,5,1085
IRVING SHIPBUILDING,13.76,8
ISLAND CATERING,3,5
ISLAND TEMPERATURE CONTROLS,0.94,69
IT NET CONSULTANTS,3,8
IT NET OTTAWAINC KPMG,2,1
ITEX,6.61,357
IVAN S CAMERA,0.82,100
J J TRAILERS MANUFACTURERS AND SALES,2.01,10
J L RICHARDS ASSOCIATES,3.19,13
JANE S GROUP UK,1,3
JANKEL TACTICAL SYSTEMS,1.08,4
JASCO APPLIED SCIENCES CANADA,1.99,6
JASTRAM ENGINEERING,2,2
JCB,1,8
JHT DEFENSE,4.99,437
JIM PATTISON INDUSTRIES,0.1,1
JIMCOR LINE CONSTRUCTION,1.3,49
JOHN WILEY SONS,2.04,9
JOHNSON CONTROLS,1,12
JOHNSON CONTROLS CANADA,15.13,18
JONELJIM CONCRETE CONSTRUCTION,1.42,10
JOSEPH ELIE,0,2
JOWA FAHRZEUGTEILE VERTRIEBS,2.99,13
JP2G CONSULTANTS,6.18,75
JSK NAVAL SUPPORT,8.01,67
JULIAN SIMON GROUP,0.77,1
JUNO RISK SOLUTIONS,0.76,8
JWK CONTRACTING,1,10
K RITE CONSTRUCTION,2.96,3
KENN BOREK AIR,0.17,6
KEYSIGHT TECHNOLOGIES CANADA,3.1,48
KEYSTONE SUPPLIES INTERNATIONAL,1.33,5
KF AEROSPACE,21.85,5
KIA CANADA,0.76,28
KILEY PAVING,0.66,3
KIM CONSTRUCTORS,0.62,39
KINETIC CONSTRUCTION,3.76,19
KINETIC MACHINE WORKS,0.75,7
KING CONSTRUCTION,1,2
KINGS ENTERPRISES,1.33,98
KIRILA FIRE CANADA,0.79,2
KMS INDUSTRIES,1.04,3
KNAPPETT INDUSTRIES,4.16,17
KNIGHT AEROSPACE,1.84,5
KNIGHT AEROSPACE MEDICAL SYSTEMS,0.74,1
KNOWLEDGE CIRCLE,1.35,4
KNOWLEDGE CIRCLE LEARNING SERVICES,1.44,16
KONE,4,13
KONGSBERG,4.58,3
KONICA MINOLTA BUSINESS SOLUTIONS,7.01,249
KORN FERRY CA,0.01,1
KPMG,5.2,20
KRAKEN ROBOTIC SYSTEMS,5.01,3
KRAUSS MAFFEI WEGMANN,5.06,29
KUBOTA CANADA,1,12
KUDLIK CONSTRUCTION,0,1
KYNDRYL CANADA,0.97,1
L P ROYER,6.02,2
L3 MAS,19.84,1
L3HARRIS,17.73,208
LANGUAGE RESEARCH DEVELOPMENT GROUP,5,1
LANNICK CONTRACT SOLUTIONS,0.87,3
LANSDOWNE TECHNOLOGIES,6.96,17
LARRY PENNER ENTERPRISES,0.13,111
LAURENTIAN TECHNOLOGIES,5.4,47
LAVAL FORTIN,0.12,2
LAZY H TRAIL COMPANY,5.9,3
LEAN AGILITY,2,3
LECO INSTRUMENTS,0.13,3
LEEWAY YACHTS,3,2
LEICA GEOSYSTEMS,6.01,38
LEIGHTON CONTRACTING,3.1,15
LEN CORCORAN EXCAVATING,2.18,3
LEO PISCES SERVICES GROUP,3.67,10
LEONARDO,9.12,40
LES ALIMENTS GUY CHICOINE,0,189
LES ENQUETES HENRI,0.77,3
LES ENTREPRISES FERVEL,5.92,3
LES ENTREPRISES ROBERT SANFACON,5.01,2
LES HUILES DESROCHES,0.97,243
LEVITT SAFETY,4.93,75
LEXISNEXIS CANADA,1.16,8
LIEBHERR CANADA,1,4
LIFE TECHNOLOGIES,1,30
LIFEPORT,1.01,1
LIFEWORKS CANADA,0.44,1
LIFTKING MANUFACTURING,1.25,19
LIMEN GROUP CONST,3.81,5
LINDE CANADA,3,12
LLOYD S REGISTER CANADA,10.01,3
LOCATION DE MOTONEIGES HAUTE MATAWINIE,0.93,7
LOCKHEED MARTIN,14.67,41
LOGISTIK UNICORP,12.18,223
LOUIS TANGUAY INFORMATIQUE,5.01,8
LOWE MARTIN COMPANY,0.36,9
LRO STAFFING,1.38,16
LUMINA IT,3,6
LUXTON CONSTRUCTION,1.19,5
LUXTON CONSTRUCTION PLAINS,1.73,9
LYNLEY CONTRACTING SERVICES,1.41,48
M D CHARLTON,4.93,51
M SULLIVAN SON,7.15,3
MACDONALD DETTWILER AND ASSOCIATES,8.89,396
MACEWEN PETROLEUM,1.84,290
MACK TRUCKS,5.95,6
MACKINNON AND OLDING,1.6,350
MADDOCKS CONSTRUCTION,1.42,6
MAGELLAN AEROSPACE,6.01,12
MAGNET FORENSICS,0.81,2
MAKWA RESOURCING,1.38,7
MALATEST,1.01,1
MAN ENERGY SOLUTIONS CANADA,9.04,3
MANAC WESTERN,4.54,9
MANITOBA HYDRO,1.12,45
MAPLESOFT CONSULTING,3.27,8
MARINE RECYCLING,1.81,3
MARINENAV,0.2,1
MARITIME FENCE,0.43,21
MARITIME FUELS,1,377
MARKLAND PAVING,1.51,1
MARSHALL AEROSPACE,3.79,1
MARTEC,6.01,27
MASUD TRADING COMPANY,0.16,1
MAVERIN,1.14,4
MAVERIN BUSINESS SERVICES,3.09,15
MAXIM 2000,2.83,2
MAXSYS STAFFING AND CONSULTING,3.13,49
MCCALLUM ROOFING,0.61,3
MCELHANNEY ASSOCIATES,2,2
MCGILL UNIVERSITY,4.93,19
MCKESSON CANADA,0.68,237
MCKINSEY AND COMPANY,0.39,11
MCKINSEY CANADA,0.16,2
MCMASTER UNIVERSITY,2.27,13
MCW CONSULTANTS,5,6
MCW CUSTOM ENERGY SOLUTIONS,17.43,7
MDOS CONSULTING,2.67,5
MEAD AUTOMATION SOLUTIONS,1.58,4
MEAL KIT SUPPLY CANADA,4.46,8
MED ENG HOLDINGS,5.01,15
MEDAVIE,4.07,2
MEDI SELECT,3,3
MEDIA Q,1,1
MEGA POWER INSTALLATIONS,0.91,99
MEGA TECH,0.29,7
