d_vendor_name,total
MOTOR COACH INDUSTRIES,9851247.08
GORDON BARR,9630887.59
ARCHITECTURE 49,9465519.53
HIGHLANDS FUEL DELIVERY,9450486.62
TESTFORCE SYSTEMS,9432932.69
FORT GARRY FIRE TRUCK,9358685.46
CASP AEROSPACE,9325907.16
CAN AM PLATFORMS CONSTRUCTION,9305894.70
CADEX,9259053.95
EVOLVECOMP CONSTRUCTION,9217675.96
MCKINSEY AND COMPANY,9158190.22
"NAVAMAR",9136427.90
RAMPART INTERNATIONAL,9060336.68
AMRON CONSTRUCTION,9014290.85
CUMMINS CANADA,8906879.99
GEN MEC ACL,8803620.00
PETROVALUE PRODUCTS,8752626.38
NORTH BAY HYDRO,8696727.03
CANADIAN NUCLEAR LABORATORIES,8603414.04
TOURE CLEANING SERVICES,8515128.17
LAZY H TRAIL COMPANY,8395304.75
MWCO,8394239.77
HUMANSYSTEMS,8355127.46
PROQUEST,8307740.78
COCO PAVING,8223516.43
HENSOLTD SENSORS,8159745.40
TECHNO FEU,8145490.60
SIMO MANAGEMENT,8143137.76
ZYCOM,8141153.11
TROY LIFE FIRE SAFETY,8116305.99
NEXTER SYSTEMS,8115958.22
MOBILITY LAB,8086041.74
NORTRAX CANADA,8046282.64
ARC TERYX EQUIPMENT A DIVISION OF AMER SPORTS CANADA,7975491.69
EASTWAY CONTRACTING,7919561.96
UNIVERSITY OF WATERLOO,7842887.09
XTECH EXPLOSIVE DECONTAMINATION,7753686.71
2KEYS,7738698.72
R J MACISAAC CONSTRUCTION,7698564.45
DIRECT ENERGY,7675894.31
TYR TACTICAL,7641342.81
EMT EMERGENCY MEDICAL TECHNOLOGY,7589889.43
UNIVERSAL WEATHER AND AVIATION,7564358.74
NOKIA CANADA,7546473.43
STOPS TACTICAL TRAINING,7434915.78
DRS ICAS,7424773.61
CANTEC SYSTEMS,7411521.92
F M INSTALLATIONS,7376173.96
DECISIVE GROUP,7300397.30
DYNAMIC FACILITY SERVICES,7164420.53
COMMERCIAL BUILDING CLEANING,7148805.52
LOCATION DE MOTONEIGES HAUTE MATAWINIE,7095723.09
ROCKWELL COLLINS CANADA,7029870.16
CLERMARK,6992745.53
CARLETON LIFE SUPPORT SYSTEMS,6924542.83
ZENITH PAVING,6922625.80
"NATCO PHARMA CANADA",6905157.05
BLUEDROP TRAINING SIMULATION,6845391.24
METALCRAFT MARINE,6787973.55
AMTEK ENGINEERING,6781456.69
VALUE MASTER BUILDERS,6776972.68
MORGAN ADVANCED MATERIALS COMPOSITES AND DEFENCE SYSTEMS,6745777.95
CLARIANT CANADA,6677498.56
TENAQUIP,6651629.20
UNIVERSITY OF OTTAWA,6626096.12
NORDLYS ENVIRONMENTAL PARTNERSHIP,6601984.59
MARITIME FUELS,6590222.04
CHEF BRANDZ,6551927.76
LIFTKING MANUFACTURING,6547552.01
PARKER JOHNSTON INDUSTRIES,6534277.71
A SANTIN MASON CONTRACTOR,6521635.65
TELECOMMUNICATION SUPPORT SERVICES,6495957.70
MULTINATIONAL LOGISTIC SERVICES,6451805.82
TOPFLIGHT ELITE TRAINING AND CHARTER SERVICES,6438601.32
APEX STEEL GAS,6428195.04
WASTE CONNECTIONS OF CANADA,6417529.58
DAVTAIR INDUSTRIES,6412579.92
WADE GENERAL CONTRACTING,6412286.91
DWP SOLUTIONS,6350023.84
TELEPHONICS,6341979.29
BARRON S REFRIGERATION HEATING,6331893.43
RIKJAK CONSTRUCTION,6183711.00
COFELY SERVICES,6143798.46
TAI,6141678.80
INDAL TECHNOLOGIES,6094046.41
APPLIED SYSTEMS ENGINEERING,6044170.82
YAMNUSKA,6035558.95
DEFENSE INFORMATION SYSTEMS AGENCY DISA,5970979.44
CHANNEL MANAGEMENT INTERNATIONAL,5957468.11
LIEBHERR CANADA,5926189.44
KODIAK GROUP HOLDINGS,5913131.12
ROOF TILE MANAGEMENT,5846945.25
OSI,5768956.04
SONOBUOY TECH SYSTEMS,5768953.74
INTERNATIONAL CUSTOM PRODUCTS ICP,5731360.00
FRANCIS CANADA TRUCK CENTRE,5728967.90
GAB INDUSPAC,5701127.28
LES ENTREPRISES FERVEL,5697915.24
DYMECH ENGINEERING,5688420.00
MANITEX LIFTKING,5655539.69
ACT,5617282.30
KAYCOM,5573314.88
ISLAND CATERING,5573213.60
MANITOBA HYDRO,5558607.15
HITRAC,5542456.56
A TECH ROOFING,5537047.50
TRANSWEST AIR,5525822.59
FARMER CONSTRUCTION,5503488.15
UNIVERSITY OF NEW BRUNSWICK,5488131.69
BEST FACILITIES SERVICES,5478913.71
AVONDALE CONSTRUCTION,5455886.21
AFW CONSTRUCTION,5395094.43
NU VIEW HOMES,5355613.35
DALHOUSIE UNIVERSITY,5330519.23
AMTECH AERONAUTICAL,5299042.03
FLYNN CANADA,5278724.28
PEPCO,5272730.87
SAPPER LABS CYBER SOLUTIONS,5267024.69
ST OPS TACTICAL TRAINING CANADA,5264185.00
AIR TINDI,5219019.51
ANIXTER CANADA,5216494.12
MICHELIN,5202482.79
ATLANTIC ROOFERS,5184056.33
OMNITECH ELECTRONICS,5157985.43
HUBSPOKE,5119612.16
BELAND LAPOINTE,5105620.24
AIRBOSS DEFENSE,5084540.19
SELECT GLOBAL INTERNATIONAL,5067053.88
ROHDE SCHWARZ CANADA,5061684.67
RACEROCKS 3D,5053897.76
NEPTUNE SECURITY SERVICES,5050899.28
ROLLING TIDES CONSTRUCTION,5006893.65
CRYPTOMILL TECHNOLOGIES,4968237.10
ZOLL MEDICAL CANADA,4910353.18
WOODWARD S OIL,4857046.00
EMS TECHNOLOGIES,4840981.55
INSTITUT NATIONAL D OPTIQUE,4795326.40
SERVICE STAR BUILDING CLEANING,4762456.45
PROTAK CONSULTING GROUP,4709775.46
THE VCAN GROUP,4692938.56
CARMICHAEL ENGINEERING,4689079.09
GLOBAL UPHOLSTERY,4646162.37
GAP WIRELESS,4586742.11
CHEVRON,4491563.91
FRECON CONSTRUCTION,4480067.23
HUMAN LOGISTICS,4348323.56
L P ROYER,4311712.21
MERIDIAN MEDICAL TECHNOLOGIES,4269049.97
CLOSEREACH,4267215.65
SOFTSIM TECHNOLOGIES,4266486.33
HEWLETT PACKARD,4264949.66
MCCOLMAN SONS DEMOLITION,4256482.55
INTEGRA NETWORKS,4244781.93
BRANDT TRACTOR,4184333.07
INTERGRAPH CANADA,4177185.60
ULTIMATE CONSTRUCTION,4159752.05
CONSTRUCTION COUTURE TANGUAY,4135757.23
RUSH TRUCK CENTRES OF CANADA,4131894.55
SCALAR DECISIONS,4019356.70
EVRIPOS JANITORIAL SERVICES,4016222.97
UNIVERSITY OF CALGARY,3893033.60
KUBOTA CANADA,3879209.34
HOULE ELECTRIC,3836630.93
CONCEPT CONTROLS,3814180.62
GLOBAL KNOWLEDGE,3791508.21
ONX ENTERPRISE SOLUTIONS,3788045.22
JASTRAM ENGINEERING,3761753.33
COPCAN CIVIL,3715920.70
VALARD CONSTRUCTION,3664332.41
ASC GERMANY,3620552.76
LARRY PENNER ENTERPRISES,3589647.45
VISIONTEC,3570566.54
THE MATHWORKS,3561341.78
WESTBURY NATIONAL SHOW SYSTEMS,3540119.73
VAISALA CANADA,3518030.29
TES CONTRACT SERVICES,3490111.79
IDS SYSTEMS CONSULTANTS,3400227.58
DBC MARINE SAFETY SYSTEMS,3387915.06
WASTE MANAGEMENT OF CANADA,3167604.39
RADIATION SOLUTIONS,3082131.00
FIDELITY ENGINEERING CONSTRUCTION,2971753.57
KEYSIGHT TECHNOLOGIES CANADA,2967573.85
UNIVERSITY OF BRITISH COLUMBIA,2910305.52
QUINAN CONSTRUCTION,2886412.43
ABB,2855583.17
SABA SOFTWARE,2811355.41
CON PRO INDUSTRIES CANADA,2804353.18
SMITHS DETECTION,2791589.17
CANSEL SURVEY EQUIPMENT,2779089.73
J J TRAILERS MANUFACTURERS AND SALES,2707519.84
RUSSEL METALS,2666979.21
COLLIERS PROJECT LEADERS,2632014.76
CONOSCENTI TECHNOLOGIES,2615498.01
GROUPE ENERGIE BDL,2542400.12
LEONARDO,2500884.43
DALIAN ENTERPRISES,2470669.37
POLARIS INDUSTRIES,2441719.23
GAMBLE TECHNOLOGIES,2419570.42
MCKESSON CANADA,2411346.23
TRAINOR MECHANICAL CONTRACTORS,2398642.61
CONSTRUCTION JESSIKO,2362639.84
PALADIN GROUP,2298068.82
CBCI TELECOM,2293235.50
GC STRATEGIES,2281125.10
MORPHO CANADA,2281000.00
MAPLESOFT CONSULTING,2231974.24
INTERACTIVE AUDIO VISUAL,2197750.45
MERCURY MARINE,2157793.50
KIA CANADA,2150177.34
PENNECON,2130327.36
OPENFRAME TECHNOLOGIES,2105974.73
73719 NEWFOUNDLAND LABRADOR,2072290.12
FLIGHT FUELS,2070475.74
THOMAS SCHMIDT,2066649.39
ATLANTICA MECHANICAL CONTRACTORS,2065712.82
FREQUENTIS CANADA,2039177.98
NORTH ATLANTIC PETROLEUM,1995703.95
MITSUBISHI MOTOR SALES,1977526.05
DST CONSULTING ENGINEERS,1961934.26
NOVA NETWORKS,1944172.38
JOHNSON CONTROLS CANADA,1907108.97
CACHE COMPUTER CONSULTING,1873460.04
BIGHORN CONSTRUCTION,1861282.47
ACCENTURE,1850269.12
UNIVERSITY OF WESTERN ONTARIO,1849442.40
ZERNAM ENTERPRISE,1823006.73
HOSKIN SCIENTIFIC,1802793.64
DRAEGER,1776340.39
4 OFFICE AUTOMATION,1771675.75
COASTAL RESTORATION MASONRY,1741107.68
MARITIME FENCE,1584936.33
CANADIAN BANK NOTE COMPANY,1550443.79
BRUKER,1540193.70
BRIQUETAL,1512305.05
PAL AEROSPACE,1500651.09
CGI,1497822.44
ACME FUTURE SECURITY CONTROLS,1492777.52
ORANGUTECH,1419823.31
PRECISIONIT,1416684.70
KONICA MINOLTA BUSINESS SOLUTIONS,1398151.71
CANADENSYS AEROSPACE,1376621.05
CLICK NETWORKS,1364861.65
NISSAN CANADA,1337124.47
LEO PISCES SERVICES GROUP,1321434.89
TAURUS CONTRACTORS,1298780.04
SYNERSOLUTIONS TECHNOLOGIES,1282313.68
WILCO CONTRACTORS SOUTHWEST,1268555.67
LEEWAY YACHTS,1265165.43
HERITAGE RESTORATION,1264738.37
RHEA,1213443.47
ECOPIA TECH,1170472.15
MOBILE RESOURCE GROUP,1170464.43
MESSA COMPUTING,1163374.47
GREENDALE RESOURCES,1121440.00
INSA,1104244.06
DYNACARE,1090511.27
SUBARU CANADA,1080865.02
ROSBOROUGH BOATS,1059411.31
DNR CONSULTING GROUP,1057132.46
VFA CANADA,976382.48
E CONSTRUCTION,972375.66
UNISYS CANADA,967600.59
KUDLIK CONSTRUCTION,961455.40
ONIX NETWORKING CANADA,951689.99
SUPER CHANNEL INTERNATIONAL,940764.43
EMPOWERED NETWORKS,935236.64
IHS GLOBAL,928275.92
THE IT BROKER,920551.78
CANADYNE TECHNOLOGIES,911608.14
K RITE CONSTRUCTION,908002.58
CONVERGINT TECHNOLOGIES,873576.62
AINSWORTH,868316.21
GRIFFIN ENGINEERED SYSTEMS,851467.00
W S MORGAN CONSTRUCTION,849034.30
UNIVERSITY OF SASKATCHEWAN,810161.68
IRONCLAD EARTHWORKS,779990.31
CANADIAN NORTH,754950.12
WATERS,752495.63
ANSYS CANADA,729210.26
ASBEX,705535.46
THE STEVENS COMPANY,699262.67
FRESENIUS KABI CANADA,641953.91
KMS INDUSTRIES,640040.11
EMMANUEL CONSTRUCTION SERVICES,632244.00
JANKEL TACTICAL SYSTEMS,627202.33
PHASELOCK SYSTEMS INTERNATIONAL,605360.07
QUINTET CONSULTING,583101.28
ENTRUST,582541.70
BLACKBERRY,576360.45
AV TECH,570593.84
JASCO APPLIED SCIENCES CANADA,561978.81
ACCESS 2 NETWORKS,550196.09
WESTOWER COMMUNICATIONS,535338.68
J L RICHARDS ASSOCIATES,535157.16
SYSTEMSCOPE,533547.34
DLS TECHNOLOGY,532090.66
ALLEN HASTINGS,531373.06
ROBERTSON MARTIN ARCHITECTS,521712.95
ACOSYS CONSULTING SERVICES,514823.32
MAVERIN,508317.04
OPTIV CANADA FEDERAL,505902.52
THORNHILL MEDICAL,499678.51
BLUEDOT,497200.00
DSS MARINE,495879.24
BRS INNOVATIONS,493120.19
DASCO EQUIPMENT,460890.56
DELCO AUTOMATION,459396.10
INTERNATIONAL REPORTING,447230.67
JOSEPH ELIE,441116.96
SHI CANADA,436156.65
DILIGENS,421594.68
FINNING INTERNATIONAL,416364.43
THE HALIFAX GROUP,409084.47
CANADIAN RED CROSS,404535.69
B BRAUN OF CANADA,399470.91
AIR INUIT,392117.98
JOHN WILEY SONS,387389.87
SYSTEMS FOR RESEARCH,377773.91
NOLINOR AVIATION,364595.71
EAGLE PROFESSIONAL RESOURCES,348949.65
HITACHI DATA SYSTEMS,345798.26
"NAVPOINT CONSULTING GROUP",344491.80
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,343651.92
CHARRON HUMAN RESOURCES,338243.75
CARAHSOFT TECHNOLOGY,335552.57
HAWORTH,331713.46
PROSCI CANADA,330873.10
YAMAHA MOTORS CANADA,328028.78
HATCH,317353.97
UNIVERSAL HELICOPTERS,305537.55
TANKATEK,300312.96
PIONEER CONSTRUCTION,299700.00
UNIVERSITY OF GUELPH,297949.50
COLUMBIA FUELS,296853.95
WESTCO CONSTRUCTION,289800.00
3D DATACOMM,277010.17
ARCP ATLANTIC ROAD CONSTRUCTION,263350.00
STERIS CANADA,262300.52
BAJA CONSTRUCTION CANADA,259636.36
10647802 CANADA,258166.89
HERCULES SLR,251298.63
OTIS ELEVATOR,251037.24
CULLEN DIESEL POWER,249541.55
ADVANCED BUSINESS INTERIORS,245145.72
FACTIVA,242525.47
WORLDREACH SOFTWARE,224220.25
GREAT SLAVE HELICOPTERS,219700.95
PANASONIC,215445.22
SUMMIT CANADA DISTRIBUTORS,215376.31
GETINGE CANADA,204598.16
TURNER TOWNSEND,201966.31
NEPTEC DESIGN GROUP,198488.47
SHAW CABLE,197982.25
ENVIRONICS RESEARCH GROUP,192260.89
KENN BOREK AIR,192017.20
GLOBAL TOTAL OFFICE,185197.22
AON REED STENHOUSE,181129.86
TOTEM OFFISOURCE,179661.81
SGS AXYS ANALYTICAL SERVICES,179291.90
TERVITA,177034.68
NELSON ENVIRONMENTAL REMEDIATION,170965.21
METOCEAN TELEMATICS,158976.00
SAS INSTITUTE,158076.46
BMC SOFTWARE CANADA,157611.96
TRANSPOLAR TECHNOLOGY,157530.00
CAMPBELL SCIENTIFIC CANADA,149886.44
MEGA TECH,146230.44
COMMVAULT SYSTEMS,146121.03
JONELJIM CONCRETE CONSTRUCTION,145664.75
FORRESTER RESEARCH,144663.70
NITAM SOLUTIONS,141839.19
PATTISON SIGN GROUP,139602.35
GEORGE COUREY,135861.49
NUA OFFICE,134830.97
LEXISNEXIS CANADA,129361.38
EUROVIA QUEBEC CONSTRUCTION,126728.56
N P A,125334.51
CANADIAN HELICOPTERS,116377.26
WILLS TRANSFER,114469.58
CITRIX,109168.11
CONNEX TELECOMMUNICATIONS,104350.82
MEDIA Q,101700.00
FAST TRACK STAFFING,98310.00
LANNICK CONTRACT SOLUTIONS,97629.63
NUNA EAST,96702.62
ACTION PERSONNEL OF OTTAWA HULL,93148.16
GILMORE REPRODUCTIONS,91933.22
INFO TECH RESEARCH GROUP,89626.64
CEDROM SNI,82587.98
ASOKAN BUSINESS INTERIORS,79490.78
INSTRUX MEDIA,74999.99
NORTH CARIBOO AIR,74297.74
CTOMS,73923.09
MNP,70510.00
KEYSTONE SUPPLIES INTERNATIONAL,69233.51
STRYKER CANADA,66499.00
D DOYLE INSTALLATIONS,65302.41
IFATHOM,62301.42
OPROMA,60378.80
HORIZANT,58697.85
SED SYSTEMS,56170.60
GHD,53484.11
LAVAL FORTIN,51051.88
ZAYO CANADA,50051.58
ATLANTIC TOWING,50000.00
AXYS TECHNOLOGIES,49783.07
BOMIMED,49372.85
SDL INTERNATIONAL CANADA,47432.88
MICRONOSTYX,46986.00
HOLLAND COLLEGE,40563.45
PARSONS CANADA,38279.85
PALFINGER MARINE,36214.50
BECKMAN COULTER CANADA,35160.75
VECTOR AEROSPACE,33242.51
CSDC SYSTEMS,32155.40
ABCO INDUSTRIES,31544.50
FSC,31490.46
OGILVY MONTREAL,29662.50
"NANOMETRICS",28738.50
ADOBE,25080.90
ICEBERG NETWORKS,23956.00
CRANDALL ENGINEERING,23428.81
BGLA,19996.45
TECSIS,19904.80
CH2M HILL CANADA,18900.00
APOTEX,17600.00
MEGALEXIS COMMUNICATIONS,15242.55
"NATIONAL ARTS CENTRE",15000.00
JIM PATTISON INDUSTRIES,14357.67
AMERICAN BUREAU OF SHIPPING,13212.71
GREATER TORONTO AIRPORT AUTHORITY,10618.43
IPSOS,6254.85
BAVARIAN NORDIC,4133.59
ST GELAIS MONTMINY ASSOCIES,524.52
