d_vendor_name,mean_number_of_amendments,n
CORADIX TECHNOLOGY CONSULTING,1.33,6
CTOMS,1,1
CUMMINS CANADA,1,3
DADS,1.05,22
DALHOUSIE UNIVERSITY,1,1
DALIAN ENTERPRISES,2.5,2
DECISIVE TECHNOLOGIES,1,4
DEFENCE CONSTRUCTION CANADA,1,2
DELCO AUTOMATION,1,3
DELL COMPUTER,1,2
DELOITTE AND TOUCHE,1.5,6
DEW ENGINEERING,1,6
DEXTER CONSTRUCTION,1.25,4
DEXTERRA,1.82,11
DILLON CONSULTING,1.43,7
DIRECT ENERGY BUSINESS,1.25,8
DON SAYWELL DEVELOPMENTS,1,1
DONNA CONA,1.33,3
DRAEGER,1,1
DST CONSULTING ENGINEERS,1.6,5
DYNABOOK CANADA,1,1
DYNAMIC PERSONNEL CONSULTANTS,1.13,23
EAGLE PROFESSIONAL RESOURCES,3,1
EASTPOINT ENGINEERING,1.42,43
EASTWAY CONTRACTING,2,4
EBSCO CANADA,1.5,2
ECLIPSYS SOLUTIONS,1.25,4
ECOLE DE LANGUES ABCE,12.67,3
ECOLE DE LANGUES LA CITE,1.09,23
ELLISDON,2.33,3
EMCON SERVICES,1.29,17
EMERGENT BIOSOLUTIONS,1,2
EMMONS MITCHELL CONSTRUCTION,2.33,9
EMPOWERED NETWORKS,1,1
ENGLOBE,1.48,25
ENMAX,1.08,12
ENTRUST,2,1
ENVIROSAFE JANITORIAL,1,5
ERNST YOUNG,2.21,14
ESRI,1,1
EVOLVECOMP CONSTRUCTION,2,1
EXCEL 7,1,1
EXCEL HUMAN RESOURCES,1.4,52
EXP SERVICES,2,3
EXXONMOBIL,2,2
F M INSTALLATIONS,1,1
FARMER CONSTRUCTION,1.33,15
FAST FORWARD FRENCH,1,8
FCA CANADA,1.29,14
FEDERAL FLEET SERVICES,2,1
FELIX TECHNOLOGY,1,11
FFG,1.17,6
FLEETWAY,1,3
FLIGHTSAFETY CANADA,1,1
FMC PROFESSIONALS,1.5,4
FN HERSTAL,1,2
FORD MOTOR COMPANY,1.07,30
FORT GARRY FIRE TRUCK,1,2
FRANCIS CANADA TRUCK CENTRE,1,1
FRECON CONSTRUCTION,1.17,6
FREQUENTIS CANADA,1,1
GAB INDUSPAC,1,3
GAMBLE TECHNOLOGIES,1,1
GARTNER,1.11,9
GATEWAY MECHANICAL SERVICES,1.33,3
GC STRATEGIES,1.5,2
GDI SERVICES,1.4,5
GEMTEC,1.25,4
GEN MEC ACL,1,1
GENERAL ELECTRIC CANADA,1,2
GENERAL MOTORS,1,10
GENESIS INTEGRATION,1.17,6
GEOSPECTRUM TECHNOLOGIES,1,1
GETINGE CANADA,1,1
GFL ENVIRONMENTAL,1.5,4
GILMORE REPRODUCTIONS,1,2
GLOBAL KNOWLEDGE,1,2
GLOBAL UPHOLSTERY,1,2
GOLDER ASSOCIATES,1.83,18
GORDON BARR,1.67,6
GRAND TOY,1,3
GRAYBRIDGE INTERNATIONAL CONSULTING,1.12,16
GROUPE ENERGIE BDL,1,3
GUNTER LANGKOPF MASCHINENBAU,1.4,15
H H CONSTRUCTION,2,8
HARNOIS ENERGIES,1.2,5
HARRIS TRANSPORT,1.11,19
HAWBOLDT INDUSTRIES,2,1
HEMMERA ENVIROCHEM,2.67,3
HERCULES SLR,1,1
HERITAGE RESTORATION,4,1
HEWLETT PACKARD,1.33,3
HIGHLANDS FUEL DELIVERY,1.33,9
HITACHI DATA SYSTEMS,1,1
HITRAC,1,1
HOSKIN SCIENTIFIC,1,1
HOULE ELECTRIC,1.17,6
HUBSPOKE,1.57,7
HUMAN LOGISTICS,1,2
HYPERTEC,1,6
IBISKA TELECOM,1.53,19
IBM CANADA,2,2
IDS SYSTEMS CONSULTANTS,1,1
IMPERIAL CLEANERS,1,10
IMPERIAL OIL,1,2
INDAL TECHNOLOGIES,1,2
INDUSTRA CONSTRUCTION,1.33,6
INDUSTRIES OCEAN,1,1
INSA,1,1
INSTITUT NATIONAL D OPTIQUE,1,1
INTEGRA NETWORKS,1.2,5
INTEGRATED DISTRIBUTION SYSTEMS,1,1
INTER MEDICO,1,2
INTERACTIVE AUDIO VISUAL,1,1
INTERCON MARINE,1,1
INTERNATIONAL SAFETY RESEARCH,2,2
IPSS,1,3
IRVING OIL,1.07,29
ISLAND CATERING,1,1
IT NET CONSULTANTS,1,1
ITEX,1.09,11
J J TRAILERS MANUFACTURERS AND SALES,1,1
J L RICHARDS ASSOCIATES,1.82,11
JANKEL TACTICAL SYSTEMS,1,1
JHT DEFENSE,1.06,16
JOHN WILEY SONS,1,2
JOHNSON CONTROLS CANADA,2,2
JOWA FAHRZEUGTEILE VERTRIEBS,1.33,3
JP2G CONSULTANTS,2.48,21
KAYCOM,1.5,2
KEYSIGHT TECHNOLOGIES CANADA,1.5,2
KF AEROSPACE,1,1
KIA CANADA,1,7
KINETIC CONSTRUCTION,2.6,5
KNAPPETT INDUSTRIES,1,3
KONE,1.5,2
KONICA MINOLTA BUSINESS SOLUTIONS,2.25,12
KPMG,2,2
KRAUSS MAFFEI WEGMANN,1,8
L3HARRIS,2,16
LANNICK CONTRACT SOLUTIONS,2,1
LANSDOWNE TECHNOLOGIES,1.33,6
LAURENTIAN TECHNOLOGIES,1.33,3
LAZY H TRAIL COMPANY,1,1
LEO PISCES SERVICES GROUP,1,1
LES HUILES DESROCHES,1,9
LIFE TECHNOLOGIES,1,3
LIFTKING MANUFACTURING,1.5,2
LOCKHEED MARTIN,1,3
LOGISTIK UNICORP,1,9
LOWE MARTIN COMPANY,1,1
LRO STAFFING,1.25,4
LUMINA IT,1,2
LUXTON CONSTRUCTION,2.5,2
LYNLEY CONTRACTING SERVICES,1.4,5
MACDONALD DETTWILER AND ASSOCIATES,1.38,16
MACEWEN PETROLEUM,1,3
MACKINNON AND OLDING,1.17,12
MAGELLAN AEROSPACE,1,1
MAKWA RESOURCING,1,2
MANPOWER SERVICES CANADA,1,2
MAPLESOFT CONSULTING,1.67,3
MARITIME FENCE,1,1
MARITIME FUELS,1.29,7
MARTEC,1.5,2
MAVERIN,1,1
MAXSYS STAFFING AND CONSULTING,1.12,16
MAXXAM ANALYTICS,1,2
MCCOLMAN SONS DEMOLITION,1,2
MCKESSON CANADA,1,4
MCKINSEY AND COMPANY,1,1
MCW CUSTOM ENERGY SOLUTIONS,1.67,3
MED ENG HOLDINGS,1,1
MEDAVIE,2,1
MERIDIAN MEDICAL TECHNOLOGIES,1.5,2
MESSA COMPUTING,1.33,3
MGIS,1.33,3
MICHAEL WAGER CONSULTING,1.42,12
MICHELIN,1,2
MICRONOSTYX,1,1
MICROSOFT CANADA,1.33,3
MILLBROOK TACTICAL,1,2
MILLER PAVING,2,1
MINDWIRE SYSTEMS,1,2
MISHKUMI TECHNOLOGIES,1,5
MITSUBISHI MOTOR SALES,1,1
MLS OVERSEAS,1.12,153
MOBILE RESOURCE GROUP,1,1
MOBILITY LAB,1,1
MODIS CANADA,1.71,21
MOMENTUM SOLUTIONS,1,6
MORRISON HERSHFIELD,1,1
MOTOROLA SOLUTIONS CANADA,1,18
MTS ALLSTREAM,2,1
MULTINATIONAL LOGISTIC SERVICES,1,11
"NATIONAL TEST PILOT SCHOOL",1,1
"NAV CANADA",1.33,3
"NAVAMAR",1,1
"NAVPOINT CONSULTING GROUP",1,2
NELSON ENVIRONMENTAL REMEDIATION,1,2
NEPTUNE SECURITY SERVICES,1.5,4
NEWFOUND RECRUITING,1,2
NEXTER SYSTEMS,1,1
NISHA TECHONOLOGIES,1.2,25
NISSAN CANADA,1,1
NOKIA CANADA,1,1
NORR,1,2
NORTH BAY HYDRO,1,1
NORTHROP GRUMMAN,1.33,3
NOTRA,1.67,3
NOVA NETWORKS,1,3
NOVA SCOTIA POWER,1.6,5
NU VIEW HOMES,6,1
NUMBER TEN ARCHITECTURAL GROUP,3,3
ONX ENTERPRISE SOLUTIONS,1,3
OPENFRAME TECHNOLOGIES,1.33,6
OPENTEXT,1.5,2
OPSIS,1,2
ORANGUTECH,2,1
PACIFIC INDUSTRIAL MARINE,4,1
PAL AEROSPACE,1,1
PALADIN GROUP,1.33,3
PARKLAND REFINING,1,2
PATLON AIRCRAFT INDUSTRIES,1.2,5
PATTISON SIGN GROUP,1,1
PCL CONSTRUCTORS,1,1
PEERLESS GARMENTS,1,2
PENNANT CANADA,1,1
PEPCO,1,5
PERSISTENT SYSTEMS,1,1
PETRO AIR SERVICES,1,1
PLEIAD CANADA,1.33,3
PODOLINSKY EQUIPMENT,1,1
PRECISIONIT,1.33,3
PRICEWATERHOUSE COOPERS,1,3
PRIMEX PROJECT MANAGEMENT,1.5,2
PRINTERS PLUS,1.33,3
PROCOM CONSULTANTS,1.86,7
PROLOGIC SYSTEMS,3,1
PROMAXIS,1.6,42
PROQUEST,1,4
PROTAK CONSULTING GROUP,1.22,9
PURELOGIC,2,4
PURESPIRIT SOLUTIONS,1,3
QINETIQ,2,4
QM ENVIRONMENTAL,4,1
QMR,1.09,11
QUAD PRO CONSTRUCTION,1,1
QUANTUM MANAGEMENT SERVICES,1,6
QUEEN S UNIVERSITY,1,1
QUINAN CONSTRUCTION,1,1
QUINTET CONSULTING,1.2,5
RACEROCKS 3D,1,1
RADIATION SOLUTIONS,1,1
RAMPART INTERNATIONAL,1,1
RANDSTAD,1.18,11
RAYTHEON,1.67,3
REPUBLIC ARCHITECTURE,1.96,25
REVISION MILITARY,1,1
RGT CLOUTHIER CONSTRUCTION,1,9
RHEINMETALL,1.21,14
RIGHTWAY SANITATION SERVICES,1,2
ROBERTSON MARTIN ARCHITECTS,6,2
ROCKWELL COLLINS CANADA,1,1
ROHDE SCHWARZ CANADA,1,1
ROLLING TIDES CONSTRUCTION,1,2
ROOF TILE MANAGEMENT,6,1
ROSBOROUGH BOATS,1,1
RUSSEL METALS,1,2
SAAB,1,1
SABA SOFTWARE,1,1
SANEXEN SERVICES ENVIRONMENTAUX,2.33,3
SAP,1,1
SAPPER LABS CYBER SOLUTIONS,1,1
SAS INSTITUTE,1,1
SCA SHIPPING CONSULTANTS ASSOCIATED,1.05,66
SCALAR DECISIONS,1,1
SERCO,4,1
SERVICE STAR BUILDING CLEANING,2.38,8
SETANTA CONTRACTING,1.05,20
SHELL CANADA PRODUCTS,1,39
SI SYSTEMS,1.29,14
SIEMENS,1,3
SIERRA SYSTEMS GROUP,1,1
SIMEX DEFENCE,1.04,26
SIMO MANAGEMENT,1,4
SLR CONSULTING CANADA,1.67,6
SMITHS DETECTION,1,1
SNC LAVALIN,1.79,39
SOFTCHOICE,1,3
SOFTSIM TECHNOLOGIES,1.47,15
SOMOS,1,13
ST JOSEPH PRINT GROUP,1,3
STANLEY CONSTRUCTION,1.25,4
STANTEC,1.72,60
STERLING FUELS,1,2
STIFF SENTENCES,1,1
STONEWORKS TECHNOLOGIES,1,4
STRONG BROS GENERAL CONTRACTING,2.56,9
SUBARU CANADA,1,4
SUN LIFE ASSURANCE COMPANY,1.5,2
SUNCOR ENERGY,1,7
SUTHERLAND EXCAVATING,2,1
SYSTEMATIX SOLUTIONS,1,1
SYSTEMS FOR RESEARCH,2,1
SYSTEMSCOPE,1,1
TACS,1,5
TAG HR,1,6
TAURUS CONTRACTORS,1,2
TECHNO FEU,1.33,3
TEKNION,1,1
TELECOM COMPUTER SERVICES,1,2
TELEDYNE,1,1
TELEPHONICS,1,1
TELUS CANADA,1.33,3
TENAQUIP,1,6
TERAMACH TECHNOLOGIES,1,3
TESTFORCE SYSTEMS,1,2
THALES,1.17,6
THE AIM GROUP,1.33,6
THE BOEING COMPANY,3,1
THE HALIFAX COMPUTER CONSULTING GROUP,1.5,2
THE MATHWORKS,1.5,4
THE RIGHT DOOR CONSULTING,1.2,10
THE VCAN GROUP,3,1
THERMO FISHER SCIENTIFIC,1.25,8
THOMAS SCHMIDT,1.33,6
THOMSON REUTERS,1,2
THYSSENKRUPP ELEVATOR,1.4,5
TITAN AEX,2.5,2
TOP ACES,1,33
TOPFLIGHT ELITE TRAINING AND CHARTER SERVICES,4,1
TOROMONT,1,1
TOSHIBA CANADA,1,3
TOYOTA,1.2,10
TPG TECHNOLOGY CONSULTANTS,1,1
TRAINOR MECHANICAL CONTRACTORS,1,1
TRM TECHNOLOGIES,1.33,3
TROY LIFE FIRE SAFETY,2.33,3
TUNDRA TECHNICAL SOLUTIONS,1.5,2
TURNER TOWNSEND,1,1
TURTLE ISLAND STAFFING,1.28,18
TYCO INTEGRATED FIRE SECURITY,1,3
TYR TACTICAL,1,3
ULTIMATE CONSTRUCTION,3.5,4
UNISOURCE,1.5,4
UNISYS CANADA,2,1
UNITED RENTALS OF CANADA,1,2
UNITED STATES DEPARTMENT OF THE AIR FORCE,1,1
UNITED STATES DEPARTMENT OF THE NAVY,1,1
UNIVERSITE LAVAL,1,3
UNIVERSITY OF GUELPH,1,1
UNIVERSITY OF NEW BRUNSWICK,1,3
UNIVERSITY OF OTTAWA,1,1
UNIVERSITY OF TORONTO,1,1
UTILITIES KINGSTON,1.27,30
VALARD CONSTRUCTION,1,2
VALCOM CONSULTING,1.62,55
VALUE MASTER BUILDERS,1,2
VAN KAPPEL INTERNATIONAL,1,4
VANCOUVER SHIPYARDS,2,1
VCI CONTROLS,1.56,9
VERITAAQ TECHNOLOGY HOUSE,1,3
VMWARE,2,1
W S MORGAN CONSTRUCTION,1.5,2
WADE GENERAL CONTRACTING,1,4
WAHL CONSTRUCTION,1.06,16
WAJAX,1.83,6
WARTSILA,1,1
WASTE CONNECTIONS OF CANADA,1.5,12
WASTE MANAGEMENT OF CANADA,1.31,13
WEBSTER ELECTRIC,1,12
WESCO DISTRIBUTION CANADA,1,2
WESTBURY NATIONAL SHOW SYSTEMS,1,5
WESTOWER COMMUNICATIONS,1,1
WORLD FUEL SERVICES,1,20
WSP,2.5,8
XEROX,1.26,19
XTECH EXPLOSIVE DECONTAMINATION,2.5,2
YAMNUSKA,1,2
ZERNAM ENTERPRISE,1.5,2
ZODIAC HURRICANE TECHNOLOGIES,1,1
ZOLL MEDICAL CANADA,2,1
ZYCOM,1,1
