d_vendor_name,max_overall_value,n
APPLIED SYSTEMS ENGINEERING,6044170.82,1
APRON FUEL SERVICES,1708953.13,356
AQUA LUNG CANADA,7411378.80,60
AQUATIC INFORMATICS,14840.00,1
ARCADIS CANADA,1086468.00,19
ARCHITECTURE 49,1174623.72,136
ARI FINANCIAL SERVICES,246000.00,20
ARRM ELECTRIC,1920783.85,38
ARTEMP PERSONNEL SERVICES,861534.60,6
ARTEX SPORTSWEAR,4705524.00,12
ASBEX,705535.46,1
ASC GERMANY,2567500.00,4
ASOKAN BUSINESS INTERIORS,24888.77,3
ATCO,79043760.00,30
ATLANTIC BUSINESS INTERIORS,28526.54,18
ATLANTIC ROOFERS,3839085.00,42
ATLANTIC TOWING,25000.00,2
ATLANTICA MECHANICAL CONTRACTORS,2693700.00,10
AV TECH,526257.00,7
AVALERION,196620.00,13
AVI SPL,657491.00,87
AVJET HOLDING,523015.80,281
AVONDALE CONSTRUCTION,1647623.40,14
AXYS TECHNOLOGIES,21482.00,4
B BRAUN OF CANADA,788740.00,2
BABCOCK INTERNATIONAL GROUP,706396505.95,26
BABEL STREET,477979.47,2
BAE SYSTEMS,5000000.00,89
BAJA CONSTRUCTION CANADA,315000.00,3
BARDON SUPPLIES,132210.00,134
BARGREEN ELLINGSON,2828634.62,230
BARRON S REFRIGERATION HEATING,1898700.00,95
BARTA MACHINE,4825890.00,2
BAVARIAN NORDIC,25000.00,1
BDO CANADA,399568.00,8
BECKMAN COULTER CANADA,35160.75,1
BEE CLEAN BUILDING MAINTENANCE,374302.00,143
BELAND LAPOINTE,39177126.00,1
BELL CANADA,7751501.00,72
BELL TEXTRON,797556147.13,7
BEN WIEBE CONSTRUCTION,1786995.00,13
BERLITZ CANADA,21382.50,13
BEST FACILITIES SERVICES,13712295.00,1
BEST SERVICE PROS,1292157.00,111
BGLA,105161.21,1
BIGHORN CONSTRUCTION,938744.18,6
BIO RAD LABORATORIES CANADA,17107.86,2
BIOKINETICS AND ASSOCIATES,4311562.50,1
BIRD CONSTRUCTION COMPANY,10539761.00,3
BLACK MCDONALD,10032935.00,139
BLACKBERRY,238113.60,7
BLUE WATER SYSTEM,14876382.00,1
BLUEDOT,497200.00,1
BLUEDROP TRAINING SIMULATION,6736700.00,3
BLUEWAVE ENERGY,108438.99,155
BLUMETRIC ENVIRONMENTAL,27734000.00,25
BLUNDEN CONSTRUCTION 1995,1296050.00,6
BMC SOFTWARE CANADA,67060.85,5
BMT FLEET TECHNOLOGY,77860246.30,11
BOMBARDIER,116111278.94,11
BOMIMED,187241.00,1
BONDFIELD CONSTRUCTION COMPANY,30636000.00,1
BOUTHILLETTE PARIZEAU,190893.19,17
BRANDT TRACTOR,2857527.50,16
BRECKENHILL,92020.86,1
BRIQUETAL,4128000.00,2
BRONSWERK MARINE,20240000.00,48
BROOKFIELD ASSET MANAGEMENT,100428750.00,1
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,99369.56,4
BRS INNOVATIONS,236986.00,6
BRUKER,784030.42,7
BUBBLE TECHNOLOGY INDUSTRIES,98582.68,7
BUNZL CANADA,23602.76,6
BUREAU VERITAS,920000.00,24
C CORE,1373445.00,27
CACHE COMPUTER CONSULTING,399897.96,11
CADEX,3390000.00,19
CAE,696558834.27,35
CALIAN,995555367.00,400
CALYTERA SOFTWARE,274414.42,3
CAMPBELL SCIENTIFIC CANADA,271200.00,5
CAN AM PLATFORMS CONSTRUCTION,10250478.00,1
CANADA,918633.85,29
CANADA POST,150041.40,6
CANADENSYS AEROSPACE,976630.26,3
CANADIAN AIRMOTIVE,4237500.00,14
CANADIAN BANK NOTE COMPANY,1589502.07,1
CANADIAN BASE OPERATORS,8468554.00,117
CANADIAN BORDER OPERATIONS,225730259.41,1
CANADIAN CORPS OF COMMISSIONAIRES,5096724.18,895
CANADIAN DEVELOPMENT CONSULTANTS,933052.32,1
CANADIAN HELICOPTERS,8929387.67,7
CANADIAN MARITIME ENGINEERING,2222083.77,24
CANADIAN NORTH,177755.17,4
CANADIAN NUCLEAR LABORATORIES,8475000.00,3
CANADIAN RED CROSS,692532.00,2
CANADIAN STANDARDS ASSOCIATION,36704.55,4
CANADYNE TECHNOLOGIES,339000.00,16
CANON,345780.00,132
CANSEL SURVEY EQUIPMENT,788366.08,21
CANTEC SYSTEMS,3944547.18,28
CARAHSOFT TECHNOLOGY,92800.58,8
CARDINAL HEALTH CANADA,346374.00,2
CARLETON LIFE SUPPORT SYSTEMS,2107075.74,10
CARLETON UNIVERSITY,8764581.00,21
CARMICHAEL ENGINEERING,2002086.75,13
CARO ANALYTICAL SERVICES,16182.00,1
CARON PROFESSIONAL LINGUISTIC,49361.75,1
CARRIERE QUEBEC,3322825.00,1
CAS ELL STRUCTURES,875000.00,130
CASCADE AEROSPACE,1035163550.00,4
CASP AEROSPACE,19994152.50,7
CBCI TELECOM,857142.86,37
CBCL,550850.00,18
CDW CANADA,4147171.58,184
CEGERCO,46877517.00,1
CENTURY GROUP,348182.58,2
CGI,965790.00,3
CH2M HILL CANADA,18900.00,1
CHANNEL MANAGEMENT INTERNATIONAL,2483345.00,10
CHANTIER DAVIE CANADA,574875000.00,1
CHARRON HUMAN RESOURCES,58305.00,16
CHEF BRANDZ,87653.18,115
CHEMICAL ABSTRACTS SERVICE,42900.00,1
CHEVRON,1298041.19,20
CHRONO AVIATION,34000.00,4
CHUBB EDWARDS,34903.09,6
CIMA,24993.00,1
CISION CANADA,61783.17,5
CISTEL TECHNOLOGY,245986.88,1
CITRIX,53469.28,3
CITY OF MOOSE JAW,5075763.00,1
CITY WYEED ELECTRIC,3093634.60,1
CIVIL UNDERGROUND EXCAVATION,3110025.89,1
CLARIANT CANADA,123701.60,101
CLERMARK,5397415.12,17
CLICK NETWORKS,1013694.00,11
CLOSEREACH,867840.00,17
CO VEN,14443095.00,1
COASTAL RESTORATION MASONRY,288013.00,59
COBHAM MISSION SYSTEMS DAVENPORT,2265462.23,1
COCO PAVING,7565708.00,5
COFELY SERVICES,13395495.00,1
COFOMO,5671205.24,3
COLLIERS PROJECT LEADERS,1174176.03,12
COLT CANADA,96973144.48,113
COLUMBIA FUELS,95000.00,17
COMBAT NETWORKS,499158.21,13
COMMERCIAL BUILDING CLEANERS,3762000.00,3
COMMERCIAL BUILDING CLEANING,4056000.00,4
COMMUNITECH,3376892.05,2
COMMVAULT SYSTEMS,170045.99,2
COMPUCOM CANADA,10053067.67,42
COMPUGEN,567214.89,34
CON PRO INDUSTRIES CANADA,2637571.86,2
CONCEPT CONTROLS,2830575.54,37
CONEXSYS,64818.31,3
CONFERENCE BOARD OF CANADA,142890.00,5
CONNEX TELECOMMUNICATIONS,86784.39,2
CONOSCENTI TECHNOLOGIES,1669912.14,4
CONSTRUCTION COTE FILS,6138000.00,3
CONSTRUCTION COUTURE TANGUAY,2766468.00,4
CONSTRUCTION JESSIKO,1101451.05,8
CONSTRUCTION ROCK DUFOUR,3658343.75,1
CONTRACT COMMUNITY,1660132.00,29
CONTROLS EQUIPMENT,271285.00,20
CONVERGINT TECHNOLOGIES,249269.22,9
CONVERSART CONSULTING,39866.40,5
COPCAN CIVIL,1988205.60,3
CORADIX TECHNOLOGY CONSULTING,23071626.20,18
CORCAN,323528.00,25
COREBUILD CONSTRUCTION,52549536.00,1
CORPORATION DU FORT ST JEAN,441659804.64,3
CORRECTIONAL SERVICES OF CANADA,40466.00,3
COSSETTE COMMUNICATIONS,1534585.26,17
COUVERTURE MONTREAL NORD,55427.00,1
CRANDALL ENGINEERING,27805.62,1
CRESTLINE COACH,5040484.95,1
CRYE PRECISION,4110790.55,1
CRYPTOMILL TECHNOLOGIES,4968237.10,1
CSDC SYSTEMS,17768.92,2
CSI CONSULTING,220566.96,6
CTOMS,25613.71,5
CUBE CONSTRUCTION,879400.00,1
CUBIC DEFENSE APPLICATIONS,463406205.48,4
CULLEN DIESEL POWER,135952.91,4
CUMMINS CANADA,2923200.00,25
CUSTOM HELICOPTERS,38368.72,5
D DOYLE INSTALLATIONS,18235.43,3
DADS,6983164.98,203
DAIMLER,600669.32,69
DALCON CONSTRUCTORS,1485979.54,2
DALHOUSIE UNIVERSITY,5580000.00,16
DALIAN ENTERPRISES,1639769.46,7
DARE HUMAN RESOURCES,2491650.00,3
DASCO EQUIPMENT,234701.00,6
DASCO STORAGE SOLUTIONS,276186.62,83
DATA CENTRE INTELLIGENCE,24404.02,4
DATA COMMUNICATIONS MANAGEMENT,23855.01,2
DATIFEX,1299159.12,3
DAVTAIR INDUSTRIES,4316749.50,14
DBC MARINE SAFETY SYSTEMS,3245357.58,5
DECAREL,41113410.00,1
DECISIVE GROUP,2455775.55,181
DECONTIE MILESTONE,235000.00,1
DEFENCE CONSTRUCTION CANADA,4824354.00,29
DEFENSE INFORMATION SYSTEMS AGENCY,6617756.00,2
DELCO AUTOMATION,99379.89,8
DELL COMPUTER,977676.00,106
DELOITTE,5537000.00,32
DELTA PHOTONICS,272311.74,19
DETON CHO LOGISTICS,295302.00,65
DEW ENGINEERING,24163933.76,66
DEXTER CONSTRUCTION,82589000.00,62
DEXTERRA,20475292.00,131
DILIGENS,359398.73,7
DILLON CONSULTING,362296.24,41
DIRECT ENERGY BUSINESS,16875000.00,67
DLS TECHNOLOGY,383207.31,3
DNR CONSULTING GROUP,360375.28,10
DO ALL CONSTRUCTION,1894646.04,21
DON SAYWELL DEVELOPMENTS,1074998.00,129
DONNA CONA,683650.00,33
DRAEGER,6065863.07,10
DRAPEAUX ET BANNIERES L ETENDARD,152121.00,4
DSS MARINE,109314.36,10
DST CONSULTING ENGINEERS,299393.00,24
DUFFERIN CONSTRUCTION COMPANY,3566131.00,1
DWP SOLUTIONS,11657409.51,2
DYMECH ENGINEERING,5688420.00,1
DYNABOOK CANADA,4614999.66,15
DYNACARE,1222062.34,2
DYNAMIC FACILITY SERVICES,3554522.87,4
DYNAMIC PERSONNEL CONSULTANTS,337220.25,51
E CONSTRUCTION,234092.42,29
EAGLE PROFESSIONAL RESOURCES,348949.65,1
EASTPOINT ENGINEERING,2400000.00,101
EASTWAY CONTRACTING,4075721.00,32
EBC,166725148.00,1
EBSCO CANADA,1120474.43,73
ECLIPSYS SOLUTIONS,3994530.88,77
ECOLE DE LANGUES ABCE,25000.00,13
ECOLE DE LANGUES EAGLE,73395.00,11
ECOLE DE LANGUES LA CITE,145544.00,120
ECOPIA TECH,971780.49,2
EFFIGIS GEO SOLUTIONS,75432.38,3
ELBIT SYSTEMS,37046045.40,10
ELITE ENVIRONMENTAL GROUP,82485.88,16
ELLICE RECYCLE,2830740.17,2
ELLISDON,29677500.00,6
ELSEVIER,1100614.17,6
EMCEE CONSTRUCTION AND MANAGEMENT,2524797.42,5
EMCON SERVICES,1800596.35,31
EMERGENCY MEDICAL TECHNOLOGY,7781660.92,1
EMERGENT BIOSOLUTIONS,17823550.00,5
EMMANUEL CONSTRUCTION SERVICES,632244.00,1
EMMONS MITCHELL CONSTRUCTION,13179727.00,14
EMPOWERED NETWORKS,444632.40,17
EMS TECHNOLOGIES,5152561.10,2
EMTEC,16540.97,2
ENERGERE CONSULTANTS,5085000.00,1
ENGLOBE,1299795.00,113
ENMAX,9328646.25,65
ENTREPRISE DE CONSTRUCTION T E Q,20518800.00,1
ENTRUST,222015.17,4
ENVELOPPE CONCEPT,17889.77,1
ENVIRONICS RESEARCH GROUP,129406.47,2
ENVIROSAFE JANITORIAL,4656000.00,61
ENVIROSERVICES,28058.50,1
ERNST YOUNG,8238168.75,39
ESRI,3882648.27,159
ESSEX INDUSTRIES,4120740.00,1
EUROVIA QUEBEC CONSTRUCTION,126728.56,1
EVALUATION PERSONNEL SELECTION,24860.00,1
EVOLUTION ROOFING,725402.75,1
EVOLVECOMP CONSTRUCTION,3572627.19,9
EVRIPOS JANITORIAL SERVICES,5418967.52,1
EXCALIBUR ENVIRONMENTAL SERVICES,858900.00,8
EXCEL 7,9249520.00,2
EXCEL HUMAN RESOURCES,14088015.10,158
EXIT CERTIFIED,77906.61,56
EXP SERVICES,195424.00,16
EXXONMOBIL,160508.53,1028
F M INSTALLATIONS,6303759.55,2
FACTIVA,148251.48,4
FARMER CONSTRUCTION,596658.00,188
FAST FORWARD FRENCH,33750.00,29
FAST TRACK STAFFING,98310.00,1
FASTENAL,253497.83,266
FCA CANADA,718304.95,180
FDF GROUP,999999.07,84
FEDERAL FLEET SERVICES,691560000.00,1
FELIX TECHNOLOGY,1655314.40,142
FFG,192185720.00,25
FIDELITY ENGINEERING CONSTRUCTION,2208000.28,6
FIELD AVIATION COMPANY,72057.30,17
FINNING INTERNATIONAL,403777.50,2
FIRSTCHOICE GROUP CANADA,332083.50,8
FLEETWAY,207702271.50,10
FLIGHT FUELS,934946.47,57
FLIGHTSAFETY CANADA,3500000.00,4
FLYNN CANADA,1916777.79,5
FMC PROFESSIONALS,371710.56,9
FN HERSTAL,1760525.46,17
FORD MOTOR COMPANY,1671509.56,517
FORRESTER RESEARCH,124127.02,2
FORT GARRY FIRE TRUCK,6288806.13,11
FRANCIS CANADA TRUCK CENTRE,3302746.51,5
FRECON CONSTRUCTION,855434.73,15
FREQUENTIS CANADA,3108484.61,6
FRESENIUS KABI CANADA,501379.20,2
FSC,31490.46,1
G A L POWER SYSTEMS OTTAWA,1026687.41,1
GAB INDUSPAC,98109.38,236
GAMBLE TECHNOLOGIES,1696701.03,14
GAP WIRELESS,662347.98,71
GARTNER,1829815.63,118
GARY PARKER EXCAVATING,1040749.99,28
GATEWAY MECHANICAL SERVICES,29867.68,26
GC STRATEGIES,2148650.70,3
GDI,3661406.51,15
GDI SERVICES,13307014.00,56
GEMTEC,980000.00,27
GEN MEC ACL,8803620.00,1
GENERAL DYNAMICS,2038575499.60,276
GENERAL ELECTRIC CANADA,128519822.04,26
GENERAL MOTORS,1174367.00,310
GENESIS INTEGRATION,457734.50,72
GENTEX INTERNATIONAL,1775830.85,15
GEORGE COUREY,24682.59,8
GEOSPECTRUM TECHNOLOGIES,5695994.03,12
GETINGE CANADA,180789.83,2
GFL ENVIRONMENTAL,1822955.43,62
GHD,22338.41,3
GILMORE PRINTING SERVICES,45200.00,2
GILMORE REPRODUCTIONS,253679.35,4
GLAMOX CANADA,9419656.25,1
GLOBAL KNOWLEDGE,1468711.85,107
GLOBAL TOTAL OFFICE,48030.42,9
GLOBAL UPHOLSTERY,214666.68,200
GOLDER ASSOCIATES,2631935.33,57
GOOGLE CANADA,1305150.00,6
GORDON BARR,5175619.22,8
GORDON FOOD SERVICE,3000000.00,364
GOSS GILROY,109542.20,2
GOVERNMENT OF ALBERTA,2456937.17,2
GOVERNMENT OF SASKATCHEWAN,4256185.50,4
GRAND TOY,97997.52,176
GRANT CUSTOM,1050000.00,10
GRAPHIC OFFICE INTERIOR,2999138.88,1
GRAYBAR CANADA,580250.26,53
GRAYBRIDGE INTERNATIONAL CONSULTING,400000.00,47
GREAT SLAVE HELICOPTERS,219700.95,1
GREATER TORONTO AIRPORT AUTHORITY,31621.92,1
GREENDALE RESOURCES,988440.00,2
GREYTOP COMMERCIAL CONSTRUCTION,3039739.00,4
GRIFFIN ENGINEERED SYSTEMS,741175.00,4
GROUPE ENERGIE BDL,353140.96,12
GROUPE GEYSER,27717000.00,3
GROUPE ROBERT,13452.08,1
GUILLEVIN INTERNATIONAL,124276.00,97
GUNTER LANGKOPF MASCHINENBAU,3679517.59,50
H E ARMSTRONG MECHANICAL,861864.05,117
H H CONSTRUCTION,3983000.00,53
HALPENNY INSURANCE BROKERS,158200.18,3
HARLED,1980325.00,6
HARNOIS ENERGIES,526714.10,517
HARRIS TRANSPORT,5502874.00,133
HASTINGS PAINTING,915975.01,4
HATCH,225066.72,3
HAWBOLDT INDUSTRIES,27934367.93,4
HAWORTH,46009.68,16
HDP GROUP,342135.75,7
HEMMERA ENVIROCHEM,230677.06,6
HENSOLTD SENSORS,11300000.00,2
HEPBURN ENGINEERING,11000000.00,1
HERCULES SLR,176400.13,14
HERITAGE RESTORATION,1264738.37,1
HEROLD ENGINEERING,207700.00,3
HEWLETT PACKARD,1438944.86,19
HEXAGON,885173.40,28
HFI PYRO,3232704.00,1
HFI PYROTECHNICS,4966214.40,14
HIGHER STANDARD SALES HSS,2101957.30,1
HIGHLANDS FUEL DELIVERY,1839192.70,17
HITACHI DATA SYSTEMS,287432.00,5
HITRAC,3211730.85,16
HOLLAND COLLEGE,20373.04,2
HOME COMPLETIONS,1235945.00,4
HONEYWELL,9785147.00,14
HORIZANT,58697.85,1
HOSKIN SCIENTIFIC,721698.08,34
HOULE ELECTRIC,1357795.76,30
HUBSPOKE,1462984.45,10
HUMAN LOGISTICS,1865875.00,6
HUMANSCALE CANADA,24477.89,9
HUMANSYSTEMS,5650000.00,8
HYPERION CONSULTING,2611157.18,19
HYPERTEC,5535238.00,193
I M P GROUP,2251378004.04,1
I4C INFORMATION TECHNOLOGY,194812.00,2
IBISKA TELECOM,12569040.00,65
IBM CANADA,165430000.00,56
ICEBERG NETWORKS,23956.00,1
IDN CANADA,129801.18,37
IDP GROUP,5644950.03,1
IDS SYSTEMS CONSULTANTS,2457762.10,2
IFATHOM,51792.42,2
IHS GLOBAL,1280891.00,7
IIC TECHNOLOGIES,138600.00,1
ILLUMINA CANADA,143351.72,4
IMP GROUP,2944000.00,10
IMPERIAL CLEANERS,26777302.09,66
IMPERIAL OIL,2305842.27,880
INDAL TECHNOLOGIES,10226500.00,37
INDUSTRA CONSTRUCTION,7497000.00,12
INDUSTRIES OCEAN,98800676.21,1
INFO TECH RESEARCH GROUP,150716.76,5
INLAND AUDIO VISUAL,192888.90,57
INNOCAR,3313816.00,1
INSA,380810.00,10
INSIGHT SOFTWARE CANADA,124139.00,23
INSTITUT NATIONAL D OPTIQUE,3449250.00,9
INSTITUTE ON GOVERNANCE,24500.00,6
INSTRUX MEDIA,74999.99,1
INTEGRA NETWORKS,902122.71,50
INTEGRATED DISTRIBUTION SYSTEMS,10304207.00,4
INTER MEDICO,2749252.80,2
INTER OUTAOUAIS,5529149.00,14
INTERACTIVE AUDIO VISUAL,399954.71,34
INTERCON MARINE,17600.10,3
INTERCONTINENTAL TRUCK BODY,23467.50,2
INTERFAX SYSTEMS,1178201.94,17
INTERNATIONAL CUSTOM PRODUCTS ICP,5731360.00,1
INTERNATIONAL REPORTING,226000.00,5
INTERNATIONAL SAFETY RESEARCH,3390000.00,13
INVERIS TRAINING SOLUTIONS,14946750.00,14
IPSOS,19995.00,1
IPSS,22381875.00,44
IRON MOUNTAIN,174471.39,8
IRONCLAD EARTHWORKS,243541.63,5
IRVCON,1233565.00,8
IRVING OIL,16875000.00,967
IRVING SHIPBUILDING,3276494495.17,8
ISLAND CATERING,5497800.00,5
ISLAND TEMPERATURE CONTROLS,60375.00,68
IT NET CONSULTANTS,11202463.49,7
ITEX,3113777.39,326
IVAN S CAMERA,396497.92,85
J J TRAILERS MANUFACTURERS AND SALES,1564275.26,7
J L RICHARDS ASSOCIATES,80991.34,13
JANKEL TACTICAL SYSTEMS,630115.00,4
JASCO APPLIED SCIENCES CANADA,356500.00,3
JASTRAM ENGINEERING,2992500.00,2
JAVELIN TECHNOLOGIES,389932.20,15
JCB,1298592.92,3
JHT DEFENSE,467050.30,382
JIM PATTISON INDUSTRIES,14357.67,1
JOHN WILEY SONS,220153.21,8
JOHNSON CONTROLS CANADA,9200000.00,15
JONELJIM CONCRETE CONSTRUCTION,49967.50,6
JOSEPH ELIE,132080.39,2
JOWA FAHRZEUGTEILE VERTRIEBS,7255770.00,13
JP2G CONSULTANTS,526820.21,69
JSK NAVAL SUPPORT,1406930.00,65
JULIAN SIMON GROUP,4942620.00,1
JUNO RISK SOLUTIONS,87687.50,7
JWK CONTRACTING,1409184.59,9
JWT JUNGENTHAL WEHRTECHNIK,6000000.00,1
K RITE CONSTRUCTION,757584.88,3
KENN BOREK AIR,45166.62,5
KEYSIGHT TECHNOLOGIES CANADA,539516.91,40
KEYSTONE SUPPLIES INTERNATIONAL,52715.86,3
KF AEROSPACE,1767669554.00,5
KIA CANADA,401066.38,28
KILEY PAVING,111473.09,3
KINETIC CONSTRUCTION,6000000.00,16
KINETIC MACHINE WORKS,16184.10,5
KINGS ENTERPRISES,480000.00,83
KINGSVIEW CONSTRUCTION,1981756.67,3
KLEYSEN GROUP,2591951.65,1
KMS INDUSTRIES,341281.05,3
KNAPPETT INDUSTRIES,44217063.00,11
KNIGHT AEROSPACE MEDICAL SYSTEMS,3696520.42,1
KNOLL NORTH AMERICA,24688.72,4
KNOWLEDGE CIRCLE,18480.00,4
KODIAK GROUP HOLDINGS,9679009.00,3
KONE,187364.53,10
KONGSBERG,17775550.00,3
KONICA MINOLTA BUSINESS SOLUTIONS,358271.53,171
KORN FERRY CA,10452.50,1
KPMG,10462725.00,13
KRAKEN ROBOTIC SYSTEMS,565000.00,1
KRAUSS MAFFEI WEGMANN,5940040.00,27
KROMAR PRINTING,45300.00,5
KUBOTA CANADA,1574073.93,11
KUDLIK CONSTRUCTION,480727.70,1
KURT J LESKER CANADA,20622.62,2
L P ROYER,6981241.89,2
L3HARRIS,515800000.00,190
LANGUAGE RESEARCH DEVELOPMENT GROUP,583063.00,1
LANNICK CONTRACT SOLUTIONS,63178.76,3
LANSDOWNE TECHNOLOGIES,1136458.91,17
LARRY PENNER ENTERPRISES,64254.61,108
LAURENTIAN TECHNOLOGIES,4356429.83,32
LAVAL FORTIN,36059.83,2
LAVAL LAB,42624.68,2
LAZY H TRAIL COMPANY,8020266.64,3
LEAN AGILITY,365605.80,3
LEEWAY YACHTS,8866895.56,2
LEIGHTON CONTRACTING,2729540.07,11
LEO PISCES SERVICES GROUP,441170.57,8
LEONARDO,48792129.88,31
LES ALIMENTS GUY CHICOINE,28294.38,118
LES ENQUETES HENRI,30404.27,1
LES ENTREPRISES FERVEL,8939757.93,3
LES ENTREPRISES ROBERT SANFACON,2558193.75,2
LES HUILES DESROCHES,112237.61,208
LEVITT SAFETY,11845554.23,60
LEXISNEXIS CANADA,47460.00,6
LIEBHERR CANADA,3659024.00,4
LIFE TECHNOLOGIES,368818.80,29
LIFEPORT,2472198.12,1
LIFTKING MANUFACTURING,3936899.06,19
LIMEN GROUP CONST,4166153.96,5
LLOYD S REGISTER CANADA,54030972.33,2
LOCATION DE MOTONEIGES HAUTE MATAWINIE,4058657.35,6
LOCKHEED MARTIN,1808011801.00,39
LOGISTIK UNICORP,57412500.00,169
LOWE MARTIN COMPANY,50045.71,8
LRO STAFFING,170682.00,9
LUMINA IT,531100.00,5
LUXTON CONSTRUCTION,2723862.30,4
LUXTON CONSTRUCTION PLAINS,1329791.54,8
LYNLEY CONTRACTING SERVICES,2052570.75,48
M D CHARLTON,1734800.82,41
M SULLIVAN SON,14653588.00,3
MACDONALD DETTWILER AND ASSOCIATES,67025662.00,391
MACEWEN PETROLEUM,3294072.00,219
MACK TRUCKS,830397135.57,6
MACKINNON AND OLDING,2695114.72,294
MAGELLAN AEROSPACE,27329705.28,12
MAGNET FORENSICS,19005.98,2
MAKWA RESOURCING,201366.00,7
MALATEST,131530.59,1
MAN ENERGY SOLUTIONS CANADA,37000000.00,3
MANITEX LIFTKING,4897056.00,8
MANITOBA HYDRO,1008000.00,44
MANPOWER SERVICES CANADA,97654.88,8
MAPLE LEAF ROPES,1745741.88,8
MAPLE RIDGE MECHANICAL CONTRACTING,2769434.20,1
MAPLESOFT CONSULTING,967562.50,7
MARINE RECYCLING,12616144.00,3
MARITIME FENCE,703800.00,20
MARITIME FUELS,1026545.63,226
MARKLAND PAVING,12118389.00,1
MARSHALL AEROSPACE,5111952.96,1
MARTEC,2574442.73,25
MAVERIN,269079.44,3
MAVERIN BUSINESS SERVICES,488612.00,15
MAXIM 2000,22512000.00,2
MAXSYS STAFFING AND CONSULTING,666585.60,43
MCCOLMAN SONS DEMOLITION,2442400.00,5
MCDONALD BROS CONSTRUCTION,43847.00,4
MCELHANNEY ASSOCIATES,250000.00,2
MCGILL UNIVERSITY,1126999.16,17
MCKESSON CANADA,40708.87,176
MCKINSEY AND COMPANY,2567535.47,6
MCMASTER UNIVERSITY,295380.00,9
MCW CONSULTANTS,2200000.00,6
MCW CUSTOM ENERGY SOLUTIONS,18762221.00,6
MDOS CONSULTING,2224970.00,2
MEAD AUTOMATION SOLUTIONS,2498890.00,4
MEAL KIT SUPPLY CANADA,7594374.50,8
MED ENG HOLDINGS,6793514.95,14
MEDAVIE,14315115.23,2
MEDI SELECT,1096711.38,3
