nibs_gsin,gsin_description_en,d_it_subcategory
D301A,Computer and Data Processing Services,it_consulting_services
D301,Computer and Data Processing Services,it_consulting_services
WL7010,ADPE SYSTEM CONFIGURATION - LEASE,it_devices_equipment
WL7010AB,"COMPUTERS, DIGITAL SYSTEMS, MINI/SUPER MICRO (MAY INCLUDE OPERATING SYSTEM SOFTWARE) IBM PLUG COMPATIBLE - LEASE",it_devices_equipment
WL7010BA,"COMPUTERS, DIGITAL TURNKEY SYSTEMS, MINI/SUPER MICRO (INCLUDES  APPLICATION SOFTWARE) - LEASE",it_devices_equipment
WL7010BB,"COMPUTERS, DIGITAL TURNKEY SYSTEMS, PERSONAL/PORTABLE (INCLUDES APPLICATION SOFTWARE) - LEASE",it_devices_equipment
WL7020,"ADP CENTRAL PROCESSING UNIT (CPU, COMPUTER) ANALOG - LEASE",it_devices_equipment
WL7021,"ADP CENTRAL PROCESSING UNIT (CPU,COMPUTER) DIGITAL - LEASE",it_devices_equipment
WL7021AC,"COMPUTER, CPU, DIGITAL MINI/SUPER MICRO - OTHER THAN IBM PLUG   COMPATIBLE - LEASE",it_devices_equipment
WL7025CA,CONTROLLER/PROCESSORS - LEASE,it_devices_equipment
WL7025DE,"TERMINALS, DISPLAY, CLUSTER - OTHER THAN IBM PLUG COMPATIBLE -  LEASE",it_devices_equipment
WR7010,"AUTOMATIC DATA PROCESSING EQUIPMENT, SYSTEM CONFIGURATION-RENTAL",it_devices_equipment
WR7010DA,"COMPUTER AND TURNKEY SYSTEM, USED - RENT",it_devices_equipment
WR7020,"ADP CENTRAL PROCESSING UNIT (CPU,COMPUTER) ANALOG - RENT",it_devices_equipment
WR7021,"ADP CENTRAL PROCESSING UNIT (CPU,COMPUTER) DIGITAL - RENT",it_devices_equipment
WR7022,"ADP CENTRAL PROCESSING UNIT (CPU,COMPUTER) HYBRID - RENT",it_devices_equipment
D302AAS,"Professional Special Services, EDP, Not Elsewhere Specified",it_consulting_services
D308A,Programming Services,it_consulting_services
D309BB,Consulting Services Office Communications Systems-Systems,it_consulting_services
D301BB0,Cloud Technology,it_consulting_services
D307AB,Informatics Systems Integration,it_consulting_services
D399A,Miscellaneous Communications Services,it_other
D399,Miscellaneous Communications Services,it_other
D304A,Data Transmission Service,it_other
D399AA,Other Telecommunications Services,it_other
D399B,Telecommunications - Voice Service,it_other
N5805042,"Telephones, Cellular",it_other
D399BE,Telecommunications - Voice Messaging,it_other
D399BC,Telecommuncations - Teleconferencing,it_other
D399BD,Telecommunications - Video Conferencing,it_other
D301C,"Computer Services, Not Elsewhere Specified",it_consulting_services
D302AAP,"Informatics Professional and Consulting Services, Software Development and Implementation",it_consulting_services
D302AAR,"Informatics Professional and Consulting Services, Systems Management, Project Management, EDP Management Consulting",it_consulting_services
D302A,Informatics Professional Services,it_consulting_services
D302,Informatics Professional Services,it_consulting_services
D302AAH,"Informatics Professional and Consulting Services - Maintenance Operations, Support",it_consulting_services
D302AAI,"Informatics, Professional and Consulting Services - Network Planning, Design, Implementation, Management, Etc.",it_consulting_services
D302AAJ,"Informatics Professional and Consulting Services, Requirements, Analysis, Feasibility Studies",it_consulting_services
D302D,Multimedia Services,it_consulting_services
D303AA,Data Entry Services,it_consulting_services
D316B,Telecommunications Network Services,it_consulting_services
D317B,"Information Retrieval Services, Database",it_consulting_services
D317,"Information Retrieval Services, Database",it_consulting_services
D317C,Electronic Mail Services,it_consulting_services
D317D,Automated News Services,it_consulting_services
D311A,Data Conversion Services,it_consulting_services
D312A,Optical Scanning Services,it_consulting_services
D399AB,"Professional Services, Telecommunications",it_consulting_services
D399D,Micrographic Services,it_consulting_services
D399C,CD-Rom Services,it_consulting_services
N7050,ADP Components,it_devices_equipment
JX7030,ADP Software Maintenance - Other than Microcomputer,it_software_licensing
N7030205,"COMPUTER SOFTWARE, DATA COMMUNICATIONS, INCLUDING MODEM/LINE    CONTROL, PROTOCOL, CONVERSION, TERMINAL EMULATION, VOICE AND OR DATA NETWORK MANAGEMENT, ETC.- OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030250,COMPUTER SOFTWARE FOR TECHNOLOGY  ASSISTED TRAINING,it_software_licensing
N7030310,"COMPUTER SOFTWARE, ENGINEERING, SCIENTIFIC, MATHEMATICAL,       STATISTICAL, MODELING, SIMULATION, EMULATION, ENERGY - OTHER    THAN MICROCOMPUTERS",it_software_licensing
N7030315,"COMPUTER SOFTWARE, ACQUISITION/PROCESSING OF ANALOG/DIGITAL,    SIGNALS (AUDIO,VIDEO,SEISMIC,ETC)INCL.MACH.VISION,VOICE RECOGN. INST.SIGNALS,ROBOTICS,NUM.MACH.CONT.ETC-OTHER THAN MICROCOMPUTER",it_software_licensing
N7030100,"Software Suppliers, Application, Business, Personnel Management, EDP",it_software_licensing
N7030150,"COMPUTER SOFTWARE, ACCOUNTING, FINANCIAL, INSURANCE, PAYROLL    - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030161,"COMPUTER SOFTWARE, ARTIFICIAL INTELLIGENCE, EXPERT SYSTEMS      - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030165,"COMPUTER SOFTWARE, BUILDING CONSTRUCTION, FACILITY/PROPERTY     MANAGEMENT - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030175,"COMPUTER SOFTWARE, BUSINESS ADMINISTRATION/MANAGEMENT, PLANNING, MARKET TRADE AND SALES ANALYSIS, ECONOMICS - OTHER THAN        MICROCOMPUTERS",it_software_licensing
N7030500,"COMPUTER SOFTWARE, MILITARY APPLICATIONS, EMERGENCY PLANNING    CIVIL - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030515,"COMPUTER SOFTWARE, MEDICAL AND HEALTH CARE - OTHER THAN         MICROCOMPUTERS",it_software_licensing
N7030525,"COMPUTER SOFTWARE,OFFICE AUTOMATION,DOCUMENT MANAGEMENT,MAIL,   NETWORKS,PUBLISHING,SPREADSHEETS,TYPESETTING,WORD PROCESSING -  OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030535,"COMPUTER SOFTWARE, HUMAN RESOURCES MANAGEMENT, PERSONNEL, ETC.  - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030610,"COMPUTER SOFTWARE, PROG.AIDS, COMPUTER LANGUAGES AND SOFTWARE/  SYSTEM DEV.TOOLS,COMPUTER AIDED SOFTWARE ENG.(CASE) EXCL. 4GL   - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030355,"COMPUTER SOFTWARE, RESERVATION SYSTEMS - OTHER THAN             MICROCOMPUTERS",it_software_licensing
N7030398,"COMPUTER SOFTWARE, COMPUTER AIDED DESIGN/COMPUTER AIDED MFG/    COMPUTER INTEGRATED MANUFACTURING (CAD/CAM/CIM) - OTHER THAN  MICROCOMPUTERS",it_software_licensing
N7030405,"COMPUTER SOFTWARE, LEGAL - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030425,"COMPUTER SOFTWARE, MATERIEL MANAGEMENT, INVENTORY CONTROL -     OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030ACA,"COMPUTER SOFTWARE, BUSINESS ADMINISTRATION/MANAGEMENT, PLANNING,MARKET TRADE AND SALES ANALYSIS, ECONOMICS - MICROCOMPUTERS ONLY",it_software_licensing
N7030ACB,"COMPUTER SOFTWARE, DATA BASE MANAGEMENT, INFORMATION RETRIEVAL - MICROCOMPUTERS ONLY",it_software_licensing
N7030ACC,"COMPUTER SOFTWARE, DATA COMMUNICATIONS, INCLUDING MODEM/LINE    CONTROL, PROTOCOL, CONVERSION, TERMINAL EMULATION, VOICE AND OR DATA NETWORK MANAGEMENT, ETC.- MICROCOMPUTERS ONLY",it_software_licensing
N7030ACE,"COMPUTER SOFTWARE, ENGINEERING, SCIENTIFIC, MATHEMATICAL,       STATISTICAL, MODELING, SIMULATION, EMULATION, ENERGY - MICROCOMPUTERS ONLY",it_software_licensing
N7030ACF,"COMPUTER SOFTWARE, ACQUISITION/PROCESSING OF ANALOG/DIGITAL,    SIGNALS (AUDIO,VIDEO,SEISMIC,ETC) INCL.MACH.VISION,VOICE RECOGNITION,INST.SIGNALS,ROBOTICS,NUM.MACH.CONT,ETC-MICROCOMPUTERS ONLY",it_software_licensing
N7030ACG,"COMPUTER SOFTWARE, FOURTH GENERATION LANGUAGES, APPLICATION     GENERATORS - MICROCOMPUTERS ONLY",it_software_licensing
N7030ACJ,"COMPUTER SOFTWARE, HOTEL MANAGEMENT (INCLUDES INN, MOTEL,       RESTAURANT) - MICROCOMPUTERS ONLY",it_software_licensing
N7030AE,"COMPUTER SOFTWARE, STORAGE, RETRIEVAL, PROCESSING AND/OR        PRESENTATION OF GRAPHICS, IMAGE, OR VOICE/DATA - MICROCOMPUTERS ONLY",it_software_licensing
N7030AEA,"COMPUTER SOFTWARE, COMPUTER AIDED DESIGN/COMPUTER AIDED MFG/    COMPUTER INTEGRATED MANUFACTURING (CAD/CAM/CIM) - MICROCOMPUTERS ONLY",it_software_licensing
N7030AEB,"COMPUTER SOFTWARE, LEGAL - MICROCOMPUTERS ONLY",it_software_licensing
N7030AEC,"COMPUTER SOFTWARE, MATERIEL MANAGEMENT, INVENTORY CONTROL -     MICROCOMPUTERS ONLY",it_software_licensing
N7030AED,"COMPUTER SOFTWARE, MILITARY APPLICATIONS, EMERGENCY PLANNING    CIVIL - MICROCOMPUTERS ONLY",it_software_licensing
N7030AEE,"COMPUTER SOFTWARE, MEDICAL AND HEALTH CARE - MICROCOMPUTERS ONLY",it_software_licensing
N7030AG,"COMPUTER SOFTWARE,OFFICE AUTOMATION,DOCUMENT MANAGEMENT,MAIL,   NETWORKS,PUBLISHING,SPREADSHEETS,TYPESETTING,WORD PROCESSING -  MICROCOMPUTERS ONLY",it_software_licensing
N7030615,"COMPUTER, SOFTWARE, NATURAL-LANGUAGE TRANSLATION. EG.ENGLISH-   FRENCH ETC. - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030635,"COMPUTER SOFTWARE, LIBRARY SYSTEMS, RECORDS MANAGEMENT,         CATALOGUING, CORRESPONDENCE CONTROL - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030640,"COMPUTER SOFTWARE, SYSTEM SOFTWARE (INCL.I/O / TP ACCESS METHODS) UTILITIES, DIAGNOSTICS, PERFORMANCE MONITORING, SOFTWARE      CONVERSION AIDS - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030645,"COMPUTER SOFTWARE, SECURITY, PRIVACY, ENCRYPTION, AUDIT CONTROLS/AIDS - OTHER THAN MICROCOMPUTERS",it_software_licensing
N7030AA,"COMPUTER SOFTWARE, ARTIFICIAL INTELLIGENCE, EXPERT SYSTEMS -    MICROCOMPUTERS ONLY",it_software_licensing
N7030AC,"COMPUTER SOFTWARE, BUILDING CONSTRUCTION, FACILITY/PROPERTY     MANAGEMENT - MICROCOMPUTERS ONLY",it_software_licensing
N7030AGA,"COMPUTER SOFTWARE, HUMAN RESOURCES MANAGEMENT, PERSONNEL, ETC.- MICROCOMPUTERS ONLY",it_software_licensing
N7030AGB,"COMPUTER SOFTWARE, PROG.AIDS,COMPUTER LANGUAGES AND SOFTWARE/   SYSTEM DEV.TOOLS,COMPUTER AIDED SOFTWARE ENG.(CASE) EXCLUDING   4GL  - MICROCOMPUTERS ONLY",it_software_licensing
N7030AGC,"COMPUTER, SOFTWARE, NATURAL-LANGUAGE TRANSLATION, EG.ENGLISH-   FRENCH ETC. - MICROCOMPUTERS ONLY",it_software_licensing
N7030AGD,"COMPUTER SOFTWARE, PROJECT MANAGEMENT, PLANNING AND SCHEDULING, REPAIR, MAINTENANCE AND OVERHAUL MANAGEMENT - MICROCOMPUTERS    ONLY",it_software_licensing
N7030AGE,"COMPUTER SOFTWARE, LIBRARY SYSTEMS, RECORDS MANAGEMENT,         CATALOGUING, CORRESPONDENCE CONTROL - MICROCOMPUTERS ONLY",it_software_licensing
N7030AJ,"COMPUTER SOFTWARE, SYSTEM SOFTWARE (INCL.I/O / TP ACCESS METHODS) UTILITIES, DIAGNOSTICS, PERFORMANCE MONITORING, SOFTWARE      CONVERSION AIDS - MICROCOMPUTERS ONLY",it_software_licensing
N7030AJA,"COMPUTER SOFTWARE, SECURITY, PRIVACY, ENCRYPTION, AUDIT CONTROLS/AIDS - MICROCOMPUTERS ONLY",it_software_licensing
N7030AJB,"COMPUTER SOFTWARE, OTHER (NOT ELSEWHERE LISTED) - MICROCOMPUTERS ONLY",it_software_licensing
N7030AJC,"COMPUTER SOFTWARE, CD-ROM  MICROCOMPUTER ONLY",it_software_licensing
N7030AJD,"Computer Software, Laboratory and Scientific",it_software_licensing
N7030,ADP Software,it_software_licensing
7030,ADP Software,it_software_licensing
D307A,Systems Integration of Informatics Commodities and Services,it_consulting_services
JX7025EA,"Local Area Networks, Systems and Components - Maintenance",it_devices_equipment
R010AF,IT Systems Audit (Supply Arrangement PASS),it_consulting_services
