category,d_description_en
1_facilities_and_construction,Macroeconomic forecasting
1_facilities_and_construction,Miscellaneous cleaning services
1_facilities_and_construction,0421 – architectural services
1_facilities_and_construction,"Filter, cartouche, coalescent oil separator"
1_facilities_and_construction,"Contracted building cleaning - wabush, nl"
1_facilities_and_construction,"Contracted building cleaning - st. Anthony, nl"
1_facilities_and_construction,"Passenger terminals - air, bus, boat and other"
1_facilities_and_construction,Miscellaneous expenditures not elsewhere classified
1_facilities_and_construction,Media monitoring:
1_facilities_and_construction,1340 office buildings - card access
1_facilities_and_construction,Federal court sitting - conference room rental
1_facilities_and_construction,"Hospitals, sanatoria, clinics and first-aid stations"
1_facilities_and_construction,"Plumbing equipment and fittings, incl. parts"
1_facilities_and_construction,Rental of land to squamish fn for environment canada.
1_facilities_and_construction,"Passenger terminals-air, bus, boat, train and other"
1_facilities_and_construction,Cleaning services - condo in vancouver (bc)
1_facilities_and_construction,Construction hamilton
1_facilities_and_construction,Portrait
1_facilities_and_construction,Oil portrait
1_facilities_and_construction,"Hotels, motels and commercial accommodation"
1_facilities_and_construction,Rental of exhibit space - canada
1_facilities_and_construction,Engineering services not elsewhere specified (spec
1_facilities_and_construction,Leasehold improvements of office buildings
1_facilities_and_construction,Construction contractors
1_facilities_and_construction,0819 non-professiopnal personal service contracts not elsewhere specified (cemetery maintenance)
1_facilities_and_construction,"Measuring, controlling, laboratory, medical and optical instruments, apparatus and accessories"
1_facilities_and_construction,0496 - service contract
1_facilities_and_construction,Repair of engineering works - electric power installations
1_facilities_and_construction,0628 other engin installat - grave markers
1_facilities_and_construction,Building maintenance services
1_facilities_and_construction,Cabling - sparks
1_facilities_and_construction,Carpet
1_facilities_and_construction,Rental of industrial & commercial buildings
1_facilities_and_construction,Heating air-conditioning and refrigeration equipme
1_facilities_and_construction,"Armouries, barracks, drill halls, etc."
1_facilities_and_construction,Install cubicles at 99 metcalfe
1_facilities_and_construction,1340 office buildings
1_facilities_and_construction,0628 other engineering works (cemetery maintenance)
1_facilities_and_construction,Rental of non-residential buildings
1_facilities_and_construction,"Movers, furniture and office equipment and storage"
1_facilities_and_construction,Office repairs (new location)
1_facilities_and_construction,Office repairs (current location)
1_facilities_and_construction,0628 other engin installat
1_facilities_and_construction,Amendment 002 to adjust tax to correct rate
1_facilities_and_construction,"Buildings and/or installations for telecommunications, computers and/or electronic/automated office systems-repairs and maintenance"
1_facilities_and_construction,0499 - other professional services
1_facilities_and_construction,Environmental services
1_facilities_and_construction,Professional services / program advisory services
1_facilities_and_construction,"Heating, ventilation and air conditioning maintenance & inspection services"
1_facilities_and_construction,"Industrial boilers, heating plant control system - repair and overhaul/servicing"
1_facilities_and_construction,Property and facilities management - buildings
1_facilities_and_construction,Engineering services - buildings
1_facilities_and_construction,"Cleaning and maintenance, janitorial"
1_facilities_and_construction,"Maintenance, repair, modification, rebuilding & installation of equipment related to ships"
1_facilities_and_construction,System engineering services
1_facilities_and_construction,"Product/material - design, development, formulation, modification: science and technology related (r&d)"
1_facilities_and_construction,Electric lamps
1_facilities_and_construction,Miscellaneous items
1_facilities_and_construction,Architectural & engineering services - restoration/conservation heritage non-building structures
1_facilities_and_construction,Miscellaneous items - repairs
1_facilities_and_construction,"Roofing, asphalt and shingle services"
1_facilities_and_construction,"General contractor services, not elsewhere specified"
1_facilities_and_construction,Plumbing fixtures and accessories
1_facilities_and_construction,Ventilating services contractors
1_facilities_and_construction,Other installation work
1_facilities_and_construction,"Fencing, fences and gates - installation"
1_facilities_and_construction,Insulation work
1_facilities_and_construction,Paving contractor services (except mud jacking)
1_facilities_and_construction,Concrete work
1_facilities_and_construction,Consulting services
1_facilities_and_construction,"Consulting engineers, air traffic control, military"
1_facilities_and_construction,Leasing of office space
1_facilities_and_construction,"Generators and generator sets, electrical"
1_facilities_and_construction,Sewage treatment equipment - repair
1_facilities_and_construction,Heating (except electric heating) and air conditioning
1_facilities_and_construction,Architect/engineer services - industrial buildings
1_facilities_and_construction,Construction of other buildings
1_facilities_and_construction,Indoor and outdoor electric lighting fixtures - rental
1_facilities_and_construction,Other architectural and engineering services - real property
1_facilities_and_construction,"Engineering works, not elsewhere specified"
1_facilities_and_construction,Materials inspection and quality assurance
1_facilities_and_construction,Architectural & engineering services - restoration/conservation heritage building structures
1_facilities_and_construction,Military (r&d)
1_facilities_and_construction,Glazing and window glass installation
1_facilities_and_construction,"Technical engineering and maintenance services (tems) (excludes requirements related to armament, r&d and r&o)"
1_facilities_and_construction,Construction of educational buildings
1_facilities_and_construction,Fiber optic cables
1_facilities_and_construction,Spacecraft instrumentation development (r&d)
1_facilities_and_construction,Other engineering studies
1_facilities_and_construction,General marine construction work
1_facilities_and_construction,Uninhabited air vehicle (uav) - lease
1_facilities_and_construction,Topography services
1_facilities_and_construction,"Boilers, repair and cleaning services"
1_facilities_and_construction,Architectural & engineering services - power generation and utilities
1_facilities_and_construction,Wood and metal joinery and carpentry
1_facilities_and_construction,Building fire protection systems
1_facilities_and_construction,"Motors, electrical - repair and overhaul"
1_facilities_and_construction,Plumbing contractor services
1_facilities_and_construction,Locksmith services
1_facilities_and_construction,Miscellaneous furniture and fixtures - recovering
1_facilities_and_construction,Sewage treatment equipment
1_facilities_and_construction,Power generation system - installation and repair
1_facilities_and_construction,Interior fit-up/renovations
1_facilities_and_construction,Electrical installations and major repairs
1_facilities_and_construction,Excavating and earthmoving work
1_facilities_and_construction,"Heaters, water (domestic)"
1_facilities_and_construction,"Roofing, siding and sheet metal installation services"
1_facilities_and_construction,Commercial security guard and related services
1_facilities_and_construction,Business services
1_facilities_and_construction,Waste disposal equipment
1_facilities_and_construction,"Leasing of hotel, restaurant buildings etc."
1_facilities_and_construction,Water supply
1_facilities_and_construction,Gas services
1_facilities_and_construction,Carpentry services
1_facilities_and_construction,"Construction services, not elsewhere specified"
1_facilities_and_construction,Other special trade construction work
1_facilities_and_construction,"Liquid and gas flow, liquid level and mechanical motion measuring instruments"
1_facilities_and_construction,Refrigeration and air conditioning components
1_facilities_and_construction,Architectural & engineering services - other non-building structures
1_facilities_and_construction,Refrigeration equipment
1_facilities_and_construction,Fire alarm systems - repair and overhaul
1_facilities_and_construction,Architect/engineer services research and development facilities
1_facilities_and_construction,Leasing of other buildings
1_facilities_and_construction,Sandblasting services
1_facilities_and_construction,Construction of warehouses and industrial buildings
1_facilities_and_construction,Passenger motor vehicles - rental
1_facilities_and_construction,Office furniture
1_facilities_and_construction,Firefighting equipment - repair and overhaul (except marine and armoured fighting vehicles)
1_facilities_and_construction,"Electric wire, and power and distribution equipment - repair"
1_facilities_and_construction,Fire alarm & detection systems - installation and repair
1_facilities_and_construction,"Tanks, fuel, oil cleaning services"
1_facilities_and_construction,Construction of commercial buildings
1_facilities_and_construction,Lumber and related basic wood material
1_facilities_and_construction,Gas fitting construction work
1_facilities_and_construction,Electrical control equipment
1_facilities_and_construction,Switches
1_facilities_and_construction,"Engine fuel system components, non-aircraft"
1_facilities_and_construction,Industrial waterproofing membrane systems (roofing)
1_facilities_and_construction,"Building/installation special trade services, not elsewhere specified"
1_facilities_and_construction,Painting services - interior
1_facilities_and_construction,Sewers and drains
1_facilities_and_construction,Air distribution systems - installation and repair
1_facilities_and_construction,Fire control systems - repair
1_facilities_and_construction,Landscaping and horticultural services
1_facilities_and_construction,Archaeological site investigations
1_facilities_and_construction,"Electrical contractor services, class a licence"
1_facilities_and_construction,Trash/garbage collection services
1_facilities_and_construction,"Valves, nonpowered"
1_facilities_and_construction,"Cleaning services, duct-exhaust system - light fixtures"
1_facilities_and_construction,Real time analysis: science and technology related (r&d)
1_facilities_and_construction,"Heat, ventilation & air conditioning maintenance"
1_facilities_and_construction,"Human resource services, business consulting/change management; project management services (supply arrangement tsps)"
1_facilities_and_construction,"Converters, electrical, nonrotating - repair and overhaul"
1_facilities_and_construction,Miscellaneous electrical and electronic components
1_facilities_and_construction,Water softeners
1_facilities_and_construction,"Door and window hardware, installation and replacement"
1_facilities_and_construction,"Architectural & engineering services - highways, roads, railways,bridges and dams"
1_facilities_and_construction,Water quality support services
1_facilities_and_construction,Electrical hardware and supplies - repair
1_facilities_and_construction,Laboratory equipment and supplies - repair
1_facilities_and_construction,"Building components, prefabricated"
1_facilities_and_construction,"Engine electrical system components, non-aircraft"
1_facilities_and_construction,Firefighting equipment - repair and overhaul
1_facilities_and_construction,Laboratory equipment and supplies
1_facilities_and_construction,Roofing and waterproofing
1_facilities_and_construction,Doors and windows installation and repair services
1_facilities_and_construction,Natural gas
1_facilities_and_construction,Kitchen equipment and appliances - repair and overhaul
1_facilities_and_construction,Miscellaneous fire control equipment
1_facilities_and_construction,"Sound recording and reproducing equipment, components and spares"
1_facilities_and_construction,Accommodation and/or food support services
1_facilities_and_construction,Architectural & engineering inspection services
1_facilities_and_construction,"Tanks, oil storage - repair and overhaul"
1_facilities_and_construction,Fiber optic interconnectors
1_facilities_and_construction,Electrical hardware and supplies
1_facilities_and_construction,"Hose, air duck, ventilating"
1_facilities_and_construction,Miscellaneous business services
1_facilities_and_construction,"Alarm and signal systems, miscellaneous - installation and services"
1_facilities_and_construction,Property management - office space/administrative buildings
1_facilities_and_construction,"Mechanical contractor services, not elsewhere specified"
1_facilities_and_construction,Conventional military weapons/equipment (r&d)
1_facilities_and_construction,Air conditioning equipment
1_facilities_and_construction,Specialized shipping and storage containers
1_facilities_and_construction,Tradesman and special tasks tools
1_facilities_and_construction,"Fences, metal"
1_facilities_and_construction,Miscellaneous electric power and distribution equipment
1_facilities_and_construction,"Construction equipment rental, with operator"
1_facilities_and_construction,Storage tanks
1_facilities_and_construction,Landscape counselling and planning
1_facilities_and_construction,Traffic and transit signal systems
1_facilities_and_construction,Miscellaneous electrical and electronic components - repair and overhaul
1_facilities_and_construction,Technical investigations and engineering services (ties) (marine)
1_facilities_and_construction,Design build services - real property
1_facilities_and_construction,Water purification equipment
1_facilities_and_construction,Engineering services - construction management
1_facilities_and_construction,Building exterior cleaning
1_facilities_and_construction,"Motors, electrical"
1_facilities_and_construction,Sewers/ drainage
1_facilities_and_construction,"Information retrieval services, database"
1_facilities_and_construction,Water plumbing and drain laying work
1_facilities_and_construction,Recreational services
1_facilities_and_construction,Informatics professional services
1_facilities_and_construction,"Plumbing fixtures, institutional"
1_facilities_and_construction,Capital lease - tangible capital assets
1_facilities_and_construction,Aircraft parts
1_facilities_and_construction,Boardroom audio-visual modifications
1_facilities_and_construction,Aircraft (military) miscellaneous communications equipment - repair and overhaul
1_facilities_and_construction,"Highways, roads, railways, airfield runways"
1_facilities_and_construction,Foundation work
1_facilities_and_construction,Water softening equipment
1_facilities_and_construction,Fence construction
1_facilities_and_construction,Architectual services - buildings
1_facilities_and_construction,"Health and allied services, not elsewhere specified"
1_facilities_and_construction,"Construction material, miscellaneous - repair"
1_facilities_and_construction,Air conditioning contractor services
1_facilities_and_construction,Parking facilities
1_facilities_and_construction,Quality assurance services
1_facilities_and_construction,Hazardous substance analysis - building related
1_facilities_and_construction,Carpentry and flooring
1_facilities_and_construction,Financial advisory/investment banking services
1_facilities_and_construction,Construction materials testing
1_facilities_and_construction,"Construction material, miscellaneous"
1_facilities_and_construction,Miscellaneous communications equipment
1_facilities_and_construction,Financial accounting services
1_facilities_and_construction,Intrusion alarms
1_facilities_and_construction,Hazardous substance removal and disposal -building related
1_facilities_and_construction,Military communications (research)
1_facilities_and_construction,Flooring contractors
1_facilities_and_construction,"Air conditioning equipment, industrial - repair"
1_facilities_and_construction,Water treatment services
1_facilities_and_construction,Construction inspection services
1_facilities_and_construction,Earthmoving and excavating equipment - leasing
1_facilities_and_construction,"Maintenance and repair shop specialized equipment, miscellaneous - rental"
1_facilities_and_construction,"Maintenance and repair shop specialized equipment, miscellaneous - repair"
1_facilities_and_construction,Soil
1_facilities_and_construction,"Hydrants, fire - repair and overhaul"
1_facilities_and_construction,Other building completion and finishing
1_facilities_and_construction,Technical investigation and engineering services - acoustic and underwater systems (hardware/software)
1_facilities_and_construction,Plastering work
1_facilities_and_construction,Compressors and vacuum pumps
1_facilities_and_construction,Floor and wall tiling work
1_facilities_and_construction,Sewage treatment
1_facilities_and_construction,Digital control systems - installation and repair
1_facilities_and_construction,Transformers: distribution and power station
1_facilities_and_construction,Grounds maintenance
1_facilities_and_construction,Heating and air circulating ductwork and accessories
1_facilities_and_construction,Dental units
1_facilities_and_construction,Water softening system
1_facilities_and_construction,"Plumbing, heating and sanitation equipment, miscellaneous - rental"
1_facilities_and_construction,Septic tank/latrine service
1_facilities_and_construction,Hazardous chemical waste disposal services
1_facilities_and_construction,"Wire and cable, electrical"
1_facilities_and_construction,"Fans, air circulators and blower equipment - repair"
1_facilities_and_construction,Road clearing and cleaning equipment - repair
1_facilities_and_construction,Industrial boilers
1_facilities_and_construction,"Other construction quality control, testing, inspect. and tech. Services"
1_facilities_and_construction,"Pipes, tubes, and rigid tubing - repair"
1_facilities_and_construction,"Trucks, miscellaneous - rental (under 90 days)"
1_facilities_and_construction,Training aids - rental
1_facilities_and_construction,Elevators
1_facilities_and_construction,Vehicular furniture and accessories
1_facilities_and_construction,"Lighting equipment, emergency"
1_facilities_and_construction,Compound covering deck (dex-o-tex)
1_facilities_and_construction,Environmental assessment (r&d)
1_facilities_and_construction,"Diesel fuel, automotive"
1_facilities_and_construction,Paving - parking areas
1_facilities_and_construction,"Containers, cargo handling, metal non-refrigerated (for container shipping method)"
1_facilities_and_construction,Property management - warehouse buildings
1_facilities_and_construction,Indoor and outdoor electric lighting fixtures
1_facilities_and_construction,Water separators
1_facilities_and_construction,Ductwork - repair and cleaning services
1_facilities_and_construction,Ship and marine miscellaneous equipment
1_facilities_and_construction,Electronic modules - repair
1_facilities_and_construction,Metal fabricators (iron and steel)
1_facilities_and_construction,Chemicals
1_facilities_and_construction,Tents and tarpaulins
1_facilities_and_construction,"Prefabricated constructions, supply and erection"
1_facilities_and_construction,Conference space and facilities
1_facilities_and_construction,"Valves, non-powered - repair and overhaul"
1_facilities_and_construction,Heat exchangers and steam condensers
1_facilities_and_construction,"Doors, shielded, maintenance and repairs"
1_facilities_and_construction,Welding contractor services
1_facilities_and_construction,"Water distillation equipment, marine and industrial - repair"
1_facilities_and_construction,Overhead door - maintenance
1_facilities_and_construction,"Laboratory, testing and inspection services, except medical/dental"
1_facilities_and_construction,"Forestry services - pruning, felling, seeding, etc."
1_facilities_and_construction,Electrical power and distribution equipment - repair and overhaul
1_facilities_and_construction,"Humidifiers, industrial - repairs"
1_facilities_and_construction,Elevator maintenance (buildings)
1_facilities_and_construction,Masonry work
1_facilities_and_construction,Space and water heating equipment
1_facilities_and_construction,"Informatics professional and consulting services, software development and implementation"
1_facilities_and_construction,"Rental of exhibit space - all others except canada, u.s.a. and europe"
1_facilities_and_construction,Refrigeration and air conditioning components - installation
1_facilities_and_construction,Land and building appraisal
1_facilities_and_construction,Electrical control equipment - repair
1_facilities_and_construction,Middle distillate fuels
1_facilities_and_construction,Miscellaneous electrical and electronic components - rental
1_facilities_and_construction,Miscellaneous fabricated nonmetallic material
1_facilities_and_construction,Building sheet metal services
1_facilities_and_construction,Arboriculture work
1_facilities_and_construction,Lawn care services
1_facilities_and_construction,Environmental characterization of soils
1_facilities_and_construction,Resurfacing of the inline skating path
1_facilities_and_construction,Roadwork on the gilmour hill
1_facilities_and_construction,Snow removal
1_facilities_and_construction,Maintenance work for the site of major events
1_facilities_and_construction,Design professionnal fees
1_facilities_and_construction,Manufacturing of street lights
1_facilities_and_construction,Fabrication of exhibits
1_facilities_and_construction,Building renovation
1_facilities_and_construction,Landscaping services
1_facilities_and_construction,Mansonry works
1_facilities_and_construction,Archaeological potential study
1_facilities_and_construction,Interior renovation works
1_facilities_and_construction,Historical interpretive panels
1_facilities_and_construction,Roof renovation works
1_facilities_and_construction,Cliff cleaning works
1_facilities_and_construction,Resurfacing of gilmour hill
1_facilities_and_construction,Construction works
1_facilities_and_construction,Traffic signs
1_facilities_and_construction,Paving works
1_facilities_and_construction,Drainage works
1_facilities_and_construction,Remote monitoring and control systems
1_facilities_and_construction,Rental of facilities
1_facilities_and_construction,Replacement of a compressor
1_facilities_and_construction,Update of the parking meters doors
1_facilities_and_construction,Moving & storage
1_facilities_and_construction,Construction - renovation
1_facilities_and_construction,Repair and maintenance of other engineering works
1_facilities_and_construction,"Passenger terminals - air, bus, boat, train and other"
1_facilities_and_construction,Other engeneering works
1_facilities_and_construction,"Various alarm, signal and security detection systems"
1_facilities_and_construction,"Heating, air-conditioning and refrigeration equipm"
1_facilities_and_construction,Contracted building cleaning - non-professional contracted services
1_facilities_and_construction,Special industry machinery
1_facilities_and_construction,Svc rltd to remediation of contaminate sites
1_facilities_and_construction,Contracted building cleanings
1_facilities_and_construction,"Buildngs and/or installatons for telecom, computer"
1_facilities_and_construction,"Bridges, trestles, culverts, overpasses & viaducts"
1_facilities_and_construction,"Electric lighting, distribution and control eqpt"
1_facilities_and_construction,A&e services related to const.
1_facilities_and_construction,Airport electrical service and maintenance.
1_facilities_and_construction,Airport management
1_facilities_and_construction,"Alarm and signal systems, miscellaneous - repair, overhaul and maintenance"
1_facilities_and_construction,"Alarm, signal, and security detection systems , miscellaneous"
1_facilities_and_construction,Animal control services - trap and remove animals from populated areas
1_facilities_and_construction,Asbestos removal services
1_facilities_and_construction,Asphalt and joint sealing services
1_facilities_and_construction,Bldg completion & finishing
1_facilities_and_construction,"Blind, window"
1_facilities_and_construction,"Bridges, fixed and floating"
1_facilities_and_construction,Building electrical controls - installation and repair
1_facilities_and_construction,"Cabinets, lockers, bins and shelving"
1_facilities_and_construction,Carpet cleaning
1_facilities_and_construction,"Carpet, drape and upholstery cleaning"
1_facilities_and_construction,Chillers - installation and repair
1_facilities_and_construction,"Chillers, maintenance"
1_facilities_and_construction,Cleaning and maintenance
1_facilities_and_construction,Commissionaire services
1_facilities_and_construction,"Compressors - repair, overhaul, modification and maintenance"
1_facilities_and_construction,Compressors and vacuum pumps - rental
1_facilities_and_construction,Construction work - civil eng
1_facilities_and_construction,Construction works - buildings
1_facilities_and_construction,Contracted building cleaning (janitorial services wabush airport)
1_facilities_and_construction,Cubicle disassembling and removal - phase 1 & 2
1_facilities_and_construction,Custodial services
1_facilities_and_construction,"Deicing compound, salt and sand mixture for road surfaces"
1_facilities_and_construction,"Design engineering, communications"
1_facilities_and_construction,"Device, locking, hasp locking, single drawer, ssc/ses 402, dss qpl"
1_facilities_and_construction,Drafting and design services
1_facilities_and_construction,"Draperies, awnings and shades"
1_facilities_and_construction,"Draperies/curtains, cloth-supply and installation (including hardware)"
1_facilities_and_construction,Earthmoving and excavating equipment
1_facilities_and_construction,Earthmoving and excavating equipment - rental
1_facilities_and_construction,Earthmoving and excavating equipment - repair
1_facilities_and_construction,Elevator installation
1_facilities_and_construction,Elevator installation / modernization
1_facilities_and_construction,Elevators - repair
1_facilities_and_construction,Environmental chambers and related equipment
1_facilities_and_construction,Environmental engineering services - real property
1_facilities_and_construction,Fencing and railing work
1_facilities_and_construction,"Fencing, fences, gates and components"
1_facilities_and_construction,Filter
1_facilities_and_construction,Filter and networks
1_facilities_and_construction,"Filters, air, disposable"
1_facilities_and_construction,Fire protection services - buildings
1_facilities_and_construction,Floor coverings
1_facilities_and_construction,Floor coverings - installation
1_facilities_and_construction,Floor coverings - repair
1_facilities_and_construction,"General contractor services, n.e.s."
1_facilities_and_construction,"Gravel, road"
1_facilities_and_construction,Hazardous chemicals removal
1_facilities_and_construction,Hazardous material spill containment and clean-up equipment and material
1_facilities_and_construction,Hearing room equipment and installation
1_facilities_and_construction,"Heating and cooling plant, inspection services"
1_facilities_and_construction,Incinerators
1_facilities_and_construction,Inspection services
1_facilities_and_construction,"Inspection, sewage pipe"
1_facilities_and_construction,Installation work
1_facilities_and_construction,Kitchen equipment and appliances
1_facilities_and_construction,Lawn and garden services
1_facilities_and_construction,Leasing of public entertainment buildings
1_facilities_and_construction,"Lighting equipment, aerodrome, including marker lights"
1_facilities_and_construction,"Lighting maintenance (washing, relamping and repairing services)"
1_facilities_and_construction,Lock sets
1_facilities_and_construction,"Mattress, bed, inner spring, fire retardant ticking"
1_facilities_and_construction,Millwork - repair
1_facilities_and_construction,"Mineral construction materials, bulk"
1_facilities_and_construction,Miscellaneous construction equipment
1_facilities_and_construction,Miscellaneous construction equipment - repair
1_facilities_and_construction,"Miscellaneous household and commercial appliances, electrical - repair"
1_facilities_and_construction,Miscellaneous maintenance and repair shop specialized equipment
1_facilities_and_construction,Miscellaneous prefabricated structure - aluminum
1_facilities_and_construction,Non-hazardous waste recycling - real property
1_facilities_and_construction,Northern contaminated site environmental clean-up work/services
1_facilities_and_construction,Oil road spreading services
1_facilities_and_construction,Operation and maintenance of eastmain airport
1_facilities_and_construction,Operation and maintenance services of a technical/scientific facility
1_facilities_and_construction,Operation govt owned facility
1_facilities_and_construction,Operations & maintenance of a military base
1_facilities_and_construction,Other architect and engineering services - real property
1_facilities_and_construction,Other business services not elsewhere specified - building automation system maintenance
1_facilities_and_construction,"Other business services not elsewhere specified - garbage collection services for the airport in wabush, nl"
1_facilities_and_construction,Other business services not elsewhere specified - maintenance and operation service - eastmain airport
1_facilities_and_construction,Other business services not elsewhere specified - operation and maintenance lourdes-de-blanc-sablon airport
1_facilities_and_construction,Other business services not elsewhere specified - snow removal services
1_facilities_and_construction,"Other business services not elsewhere specified - snow removal services at the marystown, nl, ferry terminal"
1_facilities_and_construction,Other business services not elsewhere specified. - exploitation & maintenance havre st-pierre airport
1_facilities_and_construction,Other custodial and related services
1_facilities_and_construction,Painting work
1_facilities_and_construction,Plumbing fixtures and accessories - rental
1_facilities_and_construction,Pontoons and floating docks
1_facilities_and_construction,Portable toilets
1_facilities_and_construction,"Portable toilets, rental"
1_facilities_and_construction,Power distribution and transmission lines
1_facilities_and_construction,"Power transmission equipment, miscellaneous"
1_facilities_and_construction,Prefabricated and portable buildings
1_facilities_and_construction,Property & facilities mgmt
1_facilities_and_construction,Property management - airfield and communication facilities
1_facilities_and_construction,Property management - conservation and development facilities
1_facilities_and_construction,Protection services
1_facilities_and_construction,Refrigeration equipment - repair
1_facilities_and_construction,Renting const / demolitn equip
1_facilities_and_construction,Rigid wall shelters
1_facilities_and_construction,Sand
1_facilities_and_construction,Sanitary services
1_facilities_and_construction,Service contract for the operation and maintenance of the wemindji airport in the james bay.
1_facilities_and_construction,Services of individuals - general labourers and trade helpers
1_facilities_and_construction,Signs
1_facilities_and_construction,Signs and identification plates
1_facilities_and_construction,Sirc fit-up
1_facilities_and_construction,Sirc physical security support services
1_facilities_and_construction,Snow plowing and removal
1_facilities_and_construction,Snow removal and salt service
1_facilities_and_construction,Special trade construction wrk
1_facilities_and_construction,Specialized services for the development of the requirements for the alarm system for the new location
1_facilities_and_construction,Specialized services in physical security for the relocation project
1_facilities_and_construction,Stone and aggregate
1_facilities_and_construction,"Tanks, oil storage"
1_facilities_and_construction,Technical engineering and maintenance services (tems)
1_facilities_and_construction,Traffic line marking
1_facilities_and_construction,Waste recycling services
1_facilities_and_construction,Water treatment chemicals
1_facilities_and_construction,"Waterways, harbours, dams and other water works"
1_facilities_and_construction,Wildlife control (airports)
1_facilities_and_construction,Window cleaning
10_office_management,"Rental of machinery, office furniture and fixtures and other equipment"
10_office_management,Non-professional personal service contracts not elsewhere specified
10_office_management,Waste diposal
10_office_management,Waste disposal
10_office_management,Rental - other
10_office_management,Imaging services
10_office_management,Rental-other
10_office_management,"Printed books, newspapers, pictures, manusc"
10_office_management,Rental of art works
10_office_management,Design and printing services - amd to exercise option year # 1
10_office_management,Graphic design services - amd to exercise option year # 1
10_office_management,Warehousing services - amd to exercise option year # 1
10_office_management,"Rental of machinery, office furniture and fixtures"
10_office_management,"Rentl machinry, off furnitre/fixtres & other eqpt"
10_office_management,Office machines and equipment
10_office_management,Postage and parcel post
10_office_management,Printing services
10_office_management,Hospitality
10_office_management,Other office equipment and parts
10_office_management,"Printed matter, including books, newspapers, pictures, manuscripts and forms"
10_office_management,"Office furniture and furnishings, including parts"
10_office_management,Rental of art work
10_office_management,Office and stationers supplies
10_office_management,"0533 - rental of machinery, equipment and furniture"
10_office_management,"Office furniture and furnishings, incl. parts"
10_office_management,"Rental of machinery, office furniture & fixtures"
10_office_management,Office and stationers supplies expenditures for stationery and office supplies and artists’ materials. These are described in various chapters of the statistics canada publication titled standard classification of goods
10_office_management,Photographic or cinematographic goods
