d_vendor_name,mean_years,n
CANADYNE TECHNOLOGIES,0.94,4
CANAM PONTS CANADA,0.84,3
CANMEC,1.49,1
CANON,3.87,661
CANSEL SURVEY EQUIPMENT,0.58,113
CANTEX OKANAGAN CONSTRUCTION,1.11,3
CARAHSOFT TECHNOLOGY,1.02,266
CAREWORX,0.65,27
CARLETON ELECTRIC,0.7,26
CARLETON UNIVERSITY,0.75,158
CARMACKS ENTERPRISES,0.69,1
CARMICHAEL ENGINEERING,0.55,55
CARO ANALYTICAL SERVICES,0.69,37
CARSWELL,0.96,26
CASCADE AEROSPACE,0.12,1
CASCADE COLLEGE,0,1
CASP AEROSPACE,0.08,2
CATHOLIC SOCIAL SERVICES,4.89,5
CBCI TELECOM,0.34,664
CBCL,0.82,228
CBRE,0.33,24
CCM CONSTRUCTION,0.77,3
CCR CONSTRUCTION,2.33,4
CDCI RESEARCH,0.79,67
CDW CANADA,0.69,806
CEGERCO,2.41,1
CELEB CONSTRUCTION,3.29,5
CELLEBRITE,1.15,5
CEPHEID,1.97,2
CERIDIAN,1.35,2
CGI,1.55,254
CH2M HILL CANADA,1.49,6
CHANDOS CONSTRUCTION,2.08,6
CHANNEL MANAGEMENT INTERNATIONAL,1.16,11
CHANTIER DAVIE CANADA,1.37,7
CHANTIER NAVAL FORILLON,1.03,4
CHARRON HUMAN RESOURCES,0.5,95
CHARTER TELECOM,3.26,5
CHEF BRANDZ,0.07,12
CHEVRON,0.15,39
CHU SAINTE JUSTINE,2.53,11
CHUBB EDWARDS,1.8,129
CIMA,1.52,135
CIRCLE OF EAGLES LODGE SOCIETY,2.33,3
CISION CANADA,1.23,282
CISTEL TECHNOLOGY,1.37,220
CITRIX,1.15,17
CLARIANT CANADA,0.32,25
CLEANMATTERS JANITORIAL SERVICES,1.92,16
CLEARWATER STRUCTURES,1.78,2
CLERMARK,1.01,1
CLICK NETWORKS,1.47,214
CLOSEREACH,1.36,88
CO VEN,1,1
COADY CONSTRUCTION EXCAVATING,0.62,15
COASTAL RESTORATION MASONRY,0.51,35
COCO PAVING,0.4,1
COFOMO,1.6,394
COLLIERS PROJECT LEADERS,1.85,132
COLT CANADA,0.34,89
COLUMBIA FUELS,0.09,169
COMBAT NETWORKS,1.94,244
COMMPOWER,3.92,2
COMMUNICATIONS POWER,3.98,2
COMMVAULT SYSTEMS,1.04,19
COMPAGNIE AMPLEXOR CANADA,0.86,57
COMPUCOM CANADA,2.54,231
COMPUGEN,2.92,424
COMPUTER ASSOCIATES CANADA,1.86,5
COMPUTERSHARE INVESTOR SERVICES,5.99,8
CON PRO INDUSTRIES CANADA,1.37,13
CONCEPT CONTROLS,0.22,50
CONEXSYS,1.06,78
CONFECTION AVENTURE,1.73,1
CONNECTIVE SUPPORT SOCIETY,1.61,7
CONNEX TELECOMMUNICATIONS,1.25,23
CONOSCENTI TECHNOLOGIES,1.67,17
CONSTRUCTION BLANCHARD ET,1.79,2
CONSTRUCTION BUGERE,1.07,10
CONSTRUCTION COTE FILS,1.15,1
CONSTRUCTION COUTURE TANGUAY,0.12,1
CONSTRUCTION CYBCO,3.52,6
CONSTRUCTION DEMATHIEU BARD,2.41,6
CONSTRUCTION DERIC,1.3,13
CONSTRUCTION J R SAVARD,1.77,2
CONSTRUCTION JESSIKO,0.55,6
CONSTRUCTION LFG,1.06,14
CONSTRUCTION RIC,2.53,1
CONSTRUCTION SIMDEV,1.89,2
CONSTRUCTION SOCAM,3.18,5
CONSTRUCTIONS BSL,1.22,6
CONTRACT COMMUNITY,1.04,87
CONVERGINT TECHNOLOGIES,0.46,112
COPCAN CIVIL,0.85,7
CORADIX TECHNOLOGY CONSULTING,1.33,396
CORBEL MANAGEMENT,3.75,5
COSSETTE COMMUNICATIONS,0.45,540
COUGAR ENGINEERING CONSTRUCTION,1.1,3
COWATERSOGEMA,6.17,13
COWI NORTH AMERICA,0.95,82
CPCS TRANSCOM,0.44,51
CRANDALL ENGINEERING,1.85,31
CRC CURE LABELLE,3.5,2
CRESTLINE COACH,0.33,1
CRUICKSHANK CONSTRUCTION,1.56,4
CRYPTOMILL TECHNOLOGIES,0.37,1
CSDC SYSTEMS,1.25,93
CTOMS,0.14,82
CUBIC DEFENSE APPLICATIONS,0.13,2
CULLEN DIESEL POWER,0.37,42
CUMMINS CANADA,1.71,86
CWP CONSTRUCTORS,1.16,10
CYMI CANADA,2.09,1
CYTELLIGENCE,2,1
D DOYLE INSTALLATIONS,0.57,159
D F S,2.64,48
D H PARTNERSHIP,6.15,2
D MARK BIOSCIENCES,0.38,35
D2L,1.73,7
D4IS SOLUTIONS,2.36,19
DAIMLER,0.43,1
DALHOUSIE UNIVERSITY,0.68,89
DALIAN ENTERPRISES,1.24,138
DASCO EQUIPMENT,0.25,216
DATA COMMUNICATIONS MANAGEMENT,0.4,97
DAVID S LAFLAMME CONSTRUCTION,1.9,3
DAVTAIR INDUSTRIES,0.42,3
DAWSON CONSTRUCTION,0.93,6
DBC MARINE SAFETY SYSTEMS,0.26,16
DCL CONSTRUCTION SERVICES,0.99,11
DE ANGELIS CONSTRUCTION,3,1
DEAN CONSTRUCTION COMPANY,0.99,4
DECISIVE GROUP,2.29,249
DEFRAN,0.72,16
DELCO AUTOMATION,0.6,116
DELL COMPUTER,1.27,466
DELOITTE,0.88,666
DEVLIN CONSTRUCTION,1.5,1
DEW ENGINEERING,1.8,8
DEXTER CONSTRUCTION,0.83,45
DEXTERRA,1.61,4
DF BARNES SERVICES,0.27,17
DHL EXPRESS CANADA,0.23,44
DIAMOND AND SCHMITT ARCHITECTS,2.36,14
DILIGENS,1.14,25
DILLON CONSULTING,0.71,467
DISMAS SOCIETY,3.5,2
DLS TECHNOLOGY,1.24,73
DNR CONSULTING GROUP,2.24,64
DOMUS BUILDING CLEANING,0.94,27
DONNA CONA,1.03,375
DR MANDEEP SAINI,3,2
DR S ISKANDER,4.16,3
DRAEGER,0.46,12
DRAGAGE IM,1.68,9
DRAGAGE OCEAN DSM,2.12,14
DSS MARINE,0.6,20
DST CONSULTING ENGINEERS,0.66,202
DSV,0.6,109
DWP SOLUTIONS,2.73,9
DXB PROJECT MANAGEMENT,8.53,1
DYMECH ENGINEERING,0.33,17
DYNABOOK CANADA,0.4,92
DYNACARE,1.02,141
DYNAMIC CONSTRUCTION,0.44,9
DYNAMIC FACILITY SERVICES,1.8,6
DYNAMIC PERSONNEL CONSULTANTS,0.83,138
E CONSTRUCTION,0.86,6
E D BRUNET ET ASSOCIES CANADA,4.16,1
EAGLE PROFESSIONAL RESOURCES,1.27,32
EAST ELGIN CONCRETE FORMING,0.46,6
EASTPOINT ENGINEERING,1.33,26
EBC,1.85,3
EBERHARD VON HUENE ASSOCIATES,0.46,57
EBSCO CANADA,1.19,204
ECLIPSYS SOLUTIONS,1.32,236
ECO TECHNOLOGIES,0.36,56
ECOLE DE LANGUES ABCE,0.6,487
ECOLE DE LANGUES LA CITE,0.69,185
ECOPIA TECH,0.63,4
EDWARD COLLINS CONTRACTING,0.52,16
EIFFAGE INNOVATIVE CANADA,1.76,8
EKOS RESEARCH ASSOCIATES,0.72,90
ELBIT SYSTEMS,2.02,1
ELIZABETH FRY SOCIETY,3.05,7
ELLISDON,3.05,20
ELSEVIER,1.08,117
EMCON SERVICES,0.31,41
EMERGENT BIOSOLUTIONS,0.26,72
EMIL ANDERSON CONSTRUCTION,1.65,5
EMMANUEL CONSTRUCTION SERVICES,1.49,5
EMMONS MITCHELL CONSTRUCTION,1.53,2
EMPOWERED NETWORKS,1.24,35
EMS TECHNOLOGIES,18.67,1
EMTEC,1.37,32
ENGLOBE,0.74,539
ENTREPRISE CLAVEAU,0.51,2
ENTREPRISE DE CONSTRUCTION T E Q,6.12,1
ENTRUST,1.32,55
ENVIRONICS RESEARCH GROUP,0.67,72
ENVIROSAFE JANITORIAL,3.45,2
EPERFORMANCE,0.93,32
ERNST YOUNG,1.2,234
ESBE SCIENTIFIC INDUSTRIES,0.47,61
ESRI,0.65,469
ETHIOPIAN AIRLINES GROUP,0.24,8
EUROVIA QUEBEC CONSTRUCTION,0.86,4
EVALUATION PERSONNEL SELECTION,0.81,116
EVEREST CONSTRUCTION MANAGEMENT,1.16,4
EVRIPOS JANITORIAL SERVICES,3,13
EXACT LEGAL TRANSLATIONS,0.84,23
EXCAVATION LOISELLE,0.85,5
EXCAVATION RENE ST PIERRE ENG,1.55,2
EXCEL 7,1.27,1
EXCEL HUMAN RESOURCES,0.95,1339
EXP SERVICES,1.03,111
EXPRESS SCRIPTS CANADA,11.96,2
FACCA,1.56,6
FACTIVA,1.07,53
FAIRBANKS MORSE ENGINE,0.32,278
FARMER CONSTRUCTION,1.77,1
FAST FORWARD FRENCH,0.6,474
FAST TRACK STAFFING,0.55,187
FCA CANADA,0.43,369
FEAST INTERACTIVE,1.13,16
FEDERAL EXPRESS CANADA,0.77,46
FELIX TECHNOLOGY,0.5,114
FERENCE COMPANY CONSULTING,0.78,60
FIA GROUP,1.14,7
FIDELITY ENGINEERING CONSTRUCTION,1.01,2
FINNING INTERNATIONAL,0.24,76
FIRST AIR,0.73,28
FIRST PEOPLES INFRA,1.6,2
FISH FOOD AND ALLIED WORKERS,1.21,15
FISHER PAYKEL HEALTHCARE,0.81,3
FLEETWAY,1.24,10
FLEX KNIT,0.63,123
FLIGHT FUELS,0.13,93
FLIGHTSAFETY CANADA,1.65,6
FLOYD S CONSTRUCTION,0.7,31
FLUID ENERGY GROUP,0.77,3
FLYNN CANADA,0.42,17
FMC PROFESSIONALS,0.77,36
FONDATION CARREFOUR NOUVEAU MONDE,2,2
FORD MOTOR COMPANY,0.5,1379
FORREST GREEN CONSULTING,5,2
FORRESTER RESEARCH,0.81,77
FORT GARRY FIRE TRUCK,0.59,2
FOURNIER CONSTRUCTION INDUSTRIELLE,1.32,2
FOXIT SOFTWARE,0.75,9
FRANCIS CANADA TRUCK CENTRE,0.67,10
FRANNAN INTERNATIONAL,5,3
FRASER RIVER PILE DREDGE,1.45,5
FRECON CONSTRUCTION,0.55,2
FREEBALANCE,1.01,94
FREQUENTIS CANADA,0.66,12
FRESENIUS KABI CANADA,1.38,4
FROSTI FISHING,0.26,4
FSC,0.82,7
FTI PROFESSIONAL GRADE,0.98,1
FUGRO GEOSURVEYS,0.54,12
FUJITSU,1.56,48
FUNDY CONTRACTORS,0.56,30
FVB ENERGY,2.59,66
G BIRD HOLDINGS,1.56,3
G4S SECURITY SERVICES,2.43,43
GABRIELA OLIVEIRA,1,1
GALENVS SCIENCES,0.6,4
GAMBLE TECHNOLOGIES,0.45,43
GAP WIRELESS,0.22,39
GARDA SECURITY GROUP,0.98,74
GARTNER,0.7,1019
GAT INTL LOCALIZATION SERVICES,1.11,19
GATESTONE,0.8,18
GATEWAY MECHANICAL SERVICES,0.58,82
GAUDETTE S TRANSIT MIX,0.6,12
GC STRATEGIES,1.04,104
GDI SERVICES,2.51,59
GEMMA PROPERTY SERVICES,1.88,19
GEMTEC,0.84,215
GENERAL DYNAMICS,0.72,114
GENERAL ELECTRIC CANADA,0.29,65
GENERAL MOTORS,0.49,793
GENESIS INTEGRATION,0.36,326
GENOME QUEBEC,0.32,262
GEORGE COUREY,0.37,4
GEOSPECTRUM TECHNOLOGIES,1.02,3
GESTION AJ,0.52,13
GETINGE CANADA,1.35,36
GFL ENVIRONMENTAL,1.72,50
GHD,0.62,265
GILMORE REPRODUCTIONS,0.64,55
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,5.01,1
GLASSHOUSE SYSTEMS,1.87,78
GLAXOSMITHKLINE,2.49,26
GLENCAIRN EDUCATIONAL SERVICES,2.5,5
GLOBAL KNOWLEDGE,0.39,173
GLOBAL LIFE SCIENCES SOLUTIONS,0.35,63
GLOBAL TOTAL OFFICE,0.47,112
GLOBAL UPHOLSTERY,0.28,355
GM DEVELOPPEMENT,1,4
GO DEEP INTERNATIONAL,0.43,128
GOLDER ASSOCIATES,1.05,338
GOSS GILROY,0.77,141
GOVERNMENT OF THE NWT,1.04,2
GRAHAM CONSTRUCTION,1.52,11
GRAND TOY,0.29,206
GRANITE MANAGEMENT,0.34,13
GRAW RADIOSONDES,2.65,2
GRAYBRIDGE INTERNATIONAL CONSULTING,0.56,604
GRC ARCHITECTS,2.05,15
GREAT SLAVE HELICOPTERS,0.52,183
GREATER TORONTO AIRPORT AUTHORITY,0.89,8
GREEN TIMBERS PARTNERSHIP,9.95,2
GREENDALE RESOURCES,0.47,23
GREENFIELD CONSTRUCTION,1.77,15
GREG VAN WYK PROFESSIONAL,2.45,10
GREY ROCK SERVICES,1.53,4
GRIFFIN ENGINEERED SYSTEMS,1.11,4
GROUPE ENERGIE BDL,0.11,32
GROUPE ONSCOPE,5.34,2
GROUPE ROBERT,2,1
GSI INTERNATIONAL CONSULTING,1.5,5
GW REALTY,1.32,7
H H CONSTRUCTION,0.18,2
H J R ASPHALT,1.28,1
HAMEL CONSTRUCTION,2.26,4
HARBOURSIDE ENGINEERING CONSULTANTS,0.85,83
HARNOIS ENERGIES,0.25,127
HASKONING UK,5,1
HATCH,1.9,20
HAWBOLDT INDUSTRIES,0.42,32
HAWORTH,0.37,187
HAZELWOOD CONSTRUCTION SERVICES,2.32,1
HEAVY METAL MARINE,0.57,26
HEDDLE MARINE SERVICES,0.43,56
HELITRADES,0.05,72
HEMMERA ENVIROCHEM,1.66,29
HERCULES SLR,0.3,14
HERITAGE RESTORATION,1.21,5
HERRING CONSERVATION AND RESEARCH SOCIETY,0.84,4
HEWLETT PACKARD,1.74,80
HEXAGON,0.8,15
HIGHLANDS FUEL DELIVERY,1.06,13
HIKE METAL PRODUCTS,3.08,5
HIPPERSON CONSTRUCTION,4,1
HITACHI DATA SYSTEMS,0.91,94
HITRAC,0.31,25
HOLLAND COLLEGE,0.74,5
HOLMAN FENWICK WILLAN,0.18,1
HONEYWELL,0.76,428
HOOTSUITE,2.58,4
HORIZANT,1.11,65
HORSESHOE HILL CONSTRUCTION,3.1,1
HOSKIN SCIENTIFIC,0.25,523
HOULE ELECTRIC,0.87,40
HOUSE OF HOPE,3.58,5
HUBSPOKE,1.2,14
HUMAN LOGISTICS,0.03,3
HUMANSYSTEMS,0.64,2
HYPERTEC,0.36,518
I M P GROUP,1.2,6
I4C INFORMATION TECHNOLOGY,1.48,43
IBI GROUP ARCHITECTS CANADA,2.06,12
IBISKA TELECOM,1.55,241
IBM CANADA,1.53,925
ICEBERG NETWORKS,1.15,27
ICU MEDICAL CANADA,0.88,1
IDP GROUP,0.47,5
IDS SYSTEMS CONSULTANTS,0.69,13
IFATHOM,1.15,41
IHS GLOBAL,0.98,71
IIC TECHNOLOGIES,0.82,73
ILLUMINA CANADA,0.37,712
IMP GROUP,2.14,14
IMPERIAL CLEANERS,4.18,11
IMPERIAL OIL,0.41,576
IMTECH MARINE CANADA,0.4,66
INDAL TECHNOLOGIES,1.41,1
INDIVIOR UK,0.1,166
INDUSTRA CONSTRUCTION,0.78,75
INDUSTRIES OCEAN,0.95,11
INFO TECH RESEARCH GROUP,0.73,195
INFOSYS,5.01,1
INKSMITH,0.23,1
INMARSAT SOLUTIONS,4.26,6
INNOVASEA MARINE SYSTEMS CANADA,0.23,258
INSA,1.35,194
INSTITUT NATIONAL D OPTIQUE,1.87,3
INSTRUX MEDIA,0.48,65
INTEGRA NETWORKS,1.02,123
INTEGRATED DISTRIBUTION SYSTEMS,0.84,25
INTER MEDICO,0.65,34
INTER OUTAOUAIS,0.58,3
INTERACTIVE AUDIO VISUAL,0.18,163
INTERCON MARINE,0.4,18
INTERNATIONAL REPORTING,0.65,55
INTERNATIONAL SAFETY RESEARCH,0.65,11
INTEROUTE CONSTRUCTION,1.21,5
INTERWORKS CONTRACTING,1.16,8
INUKSHUK CONSTRUCTION,2.86,2
INVENTA SALES AND PROMOTIONS,0.98,2
IPSOS,1.05,35
IPSS,1.6,233
IRON MOUNTAIN,1.12,546
IRONCLAD EARTHWORKS,2.27,5
IRVING OIL,0.37,1005
IRVING SHIPBUILDING,0.96,10
ISLAND WEST COAST DEVELOPMENTS,1.65,1
ISM INFORMATION SYSTEMS MANAGEMENT,3,1
ISOPLEX,1,1
IT NET CONSULTANTS,1.56,85
ITEX,1.89,499
IWC EXCAVATION,1.35,5
J 1 CONTRACTING,1.71,2
J D G CONSTRUCTION MANAGEMENT,2.3,1
J E ENTERPRISES,0.33,21
J J LEPERA INFRASTRUCTURES,1.69,1
J J TRAILERS MANUFACTURERS AND SALES,0.73,9
J L RICHARDS ASSOCIATES,0.91,104
J M J HOLDINGS,1.17,5
J M LEDRESSAY ASSOCIATES,8.03,1
J N A LEBLANC ELECTRIQUE,2.55,1
J O THOMAS ASSOCIATES,0.72,22
J P GRAVEL CONSTRUCTION,0.48,11
J STERLING INDUSTRIES,1.65,1
J W LINDSAY ENTERPRISES,0.74,10
JANKEL TACTICAL SYSTEMS,0.23,34
JASCO APPLIED SCIENCES CANADA,0.47,68
JASTRAM ENGINEERING,0.31,9
JEMTEC,1.73,3
JHT DEFENSE,0.33,8
JIM PATTISON INDUSTRIES,0.46,193
JJM CONSTRUCTION,0.67,4
JOHN HOWARD SOCIETY,2.45,136
JOHN WILEY SONS,0.65,32
JOHNSON CONTROLS CANADA,1.96,45
JOHNSON S CONSTRUCTION,1.69,7
JONELJIM CONCRETE CONSTRUCTION,0.95,25
JONES LANG LASALLE,2.18,25
JOSEPH ELIE,0.23,128
JOSEPH RIBKOFF,1.57,1
JP2G CONSULTANTS,1.13,22
JSK NAVAL SUPPORT,0.36,6
JUMEC CONSTRUCTION,0.88,14
K C E CONSTRUCTION,0.58,5
K RITE CONSTRUCTION,2.31,2
KANIYASIHK CULTURE CAMPS,0.81,8
KANTER MARINE,1.09,10
KASIAN ARCHITECTURE INTERIOR DESIGN,1.98,32
KAYWAY INDUSTRIES,0.32,105
KENN BOREK AIR,0.36,70
KETZA PACIFIC CONSTRUCTION,0.78,9
KEYDATA ASSOCIATES,4.69,15
KEYSIGHT TECHNOLOGIES CANADA,0.61,65
KEYSTONE ENVIRONMENTAL,1.08,42
KEYSTONE SUPPLIES INTERNATIONAL,0.42,62
KF AEROSPACE,0.28,36
KFN ENTERPRISES PARTNERSHIP,0.12,1
KIA CANADA,0.37,53
KINETIC CONSTRUCTION,1.52,5
KING HOE EXCAVATING,0.24,3
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,3,2
KMS INDUSTRIES,0.24,11
KONE,2.96,60
KONGSBERG,0.35,108
KONICA MINOLTA BUSINESS SOLUTIONS,4.21,380
KONTZAMANIS GRAUMANN SMITH,1.33,38
KPMG,1.03,213
KUBOTA CANADA,0.34,39
KUDLIK CONSTRUCTION,1.48,9
KWC ARCHITECTS,1.31,40
KYNDRYL CANADA,3.07,37
L A HEBERT,1.45,4
L AGENCE,1.72,4
L BREAU AND SONS,0.45,19
