d_vendor_name,max_years,n
DIAMOND AND SCHMITT ARCHITECTS,10.21,14
DILIGENS,4.2,25
DISMAS SOCIETY,5,2
DLS TECHNOLOGY,5.17,73
DNR CONSULTING GROUP,5.01,64
DOMUS BUILDING CLEANING,10.02,27
DR MANDEEP SAINI,6.01,2
DR S ISKANDER,5.74,3
DRAEGER,1.92,12
DRAGAGE IM,5.29,9
DRAGAGE OCEAN DSM,8.76,14
DRS TECHNOLOGIES CANADA,0.75,1
DSS MARINE,2.72,20
DST CONSULTING ENGINEERS,5.3,202
DWP SOLUTIONS,4.39,9
DXB PROJECT MANAGEMENT,8.53,1
DYMECH ENGINEERING,1.35,17
DYNABOOK CANADA,1.5,92
DYNACARE,5.5,141
DYNAMIC CONSTRUCTION,1.08,9
DYNAMIC FACILITY SERVICES,3.75,6
E CONSTRUCTION,1.46,6
E D BRUNET ET ASSOCIES CANADA,4.16,1
EAGLE PROFESSIONAL RESOURCES,5.23,32
EAST ELGIN CONCRETE FORMING,1.15,6
EASTPOINT ENGINEERING,4.21,26
EBC,3.38,3
EBERHARD VON HUENE ASSOCIATES,1.71,57
EBSCO CANADA,6.01,204
ECLIPSYS SOLUTIONS,6,236
ECO TECHNOLOGIES,1.38,55
ECOPIA TECH,1.67,4
EDWARD COLLINS CONTRACTING,1.83,16
EIFFAGE INNOVATIVE CANADA,3.05,8
EKOS RESEARCH ASSOCIATES,1.86,90
ELBIT SYSTEMS,2.02,1
ELIZABETH FRY SOCIETY,7,7
EMCON SERVICES,2.3,41
EMIL ANDERSON CONSTRUCTION,2.14,5
EMMANUEL CONSTRUCTION SERVICES,2.31,5
EMMONS MITCHELL CONSTRUCTION,2.1,2
EMPOWERED NETWORKS,3.06,35
EMS TECHNOLOGIES,18.67,1
ENTREPRISE CLAVEAU,0.92,2
ENTREPRISE DE CONSTRUCTION T E Q,6.12,1
ENTRUST,5.02,55
ENVIRONICS RESEARCH GROUP,3.96,72
ENVIROSAFE JANITORIAL,4,2
EPERFORMANCE,3.66,32
ESBE SCIENTIFIC INDUSTRIES,5,61
ETHIOPIAN AIRLINES GROUP,0.89,8
EUROVIA QUEBEC CONSTRUCTION,1.75,4
EVEREST CONSTRUCTION MANAGEMENT,3.02,4
EVRIPOS JANITORIAL SERVICES,6.67,13
EXACT LEGAL TRANSLATIONS,3,23
EXCAVATION LOISELLE,1.71,5
EXCAVATION RENE ST PIERRE ENG,2.45,2
EXCEL 7,1.27,1
EXPRESS SCRIPTS CANADA,12.25,2
FACCA,4.45,6
FACTIVA,4.01,53
FARMER CONSTRUCTION,1.77,1
FAST TRACK STAFFING,2.8,187
FCA CANADA,4.76,369
FEDERAL EXPRESS CANADA,5,46
FERENCE COMPANY CONSULTING,4.69,60
FIDELITY ENGINEERING CONSTRUCTION,1.19,2
FINNING INTERNATIONAL,3.11,76
FIRST AIR,4.78,28
FIRST PEOPLES INFRA,2.27,2
FISH FOOD AND ALLIED WORKERS,3.02,15
FISHER PAYKEL HEALTHCARE,1.01,3
FLEETWAY,8.07,10
FLEX KNIT,4.01,123
FLIGHT FUELS,0.97,93
FLOYD S CONSTRUCTION,2.56,31
FLUID ENERGY GROUP,1.4,3
FLYNN CANADA,0.97,17
FONDATION CARREFOUR NOUVEAU MONDE,3,2
FORREST GREEN CONSULTING,5,2
FORRESTER RESEARCH,1.67,77
FORT GARRY FIRE TRUCK,0.89,2
FOURNIER CONSTRUCTION INDUSTRIELLE,1.57,2
FOXIT SOFTWARE,1,9
FRANCIS CANADA TRUCK CENTRE,1.27,10
FRANNAN INTERNATIONAL,5.01,3
FRASER RIVER PILE DREDGE GP O,3.47,2
FRECON CONSTRUCTION,0.6,2
FREEBALANCE,3.68,94
FREQUENTIS CANADA,2.28,12
FRESENIUS KABI CANADA,2,4
FROSTI FISHING,0.34,4
FSC,2.96,7
FTI PROFESSIONAL GRADE,0.98,1
FUGRO GEOSURVEYS,0.86,12
FVB ENERGY,6.53,66
G BIRD HOLDINGS,3.16,3
G4S SECURITY SERVICES,6.67,43
GABRIELA OLIVEIRA,1,1
GALENVS SCIENCES,1.06,4
GAMBLE TECHNOLOGIES,3.28,43
GAP WIRELESS,0.72,39
GARDA SECURITY GROUP,5.4,74
GARTNER,2,1019
GAT INTL LOCALIZATION SERVICES,3,19
GATESTONE,1.36,18
GAUDETTE S TRANSIT MIX,2.2,12
GC STRATEGIES,5.87,103
GDI SERVICES,7,59
GEMMA PROPERTY SERVICES,6.42,19
GENERAL ELECTRIC CANADA,3.18,65
GENERAL MOTORS,5.16,792
GEORGE COUREY,0.73,4
GEOSPECTRUM TECHNOLOGIES,2.22,3
GESTION AJ,2.35,13
GETINGE CANADA,5,36
GHD,2.01,265
GILMORE REPRODUCTIONS,5.01,55
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,5.01,1
GLASSHOUSE SYSTEMS,5.01,78
GLAXOSMITHKLINE,11.13,26
GLENCAIRN EDUCATIONAL SERVICES,5.5,5
GLOBAL KNOWLEDGE,6.13,173
GLOBAL LIFE SCIENCES SOLUTIONS,1.57,63
GLOBAL TOTAL OFFICE,3.42,112
GLOBAL UPHOLSTERY,1.62,355
GM DEVELOPPEMENT,1,4
GO DEEP INTERNATIONAL,12.19,128
GOVERNMENT OF THE NWT,1.08,2
GRAHAM CONSTRUCTION,5.94,11
GRANITE MANAGEMENT,1.35,13
GRAW RADIOSONDES,5.12,2
GRC ARCHITECTS,6.18,15
GREAT SLAVE HELICOPTERS,6.06,183
GREATER TORONTO AIRPORT AUTHORITY,2.64,8
GREEN TIMBERS PARTNERSHIP,16.68,2
GREENDALE RESOURCES,2.48,23
GREENFIELD CONSTRUCTION,3.77,15
GREG VAN WYK PROFESSIONAL,5,10
GREY ROCK SERVICES,3.79,4
GRIFFIN ENGINEERED SYSTEMS,1.52,4
GROUPE ENERGIE BDL,1.72,32
GROUPE ROBERT,2,1
GSI INTERNATIONAL CONSULTING,2.15,5
GW REALTY,2.73,7
H J R ASPHALT,1.28,1
HAMEL CONSTRUCTION,3.69,4
HARNOIS ENERGIES,2,127
HASKONING UK,5,1
HATCH,14.05,20
HAWBOLDT INDUSTRIES,1.56,32
HAWORTH,1.6,187
HAZELWOOD CONSTRUCTION SERVICES,2.32,1
HELITRADES,0.41,72
HERCULES SLR,1.53,14
HERITAGE RESTORATION,3.57,5
HERRING CONSERVATION AND RESEARCH SOCIETY,1,4
HEWLETT PACKARD,14.42,80
HIGHLANDS FUEL DELIVERY,2.96,13
HIKE METAL PRODUCTS,5.74,5
HIPPERSON CONSTRUCTION,4,1
HITACHI DATA SYSTEMS,5.01,94
HITRAC,1.18,25
HOLLAND COLLEGE,2.5,5
HOLMAN FENWICK WILLAN,0.18,1
HOOTSUITE MEDIA,7.92,3
HORIZANT,8.76,65
HORSESHOE HILL CONSTRUCTION,3.1,1
HOSKIN SCIENTIFIC,10.32,523
HOULE ELECTRIC,5.71,40
HOUSE OF HOPE,5.56,5
HUBSPOKE,3,14
HUMAN LOGISTICS,0.09,3
HUMANSYSTEMS,0.79,2
IBI GROUP ARCHITECTS CANADA,8.15,12
ICEBERG NETWORKS,2.1,27
ICU MEDICAL CANADA,0.88,1
IDS SYSTEMS CONSULTANTS,1.32,13
IFATHOM,4,41
IHS GLOBAL,4,71
IMPERIAL CLEANERS,7.05,11
IMTECH MARINE CANADA,1.64,66
INDAL TECHNOLOGIES,1.41,1
INDIVIOR UK,2.9,166
INDUSTRIES OCEAN,3.49,11
INFO TECH RESEARCH GROUP,2.17,194
INFOSYS,5.01,1
INKSMITH,0.23,1
INMARSAT SOLUTIONS,7.01,6
INNOVASEA MARINE SYSTEMS CANADA,11.08,258
INSA,9.9,194
INSTALLATIONS DELIVERIES PLUS OTTAW,0.97,1
INSTITUT NATIONAL D OPTIQUE,2.34,3
INSTRUX MEDIA,5.27,65
INTEGRA NETWORKS,5.08,123
INTEGRATED DISTRIBUTION SYSTEMS,3,25
INTER OUTAOUAIS,0.84,3
INTERACTIVE AUDIO VISUAL,1.27,163
INTERGRAPH CANADA,3.33,15
INTERNATIONAL REPORTING,3.8,55
INTEROUTE CONSTRUCTION,2.44,5
INTERWORKS CONTRACTING,2.9,8
INUKSHUK CONSTRUCTION,3.65,2
INVENTA SALES AND PROMOTIONS,1.79,2
IPSOS,4.5,35
IRONCLAD EARTHWORKS,3.14,5
IRVING OIL,2,1005
ISLAND WEST COAST DEVELOPMENTS,1.65,1
ISM INFORMATION SYSTEMS MANAGEMENT,3,1
ISOPLEX,1,1
IT NET CONSULTANTS,7.55,85
ITEX,10.01,499
IWC EXCAVATION,2.4,5
J 1 CONTRACTING,2.97,2
J D G CONSTRUCTION MANAGEMENT,2.3,1
J E ENTERPRISES,1.53,21
J J LEPERA INFRASTRUCTURES,1.69,1
J J TRAILERS MANUFACTURERS AND SALES,1.48,9
J L RICHARDS ASSOCIATES,5.4,104
J M J HOLDINGS,2.33,5
J M LEDRESSAY ASSOCIATES,8.03,1
J N A LEBLANC ELECTRIQUE,2.55,1
J O THOMAS ASSOCIATES,4.07,22
J P GRAVEL CONSTRUCTION,1.53,11
J STERLING INDUSTRIES,1.65,1
J W LINDSAY ENTERPRISES,2.37,10
JANKEL TACTICAL SYSTEMS,2,34
JASCO APPLIED SCIENCES CANADA,4.85,68
JASTRAM ENGINEERING,2.21,9
JEMTEC,4.16,3
JHT DEFENSE,1.42,8
JIM PATTISON INDUSTRIES,2,193
JJM CONSTRUCTION,1.52,4
JOHN HOWARD SOCIETY,7,136
JOHN WILEY SONS,3.05,32
JOHNSON CONTROLS CANADA,13.01,45
JOHNSON S CONSTRUCTION,3.93,7
JONELJIM CONCRETE CONSTRUCTION,6.29,25
JONES LANG LASALLE,6,25
JOSEPH ELIE,1.15,128
JOSEPH RIBKOFF,1.57,1
K C E CONSTRUCTION,2.13,5
K RITE CONSTRUCTION,3.97,2
KANIYASIHK CULTURE CAMPS,1.32,8
KANTER MARINE,2.33,10
KASIAN ARCHITECTURE INTERIOR DESIGN,4.24,32
KAYCOM,1.18,6
KAYWAY INDUSTRIES,1.16,105
KENN BOREK AIR,4,70
KETZA PACIFIC CONSTRUCTION,2,9
KEYDATA ASSOCIATES,5.01,15
KEYSIGHT TECHNOLOGIES CANADA,5.7,65
KEYSTONE SUPPLIES INTERNATIONAL,1.28,62
KF AEROSPACE,1.45,36
KFN ENTERPRISES PARTNERSHIP,0.12,1
KIA CANADA,1.1,53
KINETIC CONSTRUCTION,2.69,5
KING HOE EXCAVATING,0.57,3
KINGHAVEN PEARDONVILLE HOUSE SOCIETY,3,2
KMS INDUSTRIES,1.08,11
KONGSBERG,4.01,108
KONICA MINOLTA BUSINESS SOLUTIONS,8.17,380
KONTZAMANIS GRAUMANN SMITH,6.65,38
KUBOTA CANADA,2.17,39
KUDLIK CONSTRUCTION,4.03,9
KYNDRYL CANADA,10.76,37
L A HEBERT,2.19,4
L BREAU AND SONS,1.73,19
L D WATSON E S MACEWEN ALLAN,6.76,11
L P ROYER,4,5
L W DENNIS CONTRACTING,4.59,3
LABORATOIRES OMEGA,1.3,3
LANDCO CONSTRUCTION,1.16,11
LANDFORM CIVIL INFRASTRUCTURES,3.17,2
LANNICK CONTRACT SOLUTIONS,3.34,38
LAPORTE EXPERTS CONSEILS,3.01,2
LARCH HALF WAY HOUSE OF SUDBURY,7,5
LARRY PENNER ENTERPRISES,2,23
LAURENTIAN TECHNOLOGIES,5.01,31
LAVAL FORTIN,2.39,1
LE GROUPE DRUMCO CONSTRUCTION,1.81,1
LEAR CONSTRUCTION,3.13,1
LEC ENGINEERING CONTRACTING,3.51,1
LEDCOR CONSTRUCTION,4,1
LEEWAY YACHTS,2.25,3
LEMAY,4.65,9
LENGKEEK VESSEL ENGINEERING,2.85,57
LEO PISCES SERVICES GROUP,5.1,29
LEONARDO,6.78,5
LES CONSTRUCTIONS BELAND,1.79,3
LES CONSTRUCTIONS BINET,2.91,5
LES CONSTRUCTIONS DES ILES,5.65,8
LES ENTREPRISES FERVEL,5,8
LES ENTREPRISES MICHAUDVILLE,2.48,1
LES ENTREPRISES P E C,2.13,23
LES EQUIPEMENTS CLAUDE PEDNEAULT,3.32,11
LES HUILES DESROCHES,0.96,110
LES INSTALLATIONS ELECTRIQUES,2.36,8
LES TRADUCTEURS REUNIS,3,57
LES TRAITEURS BYTOWN CATERING,3.84,5
LESAGE DAVID DR,4.25,8
LESLIE BENN CONTRACTING,2.72,7
LEVAERO AVIATION,0.88,225
LEXISNEXIS CANADA,7.76,72
LIEBHERR CANADA,3,9
LIFESPEAK,6.02,4
LIKE 10,3.97,18
LLOYD LIBKE LAW ENFORCEMENT SALES,2.15,6
LLOYD S REGISTER CANADA,0.84,29
LOUIS W BRAY CONSTRUCTION,3.64,10
LS TELCOM,6.92,3
LUMINULTRA TECHNOLOGIES,1.19,3
M D STEELE CONSTRUCTION,1.79,1
M R ENGINEERING,7.35,13
M SULLIVAN SON,1.58,3
MACDONALD DETTWILER AND ASSOCIATES,23.24,202
MACEWEN PETROLEUM,3.08,71
MACK TRUCKS,0,1
MACKINNON AND OLDING,0.87,6
MACONNERIE DYNAMIQUE,4.39,11
MACONNERIE RAINVILLE ET FRERES,3.5,7
MAGAL S3 CANADA,1.58,6
MAGELLAN AEROSPACE,5.09,7
MAISON CHARLEMAGNE,3,4
MAISON CROSS ROADS DE LA SOCIETE,4.17,4
MAISON DECISION HOUSE,4.68,4
MAISON JEUN AIDE,3,3
MAISON JOINS TOI,7,3
MAISON PAINCHAUD,4,2
MAN ENERGY SOLUTIONS CANADA,0.06,1
MANIFEST COMMUNICATIONS,4.63,6
MANITOBA HYDRO,7.78,6
MAPLE REINDERS CONSTRUCTORS,9.42,6
MAPLESOFT CONSULTING,7.01,370
MARINE CONTRACTORS,0.95,11
MARINE RECYCLING,2.79,15
MARINENAV,2.17,83
MARITIME FENCE,3.62,8
MARITIME FUELS,1,99
MARRBECK CONSTRUCTION,2.53,1
MARTEC,0.47,1
MARTECH ELECTRICAL SYSTEMS,4.43,4
MASKIMO CONSTRUCTION,7.47,7
MASONTECH,3.51,4
MAVERIN,4.04,17
MAXIM 2000,5.34,5
MAXIMUS CANADA,0.58,1
MCAFEE INTERNATIONAL,2.08,3
MCCARTHY TETRAULT,1.25,7
MCCOLMAN SONS DEMOLITION,2.31,2
MCGREGOR GEOSCIENCE,1.56,3
MCKESSON CANADA,0.98,3340
MCKINSEY AND COMPANY,2.52,12
MCKNIGHT ENTERPRISES,2.36,10
MCNALLY CONSTRUCTION,3.71,14
MEAL KIT SUPPLY CANADA,0.07,1
MEDAVIE,12.1,3
MEDIA Q,4,106
MEDTRONIC CANADA,1.73,7
MEEWASINOTA CRF,3,3
MEGA TECH,1.13,280
MEGALEXIS COMMUNICATIONS,3.98,94
MERCK FROSST,4.69,75
MERCURY MARINE,1.29,107
MERIDIAN MEDICAL TECHNOLOGIES,2.29,5
MESSA COMPUTING,4,38
METALCRAFT MARINE,1.58,3
METOCEAN TELEMATICS,5.09,32
METRO LOGISTICS,2.99,1
METRO PAVING AND ROAD BUILDING,2.65,12
METRO SUPPLY CHAIN,2.12,1
MICHAEL WAGER CONSULTING,5.24,41
MICHANIE CONSTRUCTION,5,34
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,3,1
MICHELIN,0.61,6
MICRO FOCUS CANADA,3.01,20
MICRONOSTYX,3.84,6
MID CANADA MOD CENTER,1.34,115
MID VALLEY CONSTRUCTION,0.73,5
MIKE KELLY SONS,1.63,2
MILESTONE ENVIRONMENTAL,5,19
MINISTRY OF FINANCE,29.02,36
MITSUBISHI MOTOR SALES,1.24,169
MNP,6,151
MOBILE RESOURCE GROUP,3.58,48
MODERN CONSTRUCTION,2.34,5
MOERAE SOLUTIONS,3.92,16
