d_vendor_name,min_overall_value,n
AIR LIQUIDE CANADA,5113.53,218
AIR TINDI,10006.87,143
AIRBOSS DEFENSE,23659.38,4
AIRBUS,9788.03,135
ALBERTA SEVENTH STEP SOCIETY,3568663.61,2
ALCAIDE WEBSTER ARCHITECTS,19525.27,26
ALINEA INTERNATIONAL,39663.00,11
ALLEN HASTINGS,994685.51,4
ALLIANCE ENERGY,10462.20,15
ALLIANCE ENGINEERING CONSTRUCTION,17515.00,7
ALLIED PAVING,14131530.63,1
ALLIED SHIPBUILDERS,11340.00,17
ALPINE AEROTECH,10172.61,138
ALPINE HELICOPTERS,10026.35,246
ALS CANADA,10025.56,117
ALTIS HUMAN RESOURCES,6332.82,865
ALVA CONSTRUCTION,477054.90,10
AMAZON,10089.00,67
AMD MEDICOM,19963992.52,2
AMDOCS,2446165.50,3
AMEC FOSTER WHEELER AMERICAS,7939.60,136
AMER SPORTS CANADA,10200.75,1
AMERESCO CANADA,15262.91,17
AMERICAN BUREAU OF SHIPPING,10140.62,74
AMEX BANK OF CANADA,21565313.00,2
AMTEK ENGINEERING,14762.66,2
ANCHOR QEA,25074.00,3
ANIXTER,10239.90,87
ANSYS CANADA,10949.70,107
AON REED STENHOUSE,6739.20,111
APOTEX,19754.00,3
APPAREL TRIMMINGS,16468.20,18
APPLIED ELECTONICS,8508.90,303
APPTION,24860.00,13
APRON FUEL SERVICES,10047.73,63
APS AVIATION,49999.68,7
AQUA GUARD SPILL RESPONSE,14836.50,4
AQUA LUNG CANADA,11017.50,7
ARCADIS CANADA,7842.20,199
ARCHITECTURE 49,12232.50,101
ARCHITECTURE EVOQ,36389.99,31
ARCTIC CANADA CONSTRUCTION,19320.00,5
ARDENT GLOBAL,409017.94,2
ARI FINANCIAL SERVICES,10000.50,554
ARISGLOBAL,1037006.32,4
ARTEMP PERSONNEL SERVICES,5048.66,190
ARTEX SPORTSWEAR,41195.28,14
ARUP CANADA,21713958.43,1
ASBEX,10848.41,82
ASC GERMANY,12093.39,6
ASOKAN BUSINESS INTERIORS,10047.11,308
ASSOCIATED ENGINEERING,11760.00,75
ATCO,10064.25,258
ATLANTIC BUSINESS INTERIORS,7938.66,153
ATLANTIC ROAD CONSTRUCTION AND PAVING,11051.50,5
ATLANTIC ROOFERS,28715.56,2
ATLANTIC TOWING,27363.14,5
ATLANTICA MECHANICAL CONTRACTORS,10896.25,19
ATS SERVICES,10416.00,22
ATWILL MORIN,19362.55,10
AV NUNAVUT FUELS,7970037.64,1
AV TECH,9118.44,129
AVI SPL CANADA,8672.47,560
AVJET HOLDING,10116.75,44
AVMAX AVIATION SERVICES,10542.34,38
AVONDALE CONSTRUCTION,10414.21,18
AXYS TECHNOLOGIES,10543.18,60
AZIMUTH CONSULTING GROUP,10380.30,9
B BRAUN OF CANADA,4958257.15,1
B L ASSOCIATES,20691.36,5
B R ENTERPRISES,397900.00,15
B T L CONSTRUCTION,44955720.13,1
BAE SYSTEMS,56408.88,2
BAJA CONSTRUCTION CANADA,103845.00,10
BALODIS,74060.00,10
BANCTEC CANADA,12224.51,18
BANFIELD SEGUIN,10028.75,35
BARGREEN ELLINGSON,10010.00,189
BARR ENGINEERING AND ENVIRONMENTAL,68269.64,13
BARRIE MACKAY CONTRACTING,9402474.38,2
BAUER HOCKEY,7345000.00,1
BAVARIAN NORDIC,20324829.90,1
BAXTER,10848.58,9
BAY CONSTRUCTION MANAGEMENT,1211603.84,6
BAYSHORE HEALTHCARE,10502.97,123
BC HYDRO,10627.05,29
BDO CANADA,5588.42,316
BEAUDOIN CANADA,1982677.69,2
BEAVER AIR CHARTER CONSULTANTS,13225.00,285
BECKMAN COULTER CANADA,9532.81,116
BELL AND HOWELL CANADA,842052.16,7
BELL CANADA,9547.88,919
BELL TEXTRON,10018.65,276
BERGEVIN ELECTRICAL CONTRACTING,1266248.55,2
BERVIN CONSTRUCTION,20317.50,8
BEST SERVICE PROS,11908.73,2
BGLA,25351.99,14
BIGHORN CONSTRUCTION,157063.40,7
BIGHORN HELICOPTERS,10198.65,96
BIO NUCLEAR DIAGNOSTICS,16755.64,19
BIOMERIEUX CANADA,10070.78,36
BIRD CONSTRUCTION COMPANY,429408.85,5
BIRON GROUPE SANTE,68310503.10,1
BISSON FORTIN ARCHITECTURE,25984.35,18
BLACK MCDONALD,5751.11,139
BLACKBERRY,10477.54,58
BLUEDOT,39550.00,7
BLUEWAVE ENERGY,10290.02,75
BLUMETRIC ENVIRONMENTAL,10028.75,141
BMC SOFTWARE,24688.67,7
BMC SOFTWARE CANADA,10727.64,38
BMT FLEET TECHNOLOGY,10500.00,24
BOEHM HOTEL,6500513.76,1
BOLESS,822557.70,6
BOLLORE LOGISTICS,5290.67,178
BOMBARDIER,10010.77,177
BOMIMED,4136516.99,2
BOUTHILLETTE PARIZEAU,10307.51,112
BOYD MOVING STORAGE,11865.00,92
BRAGG COMMUNICATIONS,18950.85,2
BRANDT TRACTOR,10336.51,32
BRAWN CONSTRUCTION,10000.01,13
BRETON MICHEL MD,801472.50,10
BRIDGES OF CANADA,13627.80,14
BRIQUETAL,10071.81,5
BRITTON ELECTRIQUE,10569.65,2
BROADNET TELECOM,10008.79,45
BROADWATER INDUSTRIES,11550.00,22
BRONSWERK MARINE,10913.57,9
BRONTE CONSTRUCTION,29222553.39,1
BROOK CONSTRUCTION,175501.50,6
BROOKFIELD ASSET MANAGEMENT,15000.00,13
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,10015.44,357
BRS INNOVATIONS,11526.00,11
BRUKER,10780.20,84
BUDGELL S EQUIPMENT RENTALS,2672721.81,2
BUREAU NATHALIE,540985.00,6
BUREAU VERITAS,7272.29,342
BUTTCON,18647.83,6
C CORE,11270.00,15
C2D SERVICES,11106277.05,1
CA,10377.92,17
CACHE COMPUTER CONSULTING,11526.00,214
CADEX,15179.87,2
CAE,10672.17,30
CALIAN,10275.09,556
CALKO GROUP,8209965.22,2
CALTRIO COMPANY,10102.20,16
CAMPBELL DRUG STORES,165206000.00,1
CAMPBELL SCIENTIFIC CANADA,10064.25,133
CAN AM PLATFORMS CONSTRUCTION,164090.85,6
CANADA POST,10037.82,244
CANADENSYS AEROSPACE,159362.24,8
CANADIAN BANK NOTE COMPANY,13949.25,18
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,16453.00,7
CANADIAN CORPS OF COMMISSIONAIRES,5544.56,4470
CANADIAN DEVELOPMENT CONSULTANTS,10381.35,43
CANADIAN EMERGENCY VENTILATORS,169500000.00,1
CANADIAN FISHING COMPANY,630000.00,3
CANADIAN HELICOPTERS,5179.70,243
CANADIAN LEASEBACK,10135.63,174
CANADIAN MARITIME ENGINEERING,10016.73,121
CANADIAN NORTH,15670.84,26
CANADIAN NUCLEAR LABORATORIES,112777.84,1
CANADIAN PAEDIATRIC SOCIETY,20900.00,4
CANADIAN RED CROSS,17683.54,13
CANADIAN STANDARDS ASSOCIATION,10452.50,50
CANADIAN VETERANS VR SERVICE,36033141.71,1
CANADYNE TECHNOLOGIES,25515.00,4
CANAM PONTS CANADA,21696.00,3
CANMEC,8434342.12,1
CANON,5676.28,661
CANSEL SURVEY EQUIPMENT,10221.28,113
CANTEX OKANAGAN CONSTRUCTION,188989.48,3
CARAHSOFT TECHNOLOGY,10000.00,266
CAREWORX,11300.00,27
CARLETON ELECTRIC,10831.05,26
CARLETON UNIVERSITY,10143.00,158
CARMACKS ENTERPRISES,9493568.46,1
CARMICHAEL ENGINEERING,6399.19,55
CARO ANALYTICAL SERVICES,10220.18,37
CARSWELL,13072.97,26
CASCADE AEROSPACE,14335.18,1
CASCADE COLLEGE,2971000.00,1
CASP AEROSPACE,13072.27,2
CATHOLIC SOCIAL SERVICES,202230.08,5
CBCI TELECOM,10009.11,662
CBCL,10619.91,227
CBRE,10235.00,24
CCM CONSTRUCTION,12296.57,3
CCR CONSTRUCTION,568459.68,4
CDCI RESEARCH,11383.25,67
CDW CANADA,7466.68,774
CEGERCO,5793471.62,1
CELEB CONSTRUCTION,135457.86,5
CELLEBRITE,13526.46,5
CEPHEID,11207.24,2
CERIDIAN,100767.41,2
CGI,12026.70,254
CH2M HILL CANADA,78986.86,6
CHANDOS CONSTRUCTION,365115.95,6
CHANNEL MANAGEMENT INTERNATIONAL,17505.42,11
CHANTIER DAVIE CANADA,1130000.00,7
CHANTIER NAVAL FORILLON,10030.42,4
CHARRON HUMAN RESOURCES,10057.00,95
CHARTER TELECOM,42514.79,5
CHEF BRANDZ,10266.18,12
CHEVRON,10500.00,39
CHU SAINTE JUSTINE,19080.00,11
CHUBB EDWARDS,10396.00,129
CIMA,10735.00,135
CIRCLE OF EAGLES LODGE SOCIETY,1750000.00,3
CISION CANADA,9040.00,282
CISTEL TECHNOLOGY,7810.56,220
CITRIX,10465.30,17
CLARIANT CANADA,13679.25,25
CLEANMATTERS JANITORIAL SERVICES,16097.42,16
CLEARWATER STRUCTURES,2415249.01,2
CLERMARK,420183.75,1
CLICK NETWORKS,10860.54,214
CLOSEREACH,9254.70,88
CO VEN,4099640.00,1
COADY CONSTRUCTION EXCAVATING,112386.05,15
COASTAL RESTORATION MASONRY,10005.00,35
COCO PAVING,21809.00,1
COFOMO,11500.00,390
COLLIERS PROJECT LEADERS,10170.00,132
COLT CANADA,10480.58,89
COLUMBIA FUELS,10095.76,169
COMBAT NETWORKS,10089.06,244
COMMPOWER,3388658.70,2
COMMUNICATIONS POWER,4248151.63,2
COMMVAULT SYSTEMS,10266.90,19
COMPAGNIE AMPLEXOR CANADA,10046.16,57
COMPUCOM CANADA,10224.51,231
COMPUGEN,10084.67,425
COMPUTER ASSOCIATES CANADA,22600.00,5
COMPUTERSHARE INVESTOR SERVICES,13380.14,8
CON PRO INDUSTRIES CANADA,23515.80,13
CONCEPT CONTROLS,10085.04,50
CONEXSYS,11390.40,78
CONFECTION AVENTURE,15084720.00,1
CONNECTIVE SUPPORT SOCIETY,58117.50,7
CONNEX TELECOMMUNICATIONS,20097.09,23
CONOSCENTI TECHNOLOGIES,11017.50,17
CONSTRUCTION BLANCHARD ET,458611.62,2
CONSTRUCTION BUGERE,45760.05,10
CONSTRUCTION COTE FILS,888171.03,1
CONSTRUCTION COUTURE TANGUAY,2012062.50,1
CONSTRUCTION CYBCO,601316.30,6
CONSTRUCTION DEMATHIEU BARD,5755992.56,6
CONSTRUCTION DERIC,225598.20,13
CONSTRUCTION J R SAVARD,174706.73,2
CONSTRUCTION JESSIKO,19548.05,6
CONSTRUCTION LFG,246988.06,14
CONSTRUCTION RIC,7278176.30,1
CONSTRUCTION SIMDEV,1105477.02,2
CONSTRUCTION SOCAM,120723.75,5
CONSTRUCTIONS BSL,316895.22,6
CONTRACT COMMUNITY,10491.49,87
CONVERGINT TECHNOLOGIES,10093.45,114
COPCAN CIVIL,14474.25,7
CORADIX TECHNOLOGY CONSULTING,6754.60,396
CORBEL MANAGEMENT,1974315.63,5
COSSETTE COMMUNICATIONS,6729.15,541
COUGAR ENGINEERING CONSTRUCTION,1108455.78,3
COWATERSOGEMA,1900000.00,13
COWI NORTH AMERICA,15775.20,82
CPCS TRANSCOM,11300.00,52
CRANDALL ENGINEERING,12650.00,31
CRC CURE LABELLE,1950718.64,2
CRUICKSHANK CONSTRUCTION,947935.27,4
CRYPTOMILL TECHNOLOGIES,615644.74,1
CSDC SYSTEMS,10069.51,93
CTOMS,11132.26,82
CUBIC DEFENSE APPLICATIONS,16108.37,2
CULLEN DIESEL POWER,10895.24,42
CUMMINS CANADA,10590.33,86
CWP CONSTRUCTORS,95239.41,10
CYMI CANADA,23012723.22,1
CYTELLIGENCE,11300000.00,1
D DOYLE INSTALLATIONS,10014.91,159
D F S,11382.53,48
D H PARTNERSHIP,341250000.00,2
D MARK BIOSCIENCES,10675.90,35
D2L,11988.17,7
D4IS SOLUTIONS,24985.50,19
DAIMLER,31635.37,1
DALHOUSIE UNIVERSITY,10002.83,89
DALIAN ENTERPRISES,13244.58,138
DASCO EQUIPMENT,10500.33,216
DATA COMMUNICATIONS MANAGEMENT,10449.08,97
DAVID S LAFLAMME CONSTRUCTION,22398.86,3
DAVTAIR INDUSTRIES,16921.74,3
DAWSON CONSTRUCTION,1611527.63,6
DBC MARINE SAFETY SYSTEMS,10201.64,16
DCL CONSTRUCTION SERVICES,59628.45,11
DE ANGELIS CONSTRUCTION,17062961.15,1
DEAN CONSTRUCTION COMPANY,29240.14,4
DECISIVE GROUP,10044.22,249
DEFRAN,17313.86,16
DELCO AUTOMATION,10475.68,116
DELL COMPUTER,10100.76,466
DELOITTE AND TOUCHE,10848.00,666
DEVLIN CONSTRUCTION,5297448.66,1
DEW ENGINEERING,146900.00,8
DEXTER CONSTRUCTION,15455.98,45
DEXTERRA,12999.70,4
DF BARNES SERVICES,10925.00,17
DHL EXPRESS CANADA,10500.00,44
DIAMOND AND SCHMITT ARCHITECTS,13560.00,14
DILIGENS,13865.68,25
DILLON CONSULTING,7972.61,467
DISMAS SOCIETY,2495600.74,2
DLS TECHNOLOGY,11948.17,73
DNR CONSULTING GROUP,10827.78,64
DOMUS BUILDING CLEANING,6330.43,27
DONNA CONA,5568.08,375
DR MANDEEP SAINI,1500000.00,2
DR S ISKANDER,820800.00,3
DRAEGER,18136.09,12
DRAGAGE IM,78734.88,9
DRAGAGE OCEAN DSM,298535.23,14
DSS MARINE,10606.44,20
DST CONSULTING ENGINEERS,10018.58,202
DWP SOLUTIONS,24860.00,9
DXB PROJECT MANAGEMENT,9300000.00,1
DYMECH ENGINEERING,10532.73,17
DYNABOOK CANADA,10751.95,92
DYNACARE,10000.50,141
DYNAMIC CONSTRUCTION,14605.00,9
DYNAMIC FACILITY SERVICES,40459.80,6
DYNAMIC PERSONNEL CONSULTANTS,5575.70,138
E CONSTRUCTION,199712.10,6
E D BRUNET ET ASSOCIES CANADA,21504668.15,1
EAGLE PROFESSIONAL RESOURCES,14524.74,32
EAST ELGIN CONCRETE FORMING,16737.56,6
EASTPOINT ENGINEERING,14375.00,26
EBC,5091006.75,3
EBERHARD VON HUENE ASSOCIATES,10747.08,57
EBSCO CANADA,10177.85,204
ECLIPSYS SOLUTIONS,10669.01,237
ECO TECHNOLOGIES,16301.25,55
ECOLE DE LANGUES ABCE,5070.00,487
ECOLE DE LANGUES LA CITE,10170.00,185
ECOPIA TECH,99337.67,4
EDWARD COLLINS CONTRACTING,10235.00,16
EIFFAGE INNOVATIVE CANADA,3304694.79,8
EKOS RESEARCH ASSOCIATES,13797.00,90
ELBIT SYSTEMS,31999994.00,1
ELIZABETH FRY SOCIETY,24000.00,7
ELLISDON,38305.19,20
ELSEVIER,11456.45,117
EMCON SERVICES,10735.00,41
EMERGENT BIOSOLUTIONS,10120.00,72
EMIL ANDERSON CONSTRUCTION,3336702.69,5
EMMANUEL CONSTRUCTION SERVICES,799362.72,5
EMMONS MITCHELL CONSTRUCTION,18080.00,2
EMPOWERED NETWORKS,12805.04,35
EMS TECHNOLOGIES,166147154.96,1
EMTEC,11850.00,32
ENGLOBE,10014.43,539
ENTREPRISE CLAVEAU,10117.80,2
ENTREPRISE DE CONSTRUCTION T E Q,26264659.07,1
ENTRUST,10660.04,56
ENVIRONICS RESEARCH GROUP,11300.00,72
ENVIROSAFE JANITORIAL,324446.85,2
EPERFORMANCE,10170.00,32
ERNST YOUNG,5150.88,234
ESBE SCIENTIFIC INDUSTRIES,12464.54,61
ESRI,10007.28,468
ETHIOPIAN AIRLINES GROUP,55953.00,8
EUROVIA QUEBEC CONSTRUCTION,29620.44,4
EVALUATION PERSONNEL SELECTION,10840.54,116
EVEREST CONSTRUCTION MANAGEMENT,668699.84,4
EVRIPOS JANITORIAL SERVICES,10396.00,13
EXACT LEGAL TRANSLATIONS,13797.00,23
EXCAVATION LOISELLE,16111.54,5
EXCAVATION RENE ST PIERRE ENG,7971448.00,2
EXCEL 7,274826.55,1
EXCEL HUMAN RESOURCES,5329.08,1337
EXP SERVICES,9000.00,111
EXPRESS SCRIPTS CANADA,254563240.68,2
FACCA,160460.00,6
FACTIVA,10156.20,53
FAIRBANKS MORSE ENGINE,10058.88,278
FARMER CONSTRUCTION,5479499.46,1
FAST FORWARD FRENCH,5412.00,473
FAST TRACK STAFFING,10367.75,187
FCA CANADA,22982.20,369
FEAST INTERACTIVE,10028.75,16
FEDERAL EXPRESS CANADA,10005.00,46
FELIX TECHNOLOGY,10241.90,114
FERENCE COMPANY CONSULTING,11978.00,60
FIA GROUP,34900.05,7
FIDELITY ENGINEERING CONSTRUCTION,1393729.98,2
FINNING INTERNATIONAL,10500.00,76
FIRST AIR,10235.95,28
FIRST PEOPLES INFRA,7551314.74,2
FISH FOOD AND ALLIED WORKERS,10339.88,15
FISHER PAYKEL HEALTHCARE,2319325.00,3
FLEETWAY,10961.00,10
FLEX KNIT,10005.00,123
FLIGHT FUELS,10439.85,93
FLIGHTSAFETY CANADA,10983.07,6
FLOYD S CONSTRUCTION,10350.00,31
FLUID ENERGY GROUP,442893.33,3
FLYNN CANADA,11558.40,17
FMC PROFESSIONALS,11300.00,36
FONDATION CARREFOUR NOUVEAU MONDE,1653614.05,2
FORD MOTOR COMPANY,25296.50,1380
FORREST GREEN CONSULTING,3221648.08,2
FORRESTER RESEARCH,11695.50,77
FORT GARRY FIRE TRUCK,14666.40,2
FOURNIER CONSTRUCTION INDUSTRIELLE,235524.85,2
FOXIT SOFTWARE,13340.00,9
FRANCIS CANADA TRUCK CENTRE,17824.78,10
FRANNAN INTERNATIONAL,7612766.00,3
FRASER RIVER PILE DREDGE,94549.63,5
FRECON CONSTRUCTION,120910.00,2
FREEBALANCE,10671.72,94
FREQUENTIS CANADA,10808.62,12
FRESENIUS KABI CANADA,265117.21,4
FROSTI FISHING,1236375.00,4
FSC,21384.00,7
FTI PROFESSIONAL GRADE,237300000.00,1
FUGRO GEOSURVEYS,11500.00,12
FUJITSU,11191.00,48
FUNDY CONTRACTORS,11212.50,30
FVB ENERGY,49166.30,66
G BIRD HOLDINGS,153821.25,3
G4S SECURITY SERVICES,10767.68,43
GABRIELA OLIVEIRA,56258191.97,1
GALENVS SCIENCES,11382.53,4
GAMBLE TECHNOLOGIES,10203.90,43
GAP WIRELESS,10815.00,39
GARDA SECURITY GROUP,10040.88,74
GARTNER,10723.70,1019
GAT INTL LOCALIZATION SERVICES,12934.69,19
GATESTONE,11300.00,18
GATEWAY MECHANICAL SERVICES,10095.75,82
GAUDETTE S TRANSIT MIX,195730.00,12
GC STRATEGIES,11453.68,103
GDI SERVICES,12678.60,59
GEMMA PROPERTY SERVICES,10809.02,19
GEMTEC,8392.13,215
GENERAL DYNAMICS,11004.14,115
GENERAL ELECTRIC CANADA,8609.47,65
GENERAL MOTORS,12426.38,792
GENESIS INTEGRATION,10145.46,326
GENOME QUEBEC,7775.77,262
GEORGE COUREY,20790.00,4
GEOSPECTRUM TECHNOLOGIES,47495.00,3
GESTION AJ,14911.57,13
GETINGE CANADA,10170.00,36
GFL ENVIRONMENTAL,10500.00,50
GHD,10021.42,265
GILMORE REPRODUCTIONS,10493.75,55
GINO PELLETIER FOREX MALI DIELY MOUSSA KOUYATE GID,7407616.42,1
GLASSHOUSE SYSTEMS,11383.67,78
GLAXOSMITHKLINE,11286.44,26
GLENCAIRN EDUCATIONAL SERVICES,480355.00,5
GLOBAL KNOWLEDGE,10120.98,173
GLOBAL LIFE SCIENCES SOLUTIONS,6676.61,63
GLOBAL TOTAL OFFICE,6092.18,112
GLOBAL UPHOLSTERY,8913.44,355
GM DEVELOPPEMENT,2096053.34,4
GO DEEP INTERNATIONAL,11316.00,128
GOLDER ASSOCIATES,10007.55,338
GOSS GILROY,11074.00,141
GOVERNMENT OF THE NWT,4682000.00,2
GRAHAM CONSTRUCTION,10913.50,11
GRAND TOY,10000.50,206
GRANITE MANAGEMENT,10120.00,13
GRAW RADIOSONDES,89939.25,2
GRAYBRIDGE INTERNATIONAL CONSULTING,6309.83,604
GRC ARCHITECTS,11300.00,15
GREAT SLAVE HELICOPTERS,7129.82,183
GREATER TORONTO AIRPORT AUTHORITY,45200.00,8
GREEN TIMBERS PARTNERSHIP,59141.20,2
GREENDALE RESOURCES,10764.00,23
GREENFIELD CONSTRUCTION,1427097.19,15
GREG VAN WYK PROFESSIONAL,21700.00,10
GREY ROCK SERVICES,14087.50,4
GRIFFIN ENGINEERED SYSTEMS,36708.00,4
GROUPE ENERGIE BDL,10857.22,32
GROUPE ONSCOPE,11400720.39,2
GROUPE ROBERT,30333669.73,1
GSI INTERNATIONAL CONSULTING,58718.70,5
GW REALTY,169912.50,7
H H CONSTRUCTION,34025.43,2
H J R ASPHALT,6143681.25,1
HAMEL CONSTRUCTION,4084711.44,4
HARBOURSIDE ENGINEERING CONSULTANTS,10857.55,83
HARNOIS ENERGIES,9069.38,127
HASKONING UK,12633075.00,1
HATCH,18074.35,20
HAWBOLDT INDUSTRIES,10124.36,32
HAWORTH,10016.00,187
HAZELWOOD CONSTRUCTION SERVICES,28307309.53,1
HEAVY METAL MARINE,10500.00,26
HEDDLE MARINE SERVICES,10547.89,56
HELITRADES,10076.37,72
HEMMERA ENVIROCHEM,12106.50,29
HERCULES SLR,10840.23,14
HERITAGE RESTORATION,16627.95,5
HERRING CONSERVATION AND RESEARCH SOCIETY,108150.00,4
HEWLETT PACKARD,10041.39,81
HIGHLANDS FUEL DELIVERY,11077.47,13
HIKE METAL PRODUCTS,3708069.20,5
HIPPERSON CONSTRUCTION,14161089.15,1
HITACHI DATA SYSTEMS,8625.42,94
HITRAC,52160.00,25
HOLLAND COLLEGE,11187.00,5
HOLMAN FENWICK WILLAN,144098850.00,1
HONEYWELL,9517.20,428
HOOTSUITE,24719.63,4
HORIZANT,10452.50,65
HORSESHOE HILL CONSTRUCTION,7265059.68,1
HOSKIN SCIENTIFIC,10005.00,523
HOULE ELECTRIC,10015.95,40
HOUSE OF HOPE,56726.00,5
HUBSPOKE,22995.00,14
HUMAN LOGISTICS,55364.35,3
HUMANSYSTEMS,35256.00,2
HYPERTEC,10026.77,518
I4C INFORMATION TECHNOLOGY,10593.75,43
IBI GROUP ARCHITECTS CANADA,11300.00,12
IBISKA TELECOM,10396.00,241
IBM CANADA,7132.74,925
ICEBERG NETWORKS,23797.80,27
ICU MEDICAL CANADA,6439913.22,1
IDP GROUP,13560.00,5
IDS SYSTEMS CONSULTANTS,10214.07,13
IFATHOM,11639.00,41
IHS GLOBAL,10037.87,71
IIC TECHNOLOGIES,10848.00,73
ILLUMINA CANADA,10010.90,712
IMP GROUP,11497.50,14
IMPERIAL CLEANERS,319398.20,11
IMPERIAL OIL,7521.92,576
IMTECH MARINE CANADA,11127.06,66
INDAL TECHNOLOGIES,452932.95,1
INDIVIOR UK,11000.00,166
INDUSTRA CONSTRUCTION,12106.06,75
INDUSTRIES OCEAN,146075.51,11
INFO TECH RESEARCH GROUP,10396.00,194
INFOSYS,133383358.72,1
INKSMITH,56529832.00,1
INMARSAT SOLUTIONS,241820.00,6
INNOVASEA MARINE SYSTEMS CANADA,10071.81,258
INSA,10318.62,194
INSTITUT NATIONAL D OPTIQUE,411320.00,3
INSTRUX MEDIA,14095.94,65
INTEGRA NETWORKS,10325.09,123
INTEGRATED DISTRIBUTION SYSTEMS,12430.00,25
INTER MEDICO,10027.50,34
INTER OUTAOUAIS,164963.05,3
INTERACTIVE AUDIO VISUAL,10199.61,163
INTERCON MARINE,13247.85,18
INTERGRAPH CANADA,13105.06,15
INTERNATIONAL REPORTING,8048.99,55
INTERNATIONAL SAFETY RESEARCH,13560.00,11
INTEROUTE CONSTRUCTION,56396.85,5
INTERWORKS CONTRACTING,79498.65,8
INUKSHUK CONSTRUCTION,587965.39,2
INVENTA SALES AND PROMOTIONS,68597.77,2
IPSOS,14009.06,35
IPSS,11838.45,233
IRON MOUNTAIN,10041.75,545
IRONCLAD EARTHWORKS,180497.18,5
IRVING OIL,9621.69,1005
IRVING SHIPBUILDING,358447.13,10
ISLAND WEST COAST DEVELOPMENTS,10436091.75,1
ISM INFORMATION SYSTEMS MANAGEMENT,46492986.73,1
ISOPLEX,113565000.00,1
IT NET CONSULTANTS,11300.00,85
ITEX,10061.52,499
IWC EXCAVATION,593236.13,5
J 1 CONTRACTING,6977682.50,2
J D G CONSTRUCTION MANAGEMENT,5545961.36,1
J E ENTERPRISES,12282.00,21
J J LEPERA INFRASTRUCTURES,7851956.35,1
J J TRAILERS MANUFACTURERS AND SALES,10083.31,9
J L RICHARDS ASSOCIATES,5047.50,104
J M J HOLDINGS,417498.60,5
J M LEDRESSAY ASSOCIATES,11814732.77,1
J N A LEBLANC ELECTRIQUE,5619000.01,1
J O THOMAS ASSOCIATES,10261.44,22
J P GRAVEL CONSTRUCTION,17092.88,11
J STERLING INDUSTRIES,48840242.00,1
J W LINDSAY ENTERPRISES,11040.00,10
JANKEL TACTICAL SYSTEMS,10085.73,34
JASCO APPLIED SCIENCES CANADA,11505.90,68
JASTRAM ENGINEERING,11639.00,9
JEMTEC,3015882.00,3
JHT DEFENSE,11439.11,8
JIM PATTISON INDUSTRIES,7703.77,193
JJM CONSTRUCTION,580020.00,4
JOHN HOWARD SOCIETY,10744.89,136
