d_vendor_name,mean_number_of_amendments,n
ALBERTA SEVENTH STEP SOCIETY,5.5,2
ALCAIDE WEBSTER ARCHITECTS,1.33,12
ALDRICH PEARS ASSOCIATES,1,2
ALIKA INTERNET TECHNOLOGIES,4,3
ALINEA INTERNATIONAL,2,1
ALIVAKTUK CONSULTING AND NAVPOINT CONSULTING GROUP IN JOINT VENTURE,2,1
ALLEN HASTINGS,1.25,4
ALLIANCE ENERGY,5.33,3
ALLIANCE ENGINEERING CONSTRUCTION,2.5,2
ALLIED PAVING,2,1
ALLIED SHIPBUILDERS,1.67,12
ALLSEATING,1,2
ALPINE AEROTECH,1,4
ALPINE HELICOPTERS,1.1,10
ALS CANADA,1.37,19
ALTERNATIVE CONCRETE TECHNOLOGIES,2,1
ALTIS HUMAN RESOURCES,1.54,245
ALTO CONSTRUCTION,1,1
ALVA CONSTRUCTION,1.83,6
AMAZON,1.82,22
AMBULANCE ST JEAN,3,1
AMD MEDICOM,1,2
AMDOCS,1,1
AMEC CONSTRUCTION,2,1
AMEC FOSTER WHEELER AMERICAS,1.29,21
AMERESCO CANADA,3.67,9
AMERICAN BUREAU OF SHIPPING,1.55,11
AMERICAN CHEMICAL SOCIETY,1.33,6
AMEX BANK OF CANADA,1,1
AMS IMAGING,1.43,7
AMTEK ENGINEERING,2,1
ANALYTICAL GRAPHICS,1.67,3
ANCHOR QEA,1,1
ANIXTER,1,2
ANSYS CANADA,1.29,7
ANTHONY MACAULEY ASSOCIATES,1,1
ANTONIANI LAW PROFESSIONAL,3,1
AON REED STENHOUSE,1.52,23
APICA MEDICAL SERVICES,1,2
APOTEX,1,1
APPAREL TRIMMINGS,1.69,13
APPLIED ELECTONICS,2,22
APPTION,2.43,7
APRON FUEL SERVICES,1,4
APS AVIATION,3,2
AQUA GUARD SPILL RESPONSE,4.5,2
AQUATIC INFORMATICS,2.71,7
ARCADIS CANADA,1.61,79
ARCHITECTURE 49,2.31,39
ARCHITECTURE EVOQ,3.39,18
ARCTIC CANADA CONSTRUCTION,2.75,4
ARI FINANCIAL SERVICES,1.13,86
ARISGLOBAL,2.67,3
ARMSERV CONTRACTING,3,2
ARRM ELECTRIC,1.5,2
ARTEMP PERSONNEL SERVICES,1.43,63
ARTEX SPORTSWEAR,1.86,7
ASBEX,1.58,19
ASC GERMANY,1,2
ASML US,1,1
ASOKAN BUSINESS INTERIORS,2.08,13
ASPEN PHARMACARE CANADA,1,1
ASSOCIATED ENGINEERING,2.31,36
ASSOCIATION CANADIENNE POUR LA SANTE MENTALE SECTION SAGUENAY,5,2
ATCO,1.43,87
ATIRA WOMENS RESOURCE SOCIETY,4.5,2
ATKINSON CONSTRUCTION ACL,1,1
ATLANTIC BUSINESS INTERIORS,1,6
ATLANTIC HUMAN SERVICES,3,2
ATLANTIC ROAD CONSTRUCTION AND PAVING,2,3
ATLANTIC TOWING,1,1
ATLANTICA MECHANICAL CONTRACTORS,2.33,6
ATS SERVICES,1.64,11
ATS TRAFFIC ALBERTA,1,1
ATWILL MORIN,3.43,7
AV TECH,1.41,17
AVENAI,1.25,4
AVI SPL,1.38,8
AVI SPL CANADA,1.31,29
AVJET HOLDING,1,5
AVMAX AVIATION SERVICES,1.25,4
AVONDALE CONSTRUCTION,2.18,11
AXYS TECHNOLOGIES,2.11,9
AZIMUTH CONSULTING GROUP,2.5,2
B L ASSOCIATES,1,1
B R ENTERPRISES,1.67,9
B T L CONSTRUCTION,2,1
BABEL STREET,1,1
BAHLER BIOGAZ,2,1
BAJA CONSTRUCTION CANADA,1.25,4
BALODIS,1,2
BANCTEC CANADA,7.67,3
BANFIELD SEGUIN,4.38,8
BARDON SUPPLIES,1.5,2
BARGREEN ELLINGSON,1.11,9
BARR ENGINEERING AND ENVIRONMENTAL,1.14,7
BARRIE MACKAY CONTRACTING,5.5,2
BARRY S BULLDOZING,5.2,5
BAXTER,3,1
BAY CONSTRUCTION MANAGEMENT,2.2,5
BAYSHORE HEALTHCARE,2.06,31
BC BORSTAL ASSOC,6,1
BC HYDRO,1.15,13
BDO CANADA,1.37,93
BEAUDOIN CANADA,8,2
BEAVER AIR CHARTER CONSULTANTS,1,16
BECKMAN COULTER CANADA,1.14,7
BEE CLEAN BUILDING MAINTENANCE,1,4
BELL AND HOWELL CANADA,2.29,7
BELL CANADA,2.3,253
BELL TEXTRON,2.07,15
BENNETT S CONSTRUCTION SUPPLIES,1.33,6
BERGEVIN ELECTRICAL CONTRACTING,4,1
BERLITZ CANADA,1.22,41
BERVIN CONSTRUCTION,2.6,5
BEVA GLOBAL MANAGEMENT,1,9
BGLA,3.44,9
BIGHORN CONSTRUCTION,2.29,7
BIGHORN HELICOPTERS,1,9
BIO NUCLEAR DIAGNOSTICS,1,3
BIO RAD LABORATORIES CANADA,1,6
BIOMERIEUX CANADA,1.73,11
BIRD CONSTRUCTION COMPANY,5.5,4
BIRTZ BASTIEN ARCHITECTES,2.25,4
BISSON FORTIN ARCHITECTURE,1.91,11
BLACK DIAMOND PARTNERSHIP,2.5,6
BLACK MCDONALD,2.18,45
BLACKBERRY,1,3
BLOOMBERG FINANCE L P,2.17,6
BLUEDOT,1,3
BLUEWAVE ENERGY,1.33,9
BLUMETRIC ENVIRONMENTAL,1.52,31
BMC SOFTWARE,2.5,4
BMC SOFTWARE CANADA,1.64,14
BMT FLEET TECHNOLOGY,5,2
BOEHM HOTEL,1,1
BOLESS,4.5,4
BOLLORE LOGISTICS,1.2,5
BOMBARDIER,1.14,7
BOMIMED,1,1
BOUTHILLETTE PARIZEAU,1.39,23
BOYD MOVING STORAGE,1.33,6
BRAGG COMMUNICATIONS,4.5,2
BRANDT TRACTOR,1,1
BRAWN CONSTRUCTION,2.67,6
BRECKENHILL,1.17,12
BREMNER ENGINEERING AND CONSTRUCTIO,2.5,2
BRETON MICHEL MD,3.44,9
BRIAN G INNES SCHOUTEN EXCAVATING,2,1
BRIDGES OF CANADA,2.17,6
BRILUN CONSTRUCTION,1.38,8
BRIQUETAL,5.75,4
BRITTON ELECTRIQUE,5,1
BROADNET TELECOM,1.71,7
BROADWATER INDUSTRIES,1.67,3
BRONSWERK MARINE,1.5,2
BRONTE CONSTRUCTION,5,1
BROOK CONSTRUCTION,2.5,4
BROOKFIELD ASSET MANAGEMENT,1,1
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,1.05,19
BROOKS CORNING COMPANY,1.33,3
BRS INNOVATIONS,1.8,5
BRUKER,1.17,6
BUDGELL S EQUIPMENT RENTALS,2.5,2
BUILDON CONSTRUCTION,1,3
BULLDOG CONTRACTING,2,3
BUREAU NATHALIE,4,2
BUREAU VERITAS,1.19,68
BURSEY EXCAVATING DEVELOPMENT,1.29,7
BUTTCON,5.5,4
C CORE,1.33,3
C D NOVA TECH,2,1
C2D SERVICES,1,1
CA,1,2
CACHE COMPUTER CONSULTING,2.92,114
CAE,3.75,4
CALIAN,2.2,217
CALKO GROUP,3,2
CALTRIO COMPANY,2.78,9
CALYTERA SOFTWARE,1,2
CAMPBELL DRUG STORES,1,1
CAMPBELL SCIENTIFIC CANADA,1.73,11
CAN AM PLATFORMS CONSTRUCTION,3.75,4
CAN TEC SERVICES,1,6
CANADA FBM 2020,3,1
CANADA FRANCE HAWAII TELESCOPE,1.25,4
CANADA POST,2.52,31
CANADENSYS AEROSPACE,2,3
CANADIAN BANK NOTE COMPANY,2.89,9
CANADIAN BROADCASTING,1.5,2
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,1,1
CANADIAN CORPS OF COMMISSIONAIRES,1.44,1163
CANADIAN DEVELOPMENT CONSULTANTS,1.14,14
CANADIAN FISHING COMPANY,2,1
CANADIAN HEALTH CARE AGENCY,1,2
CANADIAN HELICOPTERS,1.38,24
CANADIAN LEASEBACK,1.74,23
CANADIAN MARITIME ENGINEERING,1.42,48
CANADIAN NORTH,1,3
CANADIAN PAEDIATRIC SOCIETY,3.67,3
CANADIAN RED CROSS,2.67,6
CANADIAN STANDARDS ASSOCIATION,1.58,12
CANADYNE TECHNOLOGIES,5,2
CANDESTO ENTERPRISES,6,1
CANMEC,2,1
CANON,1.43,120
CANSEL SURVEY EQUIPMENT,2,1
CANTEX OKANAGAN CONSTRUCTION,1.5,2
CARAHSOFT TECHNOLOGY,1.56,25
CARDINAL HEALTH CANADA,1,3
CARLETON ELECTRIC,2,5
CARLETON UNIVERSITY,1.33,15
CARMACKS ENTERPRISES,1,1
CARMICHAEL ENGINEERING,1.4,5
CARO ANALYTICAL SERVICES,1.33,6
CARON PROFESSIONAL LINGUISTIC,1.21,28
CARSWELL,1,2
CASSELMAN WOODCRAFT,1.18,45
CATHOLIC SOCIAL SERVICES,8.4,5
CBCI TELECOM,1.09,35
CBCL,2.07,41
CCM CONSTRUCTION,3,1
CCR CONSTRUCTION,3.67,3
CDCI RESEARCH,1.28,18
CDW CANADA,2.35,83
CEGERCO,6,1
CELEB CONSTRUCTION,3.2,5
CELLEBRITE,2.67,3
CENTRE RESIDENTIEL COMMUNAUTAIRE JOLIETTE LANAUDIERE,3,2
CENTURY GROUP,2,2
CEPHEID,1,1
CERIDIAN,1,1
CGI,1.82,120
CH2M HILL CANADA,1,3
CHANDOS CONSTRUCTION,2,6
CHANNEL MANAGEMENT INTERNATIONAL,1,2
CHANTIER DAVIE CANADA,3.8,5
CHANTIER NAVAL FORILLON,8,2
CHARRON HUMAN RESOURCES,1.36,14
CHARTER TELECOM,3,2
CHEMICAL ABSTRACTS SERVICE,1.5,2
CHEVRON,1,1
CHIMO CONSTRUCTION 2014,6,1
CHRISTIAN LAROCQUE SERVICES,1.2,5
CHRONO AVIATION,1,3
CHU SAINTE JUSTINE,1.57,7
CHUBB EDWARDS,1.35,26
CIMA,1.79,56
CIRCLE OF EAGLES LODGE SOCIETY,6,2
CISION CANADA,1.76,37
CISTEL TECHNOLOGY,2.3,88
CITRIX,1.67,6
CLARIANT CANADA,1,3
CLEAN WORKS,3,1
CLEANMATTERS JANITORIAL SERVICES,4.5,6
CLEARWATER STRUCTURES,4.5,2
CLICK NETWORKS,2.31,16
CLOSEREACH,2.37,30
COADY CONSTRUCTION EXCAVATING,2.71,7
COASTAL RESTORATION MASONRY,6.33,3
COFOMO,2.04,244
COLLIERS PROJECT LEADERS,2.08,73
COLOGIX TORONTO,6,1
COLT CANADA,1,5
COLUMBIA FUELS,1.33,3
COMBAT NETWORKS,1.82,65
COMMPOWER,2.5,2
COMMUNICATIONS POWER,3,2
COMMVAULT SYSTEMS,2.33,3
COMNET NETWORKS AND SECURITY,1,1
COMPAGNIE AMPLEXOR CANADA,1.25,12
COMPOSITION STE FOY,1.57,7
COMPUCOM CANADA,1.08,26
COMPUGEN,1.26,39
COMPUTER ASSOCIATES CANADA,3.67,3
COMPUTERSHARE INVESTOR SERVICES,16,2
CON PRO INDUSTRIES CANADA,3.5,10
CONCEPT CONTROLS,1,1
CONEXSYS,1.57,7
CONFECTION AVENTURE,1,1
CONNECTIVE SUPPORT SOCIETY,1,1
CONNEX TELECOMMUNICATIONS,3,2
CONOSCENTI TECHNOLOGIES,3,5
CONSORTIUM OF CARE CANADA,1,1
CONSTRUCTION BLANCHARD ET,2,1
CONSTRUCTION BUGERE,2.38,8
CONSTRUCTION COTE FILS,3,1
CONSTRUCTION CYBCO,2.6,5
CONSTRUCTION DEMATHIEU BARD,4.6,5
CONSTRUCTION DERIC,2.18,11
CONSTRUCTION IRENEE PAQUET FILS I,2.67,3
CONSTRUCTION J R SAVARD,4,2
CONSTRUCTION JESSIKO,2.33,3
CONSTRUCTION LFG,3.25,12
CONSTRUCTION RIC,2,1
CONSTRUCTION SIMDEV,2.5,2
CONSTRUCTION SOCAM,7,1
CONSTRUCTIONS BSL,3.33,6
CONSTRUCTIONS RENAUD VIGNEAU,1.2,5
CONTRACT COMMUNITY,1.35,17
CONTROLLED ENVIRONMENTS,1,1
CONTROLS EQUIPMENT,1,1
CONVERGINT TECHNOLOGIES,2.5,8
CONVERSART CONSULTING,1.55,11
COPCAN CIVIL,3,3
COPCAN CONTRACTING,2.5,4
CORADIX TECHNOLOGY CONSULTING,2.77,216
CORBEL MANAGEMENT,1.67,3
CORNERSTONE COMM ASSOC DURHAM,2,2
CORPORATION PROFESSIONNELLE DR SERGE LANDRY PROFESSIONAL,8,1
CORRECTIONAL SERVICES OF CANADA,1,1
COSSETTE COMMUNICATIONS,1.42,112
COTTON CANDY MISSISSAUGA,1,4
COUGAR ENGINEERING CONSTRUCTION,2,2
COUPLAND KRAEMER ARCHITECTURE,1.87,15
COUVERTURE MONTREAL NORD,1.67,3
COVERTITE EASTERN,1.67,3
COWATERSOGEMA,1.67,3
COWI NORTH AMERICA,1.33,3
CPCS TRANSCOM,1.4,5
CRANDALL ENGINEERING,2.88,17
CRC CURE LABELLE,4,2
CRC D ATNQ,2.75,4
CRUICKSHANK CONSTRUCTION,4.25,4
CSDC SYSTEMS,1.44,16
CSI CONSULTING,1.2,5
CSI LEASING CANADA,2,1
CUBE CONSTRUCTION,2,2
CULLEN DIESEL POWER,1,5
CUMMINS CANADA,1.47,15
CUSTOM HELICOPTERS,1.4,5
CWP CONSTRUCTORS,1.86,7
CYMI CANADA,7,1
CYTELLIGENCE,1,1
D BREAU ET FILS,3,1
D DOYLE INSTALLATIONS,1.38,16
D F BARNES,1.5,2
D F S,3.26,27
D H PARTNERSHIP,4,2
D MARK BIOSCIENCES,2,1
D2L,2.5,2
D4IS SOLUTIONS,2,11
DAIMLER,2,1
DALCON CONSTRUCTORS,1,3
DALHOUSIE UNIVERSITY,1,9
DALIAN ENTERPRISES,1.43,67
DANIEL CREPEAU,1.44,9
DARE HUMAN RESOURCES,1,1
DASCO EQUIPMENT,1.08,13
DASCO STORAGE SOLUTIONS,1,1
DATA CENTRE INTELLIGENCE,2,1
DATA COMMUNICATIONS MANAGEMENT,1.44,9
DATA REPRO COM,2.67,3
DATIFEX,1,1
DATUM MARINE SERVICES,1,2
DAVID S LAFLAMME CONSTRUCTION,3,2
DAWSON CONSTRUCTION,1.5,6
DBC MARINE SAFETY SYSTEMS,1.5,2
DCL CONSTRUCTION SERVICES,2.67,6
DE ANGELIS CONSTRUCTION,8,1
DEAN CONSTRUCTION COMPANY,1,1
DECISIVE GROUP,1.29,14
DEFRAN,1.6,10
DELCO AUTOMATION,1.3,10
DELL COMPUTER,1.29,42
DELOITTE,1.93,196
DELTA PHOTONICS,1,2
DEVLIN CONSTRUCTION,4,1
DEW ENGINEERING,1.17,6
DEXTER CONSTRUCTION,1.88,26
DEXTERRA,1,2
DF BARNES SERVICES,1.22,9
DHL EXPRESS CANADA,1.75,8
DIAMOND AND SCHMITT ARCHITECTS,3.8,5
DILIGENS,3,2
DILLON CONSULTING,1.62,108
DISMAS SOCIETY,5,2
DLS TECHNOLOGY,1.2,10
DMTI SPATIAL,1.67,3
DNR CONSULTING GROUP,1,3
DOLOMITE NETWORKS,2.5,8
DOLYN CONSTRUCTION,2,1
DOMINION CONSTRUCTION,2,1
DOMUS BUILDING CLEANING,5,3
DONALD J FRASER,3,1
DONALD SERVANT ELECTRIC,2,4
DONNA CONA,2.16,126
DR DAVID LESAGE,1,4
DR FERNANDO VILLASENOR,2.33,3
DR MANDEEP SAINI,1,1
DR NADER SHARIFI,1.33,3
DR S ISKANDER,1.5,2
DRAEGER,2,1
DRAGAGE IM,2.5,6
DRAGAGE OCEAN DSM,1.78,9
DRAPEAUX ET BANNIERES L ETENDARD IN,2,1
DRASTIC FISHERIES,1,1
DREAM OFFICE,1.5,6
DSS MARINE,3.5,4
DST CONSULTING ENGINEERS,1.32,28
DSV,3.08,12
DUFFERIN CONSTRUCTION COMPANY,1,1
DWP SOLUTIONS,2.17,6
DXB PROJECT MANAGEMENT,3,1
DYMECH ENGINEERING,1.5,2
DYNABOOK CANADA,1.33,12
DYNACARE,1.62,29
DYNAMIC CONSTRUCTION,1.67,3
DYNAMIC FACILITY SERVICES,1.8,5
DYNAMIC PERSONNEL CONSULTANTS,1.42,55
DYNAMITE CONSTRUCTION,1,2
E CONSTRUCTION,1.67,3
E D BRUNET ET ASSOCIES CANADA,13,1
EAGLE PROFESSIONAL RESOURCES,1.67,18
EAST ELGIN CONCRETE FORMING,2.8,5
EASTPOINT ENGINEERING,1.18,11
EBC,3,2
EBERHARD VON HUENE ASSOCIATES,1,3
EBSCO CANADA,2.54,28
ECLIPSYS SOLUTIONS,1.78,45
ECO TECHNOLOGIES,1.12,8
ECOLE DE LANGUES ABCE,1.16,67
ECOLE DE LANGUES EAGLE,1.33,24
ECOLE DE LANGUES LA CITE,1.52,33
EDWARD COLLINS CONTRACTING,1.67,3
EFFIGIS GEO SOLUTIONS,1,2
EIFFAGE INNOVATIVE CANADA,4.75,4
EKOS RESEARCH ASSOCIATES,1,8
ELEMENTAL DATA COLLECTION,2.5,2
ELITE ENVIRONMENTAL GROUP,1,4
ELIZABETH FRY SOCIETY,3.75,4
ELIZABETH FRY SOCIETY OF CAPE BRETON,11,1
ELIZABETH FRY SOCIETY OF GREATER TORONTO,1,1
ELIZABETH FRY SOCIETY OF PEEL,6,1
ELIZABETH FRY SOCIETY OF TORONTO,5,2
ELLISDON,4.86,14
ELSEVIER,1.21,28
EMCON SERVICES,1.25,4
EMERGENT BIOSOLUTIONS,1.5,2
EMIL ANDERSON CONSTRUCTION,2.25,4
EMMANUEL CONSTRUCTION SERVICES,2.8,5
EMPOWERED NETWORKS,2.1,10
EMS TECHNOLOGIES,3,1
EMTEC,2.75,12
ENERGERE CONSULTANTS,1.5,2
ENGLOBE,1.48,88
ENTREPRISE CLAVEAU,2,1
ENTREPRISE DE CONSTRUCTION T E Q,2,1
ENTRUST,2.12,8
ENVELOPPE CONCEPT,3.5,2
ENVIRONICS RESEARCH GROUP,1.33,9
ENVIROSAFE JANITORIAL,2,2
ENVIROSERVICES,1.33,15
EPERFORMANCE,1.62,8
EPIK TAAHHUT SANAYI IC VE DIS,5,1
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,5.5,2
ERNST YOUNG,2.32,93
ESBE SCIENTIFIC INDUSTRIES,1.17,6
ESRI,2.09,22
ETHIOPIAN AIRLINES GROUP,1,1
EUROVIA QUEBEC CONSTRUCTION,4,2
EVALUATION PERSONNEL,1.6,5
EVALUATION PERSONNEL SELECTION,1.35,23
EVEREST CONSTRUCTION MANAGEMENT,2.33,3
EVOLUTION ROOFING,3,1
EVRIPOS JANITORIAL SERVICES,4,6
EXACT LEGAL TRANSLATIONS,1.2,5
EXCAVATION LOISELLE,4.5,2
EXCAVATION RENE ST PIERRE ENG,4,1
EXCAVATIONS DARCHE,1,3
EXCEL HUMAN RESOURCES,1.89,570
EXIT CERTIFIED,1,1
EXP ARCHITECTS,2,10
EXP SERVICES,1.48,31
EXTRON ELECTRONICS RGB SYSTEMS,1,2
FACCA,4.5,2
FACTIVA,2,8
FAIRBANKS MORSE ENGINE,1.4,40
FARMER CONSTRUCTION,3,1
FAST FORWARD FRENCH,1.41,76
FAST TRACK STAFFING,1,21
FCA CANADA,1.46,35
FDF GROUP,1,1
FEAST INTERACTIVE,3.14,7
FEDERAL EXPRESS CANADA,1.58,12
FELIX TECHNOLOGY,1.09,11
FERENCE COMPANY CONSULTING,1.11,9
FIA GROUP,2.2,5
FIDELITY ENGINEERING CONSTRUCTION,1,2
FIELD AVIATION COMPANY,1,2
FINNING INTERNATIONAL,1.78,9
FIRST AIR,2,3
FIRST PEOPLES INFRA,2,2
FISH FOOD AND ALLIED WORKERS,1.6,5
FISHER PAYKEL HEALTHCARE,1,2
FLEETWAY,5,3
FLEX KNIT,1,2
FLIGHT FUELS,1,2
FLIGHTSAFETY CANADA,4,2
FLOYD S CONSTRUCTION,1.56,9
FLUID ENERGY GROUP,3,1
FLYNN CANADA,1,1
FMC PROFESSIONALS,1.79,14
FONDATION CARREFOUR NOUVEAU MONDE,2,2
FORD MOTOR COMPANY,1.48,183
FORREST GREEN CONSULTING,4,2
FORRESTER RESEARCH,1,9
FOURNIER CONSTRUCTION INDUSTRIELLE,2,1
FOWLER BAULD MITCHELL,3,6
FRANCIS CANADA TRUCK CENTRE,1,2
FRASER RIVER PILE DREDGE,2.2,5
FRECON CONSTRUCTION,1,1
FREEBALANCE,1.75,12
FREQUENTIS CANADA,3.67,6
FRESENIUS KABI CANADA,1,2
FSA ARCHITECTURE,1.2,5
FSC,1,1
FTS FOREST TECHNOLOGY SYSTEMS,1,2
FUGRO GEOSURVEYS,3,5
FUJITSU,2.77,26
FUNDY CONTRACTORS,1.67,3
FVB ENERGY,1.78,36
G A L POWER SYSTEMS OTTAWA,1.08,12
G BIRD HOLDINGS,1,1
G J CAHILL COMPANY 1979 LIMI,3,2
G4S SECURITY SERVICES,3.53,19
GAGNON LETELLIER CYR RICARD,2.5,4
GALA SLACKS,2.29,7
GAMBLE TECHNOLOGIES,1.67,3
GANNON BLACKBURN ELECTRIC,1.5,4
GARDA SECURITY GROUP,1.9,21
GARTNER,1.09,67
GAT INTL LOCALIZATION SERVICES,1,1
GATESTONE,1.25,4
GATEWAY MECHANICAL SERVICES,1.9,10
GAUDETTE S TRANSIT MIX,1.75,8
GC STRATEGIES,1.91,34
GDI SERVICES,2.8,30
GEMALTO COGENT,1,3
GEMMA PROPERTY SERVICES,1.71,7
GEMTEC,1.69,35
GENERAL DYNAMICS,1.83,12
GENERAL ELECTRIC CANADA,1,5
GENERAL MOTORS,1.39,79
GENESIS INTEGRATION,1.28,18
GENOME QUEBEC,1.29,14
GEORGE COUREY,1.5,2
GESTION AJ,2.14,7
GETINGE CANADA,2.4,5
GFL ENVIRONMENTAL,1.88,16
GFS ATLANTIC,2.38,8
GHD,1.05,20
GILMORE PRINTING SERVICES,2.25,4
GILMORE REPRODUCTIONS,1.56,9
GLAMOX CANADA,1,1
GLASSHOUSE SYSTEMS,1,2
GLAXOSMITHKLINE,1.33,6
GLENCAIRN EDUCATIONAL SERVICES,4,2
GLOBAL KNOWLEDGE,1.21,14
GLOBAL LIFE SCIENCES SOLUTIONS,1.29,7
GLOBAL TOTAL OFFICE,2.33,3
GLOBAL UPHOLSTERY,1,10
GO DEEP INTERNATIONAL,1.17,6
GOLDER ASSOCIATES,1.99,101
GOOGLE CANADA,1.2,5
GOSS GILROY,1.39,18
GOVAN BROWN ASSOCIATES,8,1
GOVERNMENT OF THE NWT,1,1
GRAEBECK CONSTRUCTION,5.5,2
GRAHAM CONSTRUCTION,6,5
GRAND TOY,1.27,11
GRANITE MANAGEMENT,1.71,7
GRAW RADIOSONDES,7,1
GRAYBAR CANADA,1,1
GRAYBRIDGE INTERNATIONAL CONSULTING,1.51,148
GRAYMONT NB,1,2
GRC ARCHITECTS,2.45,11
GREAT SLAVE HELICOPTERS,1.55,20
GREATER TORONTO AIRPORT AUTHORITY,2.25,4
GREEN LIGHT CONSULTING SOLUTIONS,16,1
GREEN TIMBERS PARTNERSHIP,8,1
GREENDALE RESOURCES,1.33,6
GREENFIELD CONSTRUCTION,2.4,10
GREG VAN WYK PROFESSIONAL,1.75,4
GREY ROCK SERVICES,2.5,2
GRIFFIN ENGINEERED SYSTEMS,2.5,2
GRIFFON HOVERWORK,1.3,10
GROUPE EDGENDA,1.2,5
GROUPE ENERGIE BDL,1,1
GROUPE ONSCOPE,1.5,2
GROUPE ROBERT,1,1
GW REALTY,2.2,5
H J R ASPHALT,2,1
HALIFAX CITADEL SOCIETY,2,2
HALIFAX INTERNATIONAL AIRPORT,1,1
HALPENNY INSURANCE BROKERS,1.2,10
HAMEL CONSTRUCTION,3.25,4
HAN CHANG MEDIC,1,1
HARBOURSIDE ENGINEERING CONSULTANTS,1.95,19
HARNOIS ENERGIES,1.18,11
HASTINGS PAINTING,1.5,2
HATCH,3,3
HAWBOLDT INDUSTRIES,1.29,7
HAWORTH,1.27,11
HAZELWOOD CONSTRUCTION SERVICES,3,1
HDP GROUP,2.25,4
HEAVY METAL MARINE,1.7,10
HEDDLE MARINE SERVICES,2.39,31
HEILTSUK HORIZON MARITIME SERVICES,1,3
HELITRADES,1.14,7
HEMMERA ENVIROCHEM,1.25,4
HERCULES SLR,3.5,2
HERITAGE RESTORATION,4,3
HEROLD ENGINEERING,1.57,14
HERRING CONSERVATION AND RESEARCH SOCIETY,1.5,2
HEWLETT PACKARD,5.22,9
HEXAGON,1,1
HIGHLANDS FUEL DELIVERY,1.33,6
HIGHLINE ELECTRIC P A,2,1
HIKE METAL PRODUCTS,3.5,2
HIPPERSON CONSTRUCTION,4,1
HITACHI DATA SYSTEMS,1.78,9
HOLLAND COLLEGE,2,1
HOLONICS,1.75,4
HOMEWOOD HEALTH,5,1
HONEY CONSTRUCTION,4,1
HONEYWELL,1.54,39
