d_vendor_name,total_amendment_increase_value,n
BMT FLEET TECHNOLOGY,11275.82,2
BOEHM HOTEL,-17151.24,1
BOLESS,11440439.51,4
BOLLORE LOGISTICS,10128.18,5
BOMBARDIER,6584.71,7
BOMIMED,423437.56,1
BOOMCHAIN MINING,28750.27,2
BOUTHILLETTE PARIZEAU,2559113.16,30
BOYD MOVING STORAGE,693818.70,7
BRADLEY AIR SERVICES,65104.33,1
BRAGG COMMUNICATIONS,24411924.68,2
BRANDT TRACTOR,3499.25,2
BRAWN CONSTRUCTION,1970684.20,6
BRECKENHILL,556077.38,12
BRENEX BUILDING,1043678.67,2
BRETON MICHEL MD,12716721.03,9
BRIDGES OF CANADA,2549324.86,10
BRILUN CONSTRUCTION,3009644.72,9
BRIQUETAL,4893143.47,4
BRITTON ELECTRIQUE,477302.40,1
BROADNET TELECOM,1824270.24,8
BROADWATER INDUSTRIES,976149.30,4
BRONSWERK MARINE,382592.56,2
BRONTE CONSTRUCTION,23572553.39,1
BROOK CONSTRUCTION,496988.72,4
BROOKFIELD ASSET MANAGEMENT,524259.70,2
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,2717052559.98,21
BRS INNOVATIONS,4704600.90,5
BRUKER,541242.11,10
BRYCA SOLUTIONS,1582350.30,3
BUBBLE TECHNOLOGY INDUSTRIES,205460.22,1
BUDGELL S EQUIPMENT RENTALS,15107.00,2
BUILDON CONSTRUCTION,632853.99,4
BULLDOG CONTRACTING,1513647.00,3
BUREAU NATHALIE,4021477.10,4
BUREAU VERITAS,11827328.44,82
BURSEY EXCAVATING DEVELOPMENT,1147258.57,7
BUTTCON,14341974.09,4
C CORE,957954.19,4
C D NOVA TECH,975330.12,1
C T M A FERRY,848028.91,1
C2D SERVICES,2540955.15,1
CA,1975545.24,4
CACHE COMPUTER CONSULTING,67629378.91,138
CACTUS SHIP REPAIR,218426.32,2
CAE,16048729.25,6
CALIAN,115838077.09,286
CALKO GROUP,4815062.52,2
CALTRIO COMPANY,8990643.00,9
CALYTERA SOFTWARE,968483.76,2
CAMPBELL DRUG STORES,0.00,1
CAMPBELL FORD SALES,1250318.73,1
CAMPBELL SCIENTIFIC CANADA,3232013.52,12
CAN AM PLATFORMS CONSTRUCTION,5253539.57,4
CAN ROSS ENVIRONMENTAL SERVICES,1449945.17,1
CAN TEC SERVICES,180761.70,6
CANADA COACH LINES GROUP,3146827.85,1
CANADA POST,13407317.05,33
CANADA WEST AVIONICS,-21113.64,4
CANADENSYS AEROSPACE,223304.47,3
CANADIAN BANK NOTE COMPANY,273889775.10,11
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,10651912.00,2
CANADIAN CORPS OF COMMISSIONAIRES,119618057.70,1497
CANADIAN DEVELOPMENT CONSULTANTS,800511.86,14
CANADIAN FISHING COMPANY,1214382.96,1
CANADIAN HEALTH CARE AGENCY,0.00,2
CANADIAN HELICOPTERS,2928140.79,27
CANADIAN LEASEBACK,4085719.55,23
CANADIAN MARITIME ENGINEERING,7353003.64,49
CANADIAN NORTH,363447.67,3
CANADIAN PAEDIATRIC SOCIETY,15099908.91,3
CANADIAN RED CROSS,79567291.84,8
CANADIAN SPACE SERVICES,496214.80,2
CANADIAN STANDARDS ASSOCIATION,-134869.44,13
CANADYNE TECHNOLOGIES,5762195.35,2
CANMEC,119372.16,1
CANON,1741888.20,136
CANSEL SURVEY EQUIPMENT,14916.00,1
CANTEX OKANAGAN CONSTRUCTION,323137.50,2
CAPELLO AUDIO ELECTRONICS,101140.72,1
CARAHSOFT TECHNOLOGY,6336488.55,35
CARDINAL HEALTH CANADA,68794.84,3
CARL ZEISS CANADA,139959.99,3
CARLETON ELECTRIC,840794.53,5
CARLETON UNIVERSITY,1441209.31,17
CARMACKS ENTERPRISES,1306714.50,1
CARMICHAEL ENGINEERING,331227.30,6
CARO ANALYTICAL SERVICES,-115761.39,7
CARON PROFESSIONAL LINGUISTIC,411145.90,36
CARSWELL,201655.28,2
CARTEL COMMUNICATION SYSTEMS,-139150.87,2
CARVERY S CONSTRUCTION,93380.00,7
CATHOLIC SOCIAL SERVICES,16328750.65,5
CBC,344373.15,2
CBCI TELECOM,593748.77,36
CBCL,7573217.64,61
CBI MILLWRIGHT SERVICES,2458701.16,6
CCM CONSTRUCTION,972242.42,2
CCR CONSTRUCTION,8436495.13,4
CDCI RESEARCH,2525238.03,25
CDW CANADA,60464274.44,92
CE HARRISON HOME HARDWARE,20478.16,1
CEGERCO,299365.42,1
CELEB CONSTRUCTION,14756559.50,5
CENTURY GROUP,114349.28,2
CEPHEID,2625.00,1
CERIDIAN,23923695.88,1
CGI,148505216.16,134
CH2M HILL CANADA,2611271.92,3
CHANDOS CONSTRUCTION,-7504466.29,6
CHANNEL MANAGEMENT INTERNATIONAL,683941.90,2
CHANTIER DAVIE CANADA,194676063.88,5
CHANTIER NAVAL FORILLON,27140885.40,2
CHARTER TELECOM,17114582.16,2
CHEMICAL ABSTRACTS SERVICE,2543700.48,2
CHEVRON,-54578.58,1
CHIMO CONSTRUCTION,253515.32,1
CHRISTIAN LAROCQUE SERVICES,667854.67,6
CHRONO AVIATION,28472.92,4
CHU SAINTE JUSTINE,7611971.84,7
CHUBB EDWARDS,2737532.11,29
CIMA,10892870.26,65
CIMA S E N C,2577946.34,5
CIRCLE OF EAGLES LODGE SOCIETY,9069763.11,3
CISION CANADA,3536378.46,45
CISTEL TECHNOLOGY,76943102.78,101
CITRIX,9448079.19,6
CLARIANT CANADA,0.00,3
CLEAN WORKS,1128602.21,2
CLEANMATTERS JANITORIAL SERVICES,10544971.82,6
CLEARWATER STRUCTURES,1190376.77,2
CLICK NETWORKS,27396475.35,20
CLOSEREACH,13210143.64,37
CLOUD SYNAPPS,677774.00,4
COADY CONSTRUCTION EXCAVATING,2025374.30,7
COASTAL RESTORATION MASONRY,4000934.88,3
COENTREPRISE CITE CARON,325578.28,27
COFOMO,128155836.24,279
COLLIERS PROJECT LEADERS,151013713.99,88
COLOGIX,5098436.96,1
COLT CANADA,111006.52,6
COLUMBIA FUELS,368696.09,9
COMBAT NETWORKS,35392396.89,65
COMMPOWER,3378899.20,2
COMMUNITECH,19999.99,1
COMMVAULT SYSTEMS,16096067.37,3
COMNET NETWORKS AND SECURITY,1535146.28,4
COMPAGNIE AMPLEXOR CANADA,1330900.16,13
COMPOSITION STE FOY,1320255.74,7
COMPUCOM CANADA,1927401.98,27
COMPUGEN,6407343.81,41
COMPUMSTR,1046227.88,1
COMPUSULT,3786184.93,3
COMPUTER ASSOCIATES CANADA,38165121.09,3
COMPUTERSHARE INVESTOR SERVICES,-50186512.40,2
CON PRO INDUSTRIES CANADA,4722924.14,12
CONCEPT CONTROLS,-40862.41,3
CONCIERGERIE SPEICO,2320149.63,3
CONEXSYS,945653.24,7
CONFECTION AVENTURE,394720.00,1
CONFERENCE BOARD OF CANADA,526185.05,12
CONFLUENCE CONSULTING,3634464.20,6
CONNECTIVE SUPPORT SOCIETY,4411340.90,5
CONNECTIVE SUPPORT SOCIETY KAMLOOPS,2205371.78,1
CONNEX TELECOMMUNICATIONS,1439311.69,3
CONOSCENTI TECHNOLOGIES,2494222.27,5
CONSTRUCTION BUGERE,1740554.38,8
CONSTRUCTION COTE FILS,130485.78,1
CONSTRUCTION CPB,121107.03,2
CONSTRUCTION CYBCO,12166428.60,6
CONSTRUCTION DEMATHIEU BARD,54549177.03,6
CONSTRUCTION DERIC,6461073.77,11
CONSTRUCTION IRENEE PAQUET FILS I,887660.42,3
CONSTRUCTION J R SAVARD,2696965.03,2
CONSTRUCTION LFG,9085772.12,12
CONSTRUCTION SIMDEV,1240569.63,2
CONSTRUCTION SOCAM,1188353.28,1
CONSTRUCTIONS BSL,1400465.77,6
CONSTRUCTIONS RENAUD VIGNEAU,155095.53,6
CONTRACT COMMUNITY,979772.68,21
CONTRO VALVE,0.00,1
CONTROLLED ENVIRONMENTS,408507.39,2
CONTROLS EQUIPMENT,109775.26,4
CONVERGINT TECHNOLOGIES,-1499737.99,19
COPCAN CIVIL,446453.08,3
CORADIX TECHNOLOGY CONSULTING,61015532.53,262
CORBEL MANAGEMENT,7795687.61,3
CORETRACKS CLARITY CA,3282650.01,4
CORNERSTONE COMM ASSOC DURHAM,6147261.30,2
CORPORATION PROFESSIONNELLE DR SERGE LANDRY PROFESSIONAL,3587951.22,1
CORRECTIONAL SERVICES OF CANADA,-19850.24,1
COSSETTE COMMUNICATIONS,178806907.02,136
COTE GENEVIEVE S,85000.00,1
COUGAR ENGINEERING CONSTRUCTION,783631.18,2
COUPLAND KRAEMER ARCHITECTURE,1194664.60,15
COVERTITE EASTERN,617956.20,3
COWATERSOGEMA,-10953056.07,3
COWI NORTH AMERICA,557930.10,5
COX AND PALMER,160630.92,1
CPCS TRANSCOM,900395.37,6
CPKN NETWORK,1791880.71,4
CRAIG DESHARNAIS RESEARCH,700012.29,7
CRANDALL ENGINEERING,8376485.57,17
CRC CURE LABELLE,7173060.80,2
CRC D ATNQ,6217276.65,5
CRUICKSHANK CONSTRUCTION,3276406.89,4
CSDC SYSTEMS,1531422.22,16
CSI CONSULTING,759268.48,5
CSI LEASING CANADA,0.00,1
CUBE CONSTRUCTION,534029.40,2
CULLEN DIESEL POWER,10203.99,5
CUMMINS CANADA,2111305.59,17
CUSTOM HELICOPTERS,2425777.98,9
CWP CONSTRUCTORS,1128351.98,7
CYMI CANADA,3335828.22,1
CYTELLIGENCE,0.00,1
D DOYLE INSTALLATIONS,1031991.01,19
D F S,15712164.80,27
D H PARTNERSHIP,681369396.35,2
D MARK BIOSCIENCES,137860.00,1
D2L,19384014.38,5
D4IS SOLUTIONS,4070435.29,11
DAIMLER,0.00,1
DALCON CONSTRUCTORS,-1480629.34,3
DALHOUSIE UNIVERSITY,-432082.25,10
DALIAN ENTERPRISES,22922555.63,75
DANIEL CREPEAU,2237384.88,9
DARE HUMAN RESOURCES,517796.00,39
DARREN ANGER LAW PROFESSIONAL,3091204.27,1
DASCO EQUIPMENT,173552.19,18
DASCO STORAGE SOLUTIONS,1401.49,1
DASSAULT SYSTEMES CANADA,209377.81,5
DATA CENTRE INTELLIGENCE,1998024.30,4
DATA COMMUNICATIONS MANAGEMENT,482598.12,8
DATIFEX,100062.01,1
DATUM MARINE SERVICES,3479629.38,2
DAVID S LAFLAMME CONSTRUCTION,1065134.59,2
DAWSON CONSTRUCTION,3635613.82,6
DBC MARINE SAFETY SYSTEMS,196380.44,2
DCL CONSTRUCTION SERVICES,1726514.61,8
DE ANGELIS CONSTRUCTION,8660748.97,1
DEAN CONSTRUCTION COMPANY,159901.17,1
DECISIVE GROUP,9733997.30,19
DEFRAN,1286801.24,12
DELCO AUTOMATION,1210819.96,10
DELCO SECURITY,64444.52,4
DELL COMPUTER,15093144.91,45
DELOITTE,561085774.40,224
DELTA PHOTONICS,379646.96,2
DEV HOTEL CONFERENCE CENTRE,8220000.00,1
DEW ENGINEERING,556990.58,5
DEXTER CONSTRUCTION,6702417.12,30
DEXTERRA,4874974.26,3
DF BARNES SERVICES,2592791.34,9
DHL EXPRESS CANADA,1261501.16,8
DIAMOND AND SCHMITT ARCHITECTS,39380488.91,5
DILIGENS,2986229.14,3
DILLON CONSULTING,10075452.76,144
DISMAS SOCIETY,7142245.73,2
DLS TECHNOLOGY,1413577.11,11
DMTI SPATIAL,1109310.22,4
DNR CONSULTING GROUP,0.00,3
DOCUMENS TRADUCTION,1639496.19,22
DOLOMITE NETWORKS,4847447.70,8
DOMUS BUILDING CLEANING,15343937.24,3
DONALD J FRASER,5180651.77,1
DONALD SERVANT ELECTRIC,745735.45,4
DONNA CONA,85250853.61,149
DONNA CONA IBM CANADA IN JV,0.00,1
DR FERNANDO VILLASENOR,2204229.60,3
DR KEITH DAWSON,1679129.95,3
DR MANDEEP SAINI,2500000.00,1
DR NADER SHARIFI,3077248.20,3
DR ROBERT LABINE,2134643.15,7
DRAEGER,64888.95,2
DRAGAGE IM,-6867817.90,7
DRAGAGE OCEAN DSM,4582871.26,10
DRAPEAUX ET BANNIERES L ETENDARD,3012147.04,2
DRASTIC FISHERIES,414000.00,1
DSS MARINE,5345051.56,4
DST CONSULTING ENGINEERS,1727641.16,28
DUVALTEX CANADA,799048.38,1
DWP SOLUTIONS,2702323.17,6
DXB PROJECT MANAGEMENT,5710404.60,1
DYMECH ENGINEERING,66863.80,2
DYNABOOK CANADA,6413485.79,22
DYNACARE,49420061.91,31
DYNAMIC ASPHALT SERVICES,221198.92,2
DYNAMIC CONSTRUCTION,-254742.28,3
DYNAMIC FACILITY SERVICES,911985.29,5
DYNAMIC PERSONNEL CONSULTANTS,2436296.68,60
DYNAMITE CONSTRUCTION,539113.58,2
E CONSTRUCTION,382463.44,3
E D BRUNET ET ASSOCIES CANADA,10174906.47,1
E STAR INTERNATIONAL,1733353.10,1
EAGLE BEACH CONTRACTORS,93748.00,1
EAGLE PROFESSIONAL RESOURCES,18240997.27,21
EASTPOINT ENGINEERING,962399.36,16
EBC,2386066.44,2
EBERHARD VON HUENE ASSOCIATES,74682.13,3
EBSCO CANADA,15095135.70,34
ECLIPSYS SOLUTIONS,29917116.11,53
ECO TECHNOLOGIES,115902.78,8
ECOLE DE LANGUES ABCE,1052947.49,76
ECOLE DE LANGUES EAGLE,454161.97,34
ECOLE DE LANGUES LA CITE,4501053.93,42
ECONOMIST INTELLIGENCE UNIT,1533767.22,4
EDMONDS LANDSCAPE AND CONSTRUCTION,1281402.68,7
EDWARD COLLINS CONTRACTING,848733.59,3
EFCO ENTERPRISES,21765.22,5
EFFIGIS GEO SOLUTIONS,-16082.70,1
EIFFAGE INNOVATIVE CANADA,3522097.80,5
EKOS RESEARCH ASSOCIATES,239600.90,11
ELEMENTAL DATA COLLECTION,1033231.67,2
ELITE ENVIRONMENTAL GROUP,597701.54,8
ELIZABETH FRY SOCIETY,38641566.02,18
ELLISDON,615103222.98,15
ELSEVIER,11098848.05,31
EMCON SERVICES,1372620.62,5
EMERGENT BIOSOLUTIONS,15683122.37,2
EMERION COFOMO FMC,971406.03,11
EMIL ANDERSON CONSTRUCTION,1981649.72,4
EMMANUEL CONSTRUCTION SERVICES,2006090.02,5
EMMONS MITCHELL CONSTRUCTION,49053.30,1
EMPOWERED NETWORKS,10634477.43,10
EMS TECHNOLOGIES,130033415.69,1
EMTEC,3676705.26,13
ENERGERE CONSULTANTS,7943357.99,2
ENET4S SOFTWARE SOLUTIONS,1444393.12,4
ENGLOBE,17669110.86,119
ENSEIGNES PATTISON SIGN GROUP,58811.65,5
ENTREPRISE CLAVEAU,713558.14,1
ENTREPRISE DE CONSTRUCTION T E Q,4181094.63,1
ENTRUST,660503.55,12
ENVELOPPE CONCEPT,673946.95,5
ENVIRONICS RESEARCH GROUP,-118804.56,11
ENVIROSAFE JANITORIAL,983631.60,2
ENVIROSERVICES,605368.83,16
EPERFORMANCE,2745534.84,8
EPIK TAAHHUT SANAYI IC VE DIS,114045.08,1
EPPENDORF CANADA,345983.32,5
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,3298607.20,2
EQUINIX OTTAWA GOVERNMENT,6148184.65,1
ERNST YOUNG,22131154.44,107
ESBE SCIENTIFIC INDUSTRIES,876076.94,6
ESRI,4402812.22,26
ET FUSION,0.00,1
ETHIOPIAN AIRLINES GROUP,0.00,1
ETICO,2031692.74,5
EUROVIA QUEBEC CONSTRUCTION,3214549.17,2
EVALUATION PERSONNEL SELECTION,2094819.80,32
EVEREST CONSTRUCTION MANAGEMENT,1613008.68,4
EVOLUTION ROOFING,609646.22,1
EVRIPOS JANITORIAL SERVICES,2162117.90,6
EXACT LEGAL TRANSLATIONS,1073284.75,6
EXCAVATION LOISELLE,1010840.14,2
EXCAVATION RENE ST PIERRE ENG,1173827.38,1
EXCAVATIONS DARCHE,306403.40,3
EXCEL HUMAN RESOURCES,106686335.41,643
EXP ARCHITECTS,1193737.16,11
EXP SERVICES,2351521.94,39
EXTRON ELECTRONICS RGB SYSTEMS,-90797.76,2
FACCA,1857703.28,2
FACTIVA,3749017.13,8
FAIRBANKS MORSE ENGINE,1725248.60,40
FARMER CONSTRUCTION,202654.11,1
FAST FORWARD FRENCH,774304.26,107
FAST TRACK STAFFING,324034.98,26
FCA CANADA,1768980.60,43
FEAST INTERACTIVE,5784720.48,5
FEDERAL EXPRESS CANADA,294716.37,12
FELIX TECHNOLOGY,7519522.09,14
FERENCE COMPANY CONSULTING,248113.93,9
FERUS,1303050.00,17
FIA GROUP,2502011.01,5
FIDELITY ENGINEERING CONSTRUCTION,655842.31,2
FINNING INTERNATIONAL,-872548.91,9
FIRST AIR,2804559.78,3
FIRST PEOPLES INFRA,275754.18,2
FISH FOOD AND ALLIED WORKERS,111446.41,5
FISHER PAYKEL HEALTHCARE,2626625.11,2
FLEET FCA CANADA,-180892.66,17
FLEETWAY,22203.50,3
FLEX KNIT,-126141.08,2
FLIGHT FUELS,301544.90,4
FLIGHTSAFETY CANADA,2772068.29,2
FLOYD S CONSTRUCTION,862372.25,11
FLUID ENERGY GROUP,5768304.22,1
FLYER ELECTRIC,514406.58,7
FLYNN CANADA,49690.20,2
FMC PROFESSIONALS,1861893.41,13
FORD MOTOR COMPANY,10136480.33,231
FORREST GREEN CONSULTING,7067449.10,2
FORRESTER RESEARCH,155955.24,9
FOURNIER CONSTRUCTION INDUSTRIELLE,127448.35,1
FOWLER BAULD MITCHELL,2370146.00,6
FOX TRANSLATIONS,1463520.49,20
FRANCIS CANADA TRUCK CENTRE,-36724.56,2
FRASER RIVER PILE DREDGE,5748906.99,5
FRECON CONSTRUCTION,76857.47,1
FRED TROTTIER CONSTRUCTION,486088.57,1
