d_vendor_name,max_overall_value,n
AG CREATIONS,1343623.59,6
AGENCE SOCIALE SPECIALISEE DE L OUTAOUAIS,4951335.32,1
AGILEC,10263999.49,13
AGILENT,1870942.35,495
AGRITEAM CANADA,19950000.00,15
AHS COMMUNITY INDUSTRIES,4760245.55,4
AIM HEALTH GROUP,13595242.26,10
AINSWORTH,6420990.21,137
AIR CHARTER SERVICE,25408.33,2
AIR INDIA,2901209.76,3
AIR INUIT,6270134.96,66
AIR LIQUIDE CANADA,292989.79,218
AIR NORTH,57284.99,3
AIR PRODUCTS CANADA,1221478.10,62
AIR TINDI,159495.00,143
AIRBOSS DEFENSE,62368.01,4
AIRBUS,16832571.18,135
AIRSIDE PROPERTIES,8823289.44,1
ALBERTA SEVENTH STEP SOCIETY,5206077.90,2
ALCAIDE WEBSTER ARCHITECTS,1981305.84,26
ALDRICH PEARS ASSOCIATES,1949250.00,6
ALGONQUIN COLLEGE,595355.75,73
ALIKA INTERNET TECHNOLOGIES,3318500.00,13
ALINEA INTERNATIONAL,20012360.00,11
ALIVAKTUK CONSULTING,2963667.95,7
ALLEN HASTINGS,5277301.47,4
ALLIANCE ENERGY,14089622.16,15
ALLIANCE ENGINEERING CONSTRUCTION,2644200.00,7
ALLIED PAVING,14131530.63,1
ALLIED SHIPBUILDERS,18673276.91,17
ALLSEATING,578419.37,72
ALPINE AEROTECH,532261.22,138
ALPINE HELICOPTERS,389029.00,246
ALS CANADA,6328944.30,118
ALTERNATIVE CONCRETE TECHNOLOGIES,2489819.62,1
ALTIS HUMAN RESOURCES,3495771.68,864
ALTO CONSTRUCTION,2098675.01,1
ALVA CONSTRUCTION,5147890.59,10
AMAZON,18133271.20,68
AMD MEDICOM,93564000.00,2
AMDOCS,2950805.20,3
AMEC CONSTRUCTION,1693783.38,1
AMER SPORTS CANADA,10200.75,1
AMERESCO CANADA,67199646.15,17
AMERICAN BUREAU OF SHIPPING,3568715.58,74
AMERICAN CHEMICAL SOCIETY,1522604.96,26
AMEX BANK OF CANADA,25628148.00,2
AMS IMAGING,260601.74,60
AMTEK ENGINEERING,575523.71,2
ANALYTICAL GRAPHICS,680413.23,21
ANCHOR QEA,17000000.00,3
ANIXTER,425653.54,87
ANSYS CANADA,267994.69,107
ANTHONY MACAULEY ASSOCIATES,643408.90,28
ANTONIANI LAW PROFESSIONAL,4975201.82,1
AON REED STENHOUSE,6621950.99,111
APICA MEDICAL SERVICES,2680000.00,3
APOTEX,10800071.16,3
APPAREL TRIMMINGS,1626606.75,18
APPLIED ELECTONICS,13249749.51,303
APPTION,3537306.23,13
APRON FUEL SERVICES,144923.55,63
APS AVIATION,5847377.10,7
AQUA GUARD SPILL RESPONSE,3506030.58,4
AQUA LUNG CANADA,40288.94,7
AQUATIC INFORMATICS,2010989.64,15
ARCADIS CANADA,3809523.81,199
ARCHITECTURE 49,13234817.23,101
ARCHITECTURE EVOQ,89962141.84,31
ARCTIC CANADA CONSTRUCTION,3751791.59,5
ARDENT GLOBAL,15106400.00,2
ARI FINANCIAL SERVICES,591542.79,556
ARISGLOBAL,2324923.20,4
ARMSERV CONTRACTING,3139246.05,5
ARNASON INDUSTRIES,2087400.19,2
ARRM ELECTRIC,417830.00,6
ARTEMP PERSONNEL SERVICES,3316550.00,190
ARTEX SPORTSWEAR,3813123.73,14
ARUP CANADA,21713958.43,1
ASBEX,6722695.66,83
ASC GERMANY,1066720.00,6
ASML US,1661312.25,31
ASOKAN BUSINESS INTERIORS,2702239.39,308
ASPEN PHARMACARE CANADA,3204320.00,1
ASSOCIATED ENGINEERING,3679433.10,75
ASSOCIATION CANADIENNE POUR LA SANTE MENTALE SECTION SAGUENAY,3427973.34,2
ATCO,26224834.39,258
ATIRA WOMENS RESOURCE SOCIETY,2068969.00,3
ATKINSON CONSTRUCTION,10462620.00,2
ATLANTIC BUSINESS INTERIORS,1470311.85,153
ATLANTIC HUMAN SERVICES,4840655.58,2
ATLANTIC ROAD CONSTRUCTION AND PAVING,7129387.81,5
ATLANTIC ROOFERS,256584.55,2
ATLANTIC TOWING,86773020.00,5
ATLANTICA MECHANICAL CONTRACTORS,855225.91,19
ATS SERVICES,2374879.70,22
ATS TRAFFIC ALBERTA,1685043.26,20
ATWILL MORIN,13029190.60,10
AV NUNAVUT FUELS,7970037.64,1
AV TECH,2069550.00,129
AVENAI,2685309.40,10
AVI SPL,1581694.06,630
AVJET HOLDING,1783960.59,44
AVMAX AVIATION SERVICES,7187769.54,38
AVONDALE CONSTRUCTION,17959282.29,18
AXYS TECHNOLOGIES,2031128.80,60
AZIMUTH CONSULTING GROUP,3809523.00,9
B BRAUN OF CANADA,4958257.15,1
B L ASSOCIATES,4080355.82,5
B R ENTERPRISES,4126888.54,15
B T L CONSTRUCTION,44955720.13,1
BABEL STREET,4417966.69,9
BAE SYSTEMS,116198.83,2
BAHLER BIOGAZ,2384686.58,2
BAJA CONSTRUCTION CANADA,3626246.86,10
BALODIS,3335069.00,10
BANCTEC CANADA,19245367.56,18
BANFIELD SEGUIN,4436818.45,35
BARDON SUPPLIES,132915.39,39
BARGREEN ELLINGSON,7794318.05,189
BARR ENGINEERING AND ENVIRONMENTAL,1524148.50,13
BARRIE MACKAY CONTRACTING,11059846.80,2
BARRY S BULLDOZING,765207.45,36
BAUER HOCKEY,7345000.00,1
BAVARIAN NORDIC,20324829.90,1
BAXTER,15326469.68,9
BAY CONSTRUCTION MANAGEMENT,4139487.78,6
BAYSHORE HEALTHCARE,6451250.00,123
BC BORSTAL ASSOC,4759722.49,1
BC HYDRO,594182.85,29
BDO CANADA,16400000.00,316
BEAUDOIN CANADA,8078665.75,2
BEAVER AIR CHARTER CONSULTANTS,253427.25,285
BECKMAN COULTER CANADA,380958.55,117
BEE CLEAN BUILDING MAINTENANCE,584803.54,32
BELL AND HOWELL CANADA,4792892.00,7
BELL CANADA,624032834.22,921
BELL DISTRIBUTION,875964.87,9
BELL TEXTRON,144958989.78,276
BENNETT S CONSTRUCTION SUPPLIES,605092.63,12
BERGEVIN ELECTRICAL CONTRACTING,4488742.06,2
BERLITZ CANADA,122877.00,184
BERVIN CONSTRUCTION,5118385.83,8
BEST BUY HOUSING,2114330.57,1
BEST SERVICE PROS,101269.30,2
BEVA GLOBAL MANAGEMENT,847864.01,45
BGLA,2162108.52,14
BIGHORN CONSTRUCTION,3665983.32,7
BIGHORN HELICOPTERS,643702.50,96
BIO CHAMBERS,371769.65,12
BIO NUCLEAR DIAGNOSTICS,26679752.00,19
BIO RAD LABORATORIES CANADA,293163.00,141
BIOKINETICS AND ASSOCIATES,19865.40,1
BIOMERIEUX CANADA,27555101.66,36
BIRD CONSTRUCTION COMPANY,16673287.86,5
BIRON GROUPE SANTE,68310503.10,1
BIRTZ BASTIEN ARCHITECTES,1593610.90,9
BISSON FORTIN ARCHITECTURE,2085451.99,18
BLACK DIAMOND PARTNERSHIP,928002.19,8
BLACK MCDONALD,13850375.87,139
BLACKBERRY,12030671.44,58
BLOOMBERG FINANCE L P,405953.86,31
BLUE COLLAR SILVICULTURE,1763589.45,2
BLUEDOT,3051000.00,7
BLUEWAVE ENERGY,821625.00,75
BLUMETRIC ENVIRONMENTAL,765410.40,141
BLUNDEN CONSTRUCTION 1995,29670.00,2
BMC SOFTWARE,7966819.79,7
BMC SOFTWARE CANADA,39000000.00,38
BMT FLEET TECHNOLOGY,77687.50,24
BOEHM HOTEL,6500513.76,1
BOLESS,65693421.60,6
BOLLORE LOGISTICS,2001000.00,178
BOMBARDIER,558894.00,177
BOMIMED,8434352.02,2
BOUTHILLETTE PARIZEAU,1000000.00,112
BOYD MOVING STORAGE,2130000.00,92
BRAGG COMMUNICATIONS,30638704.96,2
BRANDT TRACTOR,1147393.80,32
BRAWN CONSTRUCTION,2589066.13,13
BRECKENHILL,2000000.00,63
BREMNER ENGINEERING AND CONSTRUCTION,3088462.01,6
BRETON MICHEL MD,3935279.17,10
BRIAN G INNES SCHOUTEN EXCAVATING,2832281.72,3
BRIDGES OF CANADA,8510671.84,14
BRILUN CONSTRUCTION,2793439.45,11
BRIQUETAL,7667362.58,5
BRITTON ELECTRIQUE,6318032.40,2
BROADNET TELECOM,10698908.89,45
BROADWATER INDUSTRIES,3313144.80,22
BRONSWERK MARINE,798493.82,9
BRONTE CONSTRUCTION,29222553.39,1
BROOK CONSTRUCTION,6531909.91,6
BROOKFIELD ASSET MANAGEMENT,1271250.00,13
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,5723000000.00,360
BROOKS CORNING COMPANY,424370.83,128
BRS INNOVATIONS,4952456.28,11
BRUKER,795604.00,84
BUBBLE TECHNOLOGY INDUSTRIES,2370740.00,4
BUDGELL S EQUIPMENT RENTALS,4866242.94,2
BUILDON CONSTRUCTION,5708023.85,27
BULLDOG CONTRACTING,2154576.58,9
BUNZL CANADA,2613125.00,15
BUREAU NATHALIE,2141836.00,6
BUREAU VERITAS,15762528.78,347
BURSEY EXCAVATING DEVELOPMENT,3639919.28,10
BUTTCON,14252043.51,6
C CORE,1321934.26,15
C D NOVA TECH,1802574.87,11
C2D SERVICES,11106277.05,1
CA,93968945.40,17
CACHE COMPUTER CONSULTING,9394692.88,214
CACTUS SHIP REPAIR,1784322.78,18
CADEX,23307.38,2
CAE,282500000.00,30
CAHILL,1230897.80,8
CALIAN,34634904.54,557
CALKO GROUP,12871221.30,2
CALTRIO COMPANY,2210295.81,16
CALYTERA SOFTWARE,1212056.70,32
CAMPBELL DRUG STORES,165206000.00,1
CAMPBELL SCIENTIFIC CANADA,1773730.10,133
CAN AM PLATFORMS CONSTRUCTION,6540083.22,6
CAN TEC SERVICES,330072.75,40
CANADA FBM 2020,2422800.54,1
CANADA FRANCE HAWAII TELESCOPE,749316.35,5
CANADA POST,13169445.02,245
CANADENSYS AEROSPACE,1665087.52,8
CANADIAN BANK NOTE COMPANY,340945341.00,18
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,49855798.00,7
CANADIAN COMMERCIAL,3908000.00,2
CANADIAN CORPS OF COMMISSIONAIRES,13505250.00,4477
CANADIAN DEVELOPMENT CONSULTANTS,2017857.15,43
CANADIAN EMERGENCY VENTILATORS,169500000.00,1
CANADIAN FISHING COMPANY,4889382.96,3
CANADIAN HEALTH CARE AGENCY,393240.00,11
CANADIAN HELICOPTERS,1814426.78,243
CANADIAN LEASEBACK,7288797.77,174
CANADIAN MARITIME ENGINEERING,4151070.39,121
CANADIAN NORTH,2702580.93,26
CANADIAN NUCLEAR LABORATORIES,112777.84,1
CANADIAN PAEDIATRIC SOCIETY,19044523.36,4
CANADIAN RED CROSS,48291407.00,13
CANADIAN STANDARDS ASSOCIATION,1205211.64,50
CANADIAN VETERANS VR SERVICE,36033141.71,1
CANADYNE TECHNOLOGIES,4165117.82,4
CANAM PONTS CANADA,13957523.12,3
CANDESTO ENTERPRISES,2196317.21,1
CANMEC,8434342.12,1
CANON,1566636.33,661
CANSEL SURVEY EQUIPMENT,175590.68,113
CANTEX OKANAGAN CONSTRUCTION,6923602.35,3
CARAHSOFT TECHNOLOGY,10459797.27,268
CARDINAL HEALTH CANADA,1441789.60,75
CAREWORX,680956.08,27
CARLETON ELECTRIC,5118543.01,26
CARLETON UNIVERSITY,2455236.55,158
CARMACKS ENTERPRISES,9493568.46,1
CARMICHAEL ENGINEERING,526738.95,55
CARO ANALYTICAL SERVICES,2103225.16,38
CARON PROFESSIONAL LINGUISTIC,199000.00,151
CARSWELL,9391071.44,26
CARTEL COMMUNICATION SYSTEMS,5433009.27,7
CASCADE AEROSPACE,14335.18,1
CASCADE COLLEGE,2971000.00,1
CASP AEROSPACE,27509.09,2
CASSELMAN WOODCRAFT,101971.20,173
CATHOLIC SOCIAL SERVICES,4590826.47,5
CBC,2260000.00,4
CBCI TELECOM,3324997.88,664
CBCL,4413516.68,228
CBRE,5327674.80,24
CCM CONSTRUCTION,4050188.52,3
CCR CONSTRUCTION,10794000.00,4
CDCI RESEARCH,786066.71,67
CDW CANADA,16917545.80,807
CEGERCO,5793471.62,1
CELEB CONSTRUCTION,15843955.28,5
CELLEBRITE,2553472.89,5
CENTRE RESIDENTIEL COMMUNAUTAIRE JOLIETTE LANAUDIERE,3066457.90,2
CENTURY GROUP,1807530.57,3
CEPHEID,133796520.00,2
CERIDIAN,33771321.35,2
CGI,71319852.13,254
CH2M HILL CANADA,6644946.01,6
CHANDOS CONSTRUCTION,11812723.43,6
CHANNEL MANAGEMENT INTERNATIONAL,3239936.00,11
CHANTIER DAVIE CANADA,782743750.00,7
CHANTIER NAVAL FORILLON,66851628.44,4
CHARRON HUMAN RESOURCES,2560319.92,96
CHARTER TELECOM,25705854.31,5
CHEF BRANDZ,54955.06,12
CHEMICAL ABSTRACTS SERVICE,3477941.07,12
CHEVRON,458394.30,39
CHIMO CONSTRUCTION,4071371.14,2
CHRISTIAN LAROCQUE SERVICES,1952772.23,29
CHRONO AVIATION,176256.68,94
CHU SAINTE JUSTINE,11930413.93,11
CHUBB EDWARDS,1175715.35,129
CIMA,5055552.20,135
CIRCLE OF EAGLES LODGE SOCIETY,5242367.37,3
CISION CANADA,4752307.15,282
CISTEL TECHNOLOGY,32742187.00,220
CITRIX,11971546.14,17
CIVIX,40000.00,1
CLARIANT CANADA,85260.00,25
CLEAN WORKS,2164448.33,2
CLEANMATTERS JANITORIAL SERVICES,4100663.73,16
CLEARWATER STRUCTURES,7412618.37,2
CLERMARK,420183.75,1
CLICK NETWORKS,9638316.00,214
CLOSEREACH,3750000.00,88
CO VEN,4099640.00,1
COADY CONSTRUCTION EXCAVATING,10305807.21,15
COASTAL RESTORATION MASONRY,7894868.32,35
COCO PAVING,21809.00,1
COFOMO,21232926.00,394
COLLIERS PROJECT LEADERS,27030000.04,132
COLOGIX,5131070.29,1
COLT CANADA,1912611.37,89
COLUMBIA FUELS,798744.84,169
COMBAT NETWORKS,29373983.41,244
COMMPOWER,3915990.05,2
COMMUNICATIONS POWER,4585092.19,2
COMMUNITECH,25000.00,4
COMMVAULT SYSTEMS,14994956.50,19
COMNET NETWORKS AND SECURITY,1192212.15,11
COMPAGNIE AMPLEXOR CANADA,4567949.92,57
COMPOSITION STE FOY,853029.03,20
COMPUCOM CANADA,17041598.92,231
COMPUGEN,9022730.84,425
COMPUTER ASSOCIATES CANADA,88717807.22,5
COMPUTERSHARE INVESTOR SERVICES,522764203.18,8
CON PRO INDUSTRIES CANADA,18098833.91,13
CONCEPT CONTROLS,216794.45,50
CONEXSYS,2836806.31,78
CONFECTION AVENTURE,15084720.00,1
CONFERENCE BOARD OF CANADA,493695.10,165
CONNECTIVE SUPPORT SOCIETY,4650105.75,7
CONNEX TELECOMMUNICATIONS,2470055.35,23
CONOSCENTI TECHNOLOGIES,1287404.93,17
CONSORTIUM OF CARE CANADA,6104571.90,1
CONSTRUCTION BENOIT MOREAU,3173884.88,1
CONSTRUCTION BLANCHARD ET,5427889.16,2
CONSTRUCTION BUGERE,6510023.68,10
CONSTRUCTION COTE FILS,888171.03,1
CONSTRUCTION COUTURE TANGUAY,2012062.50,1
CONSTRUCTION CYBCO,21480162.85,6
CONSTRUCTION DEMATHIEU BARD,31373382.79,6
CONSTRUCTION DERIC,4428455.87,13
CONSTRUCTION IRENEE PAQUET FILS I,2442550.76,3
CONSTRUCTION J R SAVARD,12252951.76,2
CONSTRUCTION JESSIKO,1218787.57,6
CONSTRUCTION LFG,10985183.09,14
CONSTRUCTION RIC,7278176.30,1
CONSTRUCTION SIMDEV,7670025.10,2
CONSTRUCTION SOCAM,9369150.07,5
CONSTRUCTIONS BSL,2473454.12,6
CONSTRUCTIONS RENAUD VIGNEAU,732728.98,20
CONTRACT COMMUNITY,4461131.64,87
CONTROLLED ENVIRONMENTS,1061439.75,34
CONTROLS EQUIPMENT,654075.00,40
CONVERGINT TECHNOLOGIES,1253124.82,112
CONVERSART CONSULTING,89496.00,107
COPCAN CIVIL,3352312.33,7
COPCAN CONTRACTING,2315250.00,6
CORADIX TECHNOLOGY CONSULTING,12920890.50,396
CORBEL MANAGEMENT,99017019.00,5
CORCAN,325834.00,6
CORNERSTONE COMM ASSOC DURHAM,4725154.30,2
CORPORATION PROFESSIONNELLE DR SERGE LANDRY PROFESSIONAL,4274739.14,1
CORRECTIONAL SERVICES OF CANADA,1110000.00,17
COSSETTE COMMUNICATIONS,35595000.00,541
COTTON CANDY MISSISSAUGA,290311.88,131
COUGAR ENGINEERING CONSTRUCTION,5686969.79,3
COUPLAND KRAEMER ARCHITECTURE,1030265.57,27
COUVERTURE MONTREAL NORD,2431509.21,16
COVERTITE EASTERN,3374603.75,8
COWATERSOGEMA,20974643.00,13
COWI NORTH AMERICA,2131353.00,82
CPCS TRANSCOM,1520312.20,51
CRANDALL ENGINEERING,2103260.30,31
CRC CURE LABELLE,5365960.77,2
CRC D ATNQ,5329728.20,6
CRESTLINE COACH,109135.00,1
CRUICKSHANK CONSTRUCTION,8101456.61,4
CRYPTOMILL TECHNOLOGIES,615644.74,1
CSDC SYSTEMS,879562.97,93
CSI CONSULTING,595202.58,12
CSI LEASING CANADA,152147.49,2
CTOMS,2999103.00,82
CUBE CONSTRUCTION,2595415.45,6
CUBIC DEFENSE APPLICATIONS,21986.33,2
CULLEN DIESEL POWER,3253551.01,42
CUMMINS CANADA,1885494.85,86
CUSTOM HELICOPTERS,2390514.13,64
CWP CONSTRUCTORS,3360879.38,10
CYMI CANADA,23012723.22,1
CYTELLIGENCE,11300000.00,1
D BREAU ET FILS,2430244.29,1
D DOYLE INSTALLATIONS,509541.58,161
D F BARNES,1657738.24,3
D F S,9106927.61,48
D H PARTNERSHIP,896967710.00,2
D MARK BIOSCIENCES,3368487.02,35
D2L,9952009.39,7
D4IS SOLUTIONS,3749961.50,19
DAIMLER,31635.37,1
DALCON CONSTRUCTORS,1722976.80,4
DALHOUSIE UNIVERSITY,3262837.20,89
DALIAN ENTERPRISES,9492000.00,138
DANA HOSPITALITY PARTNERSHIP,3384094.54,1
DANIEL CREPEAU,1125000.00,16
DARE HUMAN RESOURCES,3483747.06,77
DASCO EQUIPMENT,751525.00,216
DASCO STORAGE SOLUTIONS,97377.75,65
DATA CENTRE INTELLIGENCE,4276641.62,17
DATA COMMUNICATIONS MANAGEMENT,3630419.47,98
DATA REPRO COM,1129954.80,21
DATIFEX,1084627.36,2
DATUM MARINE SERVICES,3451165.00,2
DAVID S LAFLAMME CONSTRUCTION,9961689.89,3
DAVTAIR INDUSTRIES,40680.00,3
DAWSON CONSTRUCTION,9816543.47,6
DBC MARINE SAFETY SYSTEMS,1008673.38,16
DCL CONSTRUCTION SERVICES,4322200.10,11
DE ANGELIS CONSTRUCTION,17062961.15,1
DEAN CONSTRUCTION COMPANY,3086485.11,4
DECISIVE GROUP,15666067.58,249
DECONTIE MILESTONE,2038689.50,1
DEFRAN,4399109.46,16
DELCO AUTOMATION,4562876.00,116
DELL COMPUTER,13454954.19,466
DELOITTE,193916835.00,666
DELTA PHOTONICS,697478.00,23
DEVLIN CONSTRUCTION,5297448.66,1
DEW ENGINEERING,958879.21,8
DEXTER CONSTRUCTION,15996935.77,45
DEXTERRA,9477577.86,4
DF BARNES SERVICES,1356973.65,17
DHL EXPRESS CANADA,780000.00,44
DIAMOND AND SCHMITT ARCHITECTS,31417370.30,14
DILIGENS,2252655.00,25
DILLON CONSULTING,2064800.15,467
DIRECT ENERGY BUSINESS,767955.72,3
DISMAS SOCIETY,4933868.99,2
DLS TECHNOLOGY,1323519.75,73
DMTI SPATIAL,655400.00,34
DNR CONSULTING GROUP,4697772.87,64
DOLOMITE NETWORKS,1712465.28,16
DOLYN CONSTRUCTION,3447900.58,1
DOMINION CONSTRUCTION,2092074.40,6
DOMUS BUILDING CLEANING,17477422.63,27
DONALD J FRASER,4543435.85,1
DONALD SERVANT ELECTRIC,3876754.11,12
DONNA CONA,22099999.13,375
DR DAVID LESAGE,2013950.60,7
DR FERNANDO VILLASENOR,1617487.20,5
DR MANDEEP SAINI,4000000.00,2
DR NADER SHARIFI,1883243.20,4
DR S ISKANDER,4000000.00,3
DRAEGER,10962552.80,12
DRAGAGE IM,5020685.35,9
DRAGAGE OCEAN DSM,36765053.97,14
DRAPEAUX ET BANNIERES L ETENDARD,3513848.00,7
DRASTIC FISHERIES,1525500.00,3
DREAM OFFICE,2269364.83,21
DSS MARINE,8927299.53,20
DST CONSULTING ENGINEERS,1500000.00,202
DSV,2007862.40,109
DUFFERIN CONSTRUCTION COMPANY,12052.24,1
DWP SOLUTIONS,1711579.47,9
DXB PROJECT MANAGEMENT,9300000.00,1
DYMECH ENGINEERING,194360.00,17
DYNABOOK CANADA,5784532.15,92
DYNACARE,119999407.51,141
DYNAMIC CONSTRUCTION,1683172.65,9
DYNAMIC FACILITY SERVICES,760970.79,7
DYNAMIC PERSONNEL CONSULTANTS,905924.26,138
DYNAMITE CONSTRUCTION,1513821.33,2
E CONSTRUCTION,7393617.77,6
E D BRUNET ET ASSOCIES CANADA,21504668.15,1
EAGLE PROFESSIONAL RESOURCES,32230000.01,32
EAST ELGIN CONCRETE FORMING,1979991.28,6
EASTPOINT ENGINEERING,354361.00,26
EBC,16366362.76,3
EBERHARD VON HUENE ASSOCIATES,981614.74,57
EBSCO CANADA,28583375.19,204
ECLIPSYS SOLUTIONS,15583627.79,237
ECO TECHNOLOGIES,1167357.64,56
ECOLE DE LANGUES ABCE,250575.00,487
ECOLE DE LANGUES EAGLE,84750.00,144
ECOLE DE LANGUES LA CITE,3051750.00,185
ECOPIA TECH,3390000.00,4
EDWARD COLLINS CONTRACTING,3055064.13,16
EFFIGIS GEO SOLUTIONS,459434.24,27
EIFFAGE INNOVATIVE CANADA,41417426.70,8
EKOS RESEARCH ASSOCIATES,286455.00,90
ELBIT SYSTEMS,31999994.00,1
ELEMENTAL DATA COLLECTION,2498893.30,7
ELITE CONSTRUCTION,10394592.54,1
ELITE ENVIRONMENTAL GROUP,307016.48,97
ELIZABETH FRY SOCIETY,5558522.68,26
ELLISDON,314322233.35,20
ELSEVIER,2136480.49,117
EMCON SERVICES,19947289.06,41
EMERGENT BIOSOLUTIONS,11767050.34,72
EMIL ANDERSON CONSTRUCTION,10006046.51,5
EMMANUEL CONSTRUCTION SERVICES,4265465.22,5
EMMONS MITCHELL CONSTRUCTION,494483.20,2
EMPOWERED NETWORKS,9687765.05,35
EMS TECHNOLOGIES,166147154.96,1
EMTEC,1000390.16,32
ENERGERE CONSULTANTS,10683898.70,2
ENGLOBE,16118528.99,539
ENTREPRISE CLAVEAU,7779539.54,2
ENTREPRISE DE CONSTRUCTION T E Q,26264659.07,1
ENTRUST,6125218.56,59
ENVELOPPE CONCEPT,2100000.00,17
ENVIRONICS RESEARCH GROUP,596419.05,72
ENVIROSAFE JANITORIAL,637302.75,2
ENVIROSERVICES,269654.78,56
EPERFORMANCE,2650920.12,32
EPIK TAAHHUT SANAYI IC VE DIS,2512794.55,1
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,4212234.80,2
ERNST YOUNG,3999479.06,234
ESBE SCIENTIFIC INDUSTRIES,46212865.19,64
ESRI,1610352.18,469
ETHIOPIAN AIRLINES GROUP,1050000.00,8
EUROVIA QUEBEC CONSTRUCTION,9909546.75,4
EVALUATION PERSONNEL,2000000.00,38
EVALUATION PERSONNEL SELECTION,870528.78,116
EVEREST CONSTRUCTION MANAGEMENT,6952101.53,4
EVOLUTION ROOFING,3436921.22,1
EVRIPOS JANITORIAL SERVICES,1114447.67,13
EXACT LEGAL TRANSLATIONS,4100487.86,23
EXCAVATION LOISELLE,6327136.75,5
EXCAVATION RENE ST PIERRE ENG,12308006.38,2
EXCAVATIONS DARCHE,2047632.41,3
EXCEL 7,274826.55,1
EXCEL HUMAN RESOURCES,10737384.30,1339
EXIT CERTIFIED,124147.45,41
EXP ARCHITECTS,2065830.50,31
EXP SERVICES,1321565.29,111
EXPRESS SCRIPTS CANADA,260037883.60,2
EXTRON ELECTRONICS RGB SYSTEMS,399683.10,43
FACCA,7745447.54,6
FACTIVA,2697111.12,53
FAIRBANKS MORSE ENGINE,6692516.07,278
FARMER CONSTRUCTION,5479499.46,1
FAST FORWARD FRENCH,122598.00,474
FAST TRACK STAFFING,111870.00,187
FASTENAL,55313.50,9
FCA CANADA,6029350.04,369
FDF GROUP,71115.57,5
FEAST INTERACTIVE,2173992.95,16
FEDERAL EXPRESS CANADA,90400000.00,46
FELIX TECHNOLOGY,11986569.98,114
FERENCE COMPANY CONSULTING,968893.00,60
FIA GROUP,14815510.32,7
FIDELITY ENGINEERING CONSTRUCTION,1396055.81,2
FIELD AVIATION COMPANY,1256496.12,29
