d_vendor_name,contracts,contracts_with_amendments,has_amendments_percentage
AMERICAN CHEMICAL SOCIETY,26,6,0.2308
AMEX BANK OF CANADA,2,1,0.5
AMS IMAGING,60,7,0.1167
AMTEK ENGINEERING,2,1,0.5
ANALYTICAL GRAPHICS,21,3,0.1429
ANCHOR QEA,3,1,0.3333
ANIXTER,87,2,0.023
ANSYS CANADA,107,7,0.0654
ANTHONY MACAULEY ASSOCIATES,28,1,0.0357
ANTONIANI LAW PROFESSIONAL,1,1,1
AON REED STENHOUSE,111,23,0.2072
APICA MEDICAL SERVICES,3,2,0.6667
APOTEX,3,1,0.3333
APPAREL TRIMMINGS,18,13,0.7222
APPLIED ELECTONICS,303,22,0.0726
APPTION,13,7,0.5385
APRON FUEL SERVICES,63,4,0.0635
APS AVIATION,7,2,0.2857
AQUA GUARD SPILL RESPONSE,4,2,0.5
AQUA LUNG CANADA,7,0,0
AQUATIC INFORMATICS,15,7,0.4667
ARCADIS CANADA,199,79,0.397
ARCHITECTURE 49,101,39,0.3861
ARCHITECTURE EVOQ,31,18,0.5806
ARCTIC CANADA CONSTRUCTION,5,4,0.8
ARDENT GLOBAL,2,0,0
ARI FINANCIAL SERVICES,556,86,0.1547
ARISGLOBAL,4,3,0.75
ARMSERV CONTRACTING,4,2,0.5
ARNASON INDUSTRIES,2,0,0
ARRM ELECTRIC,6,2,0.3333
ARTEMP PERSONNEL SERVICES,190,63,0.3316
ARTEX SPORTSWEAR,14,7,0.5
ARUP CANADA,1,0,0
ASBEX,83,19,0.2289
ASC GERMANY,6,2,0.3333
ASML US,31,1,0.0323
ASOKAN BUSINESS INTERIORS,308,13,0.0422
ASPEN PHARMACARE CANADA,1,1,1
ASSOCIATED ENGINEERING,75,36,0.48
ASSOCIATION CANADIENNE POUR LA SANTE MENTALE SECTION SAGUENAY,2,2,1
ATCO,258,87,0.3372
ATIRA WOMENS RESOURCE SOCIETY,3,2,0.6667
ATKINSON CONSTRUCTION ACL,2,1,0.5
ATLANTIC BUSINESS INTERIORS,153,6,0.0392
ATLANTIC HUMAN SERVICES,2,2,1
ATLANTIC ROAD CONSTRUCTION AND PAVING,5,3,0.6
ATLANTIC ROOFERS,2,0,0
ATLANTIC TOWING,5,1,0.2
ATLANTICA MECHANICAL CONTRACTORS,19,6,0.3158
ATS SERVICES,22,11,0.5
ATS TRAFFIC ALBERTA,20,1,0.05
ATWILL MORIN,10,7,0.7
AV NUNAVUT FUELS,1,0,0
AV TECH,129,17,0.1318
AVENAI,10,4,0.4
AVI SPL,62,8,0.129
AVI SPL CANADA,568,29,0.0511
AVJET HOLDING,44,5,0.1136
AVMAX AVIATION SERVICES,38,4,0.1053
AVONDALE CONSTRUCTION,18,11,0.6111
AXYS TECHNOLOGIES,60,9,0.15
AZIMUTH CONSULTING GROUP,9,2,0.2222
B BRAUN OF CANADA,1,0,0
B L ASSOCIATES,5,1,0.2
B R ENTERPRISES,15,9,0.6
B T L CONSTRUCTION,1,1,1
BABEL STREET,9,1,0.1111
BAE SYSTEMS,2,0,0
BAHLER BIOGAZ,2,1,0.5
BAJA CONSTRUCTION CANADA,10,4,0.4
BALODIS,10,2,0.2
BANCTEC CANADA,18,3,0.1667
BANFIELD SEGUIN,35,8,0.2286
BARDON SUPPLIES,39,2,0.0513
BARGREEN ELLINGSON,189,9,0.0476
BARR ENGINEERING AND ENVIRONMENTAL,13,7,0.5385
BARRIE MACKAY CONTRACTING,2,2,1
BARRY S BULLDOZING,36,5,0.1389
BAUER HOCKEY,1,0,0
BAVARIAN NORDIC,1,0,0
BAXTER,9,1,0.1111
BAY CONSTRUCTION MANAGEMENT,6,5,0.8333
BAYSHORE HEALTHCARE,123,31,0.252
BC BORSTAL ASSOC,1,1,1
BC HYDRO,29,13,0.4483
BDO CANADA,316,93,0.2943
BEAUDOIN CANADA,2,2,1
BEAVER AIR CHARTER CONSULTANTS,285,16,0.0561
BECKMAN COULTER CANADA,117,7,0.0598
BEE CLEAN BUILDING MAINTENANCE,13,4,0.3077
BELL AND HOWELL CANADA,7,7,1
BELL CANADA,921,253,0.2747
BELL DISTRIBUTION,9,0,0
BELL TEXTRON,276,15,0.0543
BENNETT S CONSTRUCTION SUPPLIES,12,6,0.5
BERGEVIN ELECTRICAL CONTRACTING,2,1,0.5
BERLITZ CANADA,184,41,0.2228
BERVIN CONSTRUCTION,8,5,0.625
BEST BUY HOUSING,1,0,0
BEST SERVICE PROS,2,0,0
BEVA GLOBAL MANAGEMENT,45,9,0.2
BGLA,14,9,0.6429
BIGHORN CONSTRUCTION,7,7,1
BIGHORN HELICOPTERS,96,9,0.0938
BIO CHAMBERS,12,0,0
BIO NUCLEAR DIAGNOSTICS,19,3,0.1579
BIO RAD LABORATORIES CANADA,141,6,0.0426
BIOKINETICS AND ASSOCIATES,1,0,0
BIOMERIEUX CANADA,36,11,0.3056
BIRD CONSTRUCTION COMPANY,5,4,0.8
BIRON GROUPE SANTE,1,0,0
BIRTZ BASTIEN ARCHITECTES,9,4,0.4444
BISSON FORTIN ARCHITECTURE,18,11,0.6111
BLACK DIAMOND PARTNERSHIP,8,6,0.75
BLACK MCDONALD,139,45,0.3237
BLACKBERRY,58,3,0.0517
BLOOMBERG FINANCE L P,31,6,0.1935
BLUE COLLAR SILVICULTURE,2,0,0
BLUEDOT,7,3,0.4286
BLUEWAVE ENERGY,75,9,0.12
BLUMETRIC ENVIRONMENTAL,141,31,0.2199
BLUNDEN CONSTRUCTION 1995,2,0,0
BMC SOFTWARE,7,4,0.5714
BMC SOFTWARE CANADA,38,14,0.3684
BMT FLEET TECHNOLOGY,24,2,0.0833
BOEHM HOTEL,1,1,1
BOLESS,6,4,0.6667
BOLLORE LOGISTICS,178,5,0.0281
BOMBARDIER,177,7,0.0395
BOMIMED,2,1,0.5
BOUTHILLETTE PARIZEAU,112,23,0.2054
BOYD MOVING STORAGE,92,6,0.0652
BRAGG COMMUNICATIONS,2,2,1
BRANDT TRACTOR,32,1,0.0312
BRAWN CONSTRUCTION,13,6,0.4615
BRECKENHILL,62,12,0.1935
BREMNER ENGINEERING AND CONSTRUCTIO,6,2,0.3333
BRETON MICHEL MD,10,9,0.9
BRIAN G INNES SCHOUTEN EXCAVATING,3,1,0.3333
BRIDGES OF CANADA,14,6,0.4286
BRILUN CONSTRUCTION,11,8,0.7273
BRIQUETAL,5,4,0.8
BRITTON ELECTRIQUE,2,1,0.5
BROADNET TELECOM,45,7,0.1556
BROADWATER INDUSTRIES,22,3,0.1364
BRONSWERK MARINE,9,2,0.2222
BRONTE CONSTRUCTION,1,1,1
BROOK CONSTRUCTION,6,4,0.6667
BROOKFIELD ASSET MANAGEMENT,13,1,0.0769
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,360,19,0.0528
BROOKS CORNING COMPANY,128,3,0.0234
BRS INNOVATIONS,11,5,0.4545
BRUKER,84,6,0.0714
BUBBLE TECHNOLOGY INDUSTRIES,4,0,0
BUDGELL S EQUIPMENT RENTALS,2,2,1
BUILDON CONSTRUCTION,27,3,0.1111
BULLDOG CONTRACTING,9,3,0.3333
BUNZL CANADA,15,0,0
BUREAU NATHALIE,6,2,0.3333
BUREAU VERITAS,347,68,0.196
BURSEY EXCAVATING DEVELOPMENT,10,7,0.7
BUTTCON,6,4,0.6667
C CORE,15,3,0.2
C D NOVA TECH,11,1,0.0909
C2D SERVICES,1,1,1
CA,17,2,0.1176
CACHE COMPUTER CONSULTING,214,114,0.5327
CACTUS SHIP REPAIR,18,0,0
CADEX,2,0,0
CAE,30,4,0.1333
CALIAN,557,217,0.3896
CALKO GROUP,2,2,1
CALTRIO COMPANY,16,9,0.5625
CALYTERA SOFTWARE,31,2,0.0645
CAMPBELL DRUG STORES,1,1,1
CAMPBELL SCIENTIFIC CANADA,133,11,0.0827
CAN AM PLATFORMS CONSTRUCTION,6,4,0.6667
CAN TEC SERVICES,40,6,0.15
CANADA FBM 2020,1,1,1
CANADA FRANCE HAWAII TELESCOPE,5,4,0.8
CANADA POST,245,31,0.1265
CANADENSYS AEROSPACE,8,3,0.375
CANADIAN BANK NOTE COMPANY,18,9,0.5
CANADIAN BROADCASTING,4,2,0.5
CANADIAN BUREAU FOR INTERNATIONAL EDUCATION,7,1,0.1429
CANADIAN COMMERCIAL,2,0,0
CANADIAN CORPS OF COMMISSIONAIRES,4477,1163,0.2598
CANADIAN DEVELOPMENT CONSULTANTS,43,14,0.3256
CANADIAN EMERGENCY VENTILATORS,1,0,0
CANADIAN FISHING COMPANY,3,1,0.3333
CANADIAN HEALTH CARE AGENCY,11,2,0.1818
CANADIAN HELICOPTERS,243,24,0.0988
CANADIAN LEASEBACK,174,23,0.1322
CANADIAN MARITIME ENGINEERING,121,48,0.3967
CANADIAN NORTH,26,3,0.1154
CANADIAN NUCLEAR LABORATORIES,1,0,0
CANADIAN PAEDIATRIC SOCIETY,4,3,0.75
CANADIAN RED CROSS,13,6,0.4615
CANADIAN STANDARDS ASSOCIATION,50,12,0.24
CANADIAN VETERANS VR SERVICE,1,0,0
CANADYNE TECHNOLOGIES,4,2,0.5
CANAM PONTS CANADA,3,0,0
CANDESTO ENTERPRISES,1,1,1
CANMEC,1,1,1
CANON,661,120,0.1815
CANSEL SURVEY EQUIPMENT,113,1,0.0088
CANTEX OKANAGAN CONSTRUCTION,3,2,0.6667
CARAHSOFT TECHNOLOGY,268,25,0.0933
CARDINAL HEALTH CANADA,75,3,0.04
CAREWORX,27,0,0
CARLETON ELECTRIC,26,5,0.1923
CARLETON UNIVERSITY,158,15,0.0949
CARMACKS ENTERPRISES,1,1,1
CARMICHAEL ENGINEERING,55,5,0.0909
CARO ANALYTICAL SERVICES,38,6,0.1579
CARON PROFESSIONAL LINGUISTIC,151,28,0.1854
CARSWELL,26,2,0.0769
CARTEL COMMUNICATION SYSTEMS,7,0,0
CASCADE AEROSPACE,1,0,0
CASCADE COLLEGE,1,0,0
CASP AEROSPACE,2,0,0
CASSELMAN WOODCRAFT,173,45,0.2601
CATHOLIC SOCIAL SERVICES,5,5,1
CBCI TELECOM,664,35,0.0527
CBCL,228,41,0.1798
CBRE,24,0,0
CCM CONSTRUCTION,3,1,0.3333
CCR CONSTRUCTION,4,3,0.75
CDCI RESEARCH,67,18,0.2687
CDW CANADA,807,83,0.1029
CEGERCO,1,1,1
CELEB CONSTRUCTION,5,5,1
CELLEBRITE,5,3,0.6
CENTRE RESIDENTIEL COMMUNAUTAIRE JOLIETTE LANAUDIERE,2,2,1
CENTURY GROUP,3,2,0.6667
CEPHEID,2,1,0.5
CERIDIAN,2,1,0.5
CGI,254,120,0.4724
CH2M HILL CANADA,6,3,0.5
CHANDOS CONSTRUCTION,6,6,1
CHANNEL MANAGEMENT INTERNATIONAL,11,2,0.1818
CHANTIER DAVIE CANADA,7,5,0.7143
CHANTIER NAVAL FORILLON,4,2,0.5
CHARRON HUMAN RESOURCES,96,14,0.1458
CHARTER TELECOM,5,2,0.4
CHEF BRANDZ,12,0,0
CHEMICAL ABSTRACTS SERVICE,12,2,0.1667
CHEVRON,39,1,0.0256
CHIMO CONSTRUCTION 2014,2,1,0.5
CHRISTIAN LAROCQUE SERVICES,29,5,0.1724
CHRONO AVIATION,94,3,0.0319
CHU SAINTE JUSTINE,11,7,0.6364
CHUBB EDWARDS,129,26,0.2016
CIMA,135,56,0.4148
CIRCLE OF EAGLES LODGE SOCIETY,3,2,0.6667
CISION CANADA,282,37,0.1312
CISTEL TECHNOLOGY,220,88,0.4
CITRIX,17,6,0.3529
CIVIX,1,0,0
CLARIANT CANADA,25,3,0.12
CLEAN WORKS,1,1,1
CLEANMATTERS JANITORIAL SERVICES,16,6,0.375
CLEARWATER STRUCTURES,2,2,1
CLERMARK,1,0,0
CLICK NETWORKS,214,16,0.0748
CLOSEREACH,88,30,0.3409
CO VEN,1,0,0
COADY CONSTRUCTION EXCAVATING,15,7,0.4667
COASTAL RESTORATION MASONRY,35,3,0.0857
COCO PAVING,1,0,0
COFOMO,394,244,0.6193
COLLIERS PROJECT LEADERS,132,73,0.553
COLOGIX TORONTO,1,1,1
COLT CANADA,89,5,0.0562
COLUMBIA FUELS,169,3,0.0178
COMBAT NETWORKS,244,65,0.2664
COMMPOWER,2,2,1
COMMUNICATIONS POWER,2,2,1
COMMUNITECH,3,0,0
COMMVAULT SYSTEMS,19,3,0.1579
COMNET NETWORKS AND SECURITY,11,1,0.0909
COMPAGNIE AMPLEXOR CANADA,57,12,0.2105
COMPOSITION STE FOY,20,7,0.35
COMPUCOM CANADA,231,26,0.1126
COMPUGEN,425,39,0.0918
COMPUTER ASSOCIATES CANADA,5,3,0.6
COMPUTERSHARE INVESTOR SERVICES,8,2,0.25
CON PRO INDUSTRIES CANADA,13,10,0.7692
CONCEPT CONTROLS,50,1,0.02
CONEXSYS,78,7,0.0897
CONFECTION AVENTURE,1,1,1
CONNECTIVE SUPPORT SOCIETY,7,1,0.1429
CONNEX TELECOMMUNICATIONS,23,2,0.087
CONOSCENTI TECHNOLOGIES,17,5,0.2941
CONSORTIUM OF CARE CANADA,1,1,1
CONSTRUCTION BENOIT MOREAU,1,0,0
CONSTRUCTION BLANCHARD ET,2,1,0.5
CONSTRUCTION BUGERE,10,8,0.8
CONSTRUCTION COTE FILS,1,1,1
CONSTRUCTION COUTURE TANGUAY,1,0,0
CONSTRUCTION CYBCO,6,5,0.8333
CONSTRUCTION DEMATHIEU BARD,6,5,0.8333
CONSTRUCTION DERIC,13,11,0.8462
CONSTRUCTION IRENEE PAQUET FILS I,3,3,1
CONSTRUCTION J R SAVARD,2,2,1
CONSTRUCTION JESSIKO,6,3,0.5
CONSTRUCTION LFG,14,12,0.8571
CONSTRUCTION RIC,1,1,1
CONSTRUCTION SIMDEV,2,2,1
CONSTRUCTION SOCAM,5,1,0.2
CONSTRUCTIONS BSL,6,6,1
CONSTRUCTIONS RENAUD VIGNEAU,20,5,0.25
CONTRACT COMMUNITY,87,17,0.1954
CONTROLLED ENVIRONMENTS,34,1,0.0294
CONTROLS EQUIPMENT,40,1,0.025
CONVERGINT TECHNOLOGIES,112,8,0.0714
CONVERSART CONSULTING,107,11,0.1028
COPCAN CIVIL,7,3,0.4286
COPCAN CONTRACTING,6,4,0.6667
CORADIX TECHNOLOGY CONSULTING,396,216,0.5455
CORBEL MANAGEMENT,5,3,0.6
CORCAN,6,0,0
CORNERSTONE COMM ASSOC DURHAM,2,2,1
CORPORATION PROFESSIONNELLE DR SERGE LANDRY PROFESSIONAL,1,1,1
CORRECTIONAL SERVICES OF CANADA,17,1,0.0588
COSSETTE COMMUNICATIONS,541,112,0.207
COTTON CANDY MISSISSAUGA,131,4,0.0305
COUGAR ENGINEERING CONSTRUCTION,3,2,0.6667
COUPLAND KRAEMER ARCHITECTURE,27,15,0.5556
COUVERTURE MONTREAL NORD,16,3,0.1875
COVERTITE EASTERN,8,3,0.375
COWATERSOGEMA,13,3,0.2308
COWI NORTH AMERICA,82,3,0.0366
CPCS TRANSCOM,51,5,0.098
CRANDALL ENGINEERING,31,17,0.5484
CRC CURE LABELLE,2,2,1
CRC D ATNQ,6,4,0.6667
CRESTLINE COACH,1,0,0
CRUICKSHANK CONSTRUCTION,4,4,1
CRYPTOMILL TECHNOLOGIES,1,0,0
CSDC SYSTEMS,93,16,0.172
CSI CONSULTING,12,5,0.4167
CSI LEASING CANADA,2,1,0.5
CTOMS,82,0,0
CUBE CONSTRUCTION,6,2,0.3333
CUBIC DEFENSE APPLICATIONS,2,0,0
CULLEN DIESEL POWER,42,5,0.119
CUMMINS CANADA,86,15,0.1744
CUSTOM HELICOPTERS,64,5,0.0781
CWP CONSTRUCTORS,10,7,0.7
CYMI CANADA,1,1,1
CYTELLIGENCE,1,1,1
D BREAU ET FILS,1,1,1
D DOYLE INSTALLATIONS,161,16,0.0994
D F BARNES,3,2,0.6667
D F S,48,27,0.5625
D H PARTNERSHIP,2,2,1
D MARK BIOSCIENCES,35,1,0.0286
D2L,7,2,0.2857
D4IS SOLUTIONS,19,11,0.5789
DAIMLER,1,1,1
DALCON CONSTRUCTORS,4,3,0.75
DALHOUSIE UNIVERSITY,89,9,0.1011
DALIAN ENTERPRISES,138,67,0.4855
DANA HOSPITALITY PARTNERSHIP,1,0,0
DANIEL CREPEAU,16,9,0.5625
DARE HUMAN RESOURCES,16,1,0.0625
DASCO EQUIPMENT,216,13,0.0602
DASCO STORAGE SOLUTIONS,65,1,0.0154
DATA CENTRE INTELLIGENCE,17,1,0.0588
DATA COMMUNICATIONS MANAGEMENT,98,9,0.0918
DATA REPRO COM,21,3,0.1429
DATIFEX,2,1,0.5
DATUM MARINE SERVICES,2,2,1
DAVID S LAFLAMME CONSTRUCTION,3,2,0.6667
DAVTAIR INDUSTRIES,3,0,0
DAWSON CONSTRUCTION,6,6,1
DBC MARINE SAFETY SYSTEMS,16,2,0.125
DCL CONSTRUCTION SERVICES,11,6,0.5455
DE ANGELIS CONSTRUCTION,1,1,1
DEAN CONSTRUCTION COMPANY,4,1,0.25
DECISIVE GROUP,249,14,0.0562
DECONTIE MILESTONE,1,0,0
DEFRAN,16,10,0.625
DELCO AUTOMATION,116,10,0.0862
DELL COMPUTER,466,42,0.0901
DELOITTE,666,196,0.2943
DELTA PHOTONICS,23,2,0.087
DEVLIN CONSTRUCTION,1,1,1
DEW ENGINEERING,8,6,0.75
DEXTER CONSTRUCTION,45,26,0.5778
DEXTERRA,4,2,0.5
DF BARNES SERVICES,17,9,0.5294
DHL EXPRESS CANADA,44,8,0.1818
DIAMOND AND SCHMITT ARCHITECTS,14,5,0.3571
DILIGENS,25,2,0.08
DILLON CONSULTING,467,108,0.2313
DIRECT ENERGY BUSINESS SERVICES,3,0,0
DISMAS SOCIETY,2,2,1
DLS TECHNOLOGY,73,10,0.137
DMTI SPATIAL,34,3,0.0882
DNR CONSULTING GROUP,64,3,0.0469
DOLOMITE NETWORKS,16,8,0.5
DOLYN CONSTRUCTION,1,1,1
DOMINION CONSTRUCTION,6,1,0.1667
DOMUS BUILDING CLEANING,27,3,0.1111
DONALD J FRASER,1,1,1
DONALD SERVANT ELECTRIC,12,4,0.3333
DONNA CONA,375,126,0.336
DR DAVID LESAGE,7,4,0.5714
DR FERNANDO VILLASENOR,5,3,0.6
DR MANDEEP SAINI,2,1,0.5
DR NADER SHARIFI,4,3,0.75
DR S ISKANDER,3,2,0.6667
DRAEGER,12,1,0.0833
DRAGAGE IM,9,6,0.6667
DRAGAGE OCEAN DSM,14,9,0.6429
DRAPEAUX ET BANNIERES L ETENDARD,5,0,0
DRAPEAUX ET BANNIERES L ETENDARD IN,3,1,0.3333
DRASTIC FISHERIES,3,1,0.3333
DREAM OFFICE,21,6,0.2857
DSS MARINE,20,4,0.2
DST CONSULTING ENGINEERS,202,28,0.1386
DSV,109,12,0.1101
DUFFERIN CONSTRUCTION COMPANY,1,1,1
DWP SOLUTIONS,9,6,0.6667
DXB PROJECT MANAGEMENT,1,1,1
DYMECH ENGINEERING,17,2,0.1176
DYNABOOK CANADA,92,12,0.1304
DYNACARE,141,29,0.2057
DYNAMIC CONSTRUCTION,9,3,0.3333
DYNAMIC FACILITY SERVICES,7,5,0.7143
DYNAMIC PERSONNEL CONSULTANTS,138,55,0.3986
DYNAMITE CONSTRUCTION,2,2,1
E CONSTRUCTION,6,3,0.5
E D BRUNET ET ASSOCIES CANADA,1,1,1
EAGLE PROFESSIONAL RESOURCES,32,18,0.5625
EAST ELGIN CONCRETE FORMING,6,5,0.8333
EASTPOINT ENGINEERING,26,11,0.4231
EBC,3,2,0.6667
EBERHARD VON HUENE ASSOCIATES,57,3,0.0526
EBSCO CANADA,204,28,0.1373
ECLIPSYS SOLUTIONS,237,45,0.1899
ECO TECHNOLOGIES,56,8,0.1429
ECOLE DE LANGUES ABCE,487,67,0.1376
ECOLE DE LANGUES EAGLE,140,24,0.1714
ECOLE DE LANGUES LA CITE,185,33,0.1784
ECOPIA TECH,4,0,0
EDWARD COLLINS CONTRACTING,16,3,0.1875
EFFIGIS GEO SOLUTIONS,27,2,0.0741
EIFFAGE INNOVATIVE CANADA,8,4,0.5
EKOS RESEARCH ASSOCIATES,90,8,0.0889
ELBIT SYSTEMS,1,0,0
ELEMENTAL DATA COLLECTION,7,2,0.2857
ELITE CONSTRUCTION,1,0,0
ELITE ENVIRONMENTAL GROUP,97,4,0.0412
ELIZABETH FRY SOCIETY,7,4,0.5714
ELIZABETH FRY SOCIETY OF CAPE BRETON,2,1,0.5
ELIZABETH FRY SOCIETY OF GREATER TORONTO,2,1,0.5
ELIZABETH FRY SOCIETY OF PEEL,1,1,1
ELIZABETH FRY SOCIETY OF TORONTO,2,2,1
ELLISDON,20,14,0.7
ELSEVIER,117,28,0.2393
EMCON SERVICES,41,4,0.0976
EMERGENT BIOSOLUTIONS,72,2,0.0278
EMIL ANDERSON CONSTRUCTION,5,4,0.8
EMMANUEL CONSTRUCTION SERVICES,5,5,1
EMMONS MITCHELL CONSTRUCTION,2,0,0
EMPOWERED NETWORKS,35,10,0.2857
EMS TECHNOLOGIES,1,1,1
EMTEC,32,12,0.375
ENERGERE CONSULTANTS,2,2,1
ENGLOBE,539,88,0.1633
ENTREPRISE CLAVEAU,2,1,0.5
ENTREPRISE DE CONSTRUCTION T E Q,1,1,1
ENTRUST,59,8,0.1356
ENVELOPPE CONCEPT,11,2,0.1818
ENVIRONICS RESEARCH GROUP,72,9,0.125
ENVIROSAFE JANITORIAL,2,2,1
ENVIROSERVICES,56,15,0.2679
EPERFORMANCE,32,8,0.25
EPIK TAAHHUT SANAYI IC VE DIS,1,1,1
EQUASION BUSINESS TECHNOLOGIES CONSULTING AND WATERSHED ITS IN CJV,2,2,1
ERNST YOUNG,234,93,0.3974
ESBE SCIENTIFIC INDUSTRIES,64,6,0.0938
ESRI,469,22,0.0469
ETHIOPIAN AIRLINES GROUP,8,1,0.125
EUROVIA QUEBEC CONSTRUCTION,4,2,0.5
EVALUATION PERSONNEL,38,5,0.1316
EVALUATION PERSONNEL SELECTION,116,23,0.1983
EVEREST CONSTRUCTION MANAGEMENT,4,3,0.75
EVOLUTION ROOFING,1,1,1
EVRIPOS JANITORIAL SERVICES,13,6,0.4615
EXACT LEGAL TRANSLATIONS,23,5,0.2174
EXCAVATION LOISELLE,5,2,0.4
EXCAVATION RENE ST PIERRE ENG,2,1,0.5
EXCAVATIONS DARCHE,3,3,1
EXCEL 7,1,0,0
EXCEL HUMAN RESOURCES,1339,570,0.4257
EXIT CERTIFIED,41,1,0.0244
